Orthogroup	Syat	Syap
OG0000001	Syat.g_02908, Syat.g_02909	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syat.g_00878	Syap.g_00399
OG0000005	Syat.g_03065	Syap.g_01773
OG0000005	Syat.g_03105	Syap.g_01218
OG0000006	Syat.g_00371	Syap.g_02770
OG0000007	Syat.g_03191	Syap.g_00275
OG0000007	Syat.g_03124	Syap.g_00621
OG0000009	Syat.g_01567	Syap.g_02081
OG0000010	Syat.g_01372	Syap.g_02757
OG0000013	Syat.g_01625	Syap.g_00586, Syap.g_00580, Syap.g_00583
OG0000013	Syat.g_01027	Syap.g_00972
OG0000014	Syat.g_02104	Syap.g_01675
OG0000014	Syat.g_02250	Syap.g_00813
OG0000015	Syat.g_00775, Syat.g_01677	Syap.g_00786
OG0000016	Syat.g_02329	Syap.g_00071
OG0000016	Syat.g_00222, Syat.g_00832	Syap.g_00404
OG0000017	Syat.g_00015	Syap.g_00449
OG0000018	Syat.g_01334	Syap.g_02010
OG0000019	Syat.g_01876	Syap.g_01586
OG0000025	Syat.g_00719	Syap.g_01846
OG0000027	Syat.g_00850	Syap.g_01440
OG0000028	Syat.g_02126	Syap.g_01658
OG0000030	Syat.g_00307	Syap.g_00787
OG0000030	Syat.g_00308	Syap.g_00788
OG0000031	Syat.g_02131	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syat.g_03199, Syat.g_02243	Syap.g_00722
OG0000032	Syat.g_02237	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syat.g_02858	Syap.g_01198
OG0000034	Syat.g_01165, Syat.g_02902	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syat.g_01227, Syat.g_01226	Syap.g_02465
OG0000037	Syat.g_00849, Syat.g_00187	Syap.g_02492
OG0000038	Syat.g_02686	Syap.g_00139
OG0000039	Syat.g_01278	Syap.g_01749, Syap.g_01748
OG0000040	Syat.g_02551	Syap.g_01819
OG0000041	Syat.g_03006	Syap.g_01510
OG0000042	Syat.g_00223	Syap.g_01891
OG0000042	Syat.g_02222	Syap.g_01120
OG0000044	Syat.g_00933	Syap.g_00378
OG0000045	Syat.g_00935	Syap.g_02525
OG0000046	Syat.g_01026	Syap.g_00973
OG0000048	Syat.g_02046	Syap.g_02340
OG0000053	Syat.g_01330	Syap.g_02006
OG0000054	Syat.g_00987	Syap.g_02652
OG0000054	Syat.g_03390	Syap.g_00774
OG0000057	Syat.g_00817, Syat.g_02055	Syap.g_01569
OG0000058	Syat.g_02133, Syat.g_02238	Syap.g_02074
OG0000059	Syat.g_01832	Syap.g_01918
OG0000060	Syat.g_01047	Syap.g_00795
OG0000061	Syat.g_03260	Syap.g_00228
OG0000062	Syat.g_03107	Syap.g_01220
OG0000063	Syat.g_02303	Syap.g_01796
OG0000066	Syat.g_03283	Syap.g_01972
OG0000067	Syat.g_00479	Syap.g_00194
OG0000068	Syat.g_00085	Syap.g_00108, Syap.g_00144
OG0000069	Syat.g_00879	Syap.g_01543, Syap.g_01545
OG0000070	Syat.g_01032	Syap.g_00930, Syap.g_00931, Syap.g_00966
OG0000070	Syat.g_01040	Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syat.g_01153	Syap.g_01483
OG0000072	Syat.g_01597	Syap.g_00555
OG0000073	Syat.g_03201	Syap.g_00273
OG0000075	Syat.g_02497	Syap.g_01064
OG0000075	Syat.g_01713	Syap.g_00664
OG0000076	Syat.g_02206	Syap.g_01111
OG0000077	Syat.g_01481	Syap.g_00416
OG0000078	Syat.g_00184	Syap.g_01149
OG0000079	Syat.g_01879	Syap.g_01589
OG0000080	Syat.g_02246	Syap.g_01707
OG0000080	Syat.g_02282	Syap.g_00630
OG0000080	Syat.g_01200	Syap.g_01035
OG0000085	Syat.g_03113	Syap.g_00611
OG0000087	Syat.g_02912	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syat.g_02862	Syap.g_01202
OG0000089	Syat.g_02953	Syap.g_00115, Syap.g_02042
OG0000090	Syat.g_03270	Syap.g_01451
OG0000091	Syat.g_00862	Syap.g_01861
OG0000094	Syat.g_00698	Syap.g_02781
OG0000095	Syat.g_00808	Syap.g_01556
OG0000098	Syat.g_03281	Syap.g_01975
OG0000099	Syat.g_02130	Syap.g_01385
OG0000101	Syat.g_01661	Syap.g_00472
OG0000102	Syat.g_00974	Syap.g_01116
OG0000103	Syat.g_02399	Syap.g_02607, Syap.g_02608
OG0000104	Syat.g_02385	Syap.g_02318
OG0000105	Syat.g_02052	Syap.g_01369, Syap.g_01368
OG0000107	Syat.g_01862	Syap.g_02496
OG0000108	Syat.g_03170	Syap.g_00733, Syap.g_02255
OG0000109	Syat.g_03187	Syap.g_00279, Syap.g_02237
OG0000110	Syat.g_00049	Syap.g_01313
OG0000111	Syat.g_00816	Syap.g_01566, Syap.g_01568
OG0000112	Syat.g_00593	Syap.g_02023
OG0000113	Syat.g_00509	Syap.g_02714
OG0000114	Syat.g_00426	Syap.g_01255
OG0000115	Syat.g_01328	Syap.g_02004
OG0000117	Syat.g_00224	Syap.g_01889
OG0000118	Syat.g_01168	Syap.g_02286
OG0000120	Syat.g_02132	Syap.g_02075
OG0000121	Syat.g_01223	Syap.g_02471
OG0000123	Syat.g_01653	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syat.g_02231	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syat.g_02684	Syap.g_01047
OG0000126	Syat.g_00976	Syap.g_02576
OG0000127	Syat.g_00175	Syap.g_00737, Syap.g_00735
OG0000128	Syat.g_02331	Syap.g_00069
OG0000129	Syat.g_02693	Syap.g_00130
OG0000129	Syat.g_02694	Syap.g_00129
OG0000130	Syat.g_01469	Syap.g_01688, Syap.g_01689
OG0000131	Syat.g_02898	Syap.g_02189
OG0000132	Syat.g_02864	Syap.g_01205
OG0000133	Syat.g_00588	Syap.g_02017
OG0000134	Syat.g_02956	Syap.g_02047
OG0000135	Syat.g_02501	Syap.g_02090
OG0000136	Syat.g_01292	Syap.g_00089
OG0000137	Syat.g_01371	Syap.g_02756
OG0000138	Syat.g_03188	Syap.g_00278
OG0000139	Syat.g_03276	Syap.g_00410
OG0000140	Syat.g_03280	Syap.g_01976
OG0000141	Syat.g_03398	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syat.g_00117	Syap.g_00895, Syap.g_00894
OG0000143	Syat.g_00130	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syat.g_00369	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syat.g_03202	Syap.g_01860
OG0000146	Syat.g_00594	Syap.g_02024
OG0000147	Syat.g_00595	Syap.g_02025
OG0000148	Syat.g_00503	Syap.g_02720
OG0000149	Syat.g_00747	Syap.g_00824
OG0000150	Syat.g_03399	Syap.g_01540
OG0000151	Syat.g_00801, Syat.g_00440	Syap.g_00142
OG0000152	Syat.g_00578	Syap.g_02012
OG0000153	Syat.g_00542	Syap.g_02682
OG0000154	Syat.g_00708	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syat.g_00287	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syat.g_03228	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syat.g_02012, Syat.g_03227	Syap.g_00249, Syap.g_00286
OG0000158	Syat.g_02163	Syap.g_01075
OG0000159	Syat.g_01187	Syap.g_00852
OG0000160	Syat.g_01224	Syap.g_02470, Syap.g_02469
OG0000161	Syat.g_01180	Syap.g_02476
OG0000162	Syat.g_01281	Syap.g_02531
OG0000164	Syat.g_03040	Syap.g_01391, Syap.g_01392
OG0000165	Syat.g_03033	Syap.g_01381, Syap.g_01382
OG0000166	Syat.g_01822	Syap.g_00512, Syap.g_01238
OG0000167	Syat.g_02148	Syap.g_02080
OG0000168	Syat.g_02164	Syap.g_01076
OG0000169	Syat.g_02192	Syap.g_01049, Syap.g_01093
OG0000170	Syat.g_02201	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syat.g_02230	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syat.g_02260	Syap.g_01143, Syap.g_00635
OG0000173	Syat.g_02284	Syap.g_00982, Syap.g_00983
OG0000174	Syat.g_02504	Syap.g_02092
OG0000175	Syat.g_02416	Syap.g_02654
OG0000176	Syat.g_02372	Syap.g_00059
OG0000177	Syat.g_02338	Syap.g_00061, Syap.g_00060
OG0000178	Syat.g_02337	Syap.g_00062
OG0000179	Syat.g_02322	Syap.g_00077, Syap.g_02638
OG0000180	Syat.g_02321	Syap.g_00078, Syap.g_02640
OG0000181	Syat.g_02320	Syap.g_00079, Syap.g_02641
OG0000182	Syat.g_02319	Syap.g_00080, Syap.g_02642
OG0000183	Syat.g_02315	Syap.g_00084
OG0000184	Syat.g_02704	Syap.g_01337
OG0000185	Syat.g_02719	Syap.g_01322
OG0000186	Syat.g_01463	Syap.g_01684
OG0000187	Syat.g_01467	Syap.g_01686
OG0000188	Syat.g_01489	Syap.g_02547
OG0000191	Syat.g_03344, Syat.g_02939	Syap.g_02233
OG0000192	Syat.g_02933	Syap.g_02224
OG0000193	Syat.g_02897	Syap.g_02187, Syap.g_02188
OG0000194	Syat.g_02894	Syap.g_02183
OG0000195	Syat.g_02892	Syap.g_02180
OG0000196	Syat.g_02867	Syap.g_01208, Syap.g_02167
OG0000197	Syat.g_02866	Syap.g_01207, Syap.g_02166
OG0000198	Syat.g_02865	Syap.g_01206
OG0000199	Syat.g_02857	Syap.g_01197
OG0000200	Syat.g_02840	Syap.g_01181
OG0000201	Syat.g_02821	Syap.g_02265
OG0000202	Syat.g_02820	Syap.g_02264
OG0000203	Syat.g_02819	Syap.g_01601
OG0000204	Syat.g_02818	Syap.g_01602
OG0000205	Syat.g_02809	Syap.g_01616
OG0000206	Syat.g_02785	Syap.g_01628
OG0000207	Syat.g_02778	Syap.g_01426, Syap.g_00424
OG0000208	Syat.g_02777	Syap.g_00426, Syap.g_01425
OG0000209	Syat.g_02735	Syap.g_01906
OG0000210	Syat.g_02734	Syap.g_01905
OG0000211	Syat.g_01452	Syap.g_01160
OG0000212	Syat.g_01442	Syap.g_02664
OG0000213	Syat.g_01889	Syap.g_00107, Syap.g_01599
OG0000214	Syat.g_02042	Syap.g_02344, Syap.g_02345
OG0000215	Syat.g_02075	Syap.g_01347, Syap.g_01629
OG0000216	Syat.g_02079	Syap.g_01634
OG0000217	Syat.g_02085	Syap.g_01638
OG0000218	Syat.g_02087	Syap.g_01641, Syap.g_01640
OG0000219	Syat.g_02088	Syap.g_01642, Syap.g_01643
OG0000220	Syat.g_02089	Syap.g_01645
OG0000221	Syat.g_02095	Syap.g_01646
OG0000222	Syat.g_02109	Syap.g_01669
OG0000223	Syat.g_02570	Syap.g_02072, Syap.g_02073
OG0000224	Syat.g_02139	Syap.g_02064
OG0000225	Syat.g_01595	Syap.g_00553, Syap.g_00552
OG0000226	Syat.g_01588	Syap.g_02029, Syap.g_02144
OG0000228	Syat.g_02952	Syap.g_00116, Syap.g_02041
OG0000229	Syat.g_02970	Syap.g_02059
OG0000230	Syat.g_02972	Syap.g_02061
OG0000231	Syat.g_01283	Syap.g_02533
OG0000232	Syat.g_01313	Syap.g_02510, Syap.g_02511
OG0000233	Syat.g_01407	Syap.g_02133
OG0000234	Syat.g_01369	Syap.g_02755
OG0000235	Syat.g_03169	Syap.g_00732, Syap.g_02258
OG0000236	Syat.g_03186	Syap.g_02238
OG0000237	Syat.g_03214	Syap.g_00262, Syap.g_00263
OG0000238	Syat.g_03219	Syap.g_00257, Syap.g_00258
OG0000239	Syat.g_01105	Syap.g_02744
OG0000240	Syat.g_01104	Syap.g_02742
OG0000241	Syat.g_00111	Syap.g_00888
OG0000242	Syat.g_01077	Syap.g_01455
OG0000243	Syat.g_00092	Syap.g_01938
OG0000244	Syat.g_00082	Syap.g_01146, Syap.g_01145
OG0000245	Syat.g_00080	Syap.g_01148
OG0000246	Syat.g_00076	Syap.g_00308
OG0000247	Syat.g_00065	Syap.g_00288, Syap.g_00293
OG0000248	Syat.g_00062	Syap.g_00290
OG0000249	Syat.g_00060	Syap.g_01296, Syap.g_01295
OG0000250	Syat.g_00053	Syap.g_01306
OG0000251	Syat.g_00027	Syap.g_00442
OG0000252	Syat.g_00022	Syap.g_01857
OG0000253	Syat.g_00021	Syap.g_00443
OG0000254	Syat.g_03407	Syap.g_01528
OG0000256	Syat.g_03306	Syap.g_01287
OG0000257	Syat.g_00109	Syap.g_00886
OG0000258	Syat.g_00382	Syap.g_00907
OG0000260	Syat.g_00392	Syap.g_01970
OG0000261	Syat.g_00400	Syap.g_01962, Syap.g_01961
OG0000262	Syat.g_00407	Syap.g_01954
OG0000263	Syat.g_00200	Syap.g_00432, Syap.g_00433
OG0000266	Syat.g_00671	Syap.g_00519
OG0000267	Syat.g_00636	Syap.g_02333, Syap.g_02332
OG0000268	Syat.g_00634	Syap.g_00646
OG0000269	Syat.g_00474, Syat.g_00126	Syap.g_00188
OG0000270	Syat.g_00477	Syap.g_00192
OG0000271	Syat.g_00485	Syap.g_00200, Syap.g_00201
OG0000272	Syat.g_00486	Syap.g_00202
OG0000273	Syat.g_00520	Syap.g_02703
OG0000274	Syat.g_00521	Syap.g_02702
OG0000275	Syat.g_00718	Syap.g_01847
OG0000276	Syat.g_00725	Syap.g_01839, Syap.g_01838
OG0000277	Syat.g_00738	Syap.g_01837
OG0000278	Syat.g_00741	Syap.g_01834
OG0000279	Syat.g_00755	Syap.g_00829, Syap.g_00830
OG0000280	Syat.g_01669	Syap.g_00365
OG0000281	Syat.g_00960	Syap.g_01977
OG0000282	Syat.g_00431	Syap.g_01252
OG0000283	Syat.g_00620	Syap.g_01728
OG0000284	Syat.g_00614	Syap.g_01736
OG0000285	Syat.g_00607	Syap.g_01746, Syap.g_01744
OG0000286	Syat.g_00579	Syap.g_02014
OG0000288	Syat.g_00709	Syap.g_02764, Syap.g_02763
OG0000289	Syat.g_00695	Syap.g_02784
OG0000290	Syat.g_00805	Syap.g_01552
OG0000291	Syat.g_00807	Syap.g_01554
OG0000292	Syat.g_02388	Syap.g_02314
OG0000293	Syat.g_03241	Syap.g_00240
OG0000294	Syat.g_03248	Syap.g_00239
OG0000295	Syat.g_00297	Syap.g_00206
OG0000296	Syat.g_00295	Syap.g_00204
OG0000297	Syat.g_00226	Syap.g_01887
OG0000298	Syat.g_00225	Syap.g_01888
OG0000299	Syat.g_00910	Syap.g_02620
OG0000302	Syat.g_00901	Syap.g_02444, Syap.g_02445
OG0000303	Syat.g_00892	Syap.g_02435
OG0000304	Syat.g_00885	Syap.g_02430
OG0000305	Syat.g_00809	Syap.g_01557
OG0000306	Syat.g_01704	Syap.g_01966
OG0000307	Syat.g_01304	Syap.g_02517
OG0000308	Syat.g_01306	Syap.g_02515
OG0000309	Syat.g_01417	Syap.g_02198, Syap.g_02446
OG0000310	Syat.g_01246	Syap.g_02660, Syap.g_02661
OG0000311	Syat.g_01242	Syap.g_02657
OG0000312	Syat.g_01237	Syap.g_02114
OG0000313	Syat.g_01183	Syap.g_02473
OG0000314	Syat.g_01341	Syap.g_00007
OG0000315	Syat.g_01351	Syap.g_00017
OG0000316	Syat.g_03082	Syap.g_00030
OG0000317	Syat.g_03120	Syap.g_00618
OG0000318	Syat.g_03125	Syap.g_00622, Syap.g_02786
OG0000319	Syat.g_03055	Syap.g_01764, Syap.g_01771
OG0000320	Syat.g_03053	Syap.g_01761, Syap.g_01769
OG0000321	Syat.g_03052	Syap.g_01760, Syap.g_01768
OG0000322	Syat.g_03051	Syap.g_01759, Syap.g_01767
OG0000323	Syat.g_03038	Syap.g_01389
OG0000324	Syat.g_02998	Syap.g_01503
OG0000325	Syat.g_01861	Syap.g_02680
OG0000326	Syat.g_01854	Syap.g_00544
OG0000327	Syat.g_01827	Syap.g_01233, Syap.g_01913
OG0000328	Syat.g_01826	Syap.g_01234, Syap.g_01912
OG0000329	Syat.g_01808	Syap.g_00498
OG0000330	Syat.g_01807	Syap.g_00497
OG0000331	Syat.g_01806	Syap.g_00496
OG0000332	Syat.g_01790	Syap.g_00481
OG0000333	Syat.g_01787	Syap.g_00478
OG0000334	Syat.g_01657	Syap.g_00468
OG0000335	Syat.g_01652	Syap.g_00101, Syap.g_00463
OG0000336	Syat.g_01648	Syap.g_00417, Syap.g_00607
OG0000337	Syat.g_02144	Syap.g_01054
OG0000338	Syat.g_02146	Syap.g_01059
OG0000339	Syat.g_02155, Syat.g_01055	Syap.g_01068
OG0000340	Syat.g_02165	Syap.g_01077
OG0000341	Syat.g_02167	Syap.g_01079
OG0000342	Syat.g_02168	Syap.g_01080, Syap.g_02477
OG0000343	Syat.g_02185	Syap.g_01086, Syap.g_02078
OG0000344	Syat.g_02189	Syap.g_01091
OG0000345	Syat.g_02202	Syap.g_01107, Syap.g_01470
OG0000346	Syat.g_02207	Syap.g_01113
OG0000347	Syat.g_02234	Syap.g_01131, Syap.g_02459
OG0000348	Syat.g_02264	Syap.g_00632
OG0000349	Syat.g_02291	Syap.g_00110, Syap.g_01813
OG0000351	Syat.g_02411	Syap.g_02594
OG0000352	Syat.g_02410	Syap.g_02596, Syap.g_02597
OG0000353	Syat.g_00955, Syat.g_02377	Syap.g_00054
OG0000354	Syat.g_02325	Syap.g_00075, Syap.g_02635
OG0000355	Syat.g_02375	Syap.g_00056
OG0000356	Syat.g_02374	Syap.g_00057
OG0000357	Syat.g_02373	Syap.g_00058
OG0000358	Syat.g_02336	Syap.g_00063
OG0000359	Syat.g_02334	Syap.g_00065
OG0000360	Syat.g_02333	Syap.g_00067
OG0000361	Syat.g_02332	Syap.g_00068
OG0000362	Syat.g_02330	Syap.g_00070
OG0000363	Syat.g_02328	Syap.g_00072
OG0000364	Syat.g_03122	Syap.g_00620
OG0000365	Syat.g_02318	Syap.g_00081
OG0000366	Syat.g_02317	Syap.g_00082
OG0000367	Syat.g_02316	Syap.g_00083
OG0000368	Syat.g_02314	Syap.g_00085
OG0000369	Syat.g_02313	Syap.g_00086
OG0000370	Syat.g_02312	Syap.g_00087
OG0000372	Syat.g_02298	Syap.g_01805
OG0000373	Syat.g_02297	Syap.g_01806
OG0000374	Syat.g_02296	Syap.g_01807
OG0000375	Syat.g_02295	Syap.g_01808
OG0000376	Syat.g_02293	Syap.g_01811
OG0000377	Syat.g_02695	Syap.g_00128
OG0000378	Syat.g_02715	Syap.g_01326
OG0000380	Syat.g_01468	Syap.g_01687
OG0000381	Syat.g_01470	Syap.g_01690
OG0000382	Syat.g_01488	Syap.g_02548
OG0000383	Syat.g_01521	Syap.g_02359
OG0000384	Syat.g_01522	Syap.g_02360
OG0000385	Syat.g_01523	Syap.g_02361
OG0000386	Syat.g_01524	Syap.g_02362
OG0000387	Syat.g_01561	Syap.g_01864
OG0000391	Syat.g_02940	Syap.g_02234
OG0000392	Syat.g_02934	Syap.g_02225
OG0000393	Syat.g_02931	Syap.g_02222
OG0000394	Syat.g_02930	Syap.g_02221
OG0000395	Syat.g_02929	Syap.g_02220
OG0000396	Syat.g_02927	Syap.g_02217
OG0000397	Syat.g_02925	Syap.g_02215
OG0000398	Syat.g_02920	Syap.g_02211
OG0000399	Syat.g_02919	Syap.g_02210
OG0000400	Syat.g_02918	Syap.g_02209
OG0000401	Syat.g_02917	Syap.g_02208
OG0000402	Syat.g_02915	Syap.g_02206
OG0000403	Syat.g_02914	Syap.g_02205
OG0000404	Syat.g_02913	Syap.g_02204, Syap.g_02618
OG0000405	Syat.g_02900	Syap.g_02191
OG0000406	Syat.g_02896	Syap.g_02186
OG0000407	Syat.g_02895	Syap.g_02185
OG0000408	Syat.g_02893	Syap.g_02181, Syap.g_02182
OG0000409	Syat.g_02891	Syap.g_02179
OG0000410	Syat.g_02890	Syap.g_02178
OG0000411	Syat.g_02889	Syap.g_02177
OG0000412	Syat.g_02888	Syap.g_02176
OG0000413	Syat.g_02886	Syap.g_02174
OG0000414	Syat.g_02885	Syap.g_02173
OG0000415	Syat.g_02884	Syap.g_02172
OG0000416	Syat.g_02883	Syap.g_02171
OG0000417	Syat.g_02868	Syap.g_02169
OG0000418	Syat.g_02863	Syap.g_01204
OG0000419	Syat.g_02861	Syap.g_01201
OG0000420	Syat.g_02859	Syap.g_01199
OG0000421	Syat.g_02855	Syap.g_01195
OG0000422	Syat.g_02854	Syap.g_01194
OG0000423	Syat.g_02853	Syap.g_01193
OG0000424	Syat.g_02852	Syap.g_01192
OG0000425	Syat.g_02851	Syap.g_01191
OG0000426	Syat.g_02850	Syap.g_01190
OG0000427	Syat.g_02849	Syap.g_01189
OG0000428	Syat.g_02846	Syap.g_01186
