Orthogroup	Syat	Syab
OG0000001	Syat.g_02908, Syat.g_02909	Syab.g_02553, Syab.g_02555
OG0000001	Syat.g_01540	Syab.g_01509, Syab.g_01510
OG0000001	Syat.g_00878	Syab.g_00673
OG0000005	Syat.g_03065	Syab.g_02289
OG0000005	Syat.g_03105	Syab.g_02806, Syab.g_02232
OG0000005	Syat.g_01038	Syab.g_00981
OG0000006	Syat.g_00371	Syab.g_01849
OG0000006	Syat.g_01439, Syat.g_01865	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syat.g_03191	Syab.g_02117
OG0000007	Syat.g_03124	Syab.g_02256
OG0000008	Syat.g_02626	Syab.g_01755
OG0000008	Syat.g_02627	Syab.g_01168
OG0000009	Syat.g_01567	Syab.g_02498
OG0000010	Syat.g_01372	Syab.g_00696
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syab.g_01774, Syab.g_00953
OG0000013	Syat.g_01027	Syab.g_00482
OG0000014	Syat.g_02104	Syab.g_00249
OG0000014	Syat.g_02250	Syab.g_00178
OG0000016	Syat.g_02329	Syab.g_00014
OG0000016	Syat.g_00909	Syab.g_01049
OG0000018	Syat.g_01334	Syab.g_00742
OG0000019	Syat.g_01876	Syab.g_00344
OG0000022	Syat.g_00210	Syab.g_01825
OG0000024	Syat.g_03394	Syab.g_01834
OG0000025	Syat.g_00719	Syab.g_01705
OG0000026	Syat.g_02306	Syab.g_00036
OG0000027	Syat.g_00850	Syab.g_01782
OG0000028	Syat.g_02126	Syab.g_00234
OG0000030	Syat.g_00307	Syab.g_00096
OG0000030	Syat.g_00308	Syab.g_00095
OG0000031	Syat.g_02131	Syab.g_00160
OG0000032	Syat.g_01354	Syab.g_00724
OG0000032	Syat.g_02237	Syab.g_00149
OG0000033	Syat.g_02858	Syab.g_02590
OG0000034	Syat.g_01165, Syat.g_02902	Syab.g_00900, Syab.g_02560
OG0000035	Syat.g_01227, Syat.g_01226	Syab.g_00778
OG0000037	Syat.g_00849, Syat.g_00187	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000038	Syat.g_02688	Syab.g_02759
OG0000038	Syat.g_02686	Syab.g_02761
OG0000039	Syat.g_01278	Syab.g_02791
OG0000040	Syat.g_02551	Syab.g_02853
OG0000041	Syat.g_00785	Syab.g_01086, Syab.g_02804
OG0000042	Syat.g_00223, Syat.g_02222	Syab.g_01019, Syab.g_00099
OG0000045	Syat.g_00935	Syab.g_00871
OG0000046	Syat.g_01626, Syat.g_01026	Syab.g_00481
OG0000048	Syat.g_02046	Syab.g_00308
OG0000052	Syat.g_02140	Syab.g_00214
OG0000053	Syat.g_01330	Syab.g_00746
OG0000054	Syat.g_00987, Syat.g_03390	Syab.g_01932
OG0000057	Syat.g_00817, Syat.g_02055	Syab.g_01200
OG0000058	Syat.g_02133, Syat.g_02238	Syab.g_00227
OG0000059	Syat.g_01832	Syab.g_00397
OG0000060	Syat.g_01384	Syab.g_02094
OG0000060	Syat.g_01383	Syab.g_01222
OG0000061	Syat.g_03260	Syab.g_00969
OG0000062	Syat.g_03107	Syab.g_02234
OG0000063	Syat.g_02303	Syab.g_00040
OG0000064	Syat.g_01568	Syab.g_01783
OG0000065	Syat.g_01571	Syab.g_02500
OG0000066	Syat.g_03283	Syab.g_01516, Syab.g_02031
OG0000068	Syat.g_00085, Syat.g_01295	Syab.g_02087
OG0000070	Syat.g_01032, Syat.g_01040	Syab.g_00614
OG0000072	Syat.g_02856	Syab.g_02593
OG0000073	Syat.g_03201	Syab.g_02119
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syab.g_00202
OG0000076	Syat.g_02206	Syab.g_00113
OG0000077	Syat.g_01481	Syab.g_02446
OG0000078	Syat.g_00184	Syab.g_02366
OG0000079	Syat.g_01879	Syab.g_00340
OG0000080	Syat.g_01200	Syab.g_00140
OG0000081	Syat.g_00980	Syab.g_01793
OG0000082	Syat.g_00035	Syab.g_01971
OG0000085	Syat.g_03113	Syab.g_02243
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syab.g_02468
OG0000087	Syat.g_02912	Syab.g_02551
OG0000088	Syat.g_02862	Syab.g_02586
OG0000089	Syat.g_02953	Syab.g_00551
OG0000090	Syat.g_03270	Syab.g_02041
OG0000091	Syat.g_00939, Syat.g_00862	Syab.g_01866
OG0000092	Syat.g_00825	Syab.g_01242, Syab.g_00690
OG0000094	Syat.g_00698	Syab.g_01306
OG0000095	Syat.g_00808	Syab.g_01210
OG0000098	Syat.g_03281	Syab.g_01553
OG0000099	Syat.g_02130	Syab.g_00230
OG0000100	Syat.g_00517	Syab.g_01694
OG0000102	Syat.g_00974	Syab.g_00104
OG0000103	Syat.g_02399	Syab.g_01296
OG0000104	Syat.g_02385	Syab.g_02910
OG0000105	Syat.g_02052	Syab.g_00303
OG0000106	Syat.g_00957	Syab.g_01817
OG0000107	Syat.g_01862	Syab.g_00367
OG0000108	Syat.g_03170	Syab.g_02096
OG0000109	Syat.g_03187	Syab.g_02112
OG0000110	Syat.g_00049	Syab.g_01984
OG0000111	Syat.g_00816	Syab.g_01201
OG0000112	Syat.g_00593	Syab.g_01392
OG0000113	Syat.g_00509	Syab.g_01689
OG0000114	Syat.g_00426	Syab.g_02656
OG0000115	Syat.g_01328	Syab.g_00748
OG0000116	Syat.g_02641	Syab.g_00945
OG0000117	Syat.g_00224	Syab.g_01018
OG0000118	Syat.g_01168	Syab.g_00897
