Orthogroup	Syat	Prau
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prau.g_01394
OG0000005	Syat.g_03065	Prau.g_01745
OG0000005	Syat.g_03105	Prau.g_01607
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prau.g_01316
OG0000007	Syat.g_03191	Prau.g_00538
OG0000007	Syat.g_03124	Prau.g_01732
OG0000008	Syat.g_02626	Prau.g_00781
OG0000009	Syat.g_01567	Prau.g_00106
OG0000010	Syat.g_01372	Prau.g_01698, Prau.g_01096
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Prau.g_00663
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prau.g_00329
OG0000014	Syat.g_02104	Prau.g_00308
OG0000014	Syat.g_02250	Prau.g_01470
OG0000015	Syat.g_00775, Syat.g_01677	Prau.g_00817
OG0000016	Syat.g_02329	Prau.g_00013
OG0000017	Syat.g_00015	Prau.g_00636
OG0000018	Syat.g_01334	Prau.g_01188
OG0000019	Syat.g_01876	Prau.g_00251, Prau.g_00834
OG0000021	Syat.g_00964	Prau.g_01680, Prau.g_00367
OG0000022	Syat.g_00210	Prau.g_01170
OG0000024	Syat.g_03394	Prau.g_00796, Prau.g_00715
OG0000025	Syat.g_00719	Prau.g_00333, Prau.g_00888
OG0000026	Syat.g_02306	Prau.g_00030, Prau.g_01103
OG0000027	Syat.g_00850	Prau.g_01353
OG0000028	Syat.g_02126	Prau.g_01338, Prau.g_00322
OG0000030	Syat.g_00307, Syat.g_00308	Prau.g_01935
OG0000032	Syat.g_02237	Prau.g_01475, Prau.g_01446
OG0000033	Syat.g_02858	Prau.g_01465
OG0000034	Syat.g_01165, Syat.g_02902	Prau.g_01381
OG0000035	Syat.g_01227, Syat.g_01226	Prau.g_01531, Prau.g_01528
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prau.g_00110
OG0000038	Syat.g_02688, Syat.g_02686	Prau.g_01976
OG0000039	Syat.g_01278	Prau.g_00726
OG0000040	Syat.g_02551	Prau.g_01187
OG0000041	Syat.g_00785, Syat.g_03006	Prau.g_01778
OG0000042	Syat.g_00223, Syat.g_02222	Prau.g_01932
OG0000045	Syat.g_00935	Prau.g_01682
OG0000048	Syat.g_02046	Prau.g_00377
OG0000053	Syat.g_01330	Prau.g_00040, Prau.g_01551
OG0000054	Syat.g_00987, Syat.g_03390	Prau.g_00644
OG0000055	Syat.g_00693	Prau.g_00835
OG0000057	Syat.g_00817, Syat.g_02055	Prau.g_00738
OG0000058	Syat.g_01189	Prau.g_01432, Prau.g_01460
OG0000059	Syat.g_01832	Prau.g_01818
OG0000061	Syat.g_03260	Prau.g_01206
OG0000062	Syat.g_03107	Prau.g_01609
OG0000063	Syat.g_02303	Prau.g_00032, Prau.g_01295
OG0000065	Syat.g_01571	Prau.g_00108
OG0000066	Syat.g_03283	Prau.g_00579
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prau.g_00854
OG0000068	Syat.g_00085, Syat.g_01295	Prau.g_01409
OG0000069	Syat.g_00090, Syat.g_00879	Prau.g_01285, Prau.g_01642
OG0000070	Syat.g_01032, Syat.g_01040	Prau.g_00491
OG0000071	Syat.g_01153	Prau.g_01371
OG0000072	Syat.g_02856, Syat.g_01597	Prau.g_00172
OG0000073	Syat.g_03201	Prau.g_00540
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prau.g_01901
OG0000076	Syat.g_02206	Prau.g_00037, Prau.g_01925
OG0000077	Syat.g_01481	Prau.g_00079
OG0000078	Syat.g_00184	Prau.g_00240
OG0000079	Syat.g_01879	Prau.g_00254
OG0000081	Syat.g_00980	Prau.g_00571
OG0000082	Syat.g_00035	Prau.g_00624
OG0000085	Syat.g_03113	Prau.g_01725
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prau.g_00089
OG0000087	Syat.g_02912	Prau.g_00140
OG0000088	Syat.g_02862	Prau.g_00167
OG0000089	Syat.g_02953	Prau.g_00358
OG0000090	Syat.g_03270	Prau.g_00573
OG0000091	Syat.g_00939, Syat.g_00862	Prau.g_00682
OG0000092	Syat.g_00825	Prau.g_00052, Prau.g_00451
OG0000094	Syat.g_00698, Syat.g_01034	Prau.g_01070
OG0000095	Syat.g_00808	Prau.g_01089
OG0000097	Syat.g_00907, Syat.g_00535	Prau.g_01247
OG0000098	Syat.g_03281	Prau.g_01391
OG0000099	Syat.g_02130	Prau.g_01435
OG0000100	Syat.g_00517	Prau.g_01605
OG0000101	Syat.g_01661	Prau.g_01869
OG0000102	Syat.g_00974	Prau.g_01930
OG0000103	Syat.g_02399	Prau.g_02009
OG0000104	Syat.g_02385	Prau.g_02018
OG0000105	Syat.g_02052	Prau.g_00276
OG0000106	Syat.g_00957	Prau.g_00373
OG0000107	Syat.g_02009, Syat.g_01862	Prau.g_00389
OG0000108	Syat.g_03170	Prau.g_00521
OG0000109	Syat.g_03187	Prau.g_00535
OG0000110	Syat.g_00049	Prau.g_00614
OG0000111	Syat.g_00816	Prau.g_00739
OG0000112	Syat.g_00593	Prau.g_00818
OG0000113	Syat.g_00509	Prau.g_00876
OG0000114	Syat.g_00426	Prau.g_00956
OG0000115	Syat.g_01328	Prau.g_01148
OG0000116	Syat.g_02641	Prau.g_01197
OG0000117	Syat.g_00224	Prau.g_01318
OG0000118	Syat.g_01168	Prau.g_01383
OG0000119	Syat.g_00309	Prau.g_01405
OG0000120	Syat.g_02132	Prau.g_01430
OG0000121	Syat.g_01223	Prau.g_01533
OG0000123	Syat.g_01653	Prau.g_01876
OG0000124	Syat.g_02231	Prau.g_01941
OG0000125	Syat.g_02684	Prau.g_01978
OG0000126	Syat.g_00976	Prau.g_02017
OG0000127	Syat.g_00175	Prau.g_01292
OG0000128	Syat.g_02331	Prau.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prau.g_00051
OG0000130	Syat.g_01469	Prau.g_00071
OG0000131	Syat.g_02898	Prau.g_00146
OG0000132	Syat.g_02864	Prau.g_00165
OG0000133	Syat.g_00588	Prau.g_00324
OG0000134	Syat.g_02956	Prau.g_00359
OG0000135	Syat.g_02501	Prau.g_00386
OG0000136	Syat.g_01292	Prau.g_00482
OG0000137	Syat.g_01371	Prau.g_00516
OG0000138	Syat.g_03188	Prau.g_00536
OG0000139	Syat.g_03276	Prau.g_00577
OG0000140	Syat.g_03280	Prau.g_00578
OG0000141	Syat.g_03398	Prau.g_00645
OG0000142	Syat.g_00117	Prau.g_00675
OG0000143	Syat.g_00130	Prau.g_00679
OG0000144	Syat.g_00369	Prau.g_00692
OG0000145	Syat.g_03202	Prau.g_00816
OG0000146	Syat.g_00594	Prau.g_00819
OG0000147	Syat.g_00595	Prau.g_00820
OG0000148	Syat.g_00503	Prau.g_00870
OG0000149	Syat.g_00747	Prau.g_00900
OG0000150	Syat.g_03399	Prau.g_00909
OG0000151	Syat.g_00801, Syat.g_00440	Prau.g_00966
OG0000152	Syat.g_00578	Prau.g_01015
OG0000153	Syat.g_00542	Prau.g_01034
OG0000154	Syat.g_00708	Prau.g_01063
OG0000155	Syat.g_00287	Prau.g_01226
OG0000156	Syat.g_03228	Prau.g_01359
OG0000157	Syat.g_02012, Syat.g_03227	Prau.g_01360
OG0000158	Syat.g_02163	Prau.g_01436
OG0000160	Syat.g_01224	Prau.g_01532
OG0000161	Syat.g_01180	Prau.g_01538
OG0000162	Syat.g_01281	Prau.g_01544
OG0000163	Syat.g_02979	Prau.g_01578
OG0000164	Syat.g_03040	Prau.g_01756
