Orthogroup	Syat	Syad
OG0000001	Syat.g_02910, Syat.g_02911	Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syat.g_02908, Syat.g_02909	Syad.g_02865
OG0000001	Syat.g_01540	Syad.g_01238, Syad.g_00611
OG0000005	Syat.g_03065	Syad.g_02639
OG0000005	Syat.g_03105	Syad.g_02596
OG0000005	Syat.g_01038	Syad.g_02028
OG0000006	Syat.g_00371	Syad.g_02130
OG0000006	Syat.g_01439, Syat.g_01865	Syad.g_00588, Syad.g_00829
OG0000007	Syat.g_03191	Syad.g_00923
OG0000007	Syat.g_03124	Syad.g_02623
OG0000008	Syat.g_02627	Syad.g_01371
OG0000009	Syat.g_01567	Syad.g_02799
OG0000010	Syat.g_01372	Syad.g_02354
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Syat.g_01027	Syad.g_00724
OG0000014	Syat.g_02104	Syad.g_00480
OG0000014	Syat.g_03196	Syad.g_00297
OG0000016	Syat.g_02329	Syad.g_00176
OG0000016	Syat.g_00909	Syad.g_01460
OG0000018	Syat.g_01334	Syad.g_02306
OG0000019	Syat.g_01876	Syad.g_00569
OG0000021	Syat.g_00964	Syad.g_01835, Syad.g_00874
OG0000022	Syat.g_00210	Syad.g_02090
OG0000024	Syat.g_03394	Syad.g_01374
OG0000025	Syat.g_00719	Syad.g_01241
OG0000026	Syat.g_02306	Syad.g_00198
OG0000027	Syat.g_00850	Syad.g_01257
OG0000028	Syat.g_02126	Syad.g_00463
OG0000030	Syat.g_00307	Syad.g_00328
OG0000030	Syat.g_00308	Syad.g_00327
OG0000031	Syat.g_02131	Syad.g_00458
OG0000031	Syat.g_03199	Syad.g_00294
OG0000032	Syat.g_01354	Syad.g_02326
OG0000033	Syat.g_02858	Syad.g_02903, Syad.g_00289
OG0000034	Syat.g_01165, Syat.g_02902	Syad.g_02420, Syad.g_02872
OG0000035	Syat.g_01227, Syat.g_01226	Syad.g_02275
OG0000038	Syat.g_02688	Syad.g_03038
OG0000039	Syat.g_01278	Syad.g_01249, Syad.g_01111
OG0000040	Syat.g_02551	Syad.g_00104
OG0000042	Syat.g_00223, Syat.g_02222	Syad.g_00333
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syad.g_02214
OG0000045	Syat.g_00935	Syad.g_00964
OG0000046	Syat.g_01626, Syat.g_01026	Syad.g_00723
OG0000048	Syat.g_02046	Syad.g_00534
OG0000052	Syat.g_02140	Syad.g_00434
OG0000053	Syat.g_01330	Syad.g_02302
OG0000057	Syat.g_00817, Syat.g_02055	Syad.g_01301
OG0000058	Syat.g_02133, Syat.g_02238	Syad.g_00452
OG0000059	Syat.g_01832	Syad.g_00642
OG0000060	Syat.g_01384	Syad.g_00899
OG0000060	Syat.g_01047	Syad.g_01508
OG0000061	Syat.g_03260	Syad.g_01152
OG0000062	Syat.g_03107	Syad.g_02598
OG0000063	Syat.g_02303	Syad.g_00202
OG0000064	Syat.g_01568	Syad.g_00081, Syad.g_02125
OG0000066	Syat.g_03283	Syad.g_00992
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Syad.g_01889
OG0000068	Syat.g_00085, Syat.g_01295	Syad.g_00891
OG0000070	Syat.g_01032, Syat.g_01040	Syad.g_02424
OG0000072	Syat.g_02856	Syad.g_02905
OG0000073	Syat.g_03201	Syad.g_00926
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syad.g_00416
OG0000076	Syat.g_02206	Syad.g_00348
OG0000077	Syat.g_01481	Syad.g_02741
OG0000078	Syat.g_00184	Syad.g_00824
OG0000079	Syat.g_01879	Syad.g_00565
OG0000080	Syat.g_02246	Syad.g_02256
OG0000081	Syat.g_00980	Syad.g_00833
OG0000082	Syat.g_00035	Syad.g_01063
OG0000085	Syat.g_03113	Syad.g_02612
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syad.g_02770
OG0000087	Syat.g_02912	Syad.g_02860
OG0000088	Syat.g_02862	Syad.g_02899
OG0000089	Syat.g_02953	Syad.g_00785, Syad.g_02829
OG0000090	Syat.g_03270	Syad.g_00977
OG0000091	Syat.g_00939, Syat.g_00862	Syad.g_02144
OG0000092	Syat.g_00825	Syad.g_01190
OG0000094	Syat.g_00698	Syad.g_01676
OG0000095	Syat.g_00808	Syad.g_01290
OG0000098	Syat.g_03281	Syad.g_00625
OG0000099	Syat.g_02130	Syad.g_00460
OG0000100	Syat.g_00517	Syad.g_01846
OG0000102	Syat.g_00974	Syad.g_00343
OG0000104	Syat.g_02385	Syad.g_00158
OG0000105	Syat.g_02052	Syad.g_00530
OG0000106	Syat.g_00957	Syad.g_01993
OG0000107	Syat.g_01862	Syad.g_00590
OG0000108	Syat.g_03170	Syad.g_00904
OG0000110	Syat.g_00049	Syad.g_01048
OG0000111	Syat.g_00816	Syad.g_01300
OG0000112	Syat.g_00593	Syad.g_01766
OG0000113	Syat.g_00509	Syad.g_01851
OG0000114	Syat.g_00426	Syad.g_01617
OG0000115	Syat.g_01328	Syad.g_02300
OG0000116	Syat.g_02641	Syad.g_01123
OG0000117	Syat.g_00224	Syad.g_01510
OG0000118	Syat.g_01168	Syad.g_01104
OG0000119	Syat.g_00309	Syad.g_01168
OG0000120	Syat.g_02132	Syad.g_00459
OG0000121	Syat.g_01223	Syad.g_02280
OG0000123	Syat.g_01653	Syad.g_00701
OG0000124	Syat.g_02231	Syad.g_00320
OG0000125	Syat.g_02684	Syad.g_03040
OG0000126	Syat.g_00976	Syad.g_00156
OG0000127	Syat.g_00175	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Syat.g_02331	Syad.g_00174
OG0000129	Syat.g_02693, Syat.g_02694	Syad.g_03028
OG0000130	Syat.g_01469	Syad.g_02728
OG0000131	Syat.g_02898	Syad.g_02876
OG0000132	Syat.g_02864	Syad.g_02897
OG0000133	Syat.g_00588	Syad.g_01761
OG0000134	Syat.g_02956	Syad.g_00788
OG0000135	Syat.g_02501	Syad.g_00063
OG0000136	Syat.g_01292	Syad.g_02445
OG0000137	Syat.g_01371	Syad.g_02353
OG0000138	Syat.g_03188	Syad.g_00920
OG0000139	Syat.g_03276	Syad.g_00983
OG0000140	Syat.g_03280	Syad.g_00987
OG0000141	Syat.g_03398	Syad.g_02208
OG0000142	Syat.g_00117	Syad.g_02152
OG0000143	Syat.g_00130	Syad.g_02148
OG0000144	Syat.g_00369	Syad.g_02024
OG0000145	Syat.g_03202	Syad.g_00927
OG0000146	Syat.g_00594	Syad.g_01767
OG0000147	Syat.g_00595	Syad.g_01768
OG0000148	Syat.g_00503	Syad.g_01861
OG0000149	Syat.g_00747	Syad.g_01221
OG0000150	Syat.g_03399	Syad.g_02207, Syad.g_00989
OG0000151	Syat.g_00801, Syat.g_00440	Syad.g_01956
OG0000152	Syat.g_00578	Syad.g_01757
OG0000153	Syat.g_00542	Syad.g_01713
OG0000154	Syat.g_00708	Syad.g_01686
OG0000155	Syat.g_00287	Syad.g_01189
OG0000156	Syat.g_03228	Syad.g_01116
OG0000157	Syat.g_02012, Syat.g_03227	Syad.g_01115
OG0000158	Syat.g_02163	Syad.g_00374
OG0000160	Syat.g_01224	Syad.g_02279
OG0000161	Syat.g_01180	Syad.g_02287
OG0000162	Syat.g_01281	Syad.g_02293
OG0000163	Syat.g_02979	Syad.g_02542
OG0000164	Syat.g_03040	Syad.g_02659
OG0000165	Syat.g_03033	Syad.g_02476
OG0000166	Syat.g_01822	Syad.g_00654
OG0000167	Syat.g_02148	Syad.g_00419
OG0000168	Syat.g_02164	Syad.g_00371
OG0000169	Syat.g_02192	Syad.g_00360
OG0000170	Syat.g_02201	Syad.g_00353
OG0000171	Syat.g_02230	Syad.g_00321
OG0000172	Syat.g_02260	Syad.g_00244
OG0000173	Syat.g_02284	Syad.g_00220
OG0000174	Syat.g_02504	Syad.g_00065
OG0000175	Syat.g_02416	Syad.g_00129
OG0000176	Syat.g_02372	Syad.g_00166
OG0000177	Syat.g_02338	Syad.g_00167
OG0000178	Syat.g_02337	Syad.g_00168
OG0000179	Syat.g_02322	Syad.g_00183
OG0000180	Syat.g_02321	Syad.g_00184
OG0000181	Syat.g_02320	Syad.g_00185
OG0000182	Syat.g_02319	Syad.g_00186
OG0000183	Syat.g_02315	Syad.g_00190
OG0000184	Syat.g_02704	Syad.g_03018
OG0000185	Syat.g_02719	Syad.g_03006
OG0000186	Syat.g_01463	Syad.g_02722
OG0000187	Syat.g_01467	Syad.g_02724
OG0000188	Syat.g_01489	Syad.g_02759
OG0000189	Syat.g_00386, Syat.g_01557	Syad.g_02788
OG0000190	Syat.g_00330	Syad.g_02790
OG0000191	Syat.g_03344, Syat.g_02939	Syad.g_02824
OG0000192	Syat.g_02933	Syad.g_02834
OG0000193	Syat.g_02897	Syad.g_02877
OG0000194	Syat.g_02894	Syad.g_02880
OG0000196	Syat.g_02867	Syad.g_02894
OG0000197	Syat.g_02866	Syad.g_02895
OG0000198	Syat.g_02865	Syad.g_02896
OG0000199	Syat.g_02857	Syad.g_02904
OG0000200	Syat.g_02840	Syad.g_02921
OG0000201	Syat.g_02821	Syad.g_02937
OG0000202	Syat.g_02820	Syad.g_02938
OG0000203	Syat.g_02819	Syad.g_02939
OG0000204	Syat.g_02818	Syad.g_02940
OG0000205	Syat.g_02809	Syad.g_02948
OG0000206	Syat.g_02785	Syad.g_02955
OG0000207	Syat.g_02778	Syad.g_02957
OG0000208	Syat.g_02777	Syad.g_02958
OG0000209	Syat.g_02735	Syad.g_02981
OG0000210	Syat.g_02734	Syad.g_02982
OG0000211	Syat.g_01452	Syad.g_00813
OG0000212	Syat.g_01442	Syad.g_00825
OG0000213	Syat.g_01889	Syad.g_00556
OG0000214	Syat.g_02042	Syad.g_00538
OG0000215	Syat.g_02075	Syad.g_00508
OG0000216	Syat.g_02079	Syad.g_00504, Syad.g_00285
OG0000217	Syat.g_02085	Syad.g_00500
OG0000218	Syat.g_02087	Syad.g_00498
OG0000219	Syat.g_02088	Syad.g_00497
OG0000220	Syat.g_02089	Syad.g_00496
OG0000221	Syat.g_02095	Syad.g_00488
OG0000222	Syat.g_02109	Syad.g_00473
OG0000223	Syat.g_02570	Syad.g_00451
OG0000224	Syat.g_02139	Syad.g_00444
OG0000225	Syat.g_01595	Syad.g_00777
OG0000226	Syat.g_01588	Syad.g_00781
OG0000228	Syat.g_02952	Syad.g_00784
OG0000229	Syat.g_02970	Syad.g_02450
OG0000230	Syat.g_02972	Syad.g_02448
OG0000231	Syat.g_01283	Syad.g_02436
OG0000232	Syat.g_01313	Syad.g_02392
OG0000233	Syat.g_01407	Syad.g_02382
OG0000234	Syat.g_01369	Syad.g_02351
OG0000235	Syat.g_03169	Syad.g_00903
OG0000236	Syat.g_03186	Syad.g_00918
OG0000237	Syat.g_03214	Syad.g_00936
OG0000238	Syat.g_03219	Syad.g_00941
OG0000239	Syat.g_01105	Syad.g_00957
OG0000240	Syat.g_01104	Syad.g_00958
OG0000241	Syat.g_00111	Syad.g_02160
OG0000242	Syat.g_01077	Syad.g_00975
