Orthogroup	Syat	Prah
OG0000001	Syat.g_02910, Syat.g_02911	Prah.g_01159
OG0000001	Syat.g_02908, Syat.g_02909	Prah.g_02270
OG0000001	Syat.g_00878	Prah.g_00896
OG0000005	Syat.g_03105	Prah.g_01652
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prah.g_00475, Prah.g_01767
OG0000007	Syat.g_03191	Prah.g_01546
OG0000007	Syat.g_03124	Prah.g_01676
OG0000008	Syat.g_02626	Prah.g_00970
OG0000008	Syat.g_02627	Prah.g_00969
OG0000009	Syat.g_01567	Prah.g_00432, Prah.g_01895
OG0000010	Syat.g_01372	Prah.g_00311
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prah.g_01956
OG0000014	Syat.g_02104	Prah.g_02171
OG0000015	Syat.g_00775, Syat.g_01677	Prah.g_01155, Prah.g_00576
OG0000016	Syat.g_02329	Prah.g_00015
OG0000016	Syat.g_00909	Prah.g_01270
OG0000018	Syat.g_01334	Prah.g_00378
OG0000019	Syat.g_01876	Prah.g_02086
OG0000021	Syat.g_00964	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syat.g_00210	Prah.g_01209
OG0000024	Syat.g_03394	Prah.g_01043
OG0000025	Syat.g_00719	Prah.g_00604
OG0000026	Syat.g_02306	Prah.g_00038
OG0000028	Syat.g_02126	Prah.g_02184
OG0000030	Syat.g_00307	Prah.g_00132
OG0000030	Syat.g_00308	Prah.g_00131
OG0000031	Syat.g_02131	Prah.g_02248
OG0000031	Syat.g_02243	Prah.g_00091
OG0000032	Syat.g_01354	Prah.g_00358
OG0000032	Syat.g_02237	Prah.g_02196
OG0000033	Syat.g_02858	Prah.g_02307
OG0000034	Syat.g_01165, Syat.g_02902	Prah.g_01376
OG0000035	Syat.g_01227, Syat.g_01226	Prah.g_00408
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prah.g_01901
OG0000038	Syat.g_02688	Prah.g_02494
OG0000038	Syat.g_02686	Prah.g_02496
OG0000039	Syat.g_01278	Prah.g_01758, Prah.g_02382
OG0000041	Syat.g_00785	Prah.g_01737
