Orthogroup	Syat	Syaq
OG0000001	Syat.g_02910, Syat.g_02911	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syat.g_02908, Syat.g_02909	Syaq.g_01434
OG0000001	Syat.g_01540	Syaq.g_02413
OG0000005	Syat.g_03065	Syaq.g_01658
OG0000005	Syat.g_03105	Syaq.g_01692
OG0000005	Syat.g_01038	Syaq.g_00236
OG0000006	Syat.g_00371	Syaq.g_02108
OG0000006	Syat.g_01439, Syat.g_01865	Syaq.g_00696, Syaq.g_01590
OG0000007	Syat.g_03191	Syaq.g_01793
OG0000007	Syat.g_03124	Syaq.g_01673
OG0000008	Syat.g_02626	Syaq.g_02162
OG0000008	Syat.g_02627	Syaq.g_02575
OG0000009	Syat.g_01567	Syaq.g_01489
OG0000010	Syat.g_01372	Syaq.g_00443
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syaq.g_00077
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syat.g_02104	Syaq.g_00862
OG0000016	Syat.g_02329	Syaq.g_01136
OG0000016	Syat.g_00909	Syaq.g_00169
OG0000018	Syat.g_01334	Syaq.g_00401
OG0000019	Syat.g_01876	Syaq.g_00717
OG0000022	Syat.g_00210	Syaq.g_02126
OG0000025	Syat.g_00719	Syaq.g_02381
OG0000026	Syat.g_02306	Syaq.g_01114
OG0000028	Syat.g_02126	Syaq.g_00878
OG0000030	Syat.g_00307	Syaq.g_01047
OG0000030	Syat.g_00308	Syaq.g_01048
OG0000031	Syat.g_02131	Syaq.g_01009
OG0000032	Syat.g_01354	Syaq.g_00421
OG0000033	Syat.g_02858	Syaq.g_01399
OG0000034	Syat.g_01165, Syat.g_02902	Syaq.g_00312, Syaq.g_01431
OG0000035	Syat.g_01227, Syat.g_01226	Syaq.g_00371
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Syaq.g_01483
OG0000038	Syat.g_02688	Syaq.g_01260
OG0000038	Syat.g_02686	Syaq.g_01258
OG0000039	Syat.g_01278	Syaq.g_01601, Syaq.g_01241
OG0000041	Syat.g_03006	Syaq.g_01612
OG0000042	Syat.g_00223, Syat.g_02222	Syaq.g_00200, Syaq.g_01044
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syaq.g_00107
OG0000045	Syat.g_00935	Syaq.g_02047
OG0000046	Syat.g_01626, Syat.g_01026	Syaq.g_00570, Syaq.g_00573
OG0000048	Syat.g_02046	Syaq.g_00749
OG0000052	Syat.g_02140	Syaq.g_00969
OG0000053	Syat.g_01330	Syaq.g_00397
OG0000054	Syat.g_00987, Syat.g_03390	Syaq.g_02005
OG0000057	Syat.g_02055	Syaq.g_02541
OG0000058	Syat.g_02133, Syat.g_02238	Syaq.g_00944
OG0000059	Syat.g_01832	Syaq.g_00657
OG0000060	Syat.g_01384	Syaq.g_01770
OG0000060	Syat.g_01047	Syaq.g_00201
OG0000061	Syat.g_03260	Syaq.g_00249
OG0000062	Syat.g_03107	Syaq.g_01690
OG0000063	Syat.g_02303	Syaq.g_01110
OG0000064	Syat.g_01568	Syaq.g_02138
OG0000065	Syat.g_01571	Syaq.g_01487
OG0000066	Syat.g_03283	Syaq.g_01851
OG0000067	Syat.g_01324, Syat.g_02018	Syaq.g_02560
OG0000068	Syat.g_00085, Syat.g_01295	Syaq.g_01763
OG0000070	Syat.g_01032, Syat.g_01040	Syaq.g_00484
OG0000072	Syat.g_02856	Syaq.g_01397
OG0000073	Syat.g_03201	Syaq.g_01795
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syaq.g_00986
OG0000076	Syat.g_02206	Syaq.g_01028
OG0000077	Syat.g_01481	Syaq.g_01547
OG0000078	Syat.g_00184	Syaq.g_01585
OG0000079	Syat.g_01879	Syaq.g_00721
OG0000081	Syat.g_00980	Syaq.g_01893
OG0000082	Syat.g_00035	Syaq.g_01975
OG0000085	Syat.g_03113	Syaq.g_01683
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syaq.g_01525
OG0000087	Syat.g_02912	Syaq.g_01438
OG0000088	Syat.g_02862	Syaq.g_01402
OG0000089	Syat.g_02953	Syaq.g_00529
OG0000090	Syat.g_03270	Syaq.g_01838
OG0000091	Syat.g_00939, Syat.g_00862	Syaq.g_02090
OG0000094	Syat.g_00698	Syaq.g_00056
OG0000094	Syat.g_01034	Syaq.g_02554
OG0000095	Syat.g_00808	Syaq.g_02679
OG0000098	Syat.g_03281	Syaq.g_02221, Syaq.g_01849
OG0000099	Syat.g_02130	Syaq.g_00882
OG0000100	Syat.g_00517	Syaq.g_02371
OG0000102	Syat.g_00974	Syaq.g_01033
OG0000103	Syat.g_02399	Syaq.g_01170
OG0000104	Syat.g_02385	Syaq.g_01154
OG0000105	Syat.g_02052	Syaq.g_00754
OG0000106	Syat.g_00957	Syaq.g_01863
OG0000107	Syat.g_01862	Syaq.g_00694
OG0000108	Syat.g_03170	Syaq.g_01772
OG0000109	Syat.g_03187	Syaq.g_01788
OG0000110	Syat.g_00049	Syaq.g_01962
OG0000111	Syat.g_00816	Syaq.g_02606
OG0000112	Syat.g_00593	Syaq.g_02476
OG0000114	Syat.g_00426	Syaq.g_02269
OG0000115	Syat.g_01328	Syaq.g_00395
OG0000116	Syat.g_02641	Syaq.g_00263
OG0000117	Syat.g_00224	Syaq.g_00203
OG0000118	Syat.g_01168	Syaq.g_00325, Syaq.g_00316
OG0000120	Syat.g_02132	Syaq.g_00883
OG0000121	Syat.g_01223	Syaq.g_00375
OG0000123	Syat.g_01653	Syaq.g_00599
OG0000124	Syat.g_02231	Syaq.g_01055
OG0000125	Syat.g_02684	Syaq.g_01256
OG0000126	Syat.g_00976	Syaq.g_01156
OG0000128	Syat.g_02331	Syaq.g_01138
OG0000129	Syat.g_02693, Syat.g_02694	Syaq.g_01269
OG0000130	Syat.g_01469	Syaq.g_01559
OG0000131	Syat.g_02898	Syaq.g_01427, Syaq.g_01424
OG0000132	Syat.g_02864	Syaq.g_01404
OG0000133	Syat.g_00588	Syaq.g_02481
OG0000134	Syat.g_02956	Syaq.g_00526
OG0000135	Syat.g_02501	Syaq.g_01227
OG0000136	Syat.g_01292	Syaq.g_00496
OG0000137	Syat.g_01371	Syaq.g_00442
OG0000138	Syat.g_03188	Syaq.g_01789
OG0000139	Syat.g_03276	Syaq.g_01844
OG0000140	Syat.g_03280	Syaq.g_01848
OG0000141	Syat.g_03398	Syaq.g_02010
OG0000142	Syat.g_00117	Syaq.g_02082
OG0000143	Syat.g_00130	Syaq.g_02086
OG0000144	Syat.g_00369	Syaq.g_02152
OG0000145	Syat.g_03202	Syaq.g_01796
OG0000146	Syat.g_00594	Syaq.g_02475
OG0000147	Syat.g_00595	Syaq.g_02474
OG0000148	Syat.g_00503	Syaq.g_02359
OG0000149	Syat.g_00747	Syaq.g_02395
OG0000150	Syat.g_03399	Syaq.g_02011
OG0000151	Syat.g_00801, Syat.g_00440	Syaq.g_02283
OG0000152	Syat.g_00578	Syaq.g_02485
OG0000153	Syat.g_00542	Syaq.g_02518
OG0000154	Syat.g_00708	Syaq.g_00066
OG0000155	Syat.g_00287	Syaq.g_00212
OG0000156	Syat.g_03228	Syaq.g_00281
OG0000157	Syat.g_02012, Syat.g_03227	Syaq.g_00282
OG0000158	Syat.g_02163	Syaq.g_01003
OG0000160	Syat.g_01224	Syaq.g_00374
OG0000161	Syat.g_01180	Syaq.g_00382
OG0000162	Syat.g_01281	Syaq.g_00389
OG0000163	Syat.g_02979	Syaq.g_02373, Syaq.g_01730
OG0000164	Syat.g_03040	Syaq.g_01642
OG0000165	Syat.g_03033	Syaq.g_01630
OG0000166	Syat.g_01822	Syaq.g_00647
OG0000167	Syat.g_02148	Syaq.g_00983
OG0000168	Syat.g_02164	Syaq.g_01004
OG0000169	Syat.g_02192	Syaq.g_01016
OG0000170	Syat.g_02201	Syaq.g_01023
OG0000171	Syat.g_02230	Syaq.g_01052
OG0000172	Syat.g_02260	Syaq.g_01074
OG0000173	Syat.g_02284	Syaq.g_01092
OG0000174	Syat.g_02504	Syaq.g_01224
OG0000175	Syat.g_02416	Syaq.g_01183
OG0000176	Syat.g_02372	Syaq.g_01146
OG0000177	Syat.g_02338	Syaq.g_01145
OG0000178	Syat.g_02337	Syaq.g_01144
OG0000179	Syat.g_02322	Syaq.g_01129
OG0000180	Syat.g_02321	Syaq.g_01128
