Orthogroup	Syat	Prbf
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbf.g_00068
OG0000005	Syat.g_03105	Prbf.g_00240
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prbf.g_01580
OG0000007	Syat.g_03191	Prbf.g_01780
OG0000007	Syat.g_03124	Prbf.g_00693
OG0000008	Syat.g_02626	Prbf.g_00793
OG0000008	Syat.g_02627	Prbf.g_00792
OG0000010	Syat.g_01372	Prbf.g_00847, Prbf.g_01056
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Prbf.g_00272
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbf.g_01665
OG0000014	Syat.g_02104	Prbf.g_01647
OG0000015	Syat.g_00775, Syat.g_01677	Prbf.g_00754, Prbf.g_00708
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbf.g_00860
OG0000018	Syat.g_01334	Prbf.g_00896
OG0000019	Syat.g_01876	Prbf.g_01588, Prbf.g_00894
OG0000021	Syat.g_00964	Prbf.g_00265, Prbf.g_01259
OG0000024	Syat.g_03394	Prbf.g_01052, Prbf.g_01288
OG0000025	Syat.g_00719	Prbf.g_01209
OG0000026	Syat.g_02306	Prbf.g_01354
OG0000027	Syat.g_00850	Prbf.g_00817, Prbf.g_00774
OG0000028	Syat.g_02126	Prbf.g_00794
OG0000030	Syat.g_00307, Syat.g_00308	Prbf.g_00484
OG0000031	Syat.g_02131, Syat.g_03199, Syat.g_02243	Prbf.g_00116
OG0000032	Syat.g_01354	Prbf.g_00196
OG0000033	Syat.g_02858	Prbf.g_00123
OG0000034	Syat.g_01165, Syat.g_02902	Prbf.g_00015
OG0000035	Syat.g_01227, Syat.g_01226	Prbf.g_00157
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prbf.g_01437
OG0000038	Syat.g_02688, Syat.g_02686	Prbf.g_00445
OG0000039	Syat.g_01278	Prbf.g_01276
OG0000041	Syat.g_00785, Syat.g_03006	Prbf.g_00646
OG0000042	Syat.g_00223, Syat.g_02222	Prbf.g_00487
OG0000045	Syat.g_00935	Prbf.g_00874
OG0000046	Syat.g_01626, Syat.g_01026	Prbf.g_01666
OG0000048	Syat.g_02046	Prbf.g_00039
OG0000052	Syat.g_02140	Prbf.g_01380
OG0000053	Syat.g_01330	Prbf.g_00178, Prbf.g_00748
OG0000054	Syat.g_00987, Syat.g_03390	Prbf.g_01889
OG0000055	Syat.g_00693	Prbf.g_00719
OG0000057	Syat.g_00817, Syat.g_02055	Prbf.g_01261
OG0000058	Syat.g_02133, Syat.g_02238, Syat.g_01189	Prbf.g_00117
OG0000059	Syat.g_01832	Prbf.g_00606
OG0000061	Syat.g_03260	Prbf.g_00918
OG0000062	Syat.g_03107	Prbf.g_00242
OG0000063	Syat.g_02303	Prbf.g_00808
OG0000064	Syat.g_01568	Prbf.g_01394
OG0000065	Syat.g_01571	Prbf.g_01435
OG0000066	Syat.g_03283	Prbf.g_01820, Prbf.g_00781
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prbf.g_01245
OG0000068	Syat.g_00085, Syat.g_01295	Prbf.g_00095
OG0000069	Syat.g_00090, Syat.g_00879	Prbf.g_01738
OG0000070	Syat.g_01032, Syat.g_01040	Prbf.g_01734
OG0000071	Syat.g_01153	Prbf.g_00026
OG0000072	Syat.g_02856, Syat.g_01597	Prbf.g_01505
OG0000073	Syat.g_03201	Prbf.g_01783
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbf.g_00522
OG0000076	Syat.g_02206	Prbf.g_00496
OG0000077	Syat.g_01481	Prbf.g_01405
OG0000078	Syat.g_00184	Prbf.g_01578
OG0000079	Syat.g_01879	Prbf.g_01591
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Prbf.g_00129, Prbf.g_00131
OG0000081	Syat.g_00980	Prbf.g_01812
OG0000082	Syat.g_00035	Prbf.g_01867, Prbf.g_00704
OG0000085	Syat.g_03113	Prbf.g_00822, Prbf.g_00701
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbf.g_01414
OG0000087	Syat.g_02912	Prbf.g_01469
OG0000088	Syat.g_02862	Prbf.g_01500
OG0000089	Syat.g_02953	Prbf.g_01701
OG0000090	Syat.g_03270	Prbf.g_01814
OG0000091	Syat.g_00939, Syat.g_00862	Prbf.g_00990
OG0000094	Syat.g_00698, Syat.g_01034	Prbf.g_01068
OG0000095	Syat.g_00808	Prbf.g_01170
OG0000097	Syat.g_00907, Syat.g_00535	Prbf.g_00964
OG0000098	Syat.g_03281	Prbf.g_00071
OG0000099	Syat.g_02130	Prbf.g_00118
OG0000100	Syat.g_00517	Prbf.g_00236
OG0000101	Syat.g_01661	Prbf.g_00558
OG0000102	Syat.g_00974	Prbf.g_00491
OG0000103	Syat.g_02399	Prbf.g_00406
OG0000104	Syat.g_02385	Prbf.g_00397
OG0000105	Syat.g_02052	Prbf.g_01614
OG0000106	Syat.g_00957	Prbf.g_00320
OG0000107	Syat.g_02009, Syat.g_01862	Prbf.g_00629
OG0000108	Syat.g_03170	Prbf.g_01763
OG0000109	Syat.g_03187	Prbf.g_01777
