Orthogroup	Syat	Syal
OG0000001	Syat.g_02910, Syat.g_02911	Syal.g_02215
OG0000001	Syat.g_02908, Syat.g_02909	Syal.g_00874, Syal.g_01184
OG0000005	Syat.g_03065	Syal.g_00606
OG0000005	Syat.g_03105	Syal.g_00565
OG0000005	Syat.g_01038	Syal.g_01664
OG0000006	Syat.g_00371	Syal.g_02611
OG0000006	Syat.g_01439, Syat.g_01865	Syal.g_00674
OG0000007	Syat.g_03191	Syal.g_02918
OG0000007	Syat.g_03124	Syal.g_00587
OG0000008	Syat.g_02626	Syal.g_02512
OG0000008	Syat.g_02627	Syal.g_01783
OG0000009	Syat.g_01567	Syal.g_00818
OG0000010	Syat.g_01372	Syal.g_00464
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syal.g_02535, Syal.g_01639
OG0000013	Syat.g_01027	Syal.g_00310
OG0000014	Syat.g_02104	Syal.g_01305
OG0000016	Syat.g_02329	Syal.g_00111
OG0000016	Syat.g_00909	Syal.g_01734
OG0000018	Syat.g_01334	Syal.g_00410
OG0000019	Syat.g_01876	Syal.g_01209
OG0000022	Syat.g_00210	Syal.g_02587
OG0000024	Syat.g_03394	Syal.g_02597
OG0000025	Syat.g_00719	Syal.g_02459
OG0000026	Syat.g_02306	Syal.g_00132
OG0000027	Syat.g_00850	Syal.g_02543
OG0000028	Syat.g_02126	Syal.g_01319
OG0000030	Syat.g_00307	Syal.g_01511
OG0000030	Syat.g_00308	Syal.g_01512
OG0000031	Syat.g_02131	Syal.g_01404, Syal.g_01432
OG0000032	Syat.g_01354	Syal.g_00428
OG0000032	Syat.g_02237	Syal.g_00183
OG0000033	Syat.g_02858	Syal.g_00912
OG0000034	Syat.g_01165, Syat.g_02902	Syal.g_00881, Syal.g_01586
OG0000035	Syat.g_01227, Syat.g_01226	Syal.g_00020
OG0000037	Syat.g_00849, Syat.g_00187	Syal.g_00601
OG0000038	Syat.g_02688	Syal.g_01071
OG0000038	Syat.g_02686	Syal.g_01073
OG0000039	Syat.g_01278	Syal.g_01097
OG0000040	Syat.g_02551	Syal.g_01149
OG0000041	Syat.g_00785	Syal.g_00649
OG0000042	Syat.g_00223, Syat.g_02222	Syal.g_01705, Syal.g_01508
OG0000045	Syat.g_00935	Syal.g_01563
OG0000046	Syat.g_01626, Syat.g_01026	Syal.g_00309
OG0000048	Syat.g_02046	Syal.g_01250
OG0000052	Syat.g_02140	Syal.g_01338
OG0000053	Syat.g_01330	Syal.g_00406
OG0000054	Syat.g_00987, Syat.g_03390	Syal.g_02739, Syal.g_02098
OG0000057	Syat.g_00817, Syat.g_02055	Syal.g_01812
OG0000058	Syat.g_02133, Syat.g_02238	Syal.g_01326
OG0000059	Syat.g_01832	Syal.g_00225
OG0000060	Syat.g_01384	Syal.g_02895
OG0000060	Syat.g_01047	Syal.g_02214
OG0000061	Syat.g_03260	Syal.g_01653
OG0000062	Syat.g_03107	Syal.g_00567
OG0000063	Syat.g_02303	Syal.g_00136
OG0000064	Syat.g_01568	Syal.g_02544
OG0000065	Syat.g_01571	Syal.g_00820
OG0000066	Syat.g_03283	Syal.g_02828
OG0000068	Syat.g_00085, Syat.g_01295	Syal.g_02888
OG0000070	Syat.g_01032, Syat.g_01040	Syal.g_00509
OG0000071	Syat.g_01153	Syal.g_02099
OG0000072	Syat.g_02856	Syal.g_00914
OG0000073	Syat.g_03201	Syal.g_02920
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syal.g_01350
OG0000076	Syat.g_02206	Syal.g_01459
OG0000077	Syat.g_01481	Syal.g_00506
OG0000078	Syat.g_00184	Syal.g_00680
OG0000079	Syat.g_01879	Syal.g_01213
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Syal.g_01394
OG0000081	Syat.g_00980	Syal.g_02555
OG0000082	Syat.g_00035	Syal.g_02769
OG0000085	Syat.g_03113	Syal.g_00575
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syal.g_00784
OG0000087	Syat.g_02912	Syal.g_00871
OG0000088	Syat.g_02862	Syal.g_00908
OG0000089	Syat.g_02953	Syal.g_00555
OG0000090	Syat.g_03270	Syal.g_02838
OG0000091	Syat.g_00939, Syat.g_00862	Syal.g_02628
OG0000092	Syat.g_00825	Syal.g_00470
OG0000094	Syat.g_00698	Syal.g_01907
OG0000095	Syat.g_00808	Syal.g_01823
OG0000097	Syat.g_00535	Syal.g_01553
OG0000098	Syat.g_03281	Syal.g_02196
OG0000099	Syat.g_02130	Syal.g_01323
OG0000100	Syat.g_00517	Syal.g_02448
OG0000102	Syat.g_00974	Syal.g_01488
OG0000103	Syat.g_02399	Syal.g_01897
OG0000104	Syat.g_02385	Syal.g_00092
OG0000105	Syat.g_02052	Syal.g_01255
OG0000106	Syat.g_00957	Syal.g_02577
OG0000107	Syat.g_01862	Syal.g_00194
OG0000108	Syat.g_03170	Syal.g_02897
OG0000109	Syat.g_03187	Syal.g_02913
OG0000110	Syat.g_00049	Syal.g_02782
OG0000111	Syat.g_00816	Syal.g_01813
OG0000112	Syat.g_00593	Syal.g_02000
OG0000113	Syat.g_00509	Syal.g_02443
OG0000114	Syat.g_00426	Syal.g_02286
OG0000115	Syat.g_01328	Syal.g_00404
OG0000116	Syat.g_02641	Syal.g_01630
OG0000117	Syat.g_00224	Syal.g_01704
OG0000118	Syat.g_01168	Syal.g_01583
OG0000119	Syat.g_00309	Syal.g_02056
OG0000120	Syat.g_02132	Syal.g_01324
OG0000121	Syat.g_01223	Syal.g_00374
OG0000123	Syat.g_01653	Syal.g_00283
OG0000124	Syat.g_02231	Syal.g_01519
OG0000125	Syat.g_02684	Syal.g_01075
OG0000126	Syat.g_00976	Syal.g_00090
OG0000127	Syat.g_00175	Syal.g_00720
OG0000128	Syat.g_02331	Syal.g_00109
OG0000129	Syat.g_02693, Syat.g_02694	Syal.g_01062
OG0000130	Syat.g_01469	Syal.g_00751
OG0000131	Syat.g_02898	Syal.g_00886
OG0000132	Syat.g_02864	Syal.g_00906
OG0000133	Syat.g_00588	Syal.g_01995
OG0000134	Syat.g_02956	Syal.g_00552
OG0000135	Syat.g_02501	Syal.g_01119
OG0000136	Syat.g_01292	Syal.g_00520
OG0000137	Syat.g_01371	Syal.g_00463
OG0000138	Syat.g_03188	Syal.g_02914
OG0000139	Syat.g_03276	Syal.g_02832
OG0000140	Syat.g_03280	Syal.g_02830
OG0000141	Syat.g_03398	Syal.g_02738
OG0000142	Syat.g_00117	Syal.g_02636
OG0000143	Syat.g_00130	Syal.g_02632
OG0000144	Syat.g_00369	Syal.g_02515
OG0000145	Syat.g_03202	Syal.g_02921
OG0000146	Syat.g_00594	Syal.g_02001
OG0000147	Syat.g_00595	Syal.g_02002
OG0000148	Syat.g_00503	Syal.g_02437
OG0000149	Syat.g_00747	Syal.g_02475
OG0000150	Syat.g_03399	Syal.g_02737
OG0000151	Syat.g_00801, Syat.g_00440	Syal.g_02263
OG0000152	Syat.g_00578	Syal.g_01991
OG0000153	Syat.g_00542	Syal.g_01958
OG0000154	Syat.g_00708	Syal.g_01918
OG0000155	Syat.g_00287	Syal.g_01695
OG0000156	Syat.g_03228	Syal.g_01620
OG0000157	Syat.g_02012, Syat.g_03227	Syal.g_01619
OG0000158	Syat.g_02163	Syal.g_01431
OG0000159	Syat.g_01187	Syal.g_01400
OG0000160	Syat.g_01224	Syal.g_00372
OG0000161	Syat.g_01180	Syal.g_00384
OG0000162	Syat.g_01281	Syal.g_00396
OG0000163	Syat.g_02979	Syal.g_02971
OG0000164	Syat.g_03040	Syal.g_00623
OG0000165	Syat.g_03033	Syal.g_00632
OG0000166	Syat.g_01822	Syal.g_00236
OG0000167	Syat.g_02148	Syal.g_01347
OG0000168	Syat.g_02164	Syal.g_01433
OG0000169	Syat.g_02192	Syal.g_01447
OG0000170	Syat.g_02201	Syal.g_01454
OG0000171	Syat.g_02230	Syal.g_01518
OG0000172	Syat.g_02260	Syal.g_00174, Syal.g_00173
OG0000173	Syat.g_02284	Syal.g_00155
OG0000174	Syat.g_02504	Syal.g_01121
OG0000175	Syat.g_02416	Syal.g_01172
OG0000176	Syat.g_02372	Syal.g_00101
OG0000177	Syat.g_02338	Syal.g_00102
OG0000178	Syat.g_02337	Syal.g_00103
OG0000179	Syat.g_02322	Syal.g_00118
OG0000180	Syat.g_02321	Syal.g_00119
OG0000181	Syat.g_02320	Syal.g_00120
OG0000182	Syat.g_02319	Syal.g_00121
OG0000183	Syat.g_02315	Syal.g_00125
OG0000184	Syat.g_02704	Syal.g_02678
OG0000185	Syat.g_02719	Syal.g_01025
OG0000186	Syat.g_01463	Syal.g_02684, Syal.g_00747
OG0000187	Syat.g_01467	Syal.g_02685, Syal.g_00748
OG0000188	Syat.g_01489	Syal.g_00771
OG0000189	Syat.g_00386, Syat.g_01557	Syal.g_00807
OG0000190	Syat.g_00330	Syal.g_01364
OG0000191	Syat.g_03344, Syat.g_02939	Syal.g_00841
OG0000192	Syat.g_02933	Syal.g_00847
OG0000193	Syat.g_02897	Syal.g_00887
OG0000194	Syat.g_02894	Syal.g_00890
OG0000196	Syat.g_02867	Syal.g_00903
OG0000197	Syat.g_02866	Syal.g_00904
OG0000198	Syat.g_02865	Syal.g_00905
OG0000199	Syat.g_02857	Syal.g_00913
OG0000200	Syat.g_02840	Syal.g_00932
OG0000202	Syat.g_02820	Syal.g_00950
OG0000203	Syat.g_02819	Syal.g_00951
OG0000204	Syat.g_02818	Syal.g_00952
OG0000205	Syat.g_02809	Syal.g_00959
OG0000206	Syat.g_02785	Syal.g_00971
OG0000207	Syat.g_02778	Syal.g_00974
OG0000208	Syat.g_02777	Syal.g_00975
OG0000209	Syat.g_02735	Syal.g_01000
OG0000210	Syat.g_02734	Syal.g_01001
OG0000211	Syat.g_01452	Syal.g_00688
OG0000212	Syat.g_01442	Syal.g_00679
OG0000213	Syat.g_01889	Syal.g_01229
OG0000214	Syat.g_02042	Syal.g_01246
OG0000215	Syat.g_02075	Syal.g_01277
OG0000216	Syat.g_02079	Syal.g_01281
OG0000217	Syat.g_02085	Syal.g_01285
OG0000218	Syat.g_02087	Syal.g_01287
OG0000219	Syat.g_02088	Syal.g_01288
OG0000220	Syat.g_02089	Syal.g_01289
OG0000221	Syat.g_02095	Syal.g_01297
OG0000222	Syat.g_02109	Syal.g_01309
OG0000223	Syat.g_02570	Syal.g_01327
OG0000224	Syat.g_02139	Syal.g_01329
OG0000225	Syat.g_01595	Syal.g_00363
OG0000226	Syat.g_01588	Syal.g_00367
OG0000228	Syat.g_02952	Syal.g_00556
OG0000229	Syat.g_02970	Syal.g_00525
OG0000230	Syat.g_02972	Syal.g_00523
OG0000231	Syat.g_01283	Syal.g_00510
OG0000232	Syat.g_01313	Syal.g_00495
OG0000233	Syat.g_01407	Syal.g_00487
OG0000234	Syat.g_01369	Syal.g_00461
OG0000235	Syat.g_03169	Syal.g_02896
OG0000236	Syat.g_03186	Syal.g_02912
OG0000237	Syat.g_03214	Syal.g_02930
OG0000238	Syat.g_03219	Syal.g_02935
OG0000239	Syat.g_01105	Syal.g_02951
OG0000240	Syat.g_01104	Syal.g_02952
OG0000241	Syat.g_00111	Syal.g_02696
OG0000242	Syat.g_01077	Syal.g_02840
OG0000243	Syat.g_00092	Syal.g_02822
OG0000244	Syat.g_00082	Syal.g_02815
OG0000245	Syat.g_00080	Syal.g_02813
OG0000246	Syat.g_00076	Syal.g_02809
OG0000247	Syat.g_00065	Syal.g_02797
OG0000248	Syat.g_00062	Syal.g_02794
OG0000249	Syat.g_00060	Syal.g_02792
OG0000250	Syat.g_00053	Syal.g_02786
OG0000251	Syat.g_00027	Syal.g_02760
OG0000252	Syat.g_00022	Syal.g_02757
OG0000253	Syat.g_00021	Syal.g_02755
OG0000254	Syat.g_03407	Syal.g_02732
OG0000255	Syat.g_02405	Syal.g_02719
OG0000256	Syat.g_03306	Syal.g_02705
OG0000257	Syat.g_00109	Syal.g_02697
OG0000258	Syat.g_00382	Syal.g_02623
OG0000259	Syat.g_00342	Syal.g_02182
OG0000260	Syat.g_00392	Syal.g_02188
OG0000261	Syat.g_00400	Syal.g_02199
OG0000262	Syat.g_00407	Syal.g_02204
OG0000263	Syat.g_00200	Syal.g_01720
OG0000266	Syat.g_00671	Syal.g_02421
OG0000267	Syat.g_00636	Syal.g_02043
OG0000268	Syat.g_00634	Syal.g_02042
OG0000269	Syat.g_00474, Syat.g_00126	Syal.g_02409
OG0000270	Syat.g_00477	Syal.g_02412
OG0000271	Syat.g_00485	Syal.g_01871
OG0000272	Syat.g_00486	Syal.g_01872
OG0000273	Syat.g_00520	Syal.g_02454
OG0000274	Syat.g_00521	Syal.g_02455
OG0000275	Syat.g_00718	Syal.g_02458
OG0000276	Syat.g_00725	Syal.g_02467
OG0000277	Syat.g_00738	Syal.g_02468
OG0000278	Syat.g_00741	Syal.g_02471
OG0000279	Syat.g_00755	Syal.g_02479
OG0000280	Syat.g_01669	Syal.g_02493
OG0000281	Syat.g_00960	Syal.g_02190
OG0000282	Syat.g_00431	Syal.g_02284
OG0000283	Syat.g_00620	Syal.g_02028
OG0000284	Syat.g_00614	Syal.g_02023
OG0000285	Syat.g_00607	Syal.g_02012
OG0000286	Syat.g_00579	Syal.g_01992
OG0000287	Syat.g_00550	Syal.g_01965
OG0000288	Syat.g_00709	Syal.g_01919
OG0000289	Syat.g_00695	Syal.g_01904
OG0000290	Syat.g_00805	Syal.g_01826
OG0000291	Syat.g_00807	Syal.g_01824
OG0000292	Syat.g_02388	Syal.g_00089
OG0000293	Syat.g_03241	Syal.g_01631
OG0000294	Syat.g_03248	Syal.g_01632
OG0000295	Syat.g_00297	Syal.g_01687
OG0000296	Syat.g_00295	Syal.g_01689
OG0000297	Syat.g_00226	Syal.g_01702
OG0000298	Syat.g_00225	Syal.g_01703
OG0000299	Syat.g_00910	Syal.g_01732
OG0000300	Syat.g_00904	Syal.g_01738
OG0000301	Syat.g_00903	Syal.g_01739
OG0000302	Syat.g_00901	Syal.g_01740
OG0000303	Syat.g_00892	Syal.g_01763
OG0000304	Syat.g_00885	Syal.g_01756
OG0000305	Syat.g_00809	Syal.g_01821
OG0000306	Syat.g_01704	Syal.g_02579
OG0000307	Syat.g_01304	Syal.g_02880
OG0000308	Syat.g_01306	Syal.g_02878
OG0000309	Syat.g_01417	Syal.g_02873
OG0000310	Syat.g_01246	Syal.g_01537
OG0000311	Syat.g_01242	Syal.g_00061
OG0000312	Syat.g_01237	Syal.g_00031
OG0000313	Syat.g_01183	Syal.g_00381
OG0000314	Syat.g_01341	Syal.g_00416
OG0000315	Syat.g_01351	Syal.g_00426
OG0000316	Syat.g_03082	Syal.g_02987
OG0000317	Syat.g_03120	Syal.g_00583
OG0000318	Syat.g_03125	Syal.g_00588
OG0000319	Syat.g_03055	Syal.g_00608
OG0000320	Syat.g_03053	Syal.g_00610
OG0000321	Syat.g_03052	Syal.g_00611
OG0000322	Syat.g_03051	Syal.g_00612
OG0000323	Syat.g_03038	Syal.g_00626
OG0000324	Syat.g_02998	Syal.g_00656
OG0000325	Syat.g_01861	Syal.g_00195
OG0000326	Syat.g_01854	Syal.g_00202
OG0000327	Syat.g_01827	Syal.g_00230
OG0000328	Syat.g_01826	Syal.g_00231
OG0000329	Syat.g_01808	Syal.g_00249
OG0000330	Syat.g_01807	Syal.g_00250
OG0000331	Syat.g_01806	Syal.g_00251
OG0000332	Syat.g_01790	Syal.g_00266
OG0000333	Syat.g_01787	Syal.g_00269
OG0000334	Syat.g_01657	Syal.g_00279
OG0000335	Syat.g_01652	Syal.g_00284
OG0000336	Syat.g_01648	Syal.g_00288
OG0000337	Syat.g_02144	Syal.g_01343
OG0000338	Syat.g_02146	Syal.g_01345
OG0000339	Syat.g_02155, Syat.g_01055	Syal.g_01351
OG0000340	Syat.g_02165	Syal.g_01434
OG0000341	Syat.g_02167	Syal.g_01436
OG0000342	Syat.g_02168	Syal.g_01437
OG0000343	Syat.g_02185	Syal.g_01441
OG0000344	Syat.g_02189	Syal.g_01445
OG0000345	Syat.g_02202	Syal.g_01455
OG0000346	Syat.g_02207	Syal.g_01460
OG0000347	Syat.g_02234	Syal.g_01525
OG0000348	Syat.g_02264	Syal.g_00170
OG0000349	Syat.g_02291	Syal.g_00148
OG0000350	Syat.g_01847	Syal.g_00209
OG0000351	Syat.g_02411	Syal.g_01175
OG0000352	Syat.g_02410	Syal.g_01176
OG0000353	Syat.g_00955, Syat.g_02377	Syal.g_00095
OG0000354	Syat.g_03225	Syal.g_02941
OG0000354	Syat.g_02325	Syal.g_00116
OG0000355	Syat.g_02375	Syal.g_00098
OG0000356	Syat.g_02374	Syal.g_00099
OG0000357	Syat.g_02373	Syal.g_00100
OG0000358	Syat.g_02336	Syal.g_00104
OG0000359	Syat.g_02334	Syal.g_00106
OG0000360	Syat.g_02333	Syal.g_00107
OG0000361	Syat.g_02332	Syal.g_00108
OG0000362	Syat.g_02330	Syal.g_00110
OG0000363	Syat.g_02328	Syal.g_00112
OG0000364	Syat.g_03122	Syal.g_00113
OG0000365	Syat.g_02318	Syal.g_00122
OG0000366	Syat.g_02317	Syal.g_00123
OG0000367	Syat.g_02316	Syal.g_00124
OG0000368	Syat.g_02314	Syal.g_00126
OG0000369	Syat.g_02313	Syal.g_00127
OG0000370	Syat.g_02312	Syal.g_00128
OG0000371	Syat.g_02304	Syal.g_00135
OG0000372	Syat.g_02298	Syal.g_00141
OG0000373	Syat.g_02297	Syal.g_00142
OG0000374	Syat.g_02296	Syal.g_00143
OG0000375	Syat.g_02295	Syal.g_00144
OG0000376	Syat.g_02293	Syal.g_00146
OG0000377	Syat.g_02695	Syal.g_01061
OG0000378	Syat.g_02715	Syal.g_01027
OG0000379	Syat.g_02720	Syal.g_02681, Syal.g_01024
OG0000380	Syat.g_01468	Syal.g_00749
OG0000381	Syat.g_01470	Syal.g_00752
OG0000382	Syat.g_01488	Syal.g_00770
OG0000383	Syat.g_01521	Syal.g_00775
OG0000384	Syat.g_01522	Syal.g_00776
OG0000385	Syat.g_01523	Syal.g_00777
OG0000386	Syat.g_01524	Syal.g_00778
OG0000387	Syat.g_01561	Syal.g_00811
OG0000388	Syat.g_01565	Syal.g_00815
OG0000389	Syat.g_01569	Syal.g_00819
OG0000390	Syat.g_02945	Syal.g_00835
OG0000391	Syat.g_02940	Syal.g_00840
OG0000392	Syat.g_02934	Syal.g_00846
OG0000393	Syat.g_02931	Syal.g_00849
OG0000394	Syat.g_02930	Syal.g_00850
OG0000395	Syat.g_02929	Syal.g_00851
OG0000396	Syat.g_02927	Syal.g_00854
OG0000397	Syat.g_02925	Syal.g_00857
OG0000398	Syat.g_02920	Syal.g_00862
OG0000399	Syat.g_02919	Syal.g_00863
OG0000400	Syat.g_02918	Syal.g_00864
OG0000401	Syat.g_02917	Syal.g_00865
OG0000402	Syat.g_02915	Syal.g_00867
OG0000403	Syat.g_02914	Syal.g_00868
OG0000404	Syat.g_02913	Syal.g_00870
OG0000405	Syat.g_02900	Syal.g_00883
OG0000406	Syat.g_02896	Syal.g_00888
OG0000407	Syat.g_02895	Syal.g_00889
