Orthogroup	Syat	Prav
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prav.g_01458
OG0000005	Syat.g_03065	Prav.g_01774
OG0000005	Syat.g_03105	Prav.g_01654
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prav.g_02001
OG0000007	Syat.g_03191	Prav.g_01095
OG0000007	Syat.g_03124	Prav.g_01761
OG0000008	Syat.g_02626	Prav.g_01749
OG0000008	Syat.g_02627	Prav.g_01750
OG0000009	Syat.g_01567	Prav.g_00170
OG0000010	Syat.g_01372	Prav.g_00218
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Prav.g_01221
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prav.g_01973
OG0000014	Syat.g_02104	Prav.g_01952
OG0000015	Syat.g_00775, Syat.g_01677	Prav.g_00363, Prav.g_00961
OG0000016	Syat.g_02329	Prav.g_00081
OG0000017	Syat.g_00015	Prav.g_01194
OG0000018	Syat.g_01334	Prav.g_00046
OG0000019	Syat.g_01876	Prav.g_01896, Prav.g_00375
OG0000021	Syat.g_00964	Prav.g_00984
OG0000022	Syat.g_00210	Prav.g_00029
OG0000024	Syat.g_03394	Prav.g_00343, Prav.g_01273
OG0000025	Syat.g_00719	Prav.g_01977, Prav.g_00431
OG0000026	Syat.g_02306	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syat.g_00850	Prav.g_01068, Prav.g_01416
OG0000028	Syat.g_02126	Prav.g_01885, Prav.g_01966
OG0000030	Syat.g_00307, Syat.g_00308	Prav.g_00699
OG0000032	Syat.g_02237	Prav.g_01499
OG0000034	Syat.g_01165, Syat.g_02902	Prav.g_01448
OG0000035	Syat.g_01227, Syat.g_01226	Prav.g_01578
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prav.g_00174
OG0000038	Syat.g_02688, Syat.g_02686	Prav.g_00739
OG0000039	Syat.g_01278	Prav.g_01284
OG0000040	Syat.g_02551	Prav.g_00045
OG0000041	Syat.g_00785, Syat.g_03006	Prav.g_01808
OG0000042	Syat.g_00223, Syat.g_02222	Prav.g_00696
OG0000048	Syat.g_02046	Prav.g_00993
OG0000053	Syat.g_01330	Prav.g_01598
OG0000054	Syat.g_00987, Syat.g_03390	Prav.g_01202
OG0000055	Syat.g_00693	Prav.g_00376
OG0000057	Syat.g_00817, Syat.g_02055	Prav.g_01296
OG0000059	Syat.g_01832	Prav.g_00292
OG0000060	Syat.g_01384, Syat.g_01383, Syat.g_01047	Prav.g_00964
OG0000061	Syat.g_03260	Prav.g_00065
OG0000062	Syat.g_03107	Prav.g_01656
OG0000063	Syat.g_02303	Prav.g_00101
OG0000065	Syat.g_01571	Prav.g_00172
OG0000066	Syat.g_03283	Prav.g_01137
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prav.g_00397
OG0000068	Syat.g_00085, Syat.g_01295	Prav.g_01473
OG0000069	Syat.g_00090, Syat.g_00879	Prav.g_01881, Prav.g_01689
OG0000070	Syat.g_01032, Syat.g_01040	Prav.g_01049
OG0000071	Syat.g_01153	Prav.g_01438
OG0000072	Syat.g_02856, Syat.g_01597	Prav.g_00867
OG0000073	Syat.g_03201	Prav.g_01097
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prav.g_00665
OG0000076	Syat.g_02206	Prav.g_00689
OG0000077	Syat.g_01481	Prav.g_00143
OG0000078	Syat.g_00184	Prav.g_00799
OG0000079	Syat.g_01879	Prav.g_01899
OG0000081	Syat.g_00980	Prav.g_01129
OG0000082	Syat.g_00035	Prav.g_01182
OG0000085	Syat.g_03113	Prav.g_01754
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prav.g_00153
OG0000087	Syat.g_02912	Prav.g_00204
OG0000088	Syat.g_02862	Prav.g_00872
OG0000089	Syat.g_02953	Prav.g_00975
OG0000090	Syat.g_03270	Prav.g_01131
OG0000091	Syat.g_00939, Syat.g_00862	Prav.g_01240
OG0000092	Syat.g_00825	Prav.g_01735
OG0000094	Syat.g_00698, Syat.g_01034	Prav.g_00914
OG0000095	Syat.g_00808	Prav.g_00933
OG0000097	Syat.g_00907, Syat.g_00535	Prav.g_01840
OG0000098	Syat.g_03281	Prav.g_01455
OG0000099	Syat.g_02130	Prav.g_01514
OG0000100	Syat.g_00517	Prav.g_01652
OG0000101	Syat.g_01661	Prav.g_00632
OG0000102	Syat.g_00974	Prav.g_00694
OG0000103	Syat.g_02399	Prav.g_00773
OG0000104	Syat.g_02385	Prav.g_00782
OG0000105	Syat.g_02052	Prav.g_01920
OG0000106	Syat.g_00957	Prav.g_00989
OG0000107	Syat.g_02009, Syat.g_01862	Prav.g_01001
OG0000108	Syat.g_03170	Prav.g_01078
OG0000109	Syat.g_03187	Prav.g_01092
OG0000110	Syat.g_00049	Prav.g_01172
OG0000111	Syat.g_00816	Prav.g_01297
OG0000112	Syat.g_00593	Prav.g_00364
OG0000113	Syat.g_00509	Prav.g_00419
OG0000114	Syat.g_00426	Prav.g_00499
OG0000115	Syat.g_01328	Prav.g_00010
OG0000116	Syat.g_02641	Prav.g_00055
OG0000117	Syat.g_00224	Prav.g_01390
OG0000118	Syat.g_01168	Prav.g_01450
OG0000119	Syat.g_00309	Prav.g_01469
OG0000120	Syat.g_02132	Prav.g_01513
OG0000121	Syat.g_01223	Prav.g_01580
OG0000123	Syat.g_01653	Prav.g_00639
OG0000124	Syat.g_02231	Prav.g_00705
OG0000125	Syat.g_02684	Prav.g_00741
OG0000126	Syat.g_00976	Prav.g_00781
OG0000128	Syat.g_02331	Prav.g_00079
OG0000129	Syat.g_02693, Syat.g_02694	Prav.g_00115
OG0000130	Syat.g_01469	Prav.g_00134
OG0000131	Syat.g_02898	Prav.g_00212
OG0000132	Syat.g_02864	Prav.g_00874
OG0000133	Syat.g_00588	Prav.g_01968
OG0000134	Syat.g_02956	Prav.g_00976
OG0000135	Syat.g_02501	Prav.g_00999
OG0000136	Syat.g_01292	Prav.g_01040
OG0000137	Syat.g_01371	Prav.g_01073
OG0000138	Syat.g_03188	Prav.g_01093
OG0000139	Syat.g_03276	Prav.g_01135
OG0000140	Syat.g_03280	Prav.g_01136
OG0000141	Syat.g_03398	Prav.g_01203
OG0000142	Syat.g_00117	Prav.g_01233
OG0000143	Syat.g_00130	Prav.g_01237
OG0000144	Syat.g_00369	Prav.g_01250
OG0000145	Syat.g_03202	Prav.g_00362
OG0000146	Syat.g_00594	Prav.g_00365
OG0000147	Syat.g_00595	Prav.g_00366
OG0000148	Syat.g_00503	Prav.g_00413
OG0000149	Syat.g_00747	Prav.g_00443
OG0000150	Syat.g_03399	Prav.g_00451
OG0000151	Syat.g_00801, Syat.g_00440	Prav.g_00509
OG0000152	Syat.g_00578	Prav.g_00556
OG0000153	Syat.g_00542	Prav.g_00575
OG0000154	Syat.g_00708	Prav.g_00907
OG0000155	Syat.g_00287	Prav.g_01861
OG0000156	Syat.g_03228	Prav.g_01427
OG0000157	Syat.g_02012, Syat.g_03227	Prav.g_01428
OG0000158	Syat.g_02163	Prav.g_01505
OG0000160	Syat.g_01224	Prav.g_01579
OG0000161	Syat.g_01180	Prav.g_01585
OG0000162	Syat.g_01281	Prav.g_01591
OG0000163	Syat.g_02979	Prav.g_01625
OG0000164	Syat.g_03040	Prav.g_01785
OG0000165	Syat.g_03033	Prav.g_01792
OG0000166	Syat.g_01822	Prav.g_00596
OG0000167	Syat.g_02148	Prav.g_00663
OG0000168	Syat.g_02164	Prav.g_00673
OG0000169	Syat.g_02192	Prav.g_00683
OG0000170	Syat.g_02201	Prav.g_00685
OG0000171	Syat.g_02230	Prav.g_00704
OG0000172	Syat.g_02260	Prav.g_00712
OG0000173	Syat.g_02284	Prav.g_00727
OG0000174	Syat.g_02504	Prav.g_00755
OG0000175	Syat.g_02416	Prav.g_00765
OG0000176	Syat.g_02372	Prav.g_00790
OG0000177	Syat.g_02338	Prav.g_00791
OG0000178	Syat.g_02337	Prav.g_00792
OG0000179	Syat.g_02322	Prav.g_00084
OG0000180	Syat.g_02321	Prav.g_00085
OG0000181	Syat.g_02320	Prav.g_00086
OG0000182	Syat.g_02319	Prav.g_00087
OG0000183	Syat.g_02315	Prav.g_00091
OG0000184	Syat.g_02704	Prav.g_00117
OG0000185	Syat.g_02719	Prav.g_00120
OG0000186	Syat.g_01463	Prav.g_00129
OG0000187	Syat.g_01467	Prav.g_00130
OG0000188	Syat.g_01489	Prav.g_00147
OG0000189	Syat.g_00386, Syat.g_01557	Prav.g_00161
OG0000190	Syat.g_00330	Prav.g_00162
OG0000191	Syat.g_03344, Syat.g_02939	Prav.g_00182
OG0000192	Syat.g_02933	Prav.g_00186
OG0000193	Syat.g_02897	Prav.g_00213
OG0000194	Syat.g_02894	Prav.g_00216
OG0000195	Syat.g_02892	Prav.g_00887
OG0000196	Syat.g_02867	Prav.g_00877
OG0000197	Syat.g_02866	Prav.g_00876
OG0000198	Syat.g_02865	Prav.g_00875
OG0000199	Syat.g_02857	Prav.g_00868
OG0000200	Syat.g_02840	Prav.g_00854
OG0000201	Syat.g_02821	Prav.g_00846
OG0000202	Syat.g_02820	Prav.g_00845
OG0000203	Syat.g_02819	Prav.g_00844
OG0000204	Syat.g_02818	Prav.g_00843
OG0000205	Syat.g_02809	Prav.g_00836
OG0000206	Syat.g_02785	Prav.g_00831
OG0000207	Syat.g_02778	Prav.g_00829
OG0000208	Syat.g_02777	Prav.g_00828
OG0000209	Syat.g_02735	Prav.g_00819
OG0000210	Syat.g_02734	Prav.g_00818
OG0000211	Syat.g_01452	Prav.g_00805
OG0000212	Syat.g_01442	Prav.g_00798
OG0000213	Syat.g_01889	Prav.g_01904
OG0000214	Syat.g_02042	Prav.g_01914
OG0000215	Syat.g_02075	Prav.g_01938
OG0000216	Syat.g_02079	Prav.g_01940
OG0000217	Syat.g_02085	Prav.g_01943
OG0000218	Syat.g_02087	Prav.g_01945
OG0000219	Syat.g_02088	Prav.g_01946
OG0000220	Syat.g_02089	Prav.g_01947
OG0000221	Syat.g_02095	Prav.g_01948
OG0000222	Syat.g_02109	Prav.g_01956
OG0000223	Syat.g_02570	Prav.g_01969
OG0000224	Syat.g_02139	Prav.g_01971
OG0000225	Syat.g_01595	Prav.g_01992
OG0000226	Syat.g_01588	Prav.g_01996
OG0000228	Syat.g_02952	Prav.g_00974
OG0000229	Syat.g_02970	Prav.g_01035
OG0000230	Syat.g_02972	Prav.g_01037
OG0000231	Syat.g_01283	Prav.g_01048
OG0000232	Syat.g_01313	Prav.g_01056
OG0000233	Syat.g_01407	Prav.g_01061
OG0000234	Syat.g_01369	Prav.g_01074
OG0000235	Syat.g_03169	Prav.g_01077
OG0000236	Syat.g_03186	Prav.g_01091
OG0000237	Syat.g_03214	Prav.g_01104
OG0000238	Syat.g_03219	Prav.g_01110
OG0000239	Syat.g_01105	Prav.g_01123
OG0000240	Syat.g_01104	Prav.g_01124
OG0000241	Syat.g_00111	Prav.g_01128
OG0000242	Syat.g_01077	Prav.g_01130
OG0000243	Syat.g_00092	Prav.g_01141, Prav.g_00954
OG0000244	Syat.g_00082	Prav.g_01144
OG0000245	Syat.g_00080	Prav.g_01146
OG0000246	Syat.g_00076	Prav.g_01150
OG0000247	Syat.g_00065	Prav.g_01160
OG0000248	Syat.g_00062	Prav.g_01162
OG0000249	Syat.g_00060	Prav.g_01164
