Orthogroup	Syam	Prbl
OG0000002	Syam.g_00931	Prbl.g_01582, Prbl.g_01092
OG0000004	Syam.g_00787	Prbl.g_00021
OG0000004	Syam.g_01499, Syam.g_00501	Prbl.g_01771
OG0000005	Syam.g_01970	Prbl.g_00419
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbl.g_02601
OG0000007	Syam.g_00602	Prbl.g_00531
OG0000007	Syam.g_01990	Prbl.g_00394
OG0000008	Syam.g_00810	Prbl.g_01855
OG0000008	Syam.g_00811	Prbl.g_01854
OG0000009	Syam.g_02119	Prbl.g_00155, Prbl.g_00554
OG0000010	Syam.g_01669	Prbl.g_01341
OG0000012	Syam.g_01492	Prbl.g_01618
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbl.g_01183
OG0000014	Syam.g_00191	Prbl.g_01416
OG0000015	Syam.g_01218, Syam.g_01362	Prbl.g_01566
OG0000017	Syam.g_01715	Prbl.g_01763
OG0000017	Syam.g_01708	Prbl.g_01755
OG0000018	Syam.g_01640	Prbl.g_00694
OG0000019	Syam.g_00274	Prbl.g_01097, Prbl.g_01509
OG0000021	Syam.g_00523	Prbl.g_01531, Prbl.g_01768
OG0000022	Syam.g_01418	Prbl.g_01072
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbl.g_02355
OG0000024	Syam.g_00815	Prbl.g_00040
OG0000025	Syam.g_00740	Prbl.g_01539
OG0000026	Syam.g_00035	Prbl.g_01977
OG0000028	Syam.g_00176	Prbl.g_00900
OG0000029	Syam.g_01390, Syam.g_01055	Prbl.g_01163
OG0000030	Syam.g_00104	Prbl.g_02061
OG0000030	Syam.g_00103	Prbl.g_02060
OG0000031	Syam.g_00171	Prbl.g_00835, Prbl.g_00830
OG0000032	Syam.g_01660	Prbl.g_00712
OG0000032	Syam.g_00079	Prbl.g_00889
OG0000033	Syam.g_02217	Prbl.g_00278
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbl.g_01734
OG0000035	Syam.g_01612	Prbl.g_00242
OG0000037	Syam.g_02125	Prbl.g_00548
OG0000038	Syam.g_02317	Prbl.g_02235
OG0000041	Syam.g_01899, Syam.g_00765	Prbl.g_00339
OG0000042	Syam.g_00107	Prbl.g_01236, Prbl.g_01121
OG0000044	Syam.g_02052	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbl.g_01184
OG0000047	Syam.g_00434	Prbl.g_00719, Prbl.g_01574
OG0000048	Syam.g_00243	Prbl.g_01465
OG0000052	Syam.g_00161	Prbl.g_00870
OG0000053	Syam.g_01636	Prbl.g_00691
OG0000054	Syam.g_01515	Prbl.g_01752
OG0000057	Syam.g_00784	Prbl.g_00025
OG0000058	Syam.g_00169	Prbl.g_00890
OG0000059	Syam.g_00320	Prbl.g_00952
OG0000061	Syam.g_01795	Prbl.g_02084
OG0000062	Syam.g_01972	Prbl.g_00417
OG0000063	Syam.g_00039	Prbl.g_01981
OG0000066	Syam.g_00552, Syam.g_00662	Prbl.g_00752
OG0000067	Syam.g_01290	Prbl.g_02335
OG0000068	Syam.g_00575	Prbl.g_00502
OG0000070	Syam.g_01847	Prbl.g_00634
OG0000071	Syam.g_01830	Prbl.g_01722
OG0000072	Syam.g_02219	Prbl.g_00276
OG0000073	Syam.g_00604	Prbl.g_00533
OG0000075	Syam.g_00148	Prbl.g_00855
OG0000076	Syam.g_00115	Prbl.g_01285
OG0000077	Syam.g_02074	Prbl.g_00631
OG0000078	Syam.g_00514	Prbl.g_00193
OG0000081	Syam.g_01918	Prbl.g_01036
OG0000082	Syam.g_01730	Prbl.g_01783
OG0000084	Syam.g_00441	Prbl.g_00246
OG0000085	Syam.g_01979	Prbl.g_00405
OG0000086	Syam.g_02092	Prbl.g_00583
OG0000087	Syam.g_02175	Prbl.g_00810
OG0000088	Syam.g_02213	Prbl.g_00281, Prbl.g_01838
OG0000089	Syam.g_00489	Prbl.g_02674
OG0000090	Syam.g_00651	Prbl.g_00766
OG0000091	Syam.g_01460	Prbl.g_01647
OG0000093	Syam.g_01305	Prbl.g_02359
OG0000094	Syam.g_01198	Prbl.g_02209
OG0000095	Syam.g_00774	Prbl.g_00927
OG0000097	Syam.g_00874	Prbl.g_02579
OG0000098	Syam.g_00944	Prbl.g_00722
OG0000099	Syam.g_00173	Prbl.g_00893
OG0000100	Syam.g_01259	Prbl.g_01914, Prbl.g_02305
OG0000101	Syam.g_00371	Prbl.g_01000
OG0000102	Syam.g_00110	Prbl.g_02636
OG0000103	Syam.g_02428	Prbl.g_02139
OG0000104	Syam.g_02442	Prbl.g_02125
OG0000105	Syam.g_00238	Prbl.g_01461
OG0000106	Syam.g_01039	Prbl.g_00411
OG0000107	Syam.g_00288	Prbl.g_02681
OG0000108	Syam.g_00583	Prbl.g_00511
OG0000109	Syam.g_00598	Prbl.g_00527
OG0000110	Syam.g_01743	Prbl.g_01795
OG0000111	Syam.g_00783	Prbl.g_00026
OG0000112	Syam.g_01115	Prbl.g_02470
OG0000113	Syam.g_01264	Prbl.g_02310
OG0000114	Syam.g_01349	Prbl.g_02407
OG0000115	Syam.g_01634	Prbl.g_00687
OG0000116	Syam.g_01807	Prbl.g_02069
OG0000117	Syam.g_00904	Prbl.g_01384
OG0000118	Syam.g_01698	Prbl.g_01736
OG0000120	Syam.g_00172	Prbl.g_00892
OG0000121	Syam.g_01615	Prbl.g_00234, Prbl.g_00240
OG0000122	Syam.g_01436	Prbl.g_01808
OG0000123	Syam.g_00379	Prbl.g_01135
OG0000124	Syam.g_00096	Prbl.g_02054
OG0000125	Syam.g_02319	Prbl.g_02231
OG0000126	Syam.g_02440	Prbl.g_02127
OG0000128	Syam.g_00012	Prbl.g_02109
OG0000129	Syam.g_02307	Prbl.g_02243
OG0000130	Syam.g_02062	Prbl.g_00608
OG0000131	Syam.g_02191	Prbl.g_00303
OG0000132	Syam.g_02211	Prbl.g_00283
OG0000133	Syam.g_01120	Prbl.g_00897
OG0000134	Syam.g_00492	Prbl.g_02677
OG0000135	Syam.g_02347	Prbl.g_02190
OG0000136	Syam.g_01857	Prbl.g_00647
OG0000137	Syam.g_01668	Prbl.g_01340
OG0000138	Syam.g_00599	Prbl.g_00528
OG0000139	Syam.g_00657	Prbl.g_00760
OG0000140	Syam.g_00659	Prbl.g_00754
OG0000141	Syam.g_01514	Prbl.g_01751
OG0000142	Syam.g_01468	Prbl.g_01639
OG0000143	Syam.g_01464	Prbl.g_01643
OG0000144	Syam.g_01032	Prbl.g_01042
OG0000145	Syam.g_00605	Prbl.g_00534
OG0000146	Syam.g_01114	Prbl.g_02469
OG0000147	Syam.g_01113	Prbl.g_02468
OG0000148	Syam.g_01270	Prbl.g_02316
OG0000149	Syam.g_00725	Prbl.g_01552
OG0000150	Syam.g_00660	Prbl.g_01576
OG0000151	Syam.g_01338	Prbl.g_02386
OG0000152	Syam.g_01124	Prbl.g_02478
OG0000153	Syam.g_01160	Prbl.g_02505
OG0000154	Syam.g_01187	Prbl.g_02532
OG0000155	Syam.g_01763	Prbl.g_00185
OG0000156	Syam.g_01814	Prbl.g_00115
OG0000157	Syam.g_01815	Prbl.g_00114
OG0000158	Syam.g_00139	Prbl.g_00843
OG0000160	Syam.g_01614	Prbl.g_00241
OG0000161	Syam.g_01620	Prbl.g_00227
OG0000162	Syam.g_01627	Prbl.g_00221
OG0000163	Syam.g_01927	Prbl.g_00452
OG0000164	Syam.g_02023	Prbl.g_00365
OG0000165	Syam.g_01879, Syam.g_01878	Prbl.g_00356
OG0000166	Syam.g_00330	Prbl.g_00962
OG0000167	Syam.g_00151	Prbl.g_00857
OG0000168	Syam.g_00138	Prbl.g_00842
OG0000169	Syam.g_00127	Prbl.g_01302
OG0000170	Syam.g_00120	Prbl.g_01290
OG0000171	Syam.g_00097	Prbl.g_02055
OG0000172	Syam.g_00075	Prbl.g_02021
OG0000173	Syam.g_00057	Prbl.g_02000
OG0000174	Syam.g_02349	Prbl.g_02188
OG0000175	Syam.g_02417	Prbl.g_02150
OG0000176	Syam.g_00004	Prbl.g_02117
OG0000177	Syam.g_00005	Prbl.g_02116
OG0000178	Syam.g_00006	Prbl.g_02115
OG0000179	Syam.g_00021	Prbl.g_01961
OG0000180	Syam.g_00022	Prbl.g_01962
OG0000181	Syam.g_00023	Prbl.g_01963
OG0000182	Syam.g_00024	Prbl.g_01964
OG0000183	Syam.g_00028	Prbl.g_01968
OG0000184	Syam.g_02298	Prbl.g_02251
OG0000186	Syam.g_02058	Prbl.g_00614
OG0000187	Syam.g_02059	Prbl.g_00613
OG0000188	Syam.g_02081	Prbl.g_00591
OG0000189	Syam.g_02108	Prbl.g_00565
OG0000190	Syam.g_02110	Prbl.g_00563
OG0000191	Syam.g_02142	Prbl.g_01325
OG0000192	Syam.g_02148	Prbl.g_01316
OG0000193	Syam.g_02192	Prbl.g_00302
OG0000194	Syam.g_02195	Prbl.g_00299
OG0000195	Syam.g_02197	Prbl.g_00297
OG0000196	Syam.g_02208	Prbl.g_00286
OG0000197	Syam.g_02209	Prbl.g_00285
OG0000198	Syam.g_02210	Prbl.g_00284
OG0000199	Syam.g_02218	Prbl.g_00277
OG0000200	Syam.g_02234	Prbl.g_00069
OG0000201	Syam.g_02248	Prbl.g_00088
OG0000202	Syam.g_02249	Prbl.g_00089
OG0000203	Syam.g_02250	Prbl.g_00090
OG0000204	Syam.g_02251	Prbl.g_00091
OG0000205	Syam.g_02258	Prbl.g_00098
OG0000206	Syam.g_02264	Prbl.g_01282
OG0000207	Syam.g_02266	Prbl.g_00130
OG0000208	Syam.g_02267	Prbl.g_00129
OG0000209	Syam.g_02278	Prbl.g_01256
OG0000210	Syam.g_02279	Prbl.g_01257
OG0000211	Syam.g_00504	Prbl.g_01922
OG0000212	Syam.g_00515	Prbl.g_00192
OG0000213	Syam.g_00263	Prbl.g_01496
OG0000214	Syam.g_00247	Prbl.g_01469
OG0000215	Syam.g_00216	Prbl.g_01439
OG0000216	Syam.g_00212	Prbl.g_01436
OG0000217	Syam.g_00208	Prbl.g_01432
OG0000218	Syam.g_00206	Prbl.g_01428
OG0000219	Syam.g_00205	Prbl.g_01427
OG0000220	Syam.g_00204	Prbl.g_01426
OG0000221	Syam.g_00198	Prbl.g_01421
OG0000222	Syam.g_00186	Prbl.g_00911
OG0000223	Syam.g_00168	Prbl.g_00888
OG0000224	Syam.g_00164	Prbl.g_00877
OG0000225	Syam.g_00473	Prbl.g_01218
OG0000226	Syam.g_00477	Prbl.g_01222
OG0000227	Syam.g_00479	Prbl.g_01224
OG0000228	Syam.g_00488	Prbl.g_02673
OG0000229	Syam.g_01867	Prbl.g_00652
OG0000230	Syam.g_01865	Prbl.g_00650
OG0000231	Syam.g_01848	Prbl.g_00635
OG0000232	Syam.g_01692	Prbl.g_00619
OG0000233	Syam.g_01678	Prbl.g_01360
OG0000234	Syam.g_01667	Prbl.g_01339
OG0000235	Syam.g_00582	Prbl.g_00510
OG0000236	Syam.g_00597	Prbl.g_00526
OG0000237	Syam.g_00614	Prbl.g_00800
OG0000238	Syam.g_00619	Prbl.g_00795
OG0000239	Syam.g_00637	Prbl.g_00779
OG0000240	Syam.g_00638	Prbl.g_00778
OG0000241	Syam.g_01477	Prbl.g_01526
OG0000242	Syam.g_00649	Prbl.g_00768
OG0000243	Syam.g_00668	Prbl.g_02647
OG0000244	Syam.g_00674	Prbl.g_01879
OG0000245	Syam.g_00676	Prbl.g_01882
OG0000246	Syam.g_00680	Prbl.g_01886
OG0000247	Syam.g_00692	Prbl.g_01897
OG0000248	Syam.g_00695	Prbl.g_01900
OG0000249	Syam.g_00697	Prbl.g_01902
OG0000250	Syam.g_01747	Prbl.g_01799
OG0000251	Syam.g_01722	Prbl.g_01775
OG0000252	Syam.g_01719	Prbl.g_01772
OG0000253	Syam.g_01718	Prbl.g_01766
OG0000254	Syam.g_01510	Prbl.g_01747
OG0000255	Syam.g_01500	Prbl.g_01612
OG0000256	Syam.g_01484	Prbl.g_01626
OG0000257	Syam.g_01478	Prbl.g_01632
OG0000258	Syam.g_01459	Prbl.g_01655
OG0000259	Syam.g_01378	Prbl.g_01406
OG0000260	Syam.g_01375	Prbl.g_01403
OG0000261	Syam.g_01372	Prbl.g_01400
OG0000262	Syam.g_01367	Prbl.g_01395
OG0000263	Syam.g_00885	Prbl.g_01242
OG0000264	Syam.g_00805	Prbl.g_01859
OG0000265	Syam.g_01880	Prbl.g_02567
OG0000266	Syam.g_01234	Prbl.g_02556
