Orthogroup	Syam	Prbj
OG0000002	Syam.g_00931	Prbj.g_02517, Prbj.g_00030
OG0000004	Syam.g_00787	Prbj.g_00754
OG0000004	Syam.g_01499, Syam.g_00501	Prbj.g_01777
OG0000005	Syam.g_01970	Prbj.g_00883
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbj.g_02699
OG0000007	Syam.g_00602	Prbj.g_01610
OG0000007	Syam.g_01990	Prbj.g_00857
OG0000008	Syam.g_00810	Prbj.g_00929
OG0000008	Syam.g_00811	Prbj.g_00928
OG0000009	Syam.g_02119	Prbj.g_01300, Prbj.g_00618
OG0000010	Syam.g_01669	Prbj.g_00129
OG0000012	Syam.g_01492	Prbj.g_02552
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbj.g_00359
OG0000014	Syam.g_00191	Prbj.g_01442
OG0000015	Syam.g_01218, Syam.g_01362	Prbj.g_02502
OG0000017	Syam.g_01715	Prbj.g_01769
OG0000017	Syam.g_01708	Prbj.g_01761
OG0000018	Syam.g_01640	Prbj.g_00641
OG0000019	Syam.g_00274	Prbj.g_00025, Prbj.g_01349
OG0000021	Syam.g_00523	Prbj.g_01121, Prbj.g_01774
OG0000022	Syam.g_01418	Prbj.g_00050
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbj.g_02392
OG0000024	Syam.g_00815	Prbj.g_00773
OG0000025	Syam.g_00740	Prbj.g_02475
OG0000026	Syam.g_00035	Prbj.g_01204
OG0000028	Syam.g_00176	Prbj.g_01457
OG0000029	Syam.g_01390, Syam.g_01055	Prbj.g_00378
OG0000030	Syam.g_00104	Prbj.g_01288
OG0000030	Syam.g_00103	Prbj.g_01287
OG0000031	Syam.g_00171	Prbj.g_01522, Prbj.g_01527
OG0000032	Syam.g_01660	Prbj.g_00659
OG0000032	Syam.g_00079	Prbj.g_01468
OG0000033	Syam.g_02217	Prbj.g_00518
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbj.g_01740
OG0000035	Syam.g_01612	Prbj.g_01056
OG0000037	Syam.g_02125	Prbj.g_00624
OG0000038	Syam.g_02317	Prbj.g_01959
OG0000041	Syam.g_01899, Syam.g_00765	Prbj.g_00450
OG0000042	Syam.g_00107	Prbj.g_01808, Prbj.g_00001
OG0000044	Syam.g_02052	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbj.g_00358
OG0000047	Syam.g_00434	Prbj.g_00666, Prbj.g_02509
OG0000048	Syam.g_00243	Prbj.g_01393
