Orthogroup	Syam	Praj
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praj.g_01549
OG0000002	Syam.g_00931	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Syam.g_00787	Praj.g_01396
OG0000004	Syam.g_01499, Syam.g_00501	Praj.g_00271
OG0000005	Syam.g_02004	Praj.g_01349
OG0000005	Syam.g_01970	Praj.g_01712
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syam.g_00602	Praj.g_00489
OG0000007	Syam.g_01990	Praj.g_01768
OG0000008	Syam.g_00810	Praj.g_01829
OG0000008	Syam.g_00811	Praj.g_01830
OG0000010	Syam.g_01669	Praj.g_01026
OG0000011	Syam.g_00814	Praj.g_01158
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Praj.g_00362
OG0000014	Syam.g_00191	Praj.g_00341
OG0000015	Syam.g_01218, Syam.g_01362	Praj.g_01113
OG0000016	Syam.g_00014	Praj.g_00013
OG0000016	Syam.g_00876, Syam.g_01011	Praj.g_01865
OG0000018	Syam.g_01640	Praj.g_01482
OG0000019	Syam.g_00274	Praj.g_00747
OG0000021	Syam.g_00523	Praj.g_01859, Praj.g_00084
OG0000022	Syam.g_01418	Praj.g_01216
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Praj.g_01365, Praj.g_01329
OG0000024	Syam.g_00815	Praj.g_01134, Praj.g_00666
OG0000025	Syam.g_00740	Praj.g_00805
OG0000026	Syam.g_00035	Praj.g_00031
OG0000027	Syam.g_01442, Syam.g_00989	Praj.g_01331
OG0000028	Syam.g_00176	Praj.g_01571
OG0000029	Syam.g_01390, Syam.g_01055	Praj.g_01745
OG0000030	Syam.g_00104, Syam.g_00103	Praj.g_02024
OG0000031	Syam.g_00171, Syam.g_00086	Praj.g_00371
OG0000032	Syam.g_01660	Praj.g_01669
OG0000033	Syam.g_02217	Praj.g_00209
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Praj.g_01538
OG0000035	Syam.g_01612	Praj.g_01632
OG0000037	Syam.g_02125	Praj.g_00147
OG0000038	Syam.g_02317	Praj.g_02089
OG0000039	Syam.g_00749	Praj.g_00679
OG0000041	Syam.g_01899, Syam.g_00765	Praj.g_01813
OG0000042	Syam.g_00107	Praj.g_02020
OG0000043	Syam.g_01041	Praj.g_00864
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Praj.g_00363
OG0000047	Syam.g_00434	Praj.g_00370, Praj.g_00408
OG0000048	Syam.g_00243	Praj.g_00308
OG0000052	Syam.g_00161	Praj.g_00095
OG0000053	Syam.g_01636	Praj.g_01651
OG0000054	Syam.g_01515	Praj.g_00594
OG0000057	Syam.g_00784	Praj.g_01313, Praj.g_00691
OG0000058	Syam.g_00169	Praj.g_00839
OG0000059	Syam.g_00320	Praj.g_01892
OG0000060	Syam.g_00902	Praj.g_01108
OG0000061	Syam.g_01795	Praj.g_01461
OG0000062	Syam.g_01972	Praj.g_01714
OG0000063	Syam.g_00039	Praj.g_01867
OG0000065	Syam.g_02121	Praj.g_00145
OG0000066	Syam.g_00552, Syam.g_00662	Praj.g_00530
OG0000067	Syam.g_01290	Praj.g_00769
OG0000068	Syam.g_00575	Praj.g_01575
OG0000069	Syam.g_01521	Praj.g_01276, Praj.g_01675
OG0000070	Syam.g_01847	Praj.g_00444
OG0000071	Syam.g_01830	Praj.g_01528
OG0000072	Syam.g_02219	Praj.g_00211
OG0000073	Syam.g_00604	Praj.g_00491
OG0000074	Syam.g_00533	Praj.g_01060
OG0000075	Syam.g_00148	Praj.g_01987
OG0000076	Syam.g_00115	Praj.g_02012
OG0000077	Syam.g_02074	Praj.g_00116
OG0000078	Syam.g_00514	Praj.g_00280
OG0000079	Syam.g_00270	Praj.g_00291
OG0000081	Syam.g_00520, Syam.g_01918	Praj.g_00522
OG0000082	Syam.g_01730	Praj.g_01827
OG0000084	Syam.g_00441	Praj.g_01628
OG0000085	Syam.g_01979	Praj.g_01762
OG0000086	Syam.g_02092	Praj.g_00126
OG0000087	Syam.g_02175	Praj.g_00179
OG0000088	Syam.g_02213	Praj.g_00206
OG0000089	Syam.g_00489	Praj.g_00403
OG0000090	Syam.g_00651	Praj.g_00524
OG0000091	Syam.g_01460	Praj.g_00630
OG0000093	Syam.g_01305	Praj.g_00754
OG0000094	Syam.g_01198	Praj.g_00846
OG0000095	Syam.g_00774	Praj.g_01024
OG0000097	Syam.g_00874	Praj.g_01416
OG0000098	Syam.g_00944	Praj.g_01546
OG0000099	Syam.g_00173	Praj.g_00372
OG0000100	Syam.g_01259	Praj.g_01709
OG0000101	Syam.g_00371	Praj.g_01952
OG0000102	Syam.g_00110	Praj.g_02017
OG0000103	Syam.g_02428	Praj.g_02135
OG0000104	Syam.g_02442	Praj.g_02145
OG0000105	Syam.g_00238	Praj.g_00310
OG0000106	Syam.g_01039	Praj.g_01156, Praj.g_01282
OG0000107	Syam.g_00288	Praj.g_01869
OG0000108	Syam.g_00583	Praj.g_00473
OG0000109	Syam.g_00598	Praj.g_00486
OG0000110	Syam.g_01743	Praj.g_00565
OG0000111	Syam.g_00783	Praj.g_00692
OG0000112	Syam.g_01115	Praj.g_00938
OG0000113	Syam.g_01264	Praj.g_00793, Praj.g_01176
OG0000114	Syam.g_01349	Praj.g_00887
OG0000115	Syam.g_01634	Praj.g_01725
OG0000116	Syam.g_01807	Praj.g_01471
OG0000117	Syam.g_00904	Praj.g_01355
OG0000118	Syam.g_01698	Praj.g_01540
OG0000120	Syam.g_00172	Praj.g_00664
OG0000121	Syam.g_01615	Praj.g_01634
OG0000122	Syam.g_01436	Praj.g_01673
OG0000123	Syam.g_00379	Praj.g_01959
OG0000124	Syam.g_00096	Praj.g_02031
OG0000125	Syam.g_02319	Praj.g_02091
OG0000126	Syam.g_02440	Praj.g_02144
OG0000128	Syam.g_00012	Praj.g_00011
OG0000129	Syam.g_02307	Praj.g_00048
OG0000130	Syam.g_02062	Praj.g_00107
OG0000131	Syam.g_02191	Praj.g_00185
OG0000132	Syam.g_02211	Praj.g_00204
OG0000133	Syam.g_01120	Praj.g_00357
OG0000134	Syam.g_00492	Praj.g_00405
OG0000135	Syam.g_02347	Praj.g_01279
OG0000136	Syam.g_01857	Praj.g_00435
OG0000137	Syam.g_01668	Praj.g_00467
OG0000138	Syam.g_00599	Praj.g_00487
OG0000139	Syam.g_00657	Praj.g_00528
OG0000140	Syam.g_00659	Praj.g_00529
OG0000141	Syam.g_01514	Praj.g_00595
OG0000142	Syam.g_01468	Praj.g_00623
OG0000143	Syam.g_01464	Praj.g_00627
OG0000144	Syam.g_01032	Praj.g_00640
OG0000145	Syam.g_00605	Praj.g_01054
OG0000146	Syam.g_01114	Praj.g_00937
OG0000147	Syam.g_01113	Praj.g_00936
OG0000148	Syam.g_01270	Praj.g_00787
OG0000149	Syam.g_00725	Praj.g_00819
OG0000150	Syam.g_00660	Praj.g_00828
OG0000151	Syam.g_01338	Praj.g_00898
OG0000152	Syam.g_01124	Praj.g_01601, Praj.g_00946
OG0000153	Syam.g_01160	Praj.g_00965
OG0000154	Syam.g_01187	Praj.g_00995
OG0000155	Syam.g_01763	Praj.g_01440
OG0000156	Syam.g_01814	Praj.g_01517
OG0000157	Syam.g_01815	Praj.g_01518
OG0000158	Syam.g_00139	Praj.g_01995
OG0000160	Syam.g_01614	Praj.g_01633
OG0000161	Syam.g_01620	Praj.g_01639
OG0000162	Syam.g_01627	Praj.g_01645
OG0000163	Syam.g_01927	Praj.g_01681
OG0000164	Syam.g_02023	Praj.g_01790
OG0000165	Syam.g_01879, Syam.g_01878	Praj.g_01798
OG0000166	Syam.g_00330	Praj.g_01915
OG0000167	Syam.g_00151	Praj.g_01985
OG0000168	Syam.g_00138	Praj.g_01996
OG0000169	Syam.g_00127	Praj.g_02006
OG0000170	Syam.g_00120	Praj.g_02008
OG0000171	Syam.g_00097	Praj.g_02030
OG0000172	Syam.g_00075	Praj.g_02061
OG0000173	Syam.g_00057	Praj.g_02076
OG0000174	Syam.g_02349	Praj.g_02107
OG0000175	Syam.g_02417	Praj.g_02125
OG0000176	Syam.g_00004	Praj.g_00004
