Orthogroup	Syam	Praw
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Praw.g_01000
OG0000002	Syam.g_00931	Praw.g_01009, Praw.g_01844
OG0000004	Syam.g_00787	Praw.g_01827
OG0000004	Syam.g_01499, Syam.g_00501	Praw.g_01203
OG0000005	Syam.g_02004	Praw.g_00528
OG0000005	Syam.g_01970	Praw.g_00413
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Praw.g_01950
OG0000007	Syam.g_00602	Praw.g_00651
OG0000007	Syam.g_01990	Praw.g_00515
OG0000008	Syam.g_00810	Praw.g_00501
OG0000008	Syam.g_00811	Praw.g_00502
OG0000009	Syam.g_02119	Praw.g_01330
OG0000010	Syam.g_01669	Praw.g_01460
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Praw.g_00159
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Praw.g_00807
OG0000014	Syam.g_00191	Praw.g_00828
OG0000015	Syam.g_01218, Syam.g_01362	Praw.g_01738
OG0000016	Syam.g_00876	Praw.g_01415
OG0000016	Syam.g_01011	Praw.g_00484
OG0000017	Syam.g_01715, Syam.g_01708	Praw.g_01944
OG0000018	Syam.g_01640	Praw.g_00215
OG0000019	Syam.g_00274	Praw.g_00884, Praw.g_01717
OG0000021	Syam.g_00523	Praw.g_00479, Praw.g_00767
OG0000022	Syam.g_01418	Praw.g_00197
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Praw.g_00772
OG0000024	Syam.g_00815	Praw.g_01763, Praw.g_01847
OG0000025	Syam.g_00740	Praw.g_00803, Praw.g_01664
OG0000026	Syam.g_00035	Praw.g_01397, Praw.g_01453
OG0000027	Syam.g_01442, Syam.g_00989	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syam.g_00176	Praw.g_00334, Praw.g_00814
OG0000029	Syam.g_01390, Syam.g_01055	Praw.g_01755
OG0000030	Syam.g_00104, Syam.g_00103	Praw.g_00029
OG0000031	Syam.g_00086	Praw.g_01073
OG0000032	Syam.g_00079	Praw.g_01043
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Praw.g_00991
OG0000035	Syam.g_01612	Praw.g_01081, Praw.g_01083
OG0000037	Syam.g_02125	Praw.g_01326
OG0000038	Syam.g_02317	Praw.g_01182
OG0000039	Syam.g_00749	Praw.g_01836
OG0000040	Syam.g_02390	Praw.g_00214
OG0000041	Syam.g_01899, Syam.g_00765	Praw.g_00562
OG0000042	Syam.g_00107	Praw.g_00032
OG0000045	Syam.g_02028	Praw.g_00761
OG0000047	Syam.g_00434	Praw.g_00804
OG0000048	Syam.g_00243	Praw.g_00504, Praw.g_00758
OG0000052	Syam.g_00161	Praw.g_01071
OG0000053	Syam.g_01636	Praw.g_00357
OG0000054	Syam.g_01515	Praw.g_00142
OG0000055	Syam.g_00754	Praw.g_01716
OG0000057	Syam.g_00784	Praw.g_01824
OG0000059	Syam.g_00320	Praw.g_01894
OG0000060	Syam.g_00902	Praw.g_01743
OG0000061	Syam.g_01795	Praw.g_00234
OG0000062	Syam.g_01972	Praw.g_00415
OG0000063	Syam.g_00039	Praw.g_01395
OG0000065	Syam.g_02121	Praw.g_01328
OG0000066	Syam.g_00552, Syam.g_00662	Praw.g_00609
OG0000067	Syam.g_01290	Praw.g_01697
OG0000068	Syam.g_00575	Praw.g_01016
OG0000069	Syam.g_01521	Praw.g_00448
OG0000070	Syam.g_01847	Praw.g_00697
OG0000071	Syam.g_01830	Praw.g_00981
OG0000072	Syam.g_02219	Praw.g_01264
OG0000073	Syam.g_00604	Praw.g_00649
OG0000074	Syam.g_00533	Praw.g_01840
OG0000075	Syam.g_00148	Praw.g_00064
OG0000076	Syam.g_00115	Praw.g_00039
OG0000077	Syam.g_02074	Praw.g_01356
OG0000078	Syam.g_00514	Praw.g_01196
OG0000081	Syam.g_00520, Syam.g_01918	Praw.g_00617
OG0000082	Syam.g_01730	Praw.g_01932
OG0000084	Syam.g_00441	Praw.g_01087
OG0000085	Syam.g_01979	Praw.g_00508
OG0000086	Syam.g_02092	Praw.g_01346
OG0000087	Syam.g_02175	Praw.g_01296
OG0000088	Syam.g_02213	Praw.g_01269
OG0000089	Syam.g_00489	Praw.g_00776
OG0000090	Syam.g_00651	Praw.g_00615
OG0000091	Syam.g_01460	Praw.g_01880
OG0000093	Syam.g_01305	Praw.g_01571
OG0000094	Syam.g_01198	Praw.g_01486
OG0000095	Syam.g_00774	Praw.g_01467
OG0000097	Syam.g_00874	Praw.g_00275
OG0000098	Syam.g_00944	Praw.g_00997
OG0000099	Syam.g_00173	Praw.g_01051
OG0000100	Syam.g_01259	Praw.g_00411
OG0000101	Syam.g_00371	Praw.g_00096
OG0000102	Syam.g_00110	Praw.g_00034
OG0000103	Syam.g_02428	Praw.g_01148
OG0000104	Syam.g_02442	Praw.g_01140
OG0000105	Syam.g_00238	Praw.g_00860
OG0000106	Syam.g_01039	Praw.g_00762
OG0000107	Syam.g_00288	Praw.g_00748
OG0000108	Syam.g_00583	Praw.g_00667
OG0000109	Syam.g_00598	Praw.g_00654
OG0000110	Syam.g_01743	Praw.g_01922
OG0000111	Syam.g_00783	Praw.g_01823
OG0000112	Syam.g_01115	Praw.g_01732
OG0000113	Syam.g_01264	Praw.g_01675
OG0000114	Syam.g_01349	Praw.g_01597
OG0000115	Syam.g_01634	Praw.g_00178
OG0000116	Syam.g_01807	Praw.g_00224
OG0000117	Syam.g_00904	Praw.g_00926
OG0000118	Syam.g_01698	Praw.g_00993
OG0000120	Syam.g_00172	Praw.g_01050
OG0000121	Syam.g_01615	Praw.g_01078
OG0000122	Syam.g_01436	Praw.g_00377
OG0000123	Syam.g_00379	Praw.g_00089
OG0000124	Syam.g_00096	Praw.g_00023
OG0000125	Syam.g_02319	Praw.g_01180
OG0000126	Syam.g_02440	Praw.g_01141
OG0000128	Syam.g_00012	Praw.g_01125
OG0000129	Syam.g_02307	Praw.g_01384
OG0000130	Syam.g_02062	Praw.g_01365
OG0000131	Syam.g_02191	Praw.g_01290
OG0000132	Syam.g_02211	Praw.g_01271
OG0000133	Syam.g_01120	Praw.g_00812
OG0000134	Syam.g_00492	Praw.g_00775
OG0000135	Syam.g_02347	Praw.g_00751
OG0000136	Syam.g_01857	Praw.g_00706
OG0000137	Syam.g_01668	Praw.g_00672
OG0000138	Syam.g_00599	Praw.g_00653
OG0000139	Syam.g_00657	Praw.g_00611
OG0000140	Syam.g_00659	Praw.g_00610
OG0000141	Syam.g_01514	Praw.g_00143
OG0000142	Syam.g_01468	Praw.g_01887
OG0000143	Syam.g_01464	Praw.g_01883
OG0000144	Syam.g_01032	Praw.g_01870
