Orthogroup	Prap	Prbg
OG0000000	Prap.g_00720	Prbg.g_01222
OG0000000	Prap.g_00715	Prbg.g_01227
OG0000000	Prap.g_00823	Prbg.g_01119
OG0000000	Prap.g_00486	Prbg.g_01516
OG0000000	Prap.g_01946	Prbg.g_00523
OG0000000	Prap.g_00484	Prbg.g_01514
OG0000000	Prap.g_00491	Prbg.g_01521
OG0000000	Prap.g_00224	Prbg.g_00694
OG0000001	Prap.g_01846	Prbg.g_01583
OG0000001	Prap.g_00493	Prbg.g_01523
OG0000001	Prap.g_00493	Prbg.g_01568
OG0000001	Prap.g_01861	Prbg.g_01523
OG0000001	Prap.g_01861	Prbg.g_01568
OG0000002	Prap.g_01925	Prbg.g_00502
OG0000002	Prap.g_00653	Prbg.g_01069
OG0000003	Prap.g_00494	Prbg.g_01524
OG0000004	Prap.g_00535	Prbg.g_00451
OG0000005	Prap.g_01862	Prbg.g_01567
OG0000006	Prap.g_01270	Prbg.g_00216
OG0000006	Prap.g_01779	Prbg.g_01650
OG0000007	Prap.g_01888	Prbg.g_00744
OG0000007	Prap.g_01887	Prbg.g_00745
OG0000009	Prap.g_00480	Prbg.g_01510
OG0000009	Prap.g_01462	Prbg.g_01032
OG0000010	Prap.g_00010	Prbg.g_00032
OG0000011	Prap.g_01343	Prbg.g_00143
OG0000012	Prap.g_01170	Prbg.g_00317
OG0000012	Prap.g_01163	Prbg.g_00324
OG0000013	Prap.g_01840	Prbg.g_01589
OG0000013	Prap.g_01794	Prbg.g_01635
OG0000014	Prap.g_01912	Prbg.g_00721
OG0000014	Prap.g_01860	Prbg.g_01569
OG0000015	Prap.g_01851	Prbg.g_01578
OG0000015	Prap.g_01818	Prbg.g_01611
OG0000016	Prap.g_00510	Prbg.g_01540
OG0000016	Prap.g_00218	Prbg.g_00688
OG0000017	Prap.g_00142	Prbg.g_00612
OG0000017	Prap.g_01834	Prbg.g_01595
OG0000018	Prap.g_01470	Prbg.g_01024
OG0000019	Prap.g_00797	Prbg.g_01145
OG0000020	Prap.g_00548	Prbg.g_00464
OG0000020	Prap.g_01439	Prbg.g_00050
OG0000021	Prap.g_01797	Prbg.g_01632
OG0000023	Prap.g_00216	Prbg.g_00686
OG0000024	Prap.g_01403	Prbg.g_00086
OG0000025	Prap.g_00667	Prbg.g_01055
OG0000026	Prap.g_01903	Prbg.g_00730
OG0000028	Prap.g_00121	Prbg.g_00591
OG0000029	Prap.g_01312	Prbg.g_00174
OG0000031	Prap.g_00611	Prbg.g_00408
OG0000032	Prap.g_00080	Prbg.g_00550
OG0000033	Prap.g_00514	Prbg.g_01544
OG0000034	Prap.g_00897	Prbg.g_00816
OG0000034	Prap.g_00099	Prbg.g_00569
OG0000035	Prap.g_00017	Prbg.g_00025
OG0000036	Prap.g_01790	Prbg.g_01639
OG0000036	Prap.g_01183	Prbg.g_00304
OG0000037	Prap.g_00236	Prbg.g_00706
OG0000037	Prap.g_01145	Prbg.g_00342
OG0000038	Prap.g_00212	Prbg.g_00682
OG0000039	Prap.g_01004	Prbg.g_00944
OG0000040	Prap.g_00029	Prbg.g_00013
OG0000041	Prap.g_01815	Prbg.g_01614
OG0000041	Prap.g_01821	Prbg.g_01608
OG0000042	Prap.g_00791	Prbg.g_01151
OG0000043	Prap.g_00691	Prbg.g_01251
OG0000044	Prap.g_00456	Prbg.g_01486
OG0000045	Prap.g_00081	Prbg.g_00551
OG0000046	Prap.g_01787	Prbg.g_01642
OG0000046	Prap.g_01917	Prbg.g_00716
OG0000047	Prap.g_01580	Prbg.g_01847
OG0000048	Prap.g_01572	Prbg.g_01855
OG0000050	Prap.g_00923	Prbg.g_00842
OG0000051	Prap.g_01013	Prbg.g_00935
OG0000052	Prap.g_00591	Prbg.g_00388
OG0000053	Prap.g_01230	Prbg.g_00256
OG0000054	Prap.g_01128	Prbg.g_00359
OG0000055	Prap.g_00760	Prbg.g_01182
OG0000056	Prap.g_00512	Prbg.g_01542
OG0000057	Prap.g_01475	Prbg.g_01019
OG0000058	Prap.g_01292	Prbg.g_00194
OG0000059	Prap.g_00799	Prbg.g_01143
OG0000062	Prap.g_01883	Prbg.g_00749
OG0000063	Prap.g_00429	Prbg.g_01459
OG0000065	Prap.g_00561	Prbg.g_00477
OG0000066	Prap.g_00079	Prbg.g_00549
OG0000067	Prap.g_00619	Prbg.g_00415
OG0000068	Prap.g_01642	Prbg.g_01785
OG0000069	Prap.g_00160	Prbg.g_00630
OG0000071	Prap.g_00043	Prbg.g_00778
OG0000072	Prap.g_01389	Prbg.g_00100
OG0000073	Prap.g_00356	Prbg.g_01386
OG0000074	Prap.g_00809	Prbg.g_01133
OG0000075	Prap.g_00776	Prbg.g_01166
OG0000076	Prap.g_00708	Prbg.g_01234
OG0000077	Prap.g_01863	Prbg.g_01566
OG0000078	Prap.g_00082	Prbg.g_00552
OG0000079	Prap.g_00206	Prbg.g_00676
OG0000080	Prap.g_00618	Prbg.g_00414
OG0000081	Prap.g_01608	Prbg.g_01819
OG0000082	Prap.g_00623	Prbg.g_00419
OG0000083	Prap.g_00051	Prbg.g_00770
OG0000084	Prap.g_00048	Prbg.g_00773
OG0000085	Prap.g_00932	Prbg.g_00851
OG0000087	Prap.g_00903	Prbg.g_00822
OG0000088	Prap.g_01061	Prbg.g_00887
OG0000089	Prap.g_01052	Prbg.g_00896
OG0000090	Prap.g_01035	Prbg.g_00913
OG0000091	Prap.g_01001	Prbg.g_00947
OG0000092	Prap.g_01000	Prbg.g_00948
OG0000093	Prap.g_00986	Prbg.g_00962
OG0000094	Prap.g_00967	Prbg.g_00981
OG0000095	Prap.g_00962	Prbg.g_00986
OG0000096	Prap.g_01460	Prbg.g_01034
OG0000097	Prap.g_01436	Prbg.g_00053
OG0000098	Prap.g_01425	Prbg.g_00064
OG0000099	Prap.g_01415	Prbg.g_00074
OG0000100	Prap.g_01412	Prbg.g_00077
OG0000101	Prap.g_01347	Prbg.g_00139
OG0000102	Prap.g_00543	Prbg.g_00459
OG0000103	Prap.g_01291	Prbg.g_00195
OG0000104	Prap.g_01287	Prbg.g_00199
OG0000105	Prap.g_01267	Prbg.g_00219
OG0000106	Prap.g_01237	Prbg.g_00249
OG0000107	Prap.g_01236	Prbg.g_00250
OG0000108	Prap.g_01226	Prbg.g_00260
OG0000109	Prap.g_01217	Prbg.g_00270
OG0000110	Prap.g_01200	Prbg.g_00287
OG0000111	Prap.g_00375	Prbg.g_01405
OG0000112	Prap.g_00374	Prbg.g_01404
OG0000113	Prap.g_00324	Prbg.g_01354
OG0000114	Prap.g_00785	Prbg.g_01157
OG0000115	Prap.g_00257	Prbg.g_01287
OG0000116	Prap.g_00261	Prbg.g_01291
OG0000117	Prap.g_00705	Prbg.g_01237
OG0000118	Prap.g_00501	Prbg.g_01531
OG0000119	Prap.g_01880	Prbg.g_00752
OG0000120	Prap.g_00450	Prbg.g_01480
OG0000121	Prap.g_00427	Prbg.g_01457
OG0000122	Prap.g_00407	Prbg.g_01437
OG0000123	Prap.g_01135	Prbg.g_00352
OG0000124	Prap.g_00217	Prbg.g_00687
OG0000125	Prap.g_00574	Prbg.g_00490
OG0000126	Prap.g_00059	Prbg.g_00529
OG0000127	Prap.g_00109	Prbg.g_00579
OG0000128	Prap.g_00122	Prbg.g_00592
OG0000129	Prap.g_00158	Prbg.g_00628
OG0000130	Prap.g_01782	Prbg.g_01647
OG0000131	Prap.g_01742	Prbg.g_01686
OG0000132	Prap.g_01739	Prbg.g_01689
OG0000133	Prap.g_01685	Prbg.g_01743
OG0000134	Prap.g_01648, Prap.g_01649	Prbg.g_01779
OG0000135	Prap.g_01646	Prbg.g_01781
OG0000136	Prap.g_01596	Prbg.g_01831
OG0000137	Prap.g_01562	Prbg.g_01865
OG0000138	Prap.g_01528	Prbg.g_01900
OG0000139	Prap.g_01497	Prbg.g_01931
OG0000140	Prap.g_00053	Prbg.g_00768
OG0000141	Prap.g_00052	Prbg.g_00769
OG0000142	Prap.g_00050	Prbg.g_00771
OG0000143	Prap.g_00049	Prbg.g_00772
OG0000144	Prap.g_00047	Prbg.g_00774
OG0000145	Prap.g_00046	Prbg.g_00775
OG0000146	Prap.g_00045	Prbg.g_00776
OG0000147	Prap.g_00044	Prbg.g_00777
OG0000148	Prap.g_00042	Prbg.g_00779
OG0000149	Prap.g_00941	Prbg.g_00860
OG0000150	Prap.g_00940	Prbg.g_00859
OG0000151	Prap.g_00939	Prbg.g_00858
OG0000152	Prap.g_00938	Prbg.g_00857
OG0000153	Prap.g_00937	Prbg.g_00856
OG0000154	Prap.g_00936	Prbg.g_00855
OG0000155	Prap.g_00935	Prbg.g_00854
OG0000156	Prap.g_00934	Prbg.g_00853
OG0000157	Prap.g_00933	Prbg.g_00852
OG0000158	Prap.g_00931	Prbg.g_00850
OG0000159	Prap.g_00930	Prbg.g_00849
OG0000160	Prap.g_00929	Prbg.g_00848
OG0000161	Prap.g_00928	Prbg.g_00847
OG0000162	Prap.g_00927	Prbg.g_00846
OG0000163	Prap.g_00925	Prbg.g_00844
OG0000164	Prap.g_00922	Prbg.g_00841
OG0000165	Prap.g_00919	Prbg.g_00838
OG0000166	Prap.g_00918	Prbg.g_00837
OG0000167	Prap.g_00917	Prbg.g_00836
OG0000168	Prap.g_00915	Prbg.g_00834
OG0000169	Prap.g_00913	Prbg.g_00832
OG0000170	Prap.g_00911	Prbg.g_00830
OG0000171	Prap.g_00910	Prbg.g_00829
