Orthogroup	Prap	Pran
OG0000000	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224	Pran.g_01500
OG0000002	Prap.g_00653	Pran.g_01395
OG0000003	Prap.g_00494	Pran.g_00894
OG0000004	Prap.g_00535	Pran.g_00576, Pran.g_01436, Pran.g_00895
OG0000005	Prap.g_01862	Pran.g_01423
OG0000006	Prap.g_01270	Pran.g_01681
OG0000006	Prap.g_01779	Pran.g_00970
OG0000009	Prap.g_00480	Pran.g_01363
OG0000009	Prap.g_01462	Pran.g_01943
OG0000010	Prap.g_00010	Pran.g_00603, Pran.g_00114
OG0000012	Prap.g_01163	Pran.g_01580
OG0000013	Prap.g_01840, Prap.g_01794	Pran.g_01394
OG0000014	Prap.g_01912, Prap.g_01860	Pran.g_00583
OG0000015	Prap.g_01851, Prap.g_01818	Pran.g_01813
OG0000016	Prap.g_00510, Prap.g_00218	Pran.g_00845
OG0000017	Prap.g_00142, Prap.g_01834	Pran.g_00713
OG0000018	Prap.g_01470	Pran.g_01951
OG0000019	Prap.g_00797	Pran.g_01829
OG0000020	Prap.g_00548, Prap.g_01439	Pran.g_01772, Pran.g_01820
OG0000021	Prap.g_01797	Pran.g_01361
OG0000023	Prap.g_00216	Pran.g_00615
OG0000024	Prap.g_01403	Pran.g_01888
OG0000025	Prap.g_00667	Pran.g_00936, Pran.g_01789
OG0000028	Prap.g_00121	Pran.g_00733
OG0000029	Prap.g_01312	Pran.g_00614
OG0000032	Prap.g_00080	Pran.g_00753
OG0000033	Prap.g_00514	Pran.g_00620
OG0000034	Prap.g_00099	Pran.g_00777
OG0000035	Prap.g_00017	Pran.g_00415
OG0000036	Prap.g_01790, Prap.g_01183	Pran.g_01593
OG0000037	Prap.g_00236, Prap.g_01145	Pran.g_01555
OG0000038	Prap.g_00212	Pran.g_01401
OG0000039	Prap.g_01004	Pran.g_00266
OG0000040	Prap.g_00029	Pran.g_01834
OG0000041	Prap.g_01815, Prap.g_01821	Pran.g_01778
OG0000042	Prap.g_00791	Pran.g_01460
OG0000043	Prap.g_00691	Pran.g_01358
OG0000044	Prap.g_00456	Pran.g_00060
OG0000045	Prap.g_00081	Pran.g_00807
OG0000046	Prap.g_01787, Prap.g_01917	Pran.g_00963
OG0000047	Prap.g_01580	Pran.g_01160
OG0000048	Prap.g_01572	Pran.g_01167
OG0000050	Prap.g_00923	Pran.g_00930
OG0000051	Prap.g_01013	Pran.g_00275
OG0000052	Prap.g_00591	Pran.g_01824
OG0000053	Prap.g_01230, Prap.g_01867	Pran.g_01639
OG0000054	Prap.g_01128	Pran.g_01408, Pran.g_01379
OG0000055	Prap.g_00760	Pran.g_01321
OG0000056	Prap.g_00512	Pran.g_00935
OG0000057	Prap.g_01475	Pran.g_00195
OG0000058	Prap.g_01292	Pran.g_01703
OG0000059	Prap.g_00799	Pran.g_01480
OG0000062	Prap.g_01883	Pran.g_00093
OG0000063	Prap.g_00429	Pran.g_01466
OG0000065	Prap.g_00561	Pran.g_00938, Pran.g_00876
OG0000066	Prap.g_00079	Pran.g_00752
OG0000068	Prap.g_01642	Pran.g_01105
OG0000071	Prap.g_00043	Pran.g_01268
OG0000072	Prap.g_01389	Pran.g_01872
OG0000073	Prap.g_00356	Pran.g_01509
OG0000074	Prap.g_00809	Pran.g_01487
OG0000075	Prap.g_00776	Pran.g_01336
OG0000076	Prap.g_00708	Pran.g_00568, Pran.g_00903
OG0000078	Prap.g_00082	Pran.g_00806
OG0000079	Prap.g_00206	Pran.g_00655
OG0000080	Prap.g_00618	Pran.g_00575, Pran.g_00912
OG0000081	Prap.g_01608	Pran.g_01135
OG0000083	Prap.g_00051	Pran.g_01260
OG0000084	Prap.g_00048	Pran.g_01263
OG0000085	Prap.g_00932	Pran.g_00401
OG0000087	Prap.g_00903	Pran.g_00376
OG0000088	Prap.g_01061	Pran.g_00320
OG0000089	Prap.g_01052	Pran.g_00312
OG0000090	Prap.g_01035	Pran.g_00295
OG0000091	Prap.g_01001	Pran.g_00263
OG0000092	Prap.g_01000	Pran.g_00262
OG0000093	Prap.g_00986	Pran.g_00248
OG0000094	Prap.g_00967	Pran.g_00230
OG0000095	Prap.g_00962	Pran.g_00225
OG0000096	Prap.g_01460	Pran.g_01941
OG0000097	Prap.g_01436	Pran.g_01920
OG0000099	Prap.g_01415	Pran.g_01900
OG0000100	Prap.g_01412	Pran.g_01897
OG0000101	Prap.g_01347	Pran.g_01838
OG0000102	Prap.g_00543	Pran.g_01812
OG0000103	Prap.g_01291	Pran.g_01702
OG0000104	Prap.g_01287	Pran.g_01698
OG0000105	Prap.g_01267	Pran.g_01679
OG0000107	Prap.g_01236	Pran.g_01645
OG0000108	Prap.g_01226	Pran.g_01635
OG0000109	Prap.g_01217	Pran.g_01626
OG0000110	Prap.g_01200	Pran.g_01609
OG0000111	Prap.g_00375	Pran.g_01527
OG0000112	Prap.g_00374	Pran.g_01526
OG0000113	Prap.g_00324	Pran.g_01438
OG0000114	Prap.g_00785	Pran.g_01345
OG0000115	Prap.g_00257	Pran.g_00487
OG0000116	Prap.g_00261	Pran.g_00491
OG0000117	Prap.g_00705	Pran.g_00565
OG0000118	Prap.g_00501	Pran.g_00135
OG0000119	Prap.g_01880	Pran.g_00090
OG0000120	Prap.g_00450	Pran.g_00054
OG0000121	Prap.g_00427	Pran.g_00035
OG0000122	Prap.g_00407	Pran.g_00016
OG0000123	Prap.g_01135	Pran.g_00003
OG0000124	Prap.g_00217	Pran.g_00918
OG0000125	Prap.g_00574	Pran.g_00864
OG0000126	Prap.g_00059	Pran.g_00841
OG0000127	Prap.g_00109	Pran.g_00746
OG0000128	Prap.g_00122	Pran.g_00732
OG0000129	Prap.g_00158	Pran.g_00696
OG0000130	Prap.g_01782	Pran.g_00968
OG0000131	Prap.g_01742	Pran.g_01006
OG0000132	Prap.g_01739	Pran.g_01009
OG0000133	Prap.g_01685	Pran.g_01063
OG0000134	Prap.g_01648, Prap.g_01649	Pran.g_01100
OG0000135	Prap.g_01646	Pran.g_01102
OG0000136	Prap.g_01596	Pran.g_01145
OG0000137	Prap.g_01562	Pran.g_01177
OG0000138	Prap.g_01528	Pran.g_01212
OG0000139	Prap.g_01497	Pran.g_01239
OG0000140	Prap.g_00053	Pran.g_01258
OG0000141	Prap.g_00052	Pran.g_01259
OG0000142	Prap.g_00050	Pran.g_01261
OG0000143	Prap.g_00049	Pran.g_01262
OG0000144	Prap.g_00047	Pran.g_01264
OG0000145	Prap.g_00046	Pran.g_01265
OG0000146	Prap.g_00045	Pran.g_01266
OG0000147	Prap.g_00044	Pran.g_01267
OG0000148	Prap.g_00042	Pran.g_01269
OG0000149	Prap.g_00941	Pran.g_00410
OG0000150	Prap.g_00940	Pran.g_00409
OG0000151	Prap.g_00939	Pran.g_00408
OG0000152	Prap.g_00938	Pran.g_00407
OG0000153	Prap.g_00937	Pran.g_00406
OG0000154	Prap.g_00936	Pran.g_00405
OG0000155	Prap.g_00935	Pran.g_00404
OG0000156	Prap.g_00934	Pran.g_00403
OG0000157	Prap.g_00933	Pran.g_00402
OG0000158	Prap.g_00931	Pran.g_00400
OG0000159	Prap.g_00930	Pran.g_00399
OG0000160	Prap.g_00929	Pran.g_00398
OG0000161	Prap.g_00928	Pran.g_00397
OG0000162	Prap.g_00927	Pran.g_00396
OG0000163	Prap.g_00925	Pran.g_00395
OG0000164	Prap.g_00922	Pran.g_00392
OG0000165	Prap.g_00919	Pran.g_00389
OG0000166	Prap.g_00918	Pran.g_00388
OG0000167	Prap.g_00917	Pran.g_00387
OG0000168	Prap.g_00915	Pran.g_00385
OG0000169	Prap.g_00913	Pran.g_00383
OG0000170	Prap.g_00911	Pran.g_00382
OG0000171	Prap.g_00910	Pran.g_00381
OG0000172	Prap.g_00909	Pran.g_00380
OG0000173	Prap.g_00906	Pran.g_00379
OG0000174	Prap.g_00905	Pran.g_00378
OG0000175	Prap.g_00904	Pran.g_00377
OG0000176	Prap.g_00902	Pran.g_00375
OG0000177	Prap.g_00901	Pran.g_00374
OG0000178	Prap.g_00899	Pran.g_00373
OG0000179	Prap.g_00887	Pran.g_00368
OG0000180	Prap.g_00886	Pran.g_00367
OG0000181	Prap.g_00885	Pran.g_00366
OG0000182	Prap.g_00881	Pran.g_00363
OG0000183	Prap.g_00880	Pran.g_00362
OG0000184	Prap.g_00877	Pran.g_00359
OG0000185	Prap.g_01100	Pran.g_00355
OG0000186	Prap.g_01099	Pran.g_00354
OG0000187	Prap.g_00025	Pran.g_00353
OG0000188	Prap.g_01098	Pran.g_00352
OG0000189	Prap.g_01097	Pran.g_00351
OG0000190	Prap.g_01096	Pran.g_00350
OG0000191	Prap.g_01095	Pran.g_00349
OG0000192	Prap.g_01094	Pran.g_00348
OG0000193	Prap.g_01093	Pran.g_00347
OG0000194	Prap.g_01092	Pran.g_00346
OG0000195	Prap.g_01090	Pran.g_00344
OG0000196	Prap.g_01089	Pran.g_00343
OG0000197	Prap.g_01088	Pran.g_00342
OG0000198	Prap.g_01087	Pran.g_00341
OG0000199	Prap.g_01084	Pran.g_00339
OG0000200	Prap.g_01083	Pran.g_00338
OG0000201	Prap.g_01082	Pran.g_00337
OG0000202	Prap.g_01080	Pran.g_00336
OG0000203	Prap.g_01079	Pran.g_00335
OG0000204	Prap.g_01078	Pran.g_00334
OG0000205	Prap.g_01076	Pran.g_00333
OG0000206	Prap.g_01075	Pran.g_00332
OG0000207	Prap.g_01074	Pran.g_00331
OG0000208	Prap.g_01073	Pran.g_00330
OG0000209	Prap.g_01072	Pran.g_00329
OG0000210	Prap.g_01071	Pran.g_00327
OG0000211	Prap.g_01069	Pran.g_00326
OG0000212	Prap.g_01068	Pran.g_00325
OG0000213	Prap.g_01067	Pran.g_00324
OG0000214	Prap.g_01063	Pran.g_00322
OG0000215	Prap.g_01062	Pran.g_00321
OG0000216	Prap.g_01060	Pran.g_00319
OG0000217	Prap.g_01059	Pran.g_00318
OG0000218	Prap.g_01058	Pran.g_00317
OG0000219	Prap.g_01057	Pran.g_00316
OG0000220	Prap.g_01054	Pran.g_00313
OG0000221	Prap.g_01051	Pran.g_00311
OG0000222	Prap.g_01050	Pran.g_00310
OG0000223	Prap.g_01049	Pran.g_00309
OG0000224	Prap.g_01047	Pran.g_00307
OG0000225	Prap.g_01045	Pran.g_00305
OG0000226	Prap.g_01043	Pran.g_00304
OG0000227	Prap.g_01042	Pran.g_00303
OG0000228	Prap.g_01041	Pran.g_00302
OG0000229	Prap.g_01040	Pran.g_00301
OG0000230	Prap.g_01039	Pran.g_00300
