Orthogroup	Prap	Pras
OG0000000	Prap.g_00720, Prap.g_00715	Pras.g_00243
OG0000000	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224	Pras.g_01554
OG0000002	Prap.g_01925	Pras.g_00235
OG0000002	Prap.g_00653	Pras.g_00541, Pras.g_00118, Pras.g_00120
OG0000003	Prap.g_00494	Pras.g_00136, Pras.g_00182
OG0000004	Prap.g_00535	Pras.g_01631, Pras.g_01638
OG0000005	Prap.g_01862	Pras.g_00493
OG0000006	Prap.g_01270	Pras.g_01375
OG0000006	Prap.g_01779	Pras.g_00550
OG0000009	Prap.g_00480	Pras.g_01681
OG0000009	Prap.g_01462	Pras.g_01101
OG0000010	Prap.g_00010	Pras.g_00004, Pras.g_00163
OG0000011	Prap.g_01343	Pras.g_01263
OG0000012	Prap.g_01170, Prap.g_01163	Pras.g_01474
OG0000013	Prap.g_01840, Prap.g_01794	Pras.g_00127
OG0000014	Prap.g_01912, Prap.g_01860	Pras.g_01348, Pras.g_00185
OG0000015	Prap.g_01851, Prap.g_01818	Pras.g_01235, Pras.g_00539
OG0000016	Prap.g_00510, Prap.g_00218	Pras.g_00246
OG0000017	Prap.g_00142, Prap.g_01834	Pras.g_00886
OG0000018	Prap.g_01470	Pras.g_00148, Pras.g_01093
OG0000019	Prap.g_00797	Pras.g_00507
OG0000020	Prap.g_00548, Prap.g_01439	Pras.g_01227
OG0000021	Prap.g_01797	Pras.g_01683
OG0000023	Prap.g_00216	Pras.g_00157
OG0000024	Prap.g_01403	Pras.g_01158
OG0000028	Prap.g_00121	Pras.g_00350
OG0000029	Prap.g_01312	Pras.g_00464, Pras.g_00538
OG0000033	Prap.g_00514	Pras.g_00855
OG0000034	Prap.g_00099	Pras.g_00285
OG0000036	Prap.g_01790, Prap.g_01183	Pras.g_01462
OG0000037	Prap.g_00236, Prap.g_01145	Pras.g_01499
OG0000038	Prap.g_00212	Pras.g_01662
OG0000039	Prap.g_01004	Pras.g_01017
OG0000040	Prap.g_00029	Pras.g_01213
OG0000041	Prap.g_01815, Prap.g_01821	Pras.g_01285
OG0000042	Prap.g_00791	Pras.g_01606
OG0000043	Prap.g_00691	Pras.g_01686
OG0000045	Prap.g_00081	Pras.g_00291
OG0000046	Prap.g_01787, Prap.g_01917	Pras.g_00543
OG0000047	Prap.g_01580	Pras.g_00743, Pras.g_00883
OG0000048	Prap.g_01572	Pras.g_00750
OG0000050	Prap.g_00923	Pras.g_00873
OG0000051	Prap.g_01013	Pras.g_01008
OG0000052	Prap.g_00591	Pras.g_01223
OG0000053	Prap.g_01230, Prap.g_01867	Pras.g_01416
OG0000054	Prap.g_01128	Pras.g_01656
OG0000055	Prap.g_00760	Pras.g_01723
OG0000056	Prap.g_00512	Pras.g_00011
OG0000057	Prap.g_01475	Pras.g_01089
OG0000058	Prap.g_01292	Pras.g_01353
OG0000059	Prap.g_00799	Pras.g_01574
OG0000062	Prap.g_01883	Pras.g_00023
OG0000063	Prap.g_00429	Pras.g_00150
OG0000065	Prap.g_00561	Pras.g_00209
OG0000066	Prap.g_00079	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330
OG0000068	Prap.g_01642	Pras.g_00687
OG0000069	Prap.g_00160	Pras.g_00326
OG0000071	Prap.g_00043	Pras.g_00853
OG0000073	Prap.g_00356	Pras.g_01545
OG0000074	Prap.g_00809	Pras.g_01567
OG0000075	Prap.g_00776	Pras.g_01708
OG0000076	Prap.g_00708	Pras.g_01934
OG0000077	Prap.g_01863	Pras.g_00494
OG0000078	Prap.g_00082	Pras.g_00294
OG0000079	Prap.g_00206	Pras.g_00431
OG0000080	Prap.g_00618	Pras.g_00477
OG0000081	Prap.g_01608	Pras.g_00717
OG0000082	Prap.g_00623	Pras.g_00131
OG0000083	Prap.g_00051	Pras.g_00845
OG0000084	Prap.g_00048	Pras.g_00848
OG0000085	Prap.g_00932	Pras.g_00865
