Orthogroup	Prbe	Prbc
OG0000000	Prbe.g_01587	Prbc.g_00609, Prbc.g_00812
OG0000000	Prbe.g_01119	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbe.g_01586	Prbc.g_00106
OG0000000	Prbe.g_01120	Prbc.g_00618
OG0000000	Prbe.g_01120	Prbc.g_02167
OG0000000	Prbe.g_01052	Prbc.g_00608
OG0000001	Prbe.g_00400	Prbc.g_00588
OG0000001	Prbe.g_00112	Prbc.g_01530, Prbc.g_00925
OG0000002	Prbe.g_01285	Prbc.g_01920
OG0000002	Prbe.g_01579	Prbc.g_01475
OG0000002	Prbe.g_00379, Prbe.g_01577	Prbc.g_01474
OG0000002	Prbe.g_01584	Prbc.g_01479, Prbc.g_01473
OG0000002	Prbe.g_00208	Prbc.g_01478
OG0000002	Prbe.g_00452	Prbc.g_01759
OG0000004	Prbe.g_01203	Prbc.g_01381
OG0000004	Prbe.g_01784	Prbc.g_00339
OG0000005	Prbe.g_00228	Prbc.g_00788
OG0000006	Prbe.g_01794	Prbc.g_02202
OG0000007	Prbe.g_00636	Prbc.g_01556
OG0000007	Prbe.g_00985	Prbc.g_00832
OG0000008	Prbe.g_00036	Prbc.g_00893
OG0000008	Prbe.g_00037	Prbc.g_00894
OG0000009	Prbe.g_00216	Prbc.g_01344
OG0000010	Prbe.g_00659	Prbc.g_01533
OG0000010	Prbe.g_00096, Prbe.g_01411	Prbc.g_02115
OG0000011	Prbe.g_00713	Prbc.g_00066
OG0000012	Prbe.g_00196	Prbc.g_02155
OG0000013	Prbe.g_01879	Prbc.g_01219
OG0000014	Prbe.g_01861	Prbc.g_01198
OG0000015	Prbe.g_01046, Prbe.g_01000	Prbc.g_00599
OG0000016	Prbe.g_01607	Prbc.g_00929
OG0000018	Prbe.g_01250	Prbc.g_01887
OG0000018	Prbe.g_01571	Prbc.g_01468
OG0000019	Prbe.g_01573	Prbc.g_01836
OG0000020	Prbe.g_00018	Prbc.g_00116
OG0000021	Prbe.g_00203	Prbc.g_00924
OG0000021	Prbe.g_01208	Prbc.g_02189
OG0000022	Prbe.g_00220	Prbc.g_00166
OG0000023	Prbe.g_00062	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prbe.g_01415	Prbc.g_00598
OG0000024	Prbe.g_00449	Prbc.g_01755
OG0000025	Prbe.g_01258	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prbe.g_00132	Prbc.g_01101
OG0000027	Prbe.g_00012, Prbe.g_01121	Prbc.g_00072
OG0000028	Prbe.g_00034	Prbc.g_00653
OG0000030	Prbe.g_00763	Prbc.g_00199
OG0000031	Prbe.g_00352	Prbc.g_01228
OG0000032	Prbe.g_00272	Prbc.g_00746
OG0000033	Prbe.g_01717, Prbe.g_00345	Prbc.g_00402
OG0000034	Prbe.g_00882	Prbc.g_00575
OG0000035	Prbe.g_00311	Prbc.g_00709
OG0000037	Prbe.g_01651	Prbc.g_00464
OG0000038	Prbe.g_01156	Prbc.g_00995
OG0000039	Prbe.g_00461	Prbc.g_01768
OG0000041	Prbe.g_00938	Prbc.g_00877
OG0000042	Prbe.g_00766	Prbc.g_00203
OG0000043	Prbe.g_01570	Prbc.g_00135, Prbc.g_01953
OG0000045	Prbe.g_01593	Prbc.g_02137
OG0000046	Prbe.g_01880	Prbc.g_01220
OG0000047	Prbe.g_01921	Prbc.g_01273
OG0000048	Prbe.g_00906	Prbc.g_01165
OG0000051	Prbe.g_00720	Prbc.g_00088
OG0000052	Prbe.g_00158	Prbc.g_00518, Prbc.g_00517
OG0000053	Prbe.g_00290, Prbe.g_01040	Prbc.g_00728
OG0000054	Prbe.g_00527	Prbc.g_01683
OG0000055	Prbe.g_01011	Prbc.g_00907
OG0000057	Prbe.g_01206	Prbc.g_00055, Prbc.g_01780
OG0000058	Prbe.g_00351	Prbc.g_01928
OG0000059	Prbe.g_01094	Prbc.g_00958
OG0000061	Prbe.g_01549	Prbc.g_01446
OG0000062	Prbe.g_00226	Prbc.g_00790
OG0000063	Prbe.g_00021	Prbc.g_00932
OG0000065	Prbe.g_01649	Prbc.g_00466
OG0000066	Prbe.g_00596, Prbe.g_01114	Prbc.g_01618
OG0000067	Prbe.g_01222	Prbc.g_01858
OG0000068	Prbe.g_00373	Prbc.g_00657
OG0000069	Prbe.g_00678	Prbc.g_00752
OG0000070	Prbe.g_01948	Prbc.g_01511
OG0000071	Prbe.g_00893	Prbc.g_00566
OG0000072	Prbe.g_01719	Prbc.g_00400
OG0000073	Prbe.g_00633	Prbc.g_01579
OG0000074	Prbe.g_00107	Prbc.g_01960
OG0000074	Prbe.g_00070	Prbc.g_02148
OG0000075	Prbe.g_00800	Prbc.g_00236
OG0000076	Prbe.g_00774	Prbc.g_00211
OG0000077	Prbe.g_00183	Prbc.g_00495
OG0000078	Prbe.g_01792	Prbc.g_00330
OG0000079	Prbe.g_01805	Prbc.g_01148
OG0000080	Prbe.g_00339, Prbe.g_00337	Prbc.g_00679
OG0000081	Prbe.g_00604	Prbc.g_01610
OG0000082	Prbe.g_00996	Prbc.g_00891
OG0000084	Prbe.g_00314	Prbc.g_00705
OG0000085	Prbe.g_00007, Prbe.g_00993	Prbc.g_00826
OG0000086	Prbe.g_00192	Prbc.g_00485
OG0000087	Prbe.g_01683	Prbc.g_00432
OG0000088	Prbe.g_01714	Prbc.g_00405
OG0000089	Prbe.g_01915	Prbc.g_01268
OG0000090	Prbe.g_00602	Prbc.g_01612
OG0000091	Prbe.g_01477	Prbc.g_01719
OG0000093	Prbe.g_01448	Prbc.g_01843
OG0000094	Prbe.g_01399	Prbc.g_01935
OG0000095	Prbe.g_01297	Prbc.g_02113
