Orthogroup	Prbe	Syak
OG0000001	Prbe.g_00400	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbe.g_01203	Syak.g_01219, Syak.g_00720
OG0000004	Prbe.g_01784	Syak.g_00003, Syak.g_02297
OG0000005	Prbe.g_00228	Syak.g_00885, Syak.g_02436
OG0000006	Prbe.g_01794	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbe.g_00636	Syak.g_02595
OG0000007	Prbe.g_00985	Syak.g_02416
OG0000008	Prbe.g_00036	Syak.g_00267
OG0000008	Prbe.g_00037	Syak.g_00692
OG0000010	Prbe.g_00096, Prbe.g_01411	Syak.g_01119
OG0000012	Prbe.g_00511	Syak.g_00010
OG0000013	Prbe.g_01879	Syak.g_01270, Syak.g_01275
OG0000014	Prbe.g_01861	Syak.g_01505
OG0000015	Prbe.g_01046, Prbe.g_01000	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbe.g_01607	Syak.g_00818
OG0000017	Prbe.g_00536	Syak.g_02730
OG0000017	Prbe.g_00529	Syak.g_02738
OG0000018	Prbe.g_01571	Syak.g_01072
OG0000019	Prbe.g_01802, Prbe.g_01573	Syak.g_01413
OG0000021	Prbe.g_00203, Prbe.g_01208	Syak.g_00566
OG0000023	Prbe.g_00062	Syak.g_00316, Syak.g_00223
OG0000025	Prbe.g_01258	Syak.g_00610
OG0000026	Prbe.g_00132	Syak.g_01757
OG0000027	Prbe.g_00012, Prbe.g_01121	Syak.g_00127
OG0000028	Prbe.g_00034	Syak.g_01522
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091	Syak.g_00169, Syak.g_00178
OG0000030	Prbe.g_00763	Syak.g_01684, Syak.g_01685
OG0000031	Prbe.g_00352	Syak.g_01630
OG0000032	Prbe.g_00272	Syak.g_01092
OG0000033	Prbe.g_01717, Prbe.g_00345	Syak.g_02101
OG0000034	Prbe.g_00882	Syak.g_00950, Syak.g_02133
OG0000035	Prbe.g_00311	Syak.g_01041, Syak.g_01040
OG0000037	Prbe.g_01651	Syak.g_02188
OG0000038	Prbe.g_01156	Syak.g_01938, Syak.g_01936
OG0000039	Prbe.g_00461	Syak.g_00772, Syak.g_01918
OG0000041	Prbe.g_00938	Syak.g_02354, Syak.g_00752
OG0000042	Prbe.g_00766	Syak.g_00843, Syak.g_01681
OG0000043	Prbe.g_01570	Syak.g_00335
OG0000046	Prbe.g_01880	Syak.g_01269, Syak.g_01276
OG0000047	Prbe.g_01921	Syak.g_01147
OG0000048	Prbe.g_00906	Syak.g_01446
OG0000050	Prbe.g_00098	Syak.g_00106
OG0000052	Prbe.g_00158	Syak.g_01549
OG0000053	Prbe.g_00290, Prbe.g_01040	Syak.g_01068
OG0000054	Prbe.g_00527	Syak.g_02744, Syak.g_02321
OG0000055	Prbe.g_01598, Prbe.g_01011	Syak.g_00766
OG0000057	Prbe.g_01206	Syak.g_00724, Syak.g_01676
OG0000058	Prbe.g_00351	Syak.g_01530
OG0000059	Prbe.g_01094	Syak.g_01355
OG0000061	Prbe.g_01549	Syak.g_00898
OG0000062	Prbe.g_00226	Syak.g_02434
OG0000063	Prbe.g_00021	Syak.g_01752
OG0000064	Prbe.g_00172	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164
OG0000065	Prbe.g_01649	Syak.g_02192, Syak.g_00282
OG0000066	Prbe.g_00596, Prbe.g_01114	Syak.g_02653
OG0000067	Prbe.g_01222	Syak.g_00434
OG0000068	Prbe.g_00373	Syak.g_02565
OG0000070	Prbe.g_01948	Syak.g_01174
OG0000071	Prbe.g_00893	Syak.g_02322, Syak.g_00936
OG0000072	Prbe.g_01719	Syak.g_02099
OG0000073	Prbe.g_00633	Syak.g_02597
OG0000075	Prbe.g_00800	Syak.g_01564
OG0000076	Prbe.g_00774	Syak.g_01650
OG0000077	Prbe.g_00183	Syak.g_02243
OG0000078	Prbe.g_01792	Syak.g_02310
OG0000079	Prbe.g_01805	Syak.g_01417
OG0000080	Prbe.g_00339, Prbe.g_00337	Syak.g_01612
OG0000081	Prbe.g_00604	Syak.g_00115
OG0000082	Prbe.g_00549, Prbe.g_00996	Syak.g_02711
OG0000084	Prbe.g_00314	Syak.g_01036
OG0000085	Prbe.g_00007, Prbe.g_00993	Syak.g_02427
OG0000086	Prbe.g_00192	Syak.g_02219
OG0000087	Prbe.g_01683	Syak.g_02141
OG0000088	Prbe.g_01714	Syak.g_02106
OG0000089	Prbe.g_01915	Syak.g_01215
OG0000090	Prbe.g_00602	Syak.g_02640
OG0000091	Prbe.g_01477	Syak.g_00043
OG0000093	Prbe.g_01448	Syak.g_00416
OG0000094	Prbe.g_01399	Syak.g_00656
OG0000095	Prbe.g_01297	Syak.g_00736
OG0000097	Prbe.g_01503	Syak.g_00816
OG0000098	Prbe.g_00397	Syak.g_00345, Syak.g_02651
OG0000099	Prbe.g_00350	Syak.g_01527
OG0000100	Prbe.g_00232	Syak.g_00622
OG0000101	Prbe.g_00836	Syak.g_01305
OG0000102	Prbe.g_00769	Syak.g_01661
OG0000103	Prbe.g_01195	Syak.g_01812
OG0000104	Prbe.g_01061	Syak.g_01799
OG0000105	Prbe.g_01828	Syak.g_01451
OG0000106	Prbe.g_00740	Syak.g_00096
OG0000107	Prbe.g_00921	Syak.g_01392
OG0000108	Prbe.g_00653	Syak.g_02574
OG0000109	Prbe.g_00639	Syak.g_01061, Syak.g_02590
OG0000110	Prbe.g_00560	Syak.g_02698
OG0000111	Prbe.g_01207	Syak.g_00725
OG0000112	Prbe.g_00487	Syak.g_00512
OG0000113	Prbe.g_01245	Syak.g_00461
OG0000114	Prbe.g_00417	Syak.g_00373, Syak.g_00065
OG0000115	Prbe.g_01618	Syak.g_01066
OG0000116	Prbe.g_01560	Syak.g_00911
OG0000117	Prbe.g_01522	Syak.g_00846
OG0000118	Prbe.g_00880	Syak.g_00954
OG0000119	Prbe.g_01603, Prbe.g_00214	Syak.g_00917
OG0000120	Prbe.g_00353	Syak.g_01526
OG0000121	Prbe.g_00309	Syak.g_01044
OG0000122	Prbe.g_01625, Prbe.g_00268	Syak.g_00081
OG0000123	Prbe.g_00829	Syak.g_01299
OG0000124	Prbe.g_00745	Syak.g_01692
OG0000125	Prbe.g_01158	Syak.g_01934
OG0000126	Prbe.g_01060	Syak.g_01801
OG0000128	Prbe.g_01076	Syak.g_01782
OG0000129	Prbe.g_00145	Syak.g_01947
OG0000130	Prbe.g_00174	Syak.g_02255
OG0000131	Prbe.g_01692	Syak.g_02128
OG0000132	Prbe.g_01712	Syak.g_02108
OG0000133	Prbe.g_01875	Syak.g_00507
OG0000134	Prbe.g_01917	Syak.g_01212
OG0000135	Prbe.g_00911	Syak.g_01897
