Orthogroup	Prbe	Syai
OG0000001	Prbe.g_00400	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Syai.g_01728
OG0000004	Prbe.g_01203	Syai.g_01994
OG0000004	Prbe.g_01784	Syai.g_01062, Syai.g_00530
OG0000005	Prbe.g_00228	Syai.g_02356
OG0000006	Prbe.g_01794	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbe.g_00636	Syai.g_00657
OG0000007	Prbe.g_00985	Syai.g_02378
OG0000008	Prbe.g_00036	Syai.g_01956
OG0000008	Prbe.g_00037	Syai.g_01955
OG0000009	Prbe.g_00216	Syai.g_01626
OG0000010	Prbe.g_00096, Prbe.g_01411	Syai.g_00864
OG0000012	Prbe.g_00511	Syai.g_01068
OG0000013	Prbe.g_01879	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbe.g_01861	Syai.g_00220
OG0000015	Prbe.g_01046, Prbe.g_01000	Syai.g_01246, Syai.g_01245
OG0000016	Prbe.g_01607	Syai.g_01785, Syai.g_01632
OG0000017	Prbe.g_00536	Syai.g_00801
OG0000017	Prbe.g_00529	Syai.g_00808
OG0000018	Prbe.g_01571	Syai.g_00915
OG0000019	Prbe.g_01802, Prbe.g_01573	Syai.g_00304
OG0000020	Prbe.g_00204, Prbe.g_00018	Syai.g_00476
OG0000021	Prbe.g_00203, Prbe.g_01208	Syai.g_00556
OG0000023	Prbe.g_00062	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbe.g_01415, Prbe.g_00449	Syai.g_01951
OG0000025	Prbe.g_01258	Syai.g_02044
OG0000026	Prbe.g_00132	Syai.g_00038
OG0000027	Prbe.g_00012, Prbe.g_01121	Syai.g_01128, Syai.g_01654
OG0000028	Prbe.g_00034	Syai.g_00205
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091	Syai.g_01035, Syai.g_01584
OG0000030	Prbe.g_00763	Syai.g_00096, Syai.g_00095
OG0000031	Prbe.g_00352	Syai.g_00197
OG0000032	Prbe.g_00272	Syai.g_00895
OG0000033	Prbe.g_00345	Syai.g_02634
OG0000034	Prbe.g_00882	Syai.g_02192, Syai.g_02604
OG0000035	Prbe.g_00311	Syai.g_00955
OG0000037	Prbe.g_01651	Syai.g_02544, Syai.g_02815
OG0000038	Prbe.g_01156	Syai.g_02780
OG0000039	Prbe.g_00461	Syai.g_02034
OG0000041	Prbe.g_00938	Syai.g_02265, Syai.g_02016
OG0000042	Prbe.g_00766	Syai.g_00099
OG0000043	Prbe.g_01570	Syai.g_01599
OG0000046	Prbe.g_01880	Syai.g_00443, Syai.g_00449, Syai.g_00435
OG0000047	Prbe.g_01921	Syai.g_00462
OG0000048	Prbe.g_00906	Syai.g_00272
OG0000052	Prbe.g_00158	Syai.g_00176
OG0000053	Prbe.g_00290, Prbe.g_01040	Syai.g_00930
OG0000054	Prbe.g_00527	Syai.g_01040
OG0000057	Prbe.g_01206	Syai.g_01997
OG0000058	Prbe.g_00351	Syai.g_00195
OG0000059	Prbe.g_01094	Syai.g_00351
OG0000061	Prbe.g_01549	Syai.g_02144
OG0000062	Prbe.g_00226	Syai.g_02358
OG0000063	Prbe.g_00021	Syai.g_00042
OG0000064	Prbe.g_00172	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668
OG0000066	Prbe.g_00596, Prbe.g_01114	Syai.g_01709, Syai.g_00719
OG0000067	Prbe.g_01222	Syai.g_01321
OG0000068	Prbe.g_00373	Syai.g_00628
OG0000070	Prbe.g_01948	Syai.g_02196
OG0000071	Prbe.g_00893	Syai.g_02179
OG0000072	Prbe.g_01719	Syai.g_02636
OG0000073	Prbe.g_00633	Syai.g_00659
OG0000075	Prbe.g_00800	Syai.g_00161
