Orthogroup	Prbe	Syam
OG0000001	Prbe.g_00400	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452	Syam.g_00931
OG0000004	Prbe.g_01203	Syam.g_00787
OG0000004	Prbe.g_01784	Syam.g_01499, Syam.g_00501
OG0000005	Prbe.g_00228	Syam.g_01970
OG0000006	Prbe.g_01794	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prbe.g_00636	Syam.g_00602
OG0000007	Prbe.g_00985	Syam.g_01990
OG0000008	Prbe.g_00036	Syam.g_00810
OG0000008	Prbe.g_00037	Syam.g_00811
OG0000010	Prbe.g_00096, Prbe.g_01411	Syam.g_01669
OG0000012	Prbe.g_00511	Syam.g_01492
OG0000013	Prbe.g_01879	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prbe.g_01861	Syam.g_00191
OG0000015	Prbe.g_01046, Prbe.g_01000	Syam.g_01218, Syam.g_01362
OG0000016	Prbe.g_01607	Syam.g_00876, Syam.g_01011
OG0000017	Prbe.g_00536	Syam.g_01715
OG0000017	Prbe.g_00529	Syam.g_01708
OG0000018	Prbe.g_01571	Syam.g_01640
OG0000019	Prbe.g_01802, Prbe.g_01573	Syam.g_00274
OG0000021	Prbe.g_00203, Prbe.g_01208	Syam.g_00523
OG0000023	Prbe.g_00062	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbe.g_01415, Prbe.g_00449	Syam.g_00815
OG0000025	Prbe.g_01258	Syam.g_00740
OG0000026	Prbe.g_00132	Syam.g_00035
OG0000027	Prbe.g_00012, Prbe.g_01121	Syam.g_01442, Syam.g_00989
OG0000028	Prbe.g_00034	Syam.g_00176
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091	Syam.g_01390, Syam.g_01055
OG0000030	Prbe.g_00763	Syam.g_00104, Syam.g_00103
OG0000031	Prbe.g_00352	Syam.g_00171, Syam.g_00086
OG0000032	Prbe.g_00272	Syam.g_01660
OG0000033	Prbe.g_00345	Syam.g_02217
OG0000034	Prbe.g_00882	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbe.g_00311	Syam.g_01612
OG0000037	Prbe.g_01651	Syam.g_02125
OG0000038	Prbe.g_01156	Syam.g_02317
OG0000039	Prbe.g_00461	Syam.g_00749
OG0000041	Prbe.g_00938	Syam.g_01899, Syam.g_00765
OG0000042	Prbe.g_00766	Syam.g_00107
OG0000043	Prbe.g_01570	Syam.g_01041
OG0000046	Prbe.g_01880	Syam.g_00410, Syam.g_00420, Syam.g_00403
OG0000047	Prbe.g_01921	Syam.g_00434
OG0000048	Prbe.g_00906	Syam.g_00243
OG0000052	Prbe.g_00333, Prbe.g_00158	Syam.g_00161
OG0000053	Prbe.g_00290, Prbe.g_01040	Syam.g_01636
OG0000054	Prbe.g_00527	Syam.g_01515
OG0000057	Prbe.g_01206	Syam.g_00784
OG0000058	Prbe.g_00351	Syam.g_00169
OG0000059	Prbe.g_01094	Syam.g_00320
OG0000061	Prbe.g_01549	Syam.g_01795
OG0000062	Prbe.g_00226	Syam.g_01972
OG0000063	Prbe.g_00021	Syam.g_00039
OG0000064	Prbe.g_00172	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978
OG0000065	Prbe.g_01649	Syam.g_02121
OG0000066	Prbe.g_00596, Prbe.g_01114	Syam.g_00552, Syam.g_00662
OG0000067	Prbe.g_01222	Syam.g_01290
OG0000068	Prbe.g_00373	Syam.g_00575
OG0000069	Prbe.g_00678	Syam.g_01521
OG0000070	Prbe.g_01948	Syam.g_01847
OG0000071	Prbe.g_00893	Syam.g_01830
OG0000072	Prbe.g_01719	Syam.g_02219
OG0000073	Prbe.g_00633	Syam.g_00604
OG0000074	Prbe.g_00070	Syam.g_00533
OG0000075	Prbe.g_00800	Syam.g_00148
OG0000076	Prbe.g_00774	Syam.g_00115
OG0000077	Prbe.g_00183	Syam.g_02074
OG0000078	Prbe.g_01792	Syam.g_00514
OG0000079	Prbe.g_01805	Syam.g_00270
OG0000081	Prbe.g_00604	Syam.g_00520, Syam.g_01918
OG0000082	Prbe.g_00549, Prbe.g_00996	Syam.g_01730
OG0000084	Prbe.g_00314	Syam.g_00441
OG0000085	Prbe.g_00007, Prbe.g_00993	Syam.g_01979
OG0000086	Prbe.g_00192	Syam.g_02092
OG0000087	Prbe.g_01683	Syam.g_02175
OG0000088	Prbe.g_01714	Syam.g_02213
OG0000089	Prbe.g_01915	Syam.g_00489
OG0000090	Prbe.g_00602	Syam.g_00651
OG0000091	Prbe.g_01477	Syam.g_01460
OG0000093	Prbe.g_01448	Syam.g_01305
OG0000094	Prbe.g_01399	Syam.g_01198
OG0000095	Prbe.g_01297	Syam.g_00774
OG0000097	Prbe.g_01503	Syam.g_00874
OG0000098	Prbe.g_00397	Syam.g_00944
OG0000099	Prbe.g_00350	Syam.g_00173
OG0000100	Prbe.g_00232	Syam.g_01259
OG0000101	Prbe.g_00836	Syam.g_00371
OG0000102	Prbe.g_00769	Syam.g_00110
OG0000103	Prbe.g_01195	Syam.g_02428
OG0000104	Prbe.g_01061	Syam.g_02442
OG0000105	Prbe.g_01828	Syam.g_00238
OG0000106	Prbe.g_00740	Syam.g_01039
OG0000107	Prbe.g_00921	Syam.g_00288
OG0000108	Prbe.g_00653	Syam.g_00583
OG0000109	Prbe.g_00639	Syam.g_00598
OG0000110	Prbe.g_00560	Syam.g_01743
OG0000111	Prbe.g_01207	Syam.g_00783
OG0000112	Prbe.g_00487	Syam.g_01115
OG0000113	Prbe.g_01245	Syam.g_01264
OG0000114	Prbe.g_00417	Syam.g_01349
OG0000115	Prbe.g_01618	Syam.g_01634
OG0000116	Prbe.g_01560	Syam.g_01807
OG0000117	Prbe.g_01522	Syam.g_00904
OG0000118	Prbe.g_00880	Syam.g_01698
OG0000120	Prbe.g_00353	Syam.g_00172
OG0000121	Prbe.g_00309	Syam.g_01615
OG0000122	Prbe.g_01625, Prbe.g_00268	Syam.g_01436
OG0000123	Prbe.g_00829	Syam.g_00379
OG0000124	Prbe.g_00745	Syam.g_00096
OG0000125	Prbe.g_01158	Syam.g_02319
OG0000126	Prbe.g_01060	Syam.g_02440
OG0000128	Prbe.g_01076	Syam.g_00012
OG0000129	Prbe.g_00145	Syam.g_02307
OG0000130	Prbe.g_00174	Syam.g_02062
OG0000131	Prbe.g_01692	Syam.g_02191
OG0000132	Prbe.g_01712	Syam.g_02211
OG0000133	Prbe.g_01875	Syam.g_01120
OG0000134	Prbe.g_01917	Syam.g_00492
OG0000135	Prbe.g_00911	Syam.g_02347
OG0000136	Prbe.g_01939	Syam.g_01857
OG0000137	Prbe.g_00658	Syam.g_01668
OG0000138	Prbe.g_00638	Syam.g_00599
OG0000139	Prbe.g_00598	Syam.g_00657
OG0000140	Prbe.g_00597	Syam.g_00659
OG0000141	Prbe.g_00526	Syam.g_01514
OG0000142	Prbe.g_01485	Syam.g_01468
OG0000143	Prbe.g_01481	Syam.g_01464
OG0000144	Prbe.g_01467	Syam.g_01032
OG0000145	Prbe.g_00909	Syam.g_00605
OG0000146	Prbe.g_00488	Syam.g_01114
OG0000147	Prbe.g_00489	Syam.g_01113
OG0000148	Prbe.g_01239	Syam.g_01270
OG0000149	Prbe.g_01271	Syam.g_00725
OG0000150	Prbe.g_01281	Syam.g_00660
OG0000151	Prbe.g_00427	Syam.g_01338
OG0000152	Prbe.g_01350	Syam.g_01124
OG0000153	Prbe.g_01369	Syam.g_01160
OG0000154	Prbe.g_01389	Syam.g_01187
OG0000155	Prbe.g_01528	Syam.g_01763
OG0000156	Prbe.g_00904	Syam.g_01814
OG0000157	Prbe.g_00903	Syam.g_01815
OG0000158	Prbe.g_00792	Syam.g_00139
OG0000160	Prbe.g_00310	Syam.g_01614
OG0000161	Prbe.g_00304	Syam.g_01620
OG0000162	Prbe.g_00298	Syam.g_01627
OG0000163	Prbe.g_00259	Syam.g_01927
OG0000164	Prbe.g_00961	Syam.g_02023
OG0000165	Prbe.g_00954	Syam.g_01879, Syam.g_01878
OG0000166	Prbe.g_01083	Syam.g_00330
OG0000167	Prbe.g_00802	Syam.g_00151
OG0000168	Prbe.g_00791	Syam.g_00138
OG0000169	Prbe.g_00781	Syam.g_00127
OG0000170	Prbe.g_00778	Syam.g_00120
OG0000171	Prbe.g_00758	Syam.g_00097
OG0000172	Prbe.g_00751	Syam.g_00075
OG0000173	Prbe.g_01143	Syam.g_00057
OG0000174	Prbe.g_01173	Syam.g_02349
OG0000175	Prbe.g_01186	Syam.g_02417
OG0000176	Prbe.g_01069	Syam.g_00004
OG0000177	Prbe.g_01070	Syam.g_00005
OG0000178	Prbe.g_01071	Syam.g_00006
OG0000179	Prbe.g_00116	Syam.g_00021
OG0000180	Prbe.g_00117	Syam.g_00022
OG0000181	Prbe.g_00118	Syam.g_00023
OG0000182	Prbe.g_00119	Syam.g_00024
OG0000183	Prbe.g_00123	Syam.g_00028
OG0000184	Prbe.g_00149	Syam.g_02298
OG0000185	Prbe.g_00152	Syam.g_02295
OG0000186	Prbe.g_00168	Syam.g_02058
OG0000187	Prbe.g_00169	Syam.g_02059
OG0000188	Prbe.g_00186	Syam.g_02081
OG0000189	Prbe.g_01636	Syam.g_02108
OG0000190	Prbe.g_01638	Syam.g_02110
