Orthogroup	Praz	Prbn
OG0000000	Praz.g_00894, Praz.g_00921	Prbn.g_01662
OG0000001	Praz.g_01154	Prbn.g_01213
OG0000002	Praz.g_01146	Prbn.g_01483, Prbn.g_01478
OG0000002	Praz.g_01652	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Praz.g_01635	Prbn.g_01565
OG0000004	Praz.g_00592	Prbn.g_00318
OG0000005	Praz.g_00965	Prbn.g_00899
OG0000006	Praz.g_00601	Prbn.g_00308
OG0000007	Praz.g_01831	Prbn.g_00617
OG0000007	Praz.g_00877	Prbn.g_01745
OG0000008	Praz.g_01241	Prbn.g_01645
OG0000009	Praz.g_01230	Prbn.g_00887
OG0000010	Praz.g_01854	Prbn.g_00640
OG0000010	Praz.g_00074	Prbn.g_01939, Prbn.g_01357
OG0000012	Praz.g_01707	Prbn.g_00492, Prbn.g_00867
OG0000013	Praz.g_00684	Prbn.g_00092
OG0000014	Praz.g_00663	Prbn.g_00074
OG0000015	Praz.g_01551	Prbn.g_01684, Prbn.g_01730
OG0000017	Praz.g_01732	Prbn.g_00517, Prbn.g_00510
OG0000018	Praz.g_01485	Prbn.g_01518
OG0000018	Praz.g_00011	Prbn.g_01167
OG0000019	Praz.g_00609	Prbn.g_00015
OG0000019	Praz.g_01532	Prbn.g_01165
OG0000021	Praz.g_00896, Praz.g_00810	Prbn.g_00874, Prbn.g_01560
OG0000022	Praz.g_01556	Prbn.g_00891
OG0000023	Praz.g_00814	Prbn.g_01030
OG0000024	Praz.g_01571	Prbn.g_01353
OG0000024	Praz.g_01655	Prbn.g_01589
OG0000025	Praz.g_00688, Praz.g_01477	Prbn.g_01510
OG0000026	Praz.g_00396, Praz.g_00081	Prbn.g_00750
OG0000027	Praz.g_01858, Praz.g_01197	Prbn.g_00139, Prbn.g_01664
OG0000028	Praz.g_01246	Prbn.g_01644
OG0000029	Praz.g_01564	Prbn.g_00126, Prbn.g_01676
OG0000029	Praz.g_00799	Prbn.g_01836
OG0000030	Praz.g_00195	Prbn.g_00985
OG0000031	Praz.g_01116	Prbn.g_00171
OG0000034	Praz.g_01170	Prbn.g_01073
OG0000035	Praz.g_01041	Prbn.g_00212
OG0000037	Praz.g_00469	Prbn.g_01310
OG0000038	Praz.g_00154	Prbn.g_00946
OG0000039	Praz.g_01644	Prbn.g_01577
OG0000042	Praz.g_00198	Prbn.g_00988
OG0000043	Praz.g_01234, Praz.g_01440	Prbn.g_01168
OG0000047	Praz.g_01921	Prbn.g_00690
OG0000048	Praz.g_00800	Prbn.g_01097, Prbn.g_00038
OG0000050	Praz.g_00769	Prbn.g_01937
OG0000052	Praz.g_01103	Prbn.g_00190
OG0000053	Praz.g_01021	Prbn.g_00233, Prbn.g_01690
OG0000054	Praz.g_01724	Prbn.g_00508
OG0000055	Praz.g_01531	Prbn.g_01140, Prbn.g_01719
OG0000057	Praz.g_01632	Prbn.g_01562
OG0000058	Praz.g_01096	Prbn.g_00172
OG0000059	Praz.g_00311	Prbn.g_01833
OG0000061	Praz.g_00755	Prbn.g_01189
OG0000062	Praz.g_00963	Prbn.g_00897
OG0000065	Praz.g_00467	Prbn.g_01312
OG0000066	Praz.g_01789	Prbn.g_00577, Prbn.g_01657
OG0000067	Praz.g_01512	Prbn.g_01546
OG0000068	Praz.g_01139	Prbn.g_01240
OG0000069	Praz.g_00928	Prbn.g_00659
OG0000070	Praz.g_01878	Prbn.g_00663
OG0000071	Praz.g_01180	Prbn.g_01084
OG0000072	Praz.g_00531	Prbn.g_00383
OG0000073	Praz.g_01829	Prbn.g_00614
OG0000074	Praz.g_01648	Prbn.g_01582, Prbn.g_01928, Prbn.g_01038
OG0000075	Praz.g_00230	Prbn.g_01917
OG0000076	Praz.g_00205	Prbn.g_00996
OG0000077	Praz.g_00438	Prbn.g_01342
OG0000078	Praz.g_00599	Prbn.g_00310
OG0000079	Praz.g_00612	Prbn.g_00018
OG0000081	Praz.g_01797	Prbn.g_00585
OG0000082	Praz.g_01744	Prbn.g_00530, Prbn.g_01734
OG0000084	Praz.g_01045	Prbn.g_00209
OG0000085	Praz.g_00884	Prbn.g_00144, Prbn.g_01737
OG0000086	Praz.g_00448	Prbn.g_01333
OG0000087	Praz.g_00499	Prbn.g_01278
OG0000088	Praz.g_00526	Prbn.g_01247
OG0000089	Praz.g_00818	Prbn.g_00696
OG0000090	Praz.g_01795	Prbn.g_00583
OG0000091	Praz.g_01688	Prbn.g_00434
OG0000092	Praz.g_01403	Prbn.g_01616
OG0000093	Praz.g_01382	Prbn.g_00846
OG0000094	Praz.g_01296	Prbn.g_01369
OG0000095	Praz.g_00066	Prbn.g_01471
OG0000096	Praz.g_00045, Praz.g_01215	Prbn.g_01049
OG0000097	Praz.g_00713	Prbn.g_00408
OG0000098	Praz.g_01157	Prbn.g_01216
OG0000099	Praz.g_01098	Prbn.g_00173
OG0000100	Praz.g_00967	Prbn.g_00903
OG0000101	Praz.g_00263	Prbn.g_01881
OG0000102	Praz.g_00200	Prbn.g_00991
OG0000103	Praz.g_00120	Prbn.g_00907
OG0000104	Praz.g_00361	Prbn.g_00296
OG0000105	Praz.g_00632	Prbn.g_00041
OG0000106	Praz.g_00804	Prbn.g_00829
OG0000107	Praz.g_00788	Prbn.g_01810
OG0000108	Praz.g_01848	Prbn.g_00634
OG0000109	Praz.g_01834	Prbn.g_00620
OG0000110	Praz.g_01754	Prbn.g_00541
OG0000111	Praz.g_01631	Prbn.g_01561
OG0000112	Praz.g_01547	Prbn.g_00468
OG0000113	Praz.g_01490	Prbn.g_01523
OG0000114	Praz.g_01408	Prbn.g_01621
OG0000115	Praz.g_00054	Prbn.g_01120
OG0000116	Praz.g_00002	Prbn.g_01178
OG0000117	Praz.g_01237	Prbn.g_00389
OG0000118	Praz.g_01168	Prbn.g_01071
OG0000119	Praz.g_01143	Prbn.g_01135, Prbn.g_00885
OG0000120	Praz.g_01118	Prbn.g_00170
OG0000121	Praz.g_01039	Prbn.g_00214
OG0000122	Praz.g_01001	Prbn.g_01113, Prbn.g_00255
OG0000123	Praz.g_00256	Prbn.g_01888
OG0000124	Praz.g_00189	Prbn.g_00979
OG0000125	Praz.g_00152	Prbn.g_00944
OG0000126	Praz.g_00360	Prbn.g_00295
OG0000128	Praz.g_00376	Prbn.g_00002, Prbn.g_00003
OG0000129	Praz.g_00410	Prbn.g_00737
OG0000130	Praz.g_00429	Prbn.g_00708
OG0000131	Praz.g_00505	Prbn.g_01269
OG0000132	Praz.g_00524	Prbn.g_01249
OG0000133	Praz.g_00679	Prbn.g_00088
OG0000134	Praz.g_00817	Prbn.g_00694
OG0000135	Praz.g_00791	Prbn.g_01102
OG0000136	Praz.g_01887	Prbn.g_00672
OG0000137	Praz.g_01853	Prbn.g_00639
OG0000138	Praz.g_01833	Prbn.g_00619
OG0000139	Praz.g_01791	Prbn.g_00579
OG0000140	Praz.g_01790	Prbn.g_00578
OG0000141	Praz.g_01723	Prbn.g_00507
OG0000142	Praz.g_01695	Prbn.g_00426
OG0000143	Praz.g_01691	Prbn.g_00430
OG0000144	Praz.g_01678	Prbn.g_00444
OG0000145	Praz.g_01554	Prbn.g_01100
OG0000146	Praz.g_01546	Prbn.g_00469
OG0000147	Praz.g_01545	Prbn.g_00470
OG0000148	Praz.g_01496	Prbn.g_01529
OG0000149	Praz.g_01465	Prbn.g_01497
OG0000150	Praz.g_01457	Prbn.g_01487
OG0000151	Praz.g_01398	Prbn.g_01611
OG0000152	Praz.g_01350	Prbn.g_01418
OG0000153	Praz.g_01331	Prbn.g_01399
OG0000154	Praz.g_01303	Prbn.g_01379
OG0000155	Praz.g_00734	Prbn.g_01210
OG0000156	Praz.g_01191	Prbn.g_01095
OG0000157	Praz.g_01190	Prbn.g_01094
OG0000158	Praz.g_01097	Prbn.g_01014
OG0000160	Praz.g_01040	Prbn.g_00213
OG0000161	Praz.g_01034	Prbn.g_00219
OG0000162	Praz.g_01028	Prbn.g_00225
OG0000163	Praz.g_00994	Prbn.g_00264
OG0000164	Praz.g_00853	Prbn.g_01770
OG0000165	Praz.g_00846	Prbn.g_01777
OG0000166	Praz.g_00299	Prbn.g_01844
OG0000167	Praz.g_00232	Prbn.g_01915
OG0000168	Praz.g_00222	Prbn.g_01013
OG0000169	Praz.g_00212	Prbn.g_01003
OG0000170	Praz.g_00210	Prbn.g_01000
OG0000171	Praz.g_00190	Prbn.g_00980
OG0000172	Praz.g_00181	Prbn.g_00973
OG0000173	Praz.g_00166	Prbn.g_00958
OG0000174	Praz.g_00138	Prbn.g_00929
OG0000175	Praz.g_00128	Prbn.g_00916
OG0000176	Praz.g_00369	Prbn.g_00010
OG0000177	Praz.g_00370	Prbn.g_00009
OG0000178	Praz.g_00371	Prbn.g_00008
OG0000179	Praz.g_00381	Prbn.g_00766
OG0000180	Praz.g_00382	Prbn.g_00765
OG0000181	Praz.g_00383	Prbn.g_00764
OG0000182	Praz.g_00384	Prbn.g_00763
OG0000183	Praz.g_00388	Prbn.g_00759
OG0000184	Praz.g_00412	Prbn.g_00733
OG0000185	Praz.g_00415	Prbn.g_00730
OG0000186	Praz.g_00424	Prbn.g_00714
OG0000187	Praz.g_00425	Prbn.g_00713
OG0000188	Praz.g_00442	Prbn.g_01339
OG0000189	Praz.g_00456	Prbn.g_01325
OG0000190	Praz.g_00457	Prbn.g_01323
OG0000191	Praz.g_00477	Prbn.g_01300
OG0000192	Praz.g_00481	Prbn.g_01295
OG0000193	Praz.g_00506	Prbn.g_01268
OG0000194	Praz.g_00509	Prbn.g_01265
OG0000195	Praz.g_00511	Prbn.g_01263
OG0000196	Praz.g_00521	Prbn.g_01252
OG0000197	Praz.g_00522	Prbn.g_01251
OG0000198	Praz.g_00523	Prbn.g_01250
OG0000199	Praz.g_00530	Prbn.g_01243, Prbn.g_00384
OG0000200	Praz.g_00544	Prbn.g_00370
OG0000201	Praz.g_00552	Prbn.g_00361
OG0000202	Praz.g_00553	Prbn.g_00360
OG0000203	Praz.g_00554	Prbn.g_00359
OG0000204	Praz.g_00555	Prbn.g_00358
OG0000205	Praz.g_00562	Prbn.g_00351
OG0000206	Praz.g_00567	Prbn.g_00346
OG0000207	Praz.g_00569	Prbn.g_00343
OG0000208	Praz.g_00570	Prbn.g_00342
OG0000209	Praz.g_00579	Prbn.g_00333
OG0000210	Praz.g_00580	Prbn.g_00332
OG0000211	Praz.g_00593	Prbn.g_00317
OG0000212	Praz.g_00600	Prbn.g_00309
OG0000213	Praz.g_00617	Prbn.g_00024
OG0000214	Praz.g_00626	Prbn.g_00034
OG0000215	Praz.g_00650	Prbn.g_00061
OG0000216	Praz.g_00651	Prbn.g_00062
OG0000217	Praz.g_00654	Prbn.g_00065
OG0000218	Praz.g_00656	Prbn.g_00067
OG0000219	Praz.g_00657	Prbn.g_00068
OG0000220	Praz.g_00658	Prbn.g_00069
OG0000221	Praz.g_00659	Prbn.g_00070
OG0000222	Praz.g_00667	Prbn.g_00077
OG0000223	Praz.g_00680	Prbn.g_00089
OG0000224	Praz.g_00682	Prbn.g_00091
OG0000225	Praz.g_00348	Prbn.g_00117
OG0000226	Praz.g_00352	Prbn.g_00121
OG0000227	Praz.g_00354	Prbn.g_00123
OG0000228	Praz.g_00819	Prbn.g_00697
OG0000229	Praz.g_01892	Prbn.g_00677
OG0000230	Praz.g_01890	Prbn.g_00675
OG0000231	Praz.g_01879	Prbn.g_00664
OG0000232	Praz.g_01870	Prbn.g_00653
OG0000233	Praz.g_01865	Prbn.g_00647
OG0000234	Praz.g_01852	Prbn.g_00638
OG0000235	Praz.g_01849	Prbn.g_00635
OG0000236	Praz.g_01835	Prbn.g_00621
OG0000237	Praz.g_01822	Prbn.g_00608
OG0000238	Praz.g_01816	Prbn.g_00602
OG0000239	Praz.g_01803	Prbn.g_00591
OG0000240	Praz.g_01802	Prbn.g_00590
OG0000241	Praz.g_01798	Prbn.g_00586
OG0000242	Praz.g_01796	Prbn.g_00584
OG0000243	Praz.g_01785	Prbn.g_00573
OG0000244	Praz.g_01782	Prbn.g_00570
OG0000245	Praz.g_01780	Prbn.g_00568
OG0000246	Praz.g_01776	Prbn.g_00564
OG0000247	Praz.g_01766	Prbn.g_00554
OG0000248	Praz.g_01764	Prbn.g_00551
OG0000249	Praz.g_01762	Prbn.g_00549
OG0000250	Praz.g_01757	Prbn.g_00544
OG0000251	Praz.g_01739	Prbn.g_00524
OG0000252	Praz.g_01736	Prbn.g_00521
OG0000253	Praz.g_01735	Prbn.g_00520
OG0000254	Praz.g_01719	Prbn.g_00503
OG0000255	Praz.g_01713	Prbn.g_00497
OG0000256	Praz.g_01703	Prbn.g_00487
OG0000257	Praz.g_01700	Prbn.g_00421
OG0000258	Praz.g_01687	Prbn.g_00435
OG0000259	Praz.g_01670	Prbn.g_00835
OG0000260	Praz.g_01667	Prbn.g_00838
OG0000261	Praz.g_01665	Prbn.g_00841
OG0000262	Praz.g_01661	Prbn.g_00845
OG0000263	Praz.g_01649	Prbn.g_01583
OG0000264	Praz.g_01639	Prbn.g_01572
OG0000265	Praz.g_01607	Prbn.g_01554
OG0000266	Praz.g_01597	Prbn.g_00864
OG0000267	Praz.g_01586	Prbn.g_01350
OG0000268	Praz.g_01585	Prbn.g_01351
OG0000269	Praz.g_01517	Prbn.g_01551
OG0000270	Praz.g_01514	Prbn.g_01548
