Orthogroup	Praz	Syap
OG0000001	Praz.g_01154	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Praz.g_00592	Syap.g_01987
OG0000005	Praz.g_00864	Syap.g_01773
OG0000005	Praz.g_00965	Syap.g_01218
OG0000006	Praz.g_00601	Syap.g_02770
OG0000007	Praz.g_01831	Syap.g_00275
OG0000007	Praz.g_00877	Syap.g_00621
OG0000009	Praz.g_00465	Syap.g_02081
OG0000010	Praz.g_00074	Syap.g_02757
OG0000013	Praz.g_00684	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praz.g_00663	Syap.g_01675
OG0000014	Praz.g_01102	Syap.g_00813
OG0000015	Praz.g_01551	Syap.g_02606, Syap.g_00786
OG0000016	Praz.g_00378	Syap.g_00071
OG0000017	Praz.g_01732	Syap.g_00449
OG0000018	Praz.g_01485	Syap.g_02708
OG0000018	Praz.g_00011	Syap.g_02010
OG0000019	Praz.g_00609, Praz.g_01532	Syap.g_01586
OG0000025	Praz.g_00688, Praz.g_01477	Syap.g_01846
OG0000027	Praz.g_01858, Praz.g_01197	Syap.g_01440
OG0000028	Praz.g_01246, Praz.g_00677	Syap.g_01658
OG0000030	Praz.g_00195	Syap.g_00787, Syap.g_00788
OG0000031	Praz.g_01116	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000034	Praz.g_01170	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praz.g_01041	Syap.g_02125, Syap.g_02465
OG0000037	Praz.g_00469	Syap.g_02492
OG0000038	Praz.g_00154	Syap.g_00139
OG0000039	Praz.g_01644	Syap.g_01749, Syap.g_01748
OG0000040	Praz.g_00012	Syap.g_01819
OG0000042	Praz.g_00198	Syap.g_01891, Syap.g_01120
OG0000043	Praz.g_01234	Syap.g_01998
OG0000044	Praz.g_00693	Syap.g_00378
OG0000048	Praz.g_00800	Syap.g_02340
OG0000051	Praz.g_01204	Syap.g_01574
OG0000053	Praz.g_01021	Syap.g_02006
OG0000054	Praz.g_01724	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Praz.g_01632	Syap.g_01569
OG0000058	Praz.g_01096	Syap.g_02074
OG0000059	Praz.g_01071	Syap.g_01082, Syap.g_02478
OG0000059	Praz.g_00311	Syap.g_01918
OG0000061	Praz.g_00755	Syap.g_00228
OG0000062	Praz.g_00963	Syap.g_01220
OG0000063	Praz.g_00398	Syap.g_01796
OG0000066	Praz.g_01789	Syap.g_01972
OG0000067	Praz.g_01512	Syap.g_00194
OG0000068	Praz.g_01139	Syap.g_00108, Syap.g_00144
OG0000069	Praz.g_00928	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Praz.g_01878	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Praz.g_01180	Syap.g_01483
OG0000072	Praz.g_00531	Syap.g_00555
OG0000073	Praz.g_01829	Syap.g_01020, Syap.g_00273
OG0000075	Praz.g_00230	Syap.g_01064, Syap.g_00664
OG0000076	Praz.g_00205	Syap.g_01111
OG0000077	Praz.g_00438	Syap.g_00416
OG0000078	Praz.g_00599	Syap.g_01149
OG0000079	Praz.g_00612	Syap.g_01589
OG0000085	Praz.g_00884	Syap.g_00611
OG0000087	Praz.g_00499	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praz.g_00526	Syap.g_01202
OG0000089	Praz.g_00818	Syap.g_00115, Syap.g_02042
OG0000090	Praz.g_01795	Syap.g_01451
OG0000091	Praz.g_01688	Syap.g_01861
OG0000094	Praz.g_01296	Syap.g_02781
OG0000095	Praz.g_00066	Syap.g_01556
OG0000098	Praz.g_01157	Syap.g_01975
OG0000099	Praz.g_01098	Syap.g_01385
OG0000101	Praz.g_00263	Syap.g_00472
OG0000102	Praz.g_00200	Syap.g_01116
OG0000103	Praz.g_00120	Syap.g_02607, Syap.g_02608
OG0000104	Praz.g_00361	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praz.g_00632	Syap.g_01369, Syap.g_01368
OG0000107	Praz.g_00788	Syap.g_02496
OG0000108	Praz.g_01848	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Praz.g_01834	Syap.g_00279, Syap.g_02237
OG0000110	Praz.g_01754	Syap.g_01313
OG0000111	Praz.g_01631	Syap.g_01566, Syap.g_01568
OG0000112	Praz.g_01547	Syap.g_02023
OG0000113	Praz.g_01490	Syap.g_02714
OG0000114	Praz.g_01408	Syap.g_01255
OG0000115	Praz.g_00054	Syap.g_02004
OG0000116	Praz.g_00002	Syap.g_00241
OG0000117	Praz.g_01237	Syap.g_01889
OG0000118	Praz.g_01168	Syap.g_02286
OG0000120	Praz.g_01118	Syap.g_02075
OG0000121	Praz.g_01039	Syap.g_02471
OG0000123	Praz.g_00256	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praz.g_00189	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praz.g_00152	Syap.g_01046, Syap.g_01047
OG0000126	Praz.g_00360	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Praz.g_01255	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Praz.g_00376	Syap.g_00069
OG0000129	Praz.g_00410	Syap.g_00130, Syap.g_00129
OG0000130	Praz.g_00429	Syap.g_01688, Syap.g_01689
OG0000131	Praz.g_00505	Syap.g_02189
OG0000132	Praz.g_00524	Syap.g_01205
OG0000133	Praz.g_00679	Syap.g_02017
OG0000134	Praz.g_00817	Syap.g_02047
OG0000135	Praz.g_00791	Syap.g_02090
OG0000136	Praz.g_01887	Syap.g_00089
OG0000137	Praz.g_01853	Syap.g_02756
OG0000138	Praz.g_01833	Syap.g_00278
OG0000139	Praz.g_01791	Syap.g_00410
OG0000140	Praz.g_01790	Syap.g_01976
OG0000141	Praz.g_01723	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praz.g_01695	Syap.g_00895, Syap.g_00894
OG0000143	Praz.g_01691	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praz.g_01678	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praz.g_01554	Syap.g_01860, Syap.g_01859
