Orthogroup	Praz	Prbc
OG0000000	Praz.g_01198	Prbc.g_02163, Prbc.g_00103
OG0000000	Praz.g_00894	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Praz.g_00921	Prbc.g_02165
OG0000000	Praz.g_00694, Praz.g_00922	Prbc.g_00525
OG0000001	Praz.g_01154	Prbc.g_00588
OG0000002	Praz.g_01146	Prbc.g_01920
OG0000002	Praz.g_01652	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Praz.g_01635	Prbc.g_01381
OG0000004	Praz.g_00592	Prbc.g_00339
OG0000005	Praz.g_00864	Prbc.g_00098
OG0000005	Praz.g_00965	Prbc.g_00788
OG0000006	Praz.g_00601	Prbc.g_02202
OG0000007	Praz.g_01831	Prbc.g_01556
OG0000007	Praz.g_00877	Prbc.g_00832
OG0000008	Praz.g_01241	Prbc.g_00893
OG0000009	Praz.g_01230	Prbc.g_01344
OG0000010	Praz.g_01854	Prbc.g_01533
OG0000010	Praz.g_00074	Prbc.g_02115
OG0000011	Praz.g_01207	Prbc.g_00164
OG0000011	Praz.g_01240	Prbc.g_00136
OG0000012	Praz.g_01707	Prbc.g_02155
OG0000013	Praz.g_00684	Prbc.g_01219
OG0000014	Praz.g_00663	Prbc.g_01198
OG0000014	Praz.g_01102	Prbc.g_00680
OG0000015	Praz.g_01551	Prbc.g_00599
OG0000016	Praz.g_00378	Prbc.g_01083
OG0000017	Praz.g_01732	Prbc.g_01674, Prbc.g_01681
OG0000018	Praz.g_01485	Prbc.g_01887
OG0000018	Praz.g_00011	Prbc.g_01468
OG0000019	Praz.g_01532	Prbc.g_01836
OG0000021	Praz.g_00896, Praz.g_00810	Prbc.g_00924, Prbc.g_02189
OG0000022	Praz.g_00029	Prbc.g_01288
OG0000022	Praz.g_01556	Prbc.g_00166
OG0000023	Praz.g_00814	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Praz.g_01571	Prbc.g_00598
OG0000024	Praz.g_01655	Prbc.g_01755
OG0000025	Praz.g_00688	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Praz.g_00396, Praz.g_00081	Prbc.g_01101
OG0000027	Praz.g_01858, Praz.g_01197	Prbc.g_00072
OG0000028	Praz.g_01246	Prbc.g_00653
OG0000030	Praz.g_00195	Prbc.g_00199
OG0000031	Praz.g_01116	Prbc.g_01228
OG0000033	Praz.g_00529	Prbc.g_00402
OG0000034	Praz.g_01170	Prbc.g_00575
OG0000035	Praz.g_01041	Prbc.g_00709
OG0000037	Praz.g_00469	Prbc.g_00464
OG0000038	Praz.g_00154	Prbc.g_00995
OG0000039	Praz.g_01644	Prbc.g_01768
OG0000040	Praz.g_00903	Prbc.g_00811
OG0000042	Praz.g_00198	Prbc.g_00203
OG0000043	Praz.g_01234	Prbc.g_00135
OG0000044	Praz.g_00693	Prbc.g_00533
OG0000047	Praz.g_00687	Prbc.g_01227
OG0000047	Praz.g_01921	Prbc.g_01273
OG0000048	Praz.g_00800	Prbc.g_01165
OG0000050	Praz.g_00769	Prbc.g_01383
OG0000050	Praz.g_00101	Prbc.g_00513
OG0000053	Praz.g_01021	Prbc.g_00728
OG0000054	Praz.g_01724	Prbc.g_01683
OG0000055	Praz.g_01531	Prbc.g_01822, Prbc.g_00907
OG0000056	Praz.g_01253	Prbc.g_00532, Prbc.g_00011, Prbc.g_01108
OG0000057	Praz.g_01632	Prbc.g_00055, Prbc.g_01780
OG0000058	Praz.g_01096	Prbc.g_01928
OG0000059	Praz.g_00311	Prbc.g_00958
OG0000061	Praz.g_00755	Prbc.g_01446
OG0000062	Praz.g_00963	Prbc.g_00790
OG0000063	Praz.g_00398	Prbc.g_00932
OG0000065	Praz.g_00467	Prbc.g_00466
OG0000066	Praz.g_01789	Prbc.g_01618
OG0000067	Praz.g_01512	Prbc.g_01858
OG0000068	Praz.g_01139	Prbc.g_00657
OG0000069	Praz.g_00928	Prbc.g_02181, Prbc.g_00752
OG0000070	Praz.g_01878	Prbc.g_01511
OG0000071	Praz.g_01180	Prbc.g_00566
OG0000072	Praz.g_00531	Prbc.g_00400
OG0000073	Praz.g_01829	Prbc.g_01579
OG0000074	Praz.g_01648	Prbc.g_01763, Prbc.g_01960, Prbc.g_02148
OG0000075	Praz.g_00230	Prbc.g_00236
OG0000076	Praz.g_00205	Prbc.g_00211
OG0000077	Praz.g_00438	Prbc.g_00495
OG0000078	Praz.g_00599	Prbc.g_00330
OG0000079	Praz.g_00612	Prbc.g_01148
OG0000081	Praz.g_01797	Prbc.g_01610
OG0000082	Praz.g_01744	Prbc.g_00891
OG0000083	Praz.g_01576, Praz.g_01201, Praz.g_01583	Prbc.g_02193, Prbc.g_01233
OG0000084	Praz.g_01045	Prbc.g_00705
OG0000085	Praz.g_00884	Prbc.g_00826
OG0000086	Praz.g_00448	Prbc.g_00485
OG0000087	Praz.g_00499	Prbc.g_00432
OG0000088	Praz.g_00526	Prbc.g_00405
OG0000089	Praz.g_00818	Prbc.g_01268
OG0000090	Praz.g_01795	Prbc.g_01612
OG0000091	Praz.g_01688	Prbc.g_01719
OG0000092	Praz.g_00244	Prbc.g_01982
OG0000093	Praz.g_01382	Prbc.g_01843
OG0000094	Praz.g_01296	Prbc.g_01935
OG0000095	Praz.g_00066	Prbc.g_02113
OG0000096	Praz.g_00045, Praz.g_01215	Prbc.g_01323
OG0000097	Praz.g_00713	Prbc.g_01400
OG0000098	Praz.g_01157	Prbc.g_00585
OG0000099	Praz.g_01098	Prbc.g_01229
OG0000100	Praz.g_00967	Prbc.g_00785
OG0000101	Praz.g_00263	Prbc.g_00284
OG0000102	Praz.g_00200	Prbc.g_00206
OG0000103	Praz.g_00120	Prbc.g_01053
OG0000104	Praz.g_00361	Prbc.g_01065
OG0000105	Praz.g_00632	Prbc.g_01167
OG0000106	Praz.g_00804	Prbc.g_00134, Prbc.g_00641
OG0000107	Praz.g_00788	Prbc.g_00934
OG0000108	Praz.g_01848	Prbc.g_01540
OG0000109	Praz.g_01834	Prbc.g_01553
OG0000110	Praz.g_01754	Prbc.g_01654
OG0000111	Praz.g_01631	Prbc.g_01781
OG0000112	Praz.g_01547	Prbc.g_02028
OG0000113	Praz.g_01490	Prbc.g_01882, Prbc.g_00153
OG0000114	Praz.g_01408	Prbc.g_01977
OG0000115	Praz.g_00054	Prbc.g_00801
OG0000116	Praz.g_00002	Prbc.g_01457
OG0000117	Praz.g_01237	Prbc.g_00102
OG0000118	Praz.g_01168	Prbc.g_00577
OG0000119	Praz.g_01143	Prbc.g_00650
OG0000120	Praz.g_01118	Prbc.g_01753
OG0000121	Praz.g_01039	Prbc.g_00711
OG0000122	Praz.g_01001	Prbc.g_00750
OG0000123	Praz.g_00256	Prbc.g_00277
OG0000124	Praz.g_00189	Prbc.g_00193
OG0000125	Praz.g_00152	Prbc.g_00997
OG0000126	Praz.g_00360	Prbc.g_01063
OG0000127	Praz.g_01255	Prbc.g_01352, Prbc.g_00621, Prbc.g_00002, Prbc.g_00016, Prbc.g_01367
OG0000128	Praz.g_00376	Prbc.g_01081
OG0000129	Praz.g_00410	Prbc.g_01122
OG0000130	Praz.g_00429	Prbc.g_00504
OG0000131	Praz.g_00505	Prbc.g_00426
OG0000132	Praz.g_00524	Prbc.g_00407
OG0000133	Praz.g_00679	Prbc.g_01214
OG0000134	Praz.g_00817	Prbc.g_01270
OG0000135	Praz.g_00791	Prbc.g_02198, Prbc.g_02183
OG0000136	Praz.g_01887	Prbc.g_01502
OG0000137	Praz.g_01853	Prbc.g_01534
OG0000138	Praz.g_01833	Prbc.g_01554
OG0000139	Praz.g_01791	Prbc.g_01616
OG0000140	Praz.g_01790	Prbc.g_01617
OG0000141	Praz.g_01723	Prbc.g_01684
