Orthogroup	Praz	Syaa
OG0000001	Praz.g_01154	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Praz.g_01635	Syaa.g_00892
OG0000004	Praz.g_00592	Syaa.g_01667, Syaa.g_02116
OG0000005	Praz.g_00864	Syaa.g_00534
OG0000005	Praz.g_00965	Syaa.g_00573
OG0000006	Praz.g_00601	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Praz.g_01831	Syaa.g_02032
OG0000007	Praz.g_00877	Syaa.g_00551
OG0000008	Praz.g_01241	Syaa.g_00918
OG0000009	Praz.g_00465	Syaa.g_02378
OG0000010	Praz.g_00074	Syaa.g_01843
OG0000011	Praz.g_01240	Syaa.g_00921
OG0000012	Praz.g_01707	Syaa.g_01660, Syaa.g_02304
OG0000013	Praz.g_00684	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Praz.g_00663	Syaa.g_00222
OG0000014	Praz.g_01102	Syaa.g_00481
OG0000015	Praz.g_01551	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Praz.g_00378	Syaa.g_00014
OG0000017	Praz.g_01732	Syaa.g_01890, Syaa.g_01883
OG0000018	Praz.g_00011	Syaa.g_01801
OG0000019	Praz.g_00609, Praz.g_01532	Syaa.g_00307
OG0000021	Praz.g_00896, Praz.g_00810	Syaa.g_02627
OG0000022	Praz.g_00029	Syaa.g_01571
OG0000023	Praz.g_00814	Syaa.g_01529, Syaa.g_01216
OG0000024	Praz.g_01571, Praz.g_01655	Syaa.g_00922
OG0000025	Praz.g_00688, Praz.g_01477	Syaa.g_00839
OG0000026	Praz.g_00396, Praz.g_00081	Syaa.g_00038
OG0000027	Praz.g_01858, Praz.g_01197	Syaa.g_01605, Syaa.g_00854
OG0000028	Praz.g_01246, Praz.g_00677	Syaa.g_00205
OG0000029	Praz.g_01564, Praz.g_00799	Syaa.g_01578
OG0000030	Praz.g_00195	Syaa.g_00099, Syaa.g_00098
OG0000031	Praz.g_01116	Syaa.g_00200, Syaa.g_00480
OG0000034	Praz.g_01170	Syaa.g_00722, Syaa.g_02444
OG0000035	Praz.g_01041	Syaa.g_01773
OG0000037	Praz.g_00469	Syaa.g_02384
OG0000038	Praz.g_00154	Syaa.g_02596
OG0000039	Praz.g_01644	Syaa.g_00846
OG0000040	Praz.g_00903	Syaa.g_01606
OG0000040	Praz.g_00012	Syaa.g_02690
OG0000042	Praz.g_00198	Syaa.g_00103
OG0000044	Praz.g_00693	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851
OG0000045	Praz.g_00803	Syaa.g_01560
OG0000047	Praz.g_00687, Praz.g_01921	Syaa.g_02189
OG0000048	Praz.g_00800	Syaa.g_00275, Syaa.g_02719
OG0000050	Praz.g_00769	Syaa.g_01591
OG0000050	Praz.g_00101	Syaa.g_01213, Syaa.g_01712
OG0000051	Praz.g_01204	Syaa.g_01531
OG0000052	Praz.g_01103	Syaa.g_00461
OG0000053	Praz.g_01021	Syaa.g_01797
OG0000054	Praz.g_01724	Syaa.g_01691, Syaa.g_01502
OG0000055	Praz.g_01531	Syaa.g_01564, Syaa.g_00852
OG0000057	Praz.g_01632	Syaa.g_01466, Syaa.g_00889
OG0000058	Praz.g_01096	Syaa.g_00193, Syaa.g_00455
OG0000059	Praz.g_00311	Syaa.g_02315
OG0000061	Praz.g_00755	Syaa.g_00770
OG0000062	Praz.g_00963	Syaa.g_00571
OG0000063	Praz.g_00398	Syaa.g_00042
OG0000065	Praz.g_00467	Syaa.g_02380
OG0000066	Praz.g_01789	Syaa.g_01968
OG0000067	Praz.g_01512	Syaa.g_01154
OG0000068	Praz.g_01139	Syaa.g_02059
OG0000069	Praz.g_00928	Syaa.g_01497, Syaa.g_01256
OG0000070	Praz.g_01878	Syaa.g_00718
OG0000071	Praz.g_01180	Syaa.g_00735
OG0000072	Praz.g_00531	Syaa.g_02480
OG0000073	Praz.g_01829	Syaa.g_02030
OG0000074	Praz.g_01648	Syaa.g_00372
OG0000075	Praz.g_00230	Syaa.g_00157
OG0000076	Praz.g_00205	Syaa.g_00123
OG0000077	Praz.g_00438	Syaa.g_00341
OG0000078	Praz.g_00599	Syaa.g_02103
OG0000079	Praz.g_00612	Syaa.g_00303
OG0000081	Praz.g_01797	Syaa.g_02089, Syaa.g_01694
OG0000082	Praz.g_01744	Syaa.g_01905
OG0000084	Praz.g_01045	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Praz.g_00884	Syaa.g_00564
OG0000086	Praz.g_00448	Syaa.g_00324
OG0000087	Praz.g_00499	Syaa.g_02433
OG0000088	Praz.g_00526	Syaa.g_02474
OG0000089	Praz.g_00818	Syaa.g_02149
OG0000090	Praz.g_01795	Syaa.g_01980
OG0000091	Praz.g_01688	Syaa.g_01625
OG0000093	Praz.g_01382	Syaa.g_01139
OG0000094	Praz.g_01296	Syaa.g_01288
OG0000095	Praz.g_00066	Syaa.g_00879
OG0000097	Praz.g_00713	Syaa.g_00979
OG0000098	Praz.g_01157	Syaa.g_01970
OG0000099	Praz.g_01098	Syaa.g_00202
OG0000100	Praz.g_00967	Syaa.g_01201
OG0000101	Praz.g_00263	Syaa.g_02249
