Orthogroup	Pram	Prae
OG0000000	Pram.g_01561	Prae.g_01310
OG0000000	Pram.g_01511	Prae.g_01580
OG0000001	Pram.g_01954, Pram.g_01953	Prae.g_01353
OG0000002	Pram.g_00873, Pram.g_00879	Prae.g_01361
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Prae.g_00652
OG0000004	Pram.g_00789	Prae.g_00669
OG0000004	Pram.g_00219	Prae.g_00235
OG0000005	Pram.g_01295	Prae.g_01535
OG0000006	Pram.g_00229	Prae.g_00244
OG0000007	Pram.g_00433	Prae.g_00471
OG0000007	Pram.g_01632	Prae.g_01623
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Prae.g_01270
OG0000010	Pram.g_00410	Prae.g_00448
OG0000010	Pram.g_00704, Pram.g_01000	Prae.g_01048
OG0000011	Pram.g_01579	Prae.g_01245
OG0000012	Pram.g_00561	Prae.g_00597
OG0000013	Pram.g_00315	Prae.g_00328
OG0000014	Pram.g_00295	Prae.g_00307
OG0000015	Pram.g_00696, Pram.g_01545	Prae.g_00769, Prae.g_01235
OG0000017	Pram.g_00535, Pram.g_00542	Prae.g_00572
OG0000018	Pram.g_00837	Prae.g_00833
OG0000018	Pram.g_01162	Prae.g_01144
OG0000019	Pram.g_00237	Prae.g_00252
OG0000019	Pram.g_01164	Prae.g_00786
OG0000021	Pram.g_01274, Pram.g_00794	Prae.g_01600, Prae.g_00364
OG0000022	Pram.g_01287	Prae.g_00764
OG0000023	Pram.g_00689	Prae.g_00359
OG0000024	Pram.g_01004	Prae.g_00748
OG0000024	Pram.g_00765	Prae.g_00649
OG0000025	Pram.g_00844	Prae.g_00332, Prae.g_00840
OG0000026	Pram.g_00018	Prae.g_01056
OG0000028	Pram.g_00308	Prae.g_00321
OG0000029	Pram.g_01529	Prae.g_00755
OG0000029	Pram.g_01723	Prae.g_00375
OG0000030	Pram.g_01844	Prae.g_01825
OG0000034	Pram.g_01240	Prae.g_01339
OG0000035	Pram.g_01381, Pram.g_01378	Prae.g_01459
OG0000037	Pram.g_00093	Prae.g_00108
OG0000038	Pram.g_01884	Prae.g_01865
OG0000039	Pram.g_00777	Prae.g_00660
OG0000040	Pram.g_01599	Prae.g_01597
OG0000041	Pram.g_01680	Prae.g_01669
OG0000042	Pram.g_01841	Prae.g_01822
OG0000043	Pram.g_01161	Prae.g_00876
OG0000048	Pram.g_00259	Prae.g_00374
OG0000053	Pram.g_01357, Pram.g_01580	Prae.g_01479
OG0000054	Pram.g_00544	Prae.g_00580
OG0000055	Pram.g_01189, Pram.g_01617	Prae.g_00787
OG0000057	Pram.g_00792	Prae.g_00672
OG0000058	Pram.g_01447	Prae.g_01417
OG0000059	Pram.g_01719	Prae.g_01710
OG0000061	Pram.g_01140	Prae.g_01163
OG0000062	Pram.g_01293	Prae.g_01537
OG0000065	Pram.g_00091	Prae.g_00106
OG0000066	Pram.g_01558	Prae.g_00514
OG0000067	Pram.g_00809	Prae.g_00806
OG0000068	Pram.g_01468	Prae.g_01368
OG0000069	Pram.g_00391	Prae.g_01573
OG0000070	Pram.g_00385	Prae.g_00424
OG0000071	Pram.g_01230	Prae.g_01329
OG0000072	Pram.g_00156	Prae.g_00174
OG0000073	Pram.g_01426, Pram.g_00437	Prae.g_00473
OG0000074	Pram.g_00772, Pram.g_00715, Pram.g_00684	Prae.g_00656
OG0000075	Pram.g_01807	Prae.g_01791
OG0000076	Pram.g_01833	Prae.g_01815
OG0000077	Pram.g_00063	Prae.g_00078
OG0000078	Pram.g_00227	Prae.g_00242
OG0000079	Pram.g_00240	Prae.g_00255
OG0000081	Pram.g_00469	Prae.g_00505
OG0000082	Pram.g_01559	Prae.g_00559
OG0000084	Pram.g_01384	Prae.g_01455
OG0000085	Pram.g_01265	Prae.g_01616
OG0000086	Pram.g_00072	Prae.g_00088
OG0000087	Pram.g_00125	Prae.g_00139
OG0000088	Pram.g_00151	Prae.g_00169
