Orthogroup	Pram	Syaj
OG0000001	Pram.g_01954, Pram.g_01953	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Syaj.g_02667
OG0000004	Pram.g_00789	Syaj.g_00441
OG0000004	Pram.g_00219	Syaj.g_01314, Syaj.g_02853
OG0000005	Pram.g_01295	Syaj.g_01698
OG0000006	Pram.g_00229	Syaj.g_02635
OG0000007	Pram.g_00433	Syaj.g_00091
OG0000007	Pram.g_01632	Syaj.g_01721
OG0000008	Pram.g_01263	Syaj.g_00496
OG0000008	Pram.g_01262	Syaj.g_00497
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Syaj.g_01069
OG0000010	Pram.g_00704, Pram.g_01000	Syaj.g_01445
OG0000012	Pram.g_00561	Syaj.g_01306
OG0000013	Pram.g_00315	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Pram.g_00295	Syaj.g_02522
OG0000015	Pram.g_00696, Pram.g_01545	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Pram.g_01193	Syaj.g_00590, Syaj.g_01191
OG0000017	Pram.g_00535	Syaj.g_00248
OG0000017	Pram.g_00542	Syaj.g_00255
OG0000018	Pram.g_01162	Syaj.g_01413
OG0000019	Pram.g_00237, Pram.g_01164	Syaj.g_02613
OG0000021	Pram.g_01274, Pram.g_00794	Syaj.g_00042
OG0000023	Pram.g_00689	Syaj.g_00829, Syaj.g_01791
OG0000024	Pram.g_01004, Pram.g_00765	Syaj.g_00500
OG0000025	Pram.g_00844	Syaj.g_00383
OG0000026	Pram.g_00018	Syaj.g_02298
OG0000028	Pram.g_00363, Pram.g_00308	Syaj.g_02506
OG0000029	Pram.g_01529, Pram.g_01723	Syaj.g_01229
OG0000030	Pram.g_01844	Syaj.g_02396, Syaj.g_02395
OG0000031	Pram.g_01413	Syaj.g_02501
OG0000032	Pram.g_01339	Syaj.g_01432
OG0000034	Pram.g_01240	Syaj.g_01959
OG0000035	Pram.g_01381, Pram.g_01378	Syaj.g_01378
OG0000037	Pram.g_00093	Syaj.g_01891, Syaj.g_02902
OG0000038	Pram.g_01884	Syaj.g_02115
OG0000039	Pram.g_00777	Syaj.g_00392, Syaj.g_00275
OG0000041	Pram.g_01680	Syaj.g_01602, Syaj.g_00418
OG0000042	Pram.g_01841	Syaj.g_02399
OG0000043	Pram.g_01161	Syaj.g_01085, Syaj.g_01247
OG0000044	Pram.g_01620	Syaj.g_01344
OG0000046	Pram.g_00316	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768
OG0000047	Pram.g_00359	Syaj.g_02799
OG0000048	Pram.g_00259	Syaj.g_02578
OG0000050	Pram.g_00706	Syaj.g_01242
OG0000052	Pram.g_00040	Syaj.g_02476
OG0000053	Pram.g_01357, Pram.g_01580	Syaj.g_01409
OG0000054	Pram.g_00544	Syaj.g_01341
OG0000056	Pram.g_00603	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962
OG0000057	Pram.g_00792	Syaj.g_00438
OG0000059	Pram.g_01719	Syaj.g_02686
OG0000061	Pram.g_01140	Syaj.g_00302
OG0000062	Pram.g_01293	Syaj.g_01700
OG0000063	Pram.g_01258	Syaj.g_02302
OG0000064	Pram.g_00052	Syaj.g_00041, Syaj.g_01253
OG0000065	Pram.g_00091	Syaj.g_01887, Syaj.g_00007
OG0000066	Pram.g_01558	Syaj.g_00157
OG0000067	Pram.g_00809	Syaj.g_01023
OG0000068	Pram.g_01468	Syaj.g_00059
OG0000070	Pram.g_00385	Syaj.g_01529
OG0000071	Pram.g_01230	Syaj.g_01511
OG0000072	Pram.g_00156	Syaj.g_01992
OG0000073	Pram.g_00437	Syaj.g_00093
OG0000075	Pram.g_01807	Syaj.g_02457
OG0000076	Pram.g_01833	Syaj.g_02417
OG0000077	Pram.g_00063	Syaj.g_01831
OG0000078	Pram.g_00227	Syaj.g_02880
OG0000079	Pram.g_00240	Syaj.g_02609
OG0000080	Pram.g_01408	Syaj.g_02022, Syaj.g_02368
OG0000081	Pram.g_00469	Syaj.g_02888
OG0000082	Pram.g_01559	Syaj.g_00229
OG0000084	Pram.g_01384	Syaj.g_01375
OG0000085	Pram.g_01265	Syaj.g_01707
OG0000086	Pram.g_00072	Syaj.g_01848
OG0000087	Pram.g_00125	Syaj.g_01945
OG0000088	Pram.g_00151	Syaj.g_01986
OG0000089	Pram.g_00352	Syaj.g_02829, Syaj.g_01915
OG0000090	Pram.g_00471	Syaj.g_00144
OG0000091	Pram.g_01068	Syaj.g_01275
OG0000093	Pram.g_01038	Syaj.g_01042
OG0000094	Pram.g_00987	Syaj.g_00804
OG0000095	Pram.g_00888	Syaj.g_00427
OG0000097	Pram.g_01093	Syaj.g_00589
OG0000098	Pram.g_01478	Syaj.g_02671
OG0000099	Pram.g_01445	Syaj.g_02503
OG0000100	Pram.g_01298	Syaj.g_00987
OG0000101	Pram.g_01770	Syaj.g_02738
OG0000102	Pram.g_01838	Syaj.g_02411
