Orthogroup	Pram	Praw
OG0000000	Pram.g_01561	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Pram.g_01511	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000001	Pram.g_01954, Pram.g_01953	Praw.g_01000
OG0000002	Pram.g_00873, Pram.g_00879	Praw.g_01009
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Praw.g_01844
OG0000004	Pram.g_00789	Praw.g_01827
OG0000004	Pram.g_00219	Praw.g_01203
OG0000005	Pram.g_01295	Praw.g_00413
OG0000006	Pram.g_00229	Praw.g_01950
OG0000007	Pram.g_00433	Praw.g_00651
OG0000007	Pram.g_01632	Praw.g_00515
OG0000008	Pram.g_01263	Praw.g_00501
OG0000008	Pram.g_01262	Praw.g_00502
OG0000010	Pram.g_00410	Praw.g_00673
OG0000010	Pram.g_00704, Pram.g_01000	Praw.g_01460
OG0000012	Pram.g_00561	Praw.g_00159
OG0000013	Pram.g_00315	Praw.g_00807
OG0000014	Pram.g_00295	Praw.g_00828
OG0000015	Pram.g_00696, Pram.g_01545	Praw.g_01738
OG0000016	Pram.g_01193	Praw.g_01415, Praw.g_00484
OG0000017	Pram.g_00535, Pram.g_00542	Praw.g_01944
OG0000018	Pram.g_00837	Praw.g_01670
OG0000018	Pram.g_01162	Praw.g_00215
OG0000019	Pram.g_00237	Praw.g_00884
OG0000019	Pram.g_01164	Praw.g_01717
OG0000020	Pram.g_01516	Praw.g_00483
OG0000021	Pram.g_01274, Pram.g_00794	Praw.g_00479, Praw.g_00767
OG0000022	Pram.g_01287	Praw.g_01746
OG0000023	Pram.g_00689	Praw.g_00772
OG0000024	Pram.g_01004	Praw.g_01763
OG0000024	Pram.g_00765	Praw.g_01847
OG0000025	Pram.g_00844	Praw.g_00803, Praw.g_01664
OG0000026	Pram.g_00018	Praw.g_01453
OG0000028	Pram.g_00363	Praw.g_00334
OG0000028	Pram.g_00308	Praw.g_00814
OG0000029	Pram.g_01529	Praw.g_01755
OG0000030	Pram.g_01844	Praw.g_00029
OG0000034	Pram.g_01240	Praw.g_00991
OG0000035	Pram.g_01381, Pram.g_01378	Praw.g_01081, Praw.g_01083
OG0000037	Pram.g_00093	Praw.g_01326
OG0000038	Pram.g_01884	Praw.g_01182
