Orthogroup	Pram	Syas
OG0000001	Pram.g_01954, Pram.g_01953	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Pram.g_00789	Syas.g_00176
OG0000004	Pram.g_00219	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Pram.g_01295	Syas.g_02704
OG0000006	Pram.g_00229	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Pram.g_00433	Syas.g_01232
OG0000007	Pram.g_01632	Syas.g_02681
OG0000008	Pram.g_01263	Syas.g_00886
OG0000008	Pram.g_01262	Syas.g_00887
OG0000010	Pram.g_00704, Pram.g_01000	Syas.g_01334
OG0000013	Pram.g_00315	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Pram.g_00295	Syas.g_01816
OG0000015	Pram.g_00696, Pram.g_01545	Syas.g_02007, Syas.g_00968
OG0000016	Pram.g_01193	Syas.g_01086, Syas.g_01050
OG0000017	Pram.g_00542	Syas.g_00856
OG0000018	Pram.g_01162	Syas.g_01290
OG0000019	Pram.g_00237, Pram.g_01164	Syas.g_01696
OG0000025	Pram.g_00844	Syas.g_00231
OG0000026	Pram.g_00018	Syas.g_02070
OG0000028	Pram.g_00363, Pram.g_00308	Syas.g_01793
OG0000030	Pram.g_01844	Syas.g_01644, Syas.g_01645
OG0000031	Pram.g_01413	Syas.g_01827
OG0000034	Pram.g_01240	Syas.g_02371, Syas.g_02838
OG0000035	Pram.g_01381, Pram.g_01378	Syas.g_02814, Syas.g_02818
OG0000037	Pram.g_00093	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Pram.g_01884	Syas.g_01885, Syas.g_01887
OG0000039	Pram.g_00777	Syas.g_02795
OG0000040	Pram.g_01599	Syas.g_02028
OG0000041	Pram.g_01680	Syas.g_00996, Syas.g_02585
OG0000042	Pram.g_01841	Syas.g_01121, Syas.g_02147
OG0000044	Pram.g_01620	Syas.g_00894, Syas.g_02453
OG0000046	Pram.g_00316	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Pram.g_00259	Syas.g_01734
OG0000053	Pram.g_01357, Pram.g_01580	Syas.g_01287
OG0000054	Pram.g_00544	Syas.g_00961, Syas.g_00957
OG0000055	Pram.g_01617	Syas.g_00203
OG0000057	Pram.g_00792	Syas.g_01055, Syas.g_01038
OG0000059	Pram.g_01719	Syas.g_01639
OG0000061	Pram.g_01140	Syas.g_01184
OG0000062	Pram.g_01293	Syas.g_02702
OG0000063	Pram.g_01258	Syas.g_02074
OG0000064	Pram.g_00052	Syas.g_02423, Syas.g_00946
OG0000065	Pram.g_00091	Syas.g_02420
OG0000066	Pram.g_01558	Syas.g_00094
OG0000067	Pram.g_00809	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Pram.g_01468	Syas.g_00969, Syas.g_01261
OG0000069	Pram.g_00391	Syas.g_00779, Syas.g_00876
OG0000070	Pram.g_00385	Syas.g_00173
OG0000071	Pram.g_01230	Syas.g_02854
OG0000072	Pram.g_00156	Syas.g_02326, Syas.g_01524
OG0000073	Pram.g_01426	Syas.g_00358, Syas.g_00264
OG0000073	Pram.g_00437	Syas.g_01230
OG0000075	Pram.g_01807	Syas.g_01921, Syas.g_02194
OG0000076	Pram.g_01833	Syas.g_02156
OG0000077	Pram.g_00063	Syas.g_02510
OG0000078	Pram.g_00227	Syas.g_02561
OG0000079	Pram.g_00240	Syas.g_01699
OG0000080	Pram.g_01408	Syas.g_02616, Syas.g_02149
OG0000081	Pram.g_00469	Syas.g_00391
OG0000082	Pram.g_01559	Syas.g_00837
OG0000085	Pram.g_01265	Syas.g_02695
OG0000086	Pram.g_00072	Syas.g_02470
OG0000087	Pram.g_00125	Syas.g_02374
OG0000089	Pram.g_00352	Syas.g_01512
OG0000090	Pram.g_00471	Syas.g_00062
OG0000091	Pram.g_01068	Syas.g_00907, Syas.g_00146
OG0000094	Pram.g_00987	Syas.g_00208, Syas.g_01716
OG0000095	Pram.g_00888	Syas.g_01021
OG0000097	Pram.g_01093	Syas.g_00114, Syas.g_01443
OG0000098	Pram.g_01478	Syas.g_00091
OG0000099	Pram.g_01445	Syas.g_01826
OG0000100	Pram.g_01298	Syas.g_00567
OG0000101	Pram.g_01770	Syas.g_01589
OG0000102	Pram.g_01838	Syas.g_02152, Syas.g_01395
OG0000103	Pram.g_01925	Syas.g_02009
OG0000104	Pram.g_01934	Syas.g_02027, Syas.g_02026
OG0000105	Pram.g_00262	Syas.g_01739
OG0000106	Pram.g_00677	Syas.g_01451
OG0000107	Pram.g_01696	Syas.g_01669
OG0000108	Pram.g_00416	Syas.g_01253
OG0000109	Pram.g_00430	Syas.g_01236
OG0000110	Pram.g_00513	Syas.g_00359, Syas.g_00818
OG0000111	Pram.g_00793	Syas.g_01037
OG0000112	Pram.g_00935	Syas.g_00452
OG0000113	Pram.g_00832	Syas.g_00571
OG0000114	Pram.g_00734	Syas.g_00252, Syas.g_00674
OG0000115	Pram.g_01201	Syas.g_02548, Syas.g_01285
OG0000116	Pram.g_01151	Syas.g_01198, Syas.g_00317
OG0000117	Pram.g_01112	Syas.g_01122
OG0000118	Pram.g_01242	Syas.g_02835
