Orthogroup	Syaa	Prac
OG0000004	Syaa.g_00892	Prac.g_00676
OG0000004	Syaa.g_01667, Syaa.g_02116	Prac.g_01698
OG0000005	Syaa.g_00534	Prac.g_00612
OG0000005	Syaa.g_00573	Prac.g_00335
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prac.g_01689
OG0000007	Syaa.g_02032	Prac.g_00874
OG0000007	Syaa.g_00551	Prac.g_00625
OG0000008	Syaa.g_00918	Prac.g_00904
OG0000009	Syaa.g_02378	Prac.g_01826
OG0000010	Syaa.g_01843	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000012	Syaa.g_02304, Syaa.g_01660	Prac.g_00748
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prac.g_01604
OG0000014	Syaa.g_00222	Prac.g_01625
OG0000015	Syaa.g_01079, Syaa.g_01989	Prac.g_00898
OG0000016	Syaa.g_00014	Prac.g_01934
OG0000017	Syaa.g_01890	Prac.g_00773
OG0000018	Syaa.g_01801	Prac.g_01004, Prac.g_01448
OG0000019	Syaa.g_00307	Prac.g_01681, Prac.g_01496
OG0000022	Syaa.g_01571	Prac.g_01510, Prac.g_01022
OG0000023	Syaa.g_01529, Syaa.g_01216	Prac.g_01174
OG0000024	Syaa.g_00922	Prac.g_01525, Prac.g_00696
OG0000025	Syaa.g_00839	Prac.g_01441, Prac.g_01600
OG0000026	Syaa.g_00038	Prac.g_01916, Prac.g_01241
OG0000027	Syaa.g_01605, Syaa.g_00854	Prac.g_01074
OG0000028	Syaa.g_00205	Prac.g_01611, Prac.g_00145
OG0000029	Syaa.g_01578	Prac.g_01158
OG0000030	Syaa.g_00099, Syaa.g_00098	Prac.g_00050
OG0000031	Syaa.g_00480	Prac.g_00249
OG0000033	Syaa.g_02478	Prac.g_01761
OG0000034	Syaa.g_00722, Syaa.g_02444	Prac.g_00185
OG0000035	Syaa.g_01773	Prac.g_00411
OG0000037	Syaa.g_02384	Prac.g_01822
OG0000038	Syaa.g_02596	Prac.g_00090
OG0000039	Syaa.g_00846	Prac.g_00685
OG0000040	Syaa.g_01606	Prac.g_00279
OG0000041	Syaa.g_00660	Prac.g_00579
OG0000042	Syaa.g_00103	Prac.g_00048
OG0000045	Syaa.g_01518	Prac.g_01576
OG0000045	Syaa.g_01560	Prac.g_01162
OG0000047	Syaa.g_02189	Prac.g_01127, Prac.g_01601
OG0000048	Syaa.g_02719, Syaa.g_00275	Prac.g_01159
OG0000053	Syaa.g_01797	Prac.g_01901, Prac.g_00391
OG0000054	Syaa.g_01691	Prac.g_00765
OG0000055	Syaa.g_00852	Prac.g_01495
OG0000057	Syaa.g_00889	Prac.g_00673
OG0000058	Syaa.g_00193	Prac.g_00258, Prac.g_00434
OG0000059	Syaa.g_02315	Prac.g_00500
OG0000061	Syaa.g_00770	Prac.g_00985
OG0000063	Syaa.g_00042	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syaa.g_02380	Prac.g_01824
OG0000066	Syaa.g_01968	Prac.g_00833
OG0000067	Syaa.g_01154	Prac.g_01475
OG0000068	Syaa.g_02059	Prac.g_00217
OG0000069	Syaa.g_01256	Prac.g_00890, Prac.g_00300
OG0000070	Syaa.g_00718	Prac.g_01097
OG0000071	Syaa.g_00735	Prac.g_00175
OG0000072	Syaa.g_02480	Prac.g_01759
OG0000073	Syaa.g_02030	Prac.g_00872
OG0000074	Syaa.g_00372	Prac.g_00689
OG0000075	Syaa.g_00157	Prac.g_00017
OG0000076	Syaa.g_00123	Prac.g_01904, Prac.g_00041
OG0000077	Syaa.g_00341	Prac.g_01853
OG0000078	Syaa.g_02103	Prac.g_01691
OG0000081	Syaa.g_02089	Prac.g_00841
OG0000082	Syaa.g_01905	Prac.g_00788
OG0000084	Syaa.g_01770	Prac.g_00415
OG0000085	Syaa.g_00564	Prac.g_00632
OG0000086	Syaa.g_00324	Prac.g_01843
OG0000087	Syaa.g_02433	Prac.g_01792
OG0000088	Syaa.g_02474	Prac.g_01764
OG0000089	Syaa.g_02149	Prac.g_01178
OG0000090	Syaa.g_01980	Prac.g_00839
OG0000091	Syaa.g_01625	Prac.g_00729
OG0000094	Syaa.g_01288	Prac.g_01275
OG0000097	Syaa.g_00979	Prac.g_00944
OG0000099	Syaa.g_00202	Prac.g_00256
OG0000100	Syaa.g_01201	Prac.g_00337
OG0000101	Syaa.g_02249	Prac.g_00548
OG0000102	Syaa.g_00118	Prac.g_00046
OG0000103	Syaa.g_02740	Prac.g_00123
OG0000104	Syaa.g_02754	Prac.g_00131
OG0000105	Syaa.g_00270	Prac.g_01657
OG0000106	Syaa.g_01439	Prac.g_01163
OG0000107	Syaa.g_02351	Prac.g_01148
OG0000108	Syaa.g_02051	Prac.g_01064
OG0000109	Syaa.g_02036	Prac.g_01050
OG0000110	Syaa.g_01918	Prac.g_00798
OG0000111	Syaa.g_00888	Prac.g_00672
OG0000112	Syaa.g_01366	Prac.g_01507
OG0000113	Syaa.g_01196	Prac.g_01453
OG0000114	Syaa.g_01094	Prac.g_01384
OG0000115	Syaa.g_01795	Prac.g_01040
OG0000116	Syaa.g_00757	Prac.g_00995
OG0000117	Syaa.g_01009	Prac.g_01955
OG0000118	Syaa.g_01874	Prac.g_00187
OG0000119	Syaa.g_00785	Prac.g_00213
OG0000120	Syaa.g_00201	Prac.g_00248
OG0000121	Syaa.g_01777	Prac.g_00409
OG0000122	Syaa.g_01598	Prac.g_00371
OG0000123	Syaa.g_02242	Prac.g_00554
OG0000124	Syaa.g_00092	Prac.g_00056
OG0000125	Syaa.g_02598	Prac.g_00092
OG0000126	Syaa.g_02752	Prac.g_00130
OG0000128	Syaa.g_00012	Prac.g_01936
OG0000129	Syaa.g_02586	Prac.g_01888
OG0000130	Syaa.g_00354	Prac.g_01862
OG0000131	Syaa.g_02448	Prac.g_01785
OG0000132	Syaa.g_02472	Prac.g_01766
OG0000133	Syaa.g_01361	Prac.g_01609
OG0000134	Syaa.g_02146	Prac.g_01177
OG0000135	Syaa.g_02649	Prac.g_01150
OG0000136	Syaa.g_00708	Prac.g_01106
OG0000137	Syaa.g_01842	Prac.g_01069
OG0000138	Syaa.g_02035	Prac.g_01049
OG0000139	Syaa.g_01974	Prac.g_00835
OG0000140	Syaa.g_01971	Prac.g_00834
OG0000141	Syaa.g_01689	Prac.g_00764
OG0000142	Syaa.g_01633	Prac.g_00736
OG0000143	Syaa.g_01629	Prac.g_00732
OG0000144	Syaa.g_01446	Prac.g_00719
OG0000145	Syaa.g_02029	Prac.g_01508
OG0000146	Syaa.g_01367	Prac.g_01506
OG0000147	Syaa.g_01368	Prac.g_01505
OG0000148	Syaa.g_01190	Prac.g_01459
OG0000149	Syaa.g_00826	Prac.g_01429
OG0000150	Syaa.g_01688	Prac.g_01421
OG0000151	Syaa.g_01107	Prac.g_01374
OG0000152	Syaa.g_01357	Prac.g_01327
OG0000153	Syaa.g_01324	Prac.g_01308
OG0000154	Syaa.g_01298	Prac.g_01282
OG0000155	Syaa.g_00804	Prac.g_00965
OG0000156	Syaa.g_00751	Prac.g_00164
OG0000157	Syaa.g_00750	Prac.g_00165
OG0000158	Syaa.g_00148	Prac.g_00447
OG0000160	Syaa.g_01776	Prac.g_00410
OG0000161	Syaa.g_01782	Prac.g_00404
OG0000162	Syaa.g_01788	Prac.g_00398
OG0000163	Syaa.g_00624	Prac.g_00364
OG0000164	Syaa.g_00507	Prac.g_00601
OG0000165	Syaa.g_00681	Prac.g_00594
OG0000166	Syaa.g_02289	Prac.g_00512
OG0000167	Syaa.g_00160	Prac.g_00015
OG0000168	Syaa.g_00145	Prac.g_00025
OG0000169	Syaa.g_00134	Prac.g_00035
OG0000170	Syaa.g_00128	Prac.g_00037
OG0000171	Syaa.g_00093	Prac.g_00055
OG0000172	Syaa.g_00079	Prac.g_00063
OG0000173	Syaa.g_00060	Prac.g_00078
OG0000174	Syaa.g_02651	Prac.g_00105
OG0000175	Syaa.g_02726	Prac.g_00115
OG0000176	Syaa.g_00004	Prac.g_01943
OG0000177	Syaa.g_00005	Prac.g_01942
OG0000178	Syaa.g_00006	Prac.g_01941
OG0000179	Syaa.g_00023	Prac.g_01931
OG0000180	Syaa.g_00024	Prac.g_01930
OG0000181	Syaa.g_00025	Prac.g_01929
OG0000182	Syaa.g_00026	Prac.g_01928
OG0000183	Syaa.g_00030	Prac.g_01924
OG0000184	Syaa.g_02578	Prac.g_01885
OG0000185	Syaa.g_02575	Prac.g_01882
OG0000186	Syaa.g_00359	Prac.g_01867
OG0000187	Syaa.g_00358	Prac.g_01866
OG0000188	Syaa.g_00334	Prac.g_01849
OG0000189	Syaa.g_02367	Prac.g_01835
OG0000190	Syaa.g_02369	Prac.g_01834
OG0000191	Syaa.g_02404	Prac.g_01814
OG0000192	Syaa.g_02410	Prac.g_01810
OG0000193	Syaa.g_02449	Prac.g_01784
OG0000194	Syaa.g_02452	Prac.g_01781
OG0000195	Syaa.g_02459	Prac.g_01779
OG0000196	Syaa.g_02469	Prac.g_01769
OG0000197	Syaa.g_02470	Prac.g_01768
OG0000198	Syaa.g_02471	Prac.g_01767
OG0000199	Syaa.g_02479	Prac.g_01760
OG0000200	Syaa.g_02496	Prac.g_01746
OG0000201	Syaa.g_02521	Prac.g_01738
OG0000202	Syaa.g_02522	Prac.g_01737
OG0000203	Syaa.g_02523	Prac.g_01736
OG0000204	Syaa.g_02524	Prac.g_01735
OG0000205	Syaa.g_02531	Prac.g_01728
OG0000206	Syaa.g_02538	Prac.g_01723
OG0000207	Syaa.g_02540	Prac.g_01721
OG0000208	Syaa.g_02541	Prac.g_01720
OG0000209	Syaa.g_02556	Prac.g_01711
OG0000210	Syaa.g_02557	Prac.g_01710
OG0000212	Syaa.g_02102	Prac.g_01690
OG0000213	Syaa.g_00295	Prac.g_01674
OG0000214	Syaa.g_00279	Prac.g_01664
OG0000215	Syaa.g_00248	Prac.g_01639
OG0000216	Syaa.g_00244	Prac.g_01637
