Orthogroup	Syaa	Prat
OG0000004	Syaa.g_00892	Prat.g_00772
OG0000004	Syaa.g_01667, Syaa.g_02116	Prat.g_00236
OG0000005	Syaa.g_00573	Prat.g_01440
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prat.g_00248
OG0000007	Syaa.g_02032	Prat.g_00458
OG0000007	Syaa.g_00551	Prat.g_01592
OG0000008	Syaa.g_00918	Prat.g_00376
OG0000008	Syaa.g_00919	Prat.g_00377
OG0000010	Syaa.g_01843	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Syaa.g_01660	Prat.g_00586
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prat.g_00334
OG0000014	Syaa.g_00222	Prat.g_00314
OG0000014	Syaa.g_00481	Prat.g_01267
OG0000015	Syaa.g_01079, Syaa.g_01989	Prat.g_00701
OG0000016	Syaa.g_00014	Prat.g_00014
OG0000016	Syaa.g_00981, Syaa.g_01481	Prat.g_01219
OG0000017	Syaa.g_01883	Prat.g_00567
OG0000017	Syaa.g_01890	Prat.g_00560
OG0000018	Syaa.g_01801	Prat.g_01177, Prat.g_01009
OG0000019	Syaa.g_00307	Prat.g_00255, Prat.g_01180
OG0000021	Syaa.g_02627	Prat.g_00461
OG0000022	Syaa.g_01571	Prat.g_01192, Prat.g_01448
OG0000023	Syaa.g_01529, Syaa.g_01216	Prat.g_00834
OG0000024	Syaa.g_00922	Prat.g_00622, Prat.g_00749
OG0000025	Syaa.g_00839	Prat.g_01003
OG0000026	Syaa.g_00038	Prat.g_00033
OG0000027	Syaa.g_01605, Syaa.g_00854	Prat.g_01548, Prat.g_01474
OG0000028	Syaa.g_00205	Prat.g_00327, Prat.g_00380
OG0000030	Syaa.g_00099, Syaa.g_00098	Prat.g_01799
OG0000031	Syaa.g_00480	Prat.g_01266
OG0000032	Syaa.g_01818	Prat.g_01394
OG0000033	Syaa.g_00485	Prat.g_01265
OG0000033	Syaa.g_02478	Prat.g_00170
OG0000034	Syaa.g_00722, Syaa.g_02444	Prat.g_01259
OG0000035	Syaa.g_01773	Prat.g_01352, Prat.g_01353
OG0000037	Syaa.g_02384	Prat.g_00106
OG0000038	Syaa.g_02596	Prat.g_01839
OG0000039	Syaa.g_00846	Prat.g_00760
OG0000040	Syaa.g_01606	Prat.g_01578
OG0000041	Syaa.g_00660	Prat.g_01640
OG0000042	Syaa.g_00103	Prat.g_01796
OG0000045	Syaa.g_01560	Prat.g_01203
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prat.g_00335
OG0000047	Syaa.g_02189	Prat.g_00374
OG0000048	Syaa.g_02719, Syaa.g_00275	Prat.g_00278
OG0000050	Syaa.g_01591	Prat.g_00685
OG0000053	Syaa.g_01797	Prat.g_01375
OG0000054	Syaa.g_01691	Prat.g_00569
OG0000055	Syaa.g_00852	Prat.g_00852
OG0000057	Syaa.g_00889	Prat.g_00775
OG0000058	Syaa.g_00193	Prat.g_01311
OG0000059	Syaa.g_02315	Prat.g_01679
OG0000061	Syaa.g_00770	Prat.g_01156
OG0000062	Syaa.g_00571	Prat.g_01442
OG0000063	Syaa.g_00042	Prat.g_01516
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Prat.g_00064
OG0000065	Syaa.g_02380	Prat.g_00104
OG0000066	Syaa.g_01968	Prat.g_01499
OG0000067	Syaa.g_01154	Prat.g_01037
OG0000068	Syaa.g_02059	Prat.g_01291
OG0000069	Syaa.g_01256	Prat.g_01400
OG0000070	Syaa.g_00718	Prat.g_00412
OG0000071	Syaa.g_00735	Prat.g_01249
OG0000072	Syaa.g_02480	Prat.g_00172
OG0000073	Syaa.g_02030	Prat.g_00462
OG0000074	Syaa.g_00372	Prat.g_00696, Prat.g_00755, Prat.g_01577
OG0000075	Syaa.g_00157	Prat.g_01761
OG0000076	Syaa.g_00123	Prat.g_01788
OG0000077	Syaa.g_00341	Prat.g_00075
OG0000078	Syaa.g_02103	Prat.g_00245
OG0000079	Syaa.g_00303	Prat.g_00258
OG0000080	Syaa.g_00487	Prat.g_01323
OG0000081	Syaa.g_02089	Prat.g_00493
OG0000082	Syaa.g_01905	Prat.g_01507
OG0000084	Syaa.g_01770	Prat.g_01348
OG0000085	Syaa.g_00564	Prat.g_01584
OG0000086	Syaa.g_00324	Prat.g_00086
OG0000087	Syaa.g_02433	Prat.g_00138
OG0000088	Syaa.g_02474	Prat.g_00166
OG0000089	Syaa.g_02149	Prat.g_00370
OG0000090	Syaa.g_01980	Prat.g_00495
OG0000091	Syaa.g_01625	Prat.g_01082
OG0000093	Syaa.g_01139	Prat.g_01053
OG0000097	Syaa.g_00979	Prat.g_01111
OG0000099	Syaa.g_00202	Prat.g_01312
OG0000100	Syaa.g_01201	Prat.g_01437
OG0000101	Syaa.g_02249	Prat.g_01726
OG0000102	Syaa.g_00118	Prat.g_01793
OG0000103	Syaa.g_02740	Prat.g_01880
OG0000104	Syaa.g_02754	Prat.g_01889
OG0000105	Syaa.g_00270	Prat.g_00281
OG0000106	Syaa.g_01439	Prat.g_00637
OG0000107	Syaa.g_02351	Prat.g_01656
OG0000108	Syaa.g_02051	Prat.g_00440
OG0000109	Syaa.g_02036	Prat.g_00455
OG0000110	Syaa.g_01918	Prat.g_00539
OG0000111	Syaa.g_00888	Prat.g_00776
