Orthogroup	Syaa	Syar
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syar.g_00069
OG0000001	Syaa.g_02439	Syar.g_00070
OG0000004	Syaa.g_00892	Syar.g_02051
OG0000004	Syaa.g_01667	Syar.g_02225
OG0000004	Syaa.g_02116	Syar.g_00842
OG0000005	Syaa.g_00534	Syar.g_02952
OG0000005	Syaa.g_00573	Syar.g_02909
OG0000005	Syaa.g_01449	Syar.g_01752
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000006	Syaa.g_01611	Syar.g_02439
OG0000007	Syaa.g_02032	Syar.g_01491
OG0000007	Syaa.g_00551	Syar.g_02929
OG0000008	Syaa.g_00918	Syar.g_02097
OG0000008	Syaa.g_00919	Syar.g_02098
OG0000009	Syaa.g_02378	Syar.g_03116
OG0000010	Syaa.g_01843	Syar.g_01272
OG0000013	Syaa.g_02217	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syaa.g_00222	Syar.g_00825
OG0000014	Syaa.g_00481	Syar.g_02736
OG0000015	Syaa.g_02739	Syar.g_00451
OG0000016	Syaa.g_00014, Syaa.g_00981, Syaa.g_01481	Syar.g_02859
OG0000017	Syaa.g_01883	Syar.g_02180
OG0000017	Syaa.g_01890	Syar.g_02188
OG0000018	Syaa.g_01801	Syar.g_01409
OG0000019	Syaa.g_00307	Syar.g_00163
OG0000022	Syaa.g_01571	Syar.g_00835
OG0000025	Syaa.g_00839	Syar.g_01811
OG0000026	Syaa.g_00038	Syar.g_00505
OG0000027	Syaa.g_01605, Syaa.g_00854	Syar.g_02055
OG0000028	Syaa.g_00205	Syar.g_00718
OG0000031	Syaa.g_00200	Syar.g_00714
OG0000032	Syaa.g_01818	Syar.g_01390
OG0000033	Syaa.g_00485, Syaa.g_02478	Syar.g_00105
OG0000034	Syaa.g_00722, Syaa.g_02444	Syar.g_00074, Syar.g_02790
OG0000035	Syaa.g_01773	Syar.g_02809
OG0000037	Syaa.g_02384	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syaa.g_02596	Syar.g_00334
OG0000039	Syaa.g_00846	Syar.g_00007
OG0000040	Syaa.g_02690	Syar.g_00858
OG0000042	Syaa.g_00103	Syar.g_00595, Syar.g_01970
OG0000044	Syaa.g_01737, Syaa.g_00851, Syaa.g_00363	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syaa.g_01518, Syaa.g_01560	Syar.g_02592
OG0000046	Syaa.g_02205	Syar.g_03233
OG0000048	Syaa.g_02719, Syaa.g_00275	Syar.g_00213
OG0000051	Syaa.g_01531	Syar.g_01597
OG0000052	Syaa.g_00174	Syar.g_02742, Syar.g_02751
OG0000053	Syaa.g_01797	Syar.g_01413
OG0000054	Syaa.g_01502	Syar.g_02265
OG0000055	Syaa.g_00852, Syaa.g_01564	Syar.g_01386
OG0000057	Syaa.g_01466	Syar.g_01941
OG0000057	Syaa.g_00889	Syar.g_00006
OG0000058	Syaa.g_00455	Syar.g_00648
OG0000060	Syaa.g_02053	Syar.g_01260
OG0000061	Syaa.g_00770	Syar.g_01539
OG0000062	Syaa.g_00571	Syar.g_02911
OG0000063	Syaa.g_00042	Syar.g_00509
OG0000064	Syaa.g_02666	Syar.g_03117
OG0000064	Syaa.g_01568	Syar.g_00860
OG0000065	Syaa.g_02380	Syar.g_03119
OG0000066	Syaa.g_01968	Syar.g_02228
OG0000067	Syaa.g_01154	Syar.g_02639
OG0000068	Syaa.g_02059	Syar.g_02329, Syar.g_01461
OG0000069	Syaa.g_01497, Syaa.g_01256	Syar.g_01716
OG0000070	Syaa.g_00718	Syar.g_02223
OG0000071	Syaa.g_00735	Syar.g_02777
OG0000072	Syaa.g_02480	Syar.g_00107
OG0000073	Syaa.g_02030	Syar.g_01493
OG0000075	Syaa.g_00157	Syar.g_03065, Syar.g_00659
OG0000076	Syaa.g_00123	Syar.g_00608
OG0000078	Syaa.g_02103	Syar.g_01366, Syar.g_03265, Syar.g_03018
OG0000079	Syaa.g_00303	Syar.g_00166
OG0000081	Syaa.g_01694, Syaa.g_02089	Syar.g_01898
OG0000082	Syaa.g_01905	Syar.g_02202
OG0000085	Syaa.g_00564	Syar.g_02919
OG0000086	Syaa.g_00324	Syar.g_03085
OG0000087	Syaa.g_02433	Syar.g_00068
OG0000088	Syaa.g_02474	Syar.g_00101
OG0000089	Syaa.g_02149	Syar.g_01162
OG0000090	Syaa.g_01980	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syaa.g_01625	Syar.g_01891, Syar.g_02426
OG0000093	Syaa.g_01139	Syar.g_02623
OG0000094	Syaa.g_01288	Syar.g_01789
OG0000095	Syaa.g_00879	Syar.g_01932
OG0000097	Syaa.g_00979	Syar.g_01706
OG0000098	Syaa.g_01970	Syar.g_02343
OG0000099	Syaa.g_00202	Syar.g_00715
OG0000100	Syaa.g_01201	Syar.g_02477
OG0000101	Syaa.g_02249	Syar.g_03154
OG0000102	Syaa.g_00118	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syaa.g_02740	Syar.g_00014
OG0000104	Syaa.g_02754	Syar.g_00466
OG0000105	Syaa.g_00270	Syar.g_00218
OG0000106	Syaa.g_01439	Syar.g_01748
OG0000107	Syaa.g_02351	Syar.g_00149, Syar.g_03290
OG0000108	Syaa.g_02051	Syar.g_01469
OG0000109	Syaa.g_02036	Syar.g_03310
OG0000110	Syaa.g_01918	Syar.g_02295
OG0000111	Syaa.g_00888	Syar.g_01940, Syar.g_00005
OG0000112	Syaa.g_01366	Syar.g_02548
