Orthogroup	Syaa	Prak
OG0000004	Syaa.g_00892	Prak.g_00826
OG0000004	Syaa.g_01667, Syaa.g_02116	Prak.g_00248
OG0000005	Syaa.g_00573	Prak.g_01474
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prak.g_00258
OG0000007	Syaa.g_02032	Prak.g_00458
OG0000007	Syaa.g_00551	Prak.g_01645
OG0000008	Syaa.g_00918	Prak.g_01544
OG0000008	Syaa.g_00919	Prak.g_01545, Prak.g_01546
OG0000010	Syaa.g_01843	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000012	Syaa.g_01660	Prak.g_00584
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prak.g_00343
OG0000014	Syaa.g_00222	Prak.g_00325
OG0000015	Syaa.g_01079, Syaa.g_01989	Prak.g_01584, Prak.g_01630
OG0000016	Syaa.g_00014	Prak.g_00013
OG0000016	Syaa.g_00981, Syaa.g_01481	Prak.g_01230
OG0000017	Syaa.g_01883	Prak.g_00566
OG0000017	Syaa.g_01890	Prak.g_00559
OG0000018	Syaa.g_01801	Prak.g_01194, Prak.g_00873
OG0000019	Syaa.g_00307	Prak.g_00266, Prak.g_01196
OG0000021	Syaa.g_02627	Prak.g_00831
OG0000022	Syaa.g_01571	Prak.g_01482
OG0000023	Syaa.g_01529, Syaa.g_01216	Prak.g_00721
OG0000024	Syaa.g_00922	Prak.g_01038, Prak.g_00802
OG0000025	Syaa.g_00839	Prak.g_00881
OG0000026	Syaa.g_00038	Prak.g_00032
OG0000027	Syaa.g_01605, Syaa.g_00854	Prak.g_01564, Prak.g_01521
OG0000028	Syaa.g_00205	Prak.g_01543
OG0000029	Syaa.g_01578	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syaa.g_00099, Syaa.g_00098	Prak.g_01853
OG0000031	Syaa.g_00480	Prak.g_01350
OG0000032	Syaa.g_01818	Prak.g_01430
OG0000033	Syaa.g_00485	Prak.g_01357
OG0000033	Syaa.g_02478	Prak.g_00181
OG0000034	Syaa.g_00722, Syaa.g_02444	Prak.g_01288
OG0000035	Syaa.g_01773	Prak.g_01391
OG0000037	Syaa.g_02384	Prak.g_00115
OG0000038	Syaa.g_02596	Prak.g_01893
OG0000039	Syaa.g_00846	Prak.g_00814
OG0000041	Syaa.g_00660	Prak.g_01692
OG0000042	Syaa.g_00103	Prak.g_01850
OG0000045	Syaa.g_01560	Prak.g_01216
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prak.g_00344
OG0000047	Syaa.g_02189	Prak.g_00385
OG0000048	Syaa.g_02719, Syaa.g_00275	Prak.g_01264, Prak.g_00289
OG0000050	Syaa.g_01591	Prak.g_00741
OG0000052	Syaa.g_00174	Prak.g_01369
OG0000053	Syaa.g_01797	Prak.g_01590, Prak.g_01412
OG0000054	Syaa.g_01691	Prak.g_00568
OG0000055	Syaa.g_00852	Prak.g_01221
OG0000055	Syaa.g_01564	Prak.g_01619
OG0000057	Syaa.g_00889	Prak.g_00829
OG0000058	Syaa.g_00193	Prak.g_01351
OG0000059	Syaa.g_02315	Prak.g_01732
OG0000061	Syaa.g_00770	Prak.g_01172
OG0000062	Syaa.g_00571	Prak.g_01476
OG0000063	Syaa.g_00042	Prak.g_01530
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Prak.g_00072
OG0000065	Syaa.g_02380	Prak.g_00113
OG0000066	Syaa.g_01968	Prak.g_00498, Prak.g_01557
OG0000067	Syaa.g_01154	Prak.g_00845
OG0000068	Syaa.g_02059	Prak.g_01329
OG0000069	Syaa.g_01256	Prak.g_00416
