Orthogroup	Syaa	Syag
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syag.g_01942
OG0000001	Syaa.g_02329	Syag.g_00520
OG0000004	Syaa.g_00892	Syag.g_00988
OG0000004	Syaa.g_01667	Syag.g_00370
OG0000004	Syaa.g_02116	Syag.g_01790
OG0000005	Syaa.g_00534	Syag.g_01708
OG0000005	Syaa.g_00573	Syag.g_01667
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syaa.g_01611	Syag.g_00435
OG0000007	Syaa.g_02032	Syag.g_01507
OG0000007	Syaa.g_00551	Syag.g_01687
OG0000008	Syaa.g_00918	Syag.g_00496
OG0000008	Syaa.g_00919	Syag.g_01017
OG0000009	Syaa.g_02378	Syag.g_01883
OG0000010	Syaa.g_01843	Syag.g_01355
OG0000011	Syaa.g_00921	Syag.g_01299
OG0000012	Syaa.g_01660	Syag.g_00377
OG0000013	Syaa.g_02204	Syag.g_02820
OG0000013	Syaa.g_02217	Syag.g_02806
OG0000013	Syaa.g_02212	Syag.g_02811
OG0000014	Syaa.g_00222	Syag.g_02559
OG0000014	Syaa.g_00481	Syag.g_02487
OG0000015	Syaa.g_02739	Syag.g_02252
OG0000015	Syaa.g_01079, Syaa.g_01989	Syag.g_00596
OG0000016	Syaa.g_00014	Syag.g_02286
OG0000016	Syaa.g_00981	Syag.g_01066
OG0000017	Syaa.g_01883	Syag.g_00344
OG0000017	Syaa.g_01890	Syag.g_00336
OG0000018	Syaa.g_01801	Syag.g_01387
OG0000019	Syaa.g_00307	Syag.g_02663
OG0000021	Syaa.g_02627	Syag.g_00229
OG0000022	Syaa.g_01571	Syag.g_00458
OG0000024	Syaa.g_00922	Syag.g_00455
OG0000025	Syaa.g_00839	Syag.g_00718
OG0000026	Syaa.g_00038	Syag.g_02309
OG0000027	Syaa.g_01605	Syag.g_00950
OG0000027	Syaa.g_00854	Syag.g_00165
OG0000028	Syaa.g_00205	Syag.g_02540
OG0000029	Syaa.g_01578	Syag.g_00195
OG0000030	Syaa.g_00099	Syag.g_02375
OG0000030	Syaa.g_00098	Syag.g_02374
OG0000031	Syaa.g_00200	Syag.g_02510
OG0000031	Syaa.g_00480	Syag.g_02486
OG0000032	Syaa.g_01818	Syag.g_01366
OG0000033	Syaa.g_00485	Syag.g_02481
OG0000033	Syaa.g_02478	Syag.g_01978
OG0000034	Syaa.g_00722, Syaa.g_02444	Syag.g_01225, Syag.g_01947
OG0000035	Syaa.g_01773	Syag.g_01420
OG0000037	Syaa.g_02384	Syag.g_00173
OG0000038	Syaa.g_02596	Syag.g_02130
OG0000040	Syaa.g_02690	Syag.g_02215
OG0000041	Syaa.g_00660	Syag.g_01750
OG0000041	Syaa.g_00869	Syag.g_00962
OG0000042	Syaa.g_00103	Syag.g_01094, Syag.g_02378
OG0000044	Syaa.g_00851	Syag.g_00945
OG0000045	Syaa.g_01518	Syag.g_00225
OG0000045	Syaa.g_01560	Syag.g_00223
OG0000046	Syaa.g_02218	Syag.g_02805
OG0000046	Syaa.g_02211	Syag.g_02812
OG0000046	Syaa.g_02205	Syag.g_02819
OG0000047	Syaa.g_02189	Syag.g_00768
OG0000048	Syaa.g_00275	Syag.g_02611
OG0000051	Syaa.g_01531	Syag.g_01026
OG0000052	Syaa.g_00174	Syag.g_02451
OG0000053	Syaa.g_01797	Syag.g_01391
OG0000054	Syaa.g_01691	Syag.g_00350
OG0000055	Syaa.g_00852	Syag.g_00946
OG0000055	Syaa.g_01564	Syag.g_01799
OG0000057	Syaa.g_00889	Syag.g_00985
OG0000058	Syaa.g_00193	Syag.g_02477
OG0000059	Syaa.g_02315	Syag.g_02721
OG0000060	Syaa.g_02053	Syag.g_01530
OG0000060	Syaa.g_01007	Syag.g_01095
OG0000061	Syaa.g_00770, Syaa.g_00469	Syag.g_01141
OG0000062	Syaa.g_00571	Syag.g_01669
OG0000063	Syaa.g_00042	Syag.g_02313
OG0000064	Syaa.g_02666	Syag.g_00487
OG0000064	Syaa.g_01568	Syag.g_01589
OG0000064	Syaa.g_00579	Syag.g_00076
OG0000066	Syaa.g_01968	Syag.g_01443
OG0000067	Syaa.g_01154	Syag.g_00667
OG0000068	Syaa.g_02059	Syag.g_01537
OG0000070	Syaa.g_00718	Syag.g_00049
OG0000071	Syaa.g_00735	Syag.g_01192
OG0000072	Syaa.g_02480	Syag.g_01980
OG0000073	Syaa.g_02030	Syag.g_01505
OG0000075	Syaa.g_00157	Syag.g_02434
OG0000076	Syaa.g_00123	Syag.g_02393
OG0000077	Syaa.g_00341	Syag.g_01831
OG0000078	Syaa.g_02103	Syag.g_01778
OG0000079	Syaa.g_00303	Syag.g_02659
OG0000081	Syaa.g_01694	Syag.g_00167
OG0000082	Syaa.g_01905	Syag.g_00318
OG0000084	Syaa.g_01827, Syaa.g_02302	Syag.g_00212
OG0000084	Syaa.g_01770	Syag.g_01425
OG0000085	Syaa.g_00564	Syag.g_01676
OG0000086	Syaa.g_00324	Syag.g_01853
