Orthogroup	Syaa	Prbf
OG0000004	Syaa.g_00892	Prbf.g_01264
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbf.g_01570
OG0000005	Syaa.g_00573	Prbf.g_00240
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbf.g_01580
OG0000007	Syaa.g_02032	Prbf.g_01780
OG0000007	Syaa.g_00551	Prbf.g_00693
OG0000008	Syaa.g_00918	Prbf.g_00793
OG0000008	Syaa.g_00919	Prbf.g_00792
OG0000010	Syaa.g_01843	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Syaa.g_01660	Prbf.g_01905
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prbf.g_01665
OG0000014	Syaa.g_00222	Prbf.g_01647
OG0000015	Syaa.g_01079, Syaa.g_01989	Prbf.g_00754, Prbf.g_00708
OG0000016	Syaa.g_00981, Syaa.g_01481	Prbf.g_00860
OG0000017	Syaa.g_01883	Prbf.g_01887
OG0000017	Syaa.g_01890	Prbf.g_01880
OG0000018	Syaa.g_01801	Prbf.g_00896, Prbf.g_01217
OG0000019	Syaa.g_00307	Prbf.g_01588, Prbf.g_00894
OG0000021	Syaa.g_02627	Prbf.g_01259
OG0000022	Syaa.g_01571	Prbf.g_00248
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbf.g_00287
OG0000024	Syaa.g_00922	Prbf.g_01052, Prbf.g_01288
OG0000025	Syaa.g_00839	Prbf.g_01209
OG0000026	Syaa.g_00038	Prbf.g_01354
OG0000027	Syaa.g_01605, Syaa.g_00854	Prbf.g_00774, Prbf.g_00817
OG0000028	Syaa.g_00205	Prbf.g_00794
OG0000029	Syaa.g_01578	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbf.g_00484
OG0000031	Syaa.g_00480	Prbf.g_00116
OG0000032	Syaa.g_01818	Prbf.g_00196
OG0000033	Syaa.g_00485	Prbf.g_00123
OG0000033	Syaa.g_02478	Prbf.g_01503
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbf.g_00015
OG0000035	Syaa.g_01773	Prbf.g_00157
OG0000037	Syaa.g_02384	Prbf.g_01437
OG0000038	Syaa.g_02596	Prbf.g_00445
OG0000039	Syaa.g_00846	Prbf.g_01276
OG0000041	Syaa.g_00660	Prbf.g_00646
OG0000042	Syaa.g_00103	Prbf.g_00487
OG0000045	Syaa.g_01560	Prbf.g_00874
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prbf.g_01666
OG0000047	Syaa.g_02189	Prbf.g_01707
OG0000048	Syaa.g_02719, Syaa.g_00275	Prbf.g_00039, Prbf.g_01611
OG0000050	Syaa.g_01591	Prbf.g_00845
OG0000052	Syaa.g_00174	Prbf.g_00135
OG0000053	Syaa.g_01797	Prbf.g_00748, Prbf.g_00178
OG0000054	Syaa.g_01691	Prbf.g_01889
OG0000055	Syaa.g_00852	Prbf.g_00869
OG0000055	Syaa.g_01564	Prbf.g_00719
OG0000057	Syaa.g_00889	Prbf.g_01261
OG0000058	Syaa.g_00193	Prbf.g_00117
OG0000059	Syaa.g_02315	Prbf.g_00606
OG0000061	Syaa.g_00770	Prbf.g_00918
OG0000062	Syaa.g_00571	Prbf.g_00242
OG0000063	Syaa.g_00042	Prbf.g_00808
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Prbf.g_01394
OG0000065	Syaa.g_02380	Prbf.g_01435
OG0000066	Syaa.g_01968	Prbf.g_01820, Prbf.g_00781
OG0000067	Syaa.g_01154	Prbf.g_01245
OG0000068	Syaa.g_02059	Prbf.g_00095
