Orthogroup	Syaa	Syan
OG0000001	Syaa.g_02439	Syan.g_02266
OG0000001	Syaa.g_02329	Syan.g_01149
OG0000004	Syaa.g_00892	Syan.g_00183
OG0000004	Syaa.g_01667	Syan.g_00989
OG0000005	Syaa.g_00534	Syan.g_01423
OG0000005	Syaa.g_00573	Syan.g_01378
OG0000005	Syaa.g_01449	Syan.g_00449
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000006	Syaa.g_01611	Syan.g_00791
OG0000007	Syaa.g_02032	Syan.g_02743
OG0000007	Syaa.g_00551	Syan.g_01400
OG0000008	Syaa.g_00918	Syan.g_00640, Syan.g_02532
OG0000008	Syaa.g_00919	Syan.g_00641, Syan.g_02531
OG0000009	Syaa.g_02378	Syan.g_02972
OG0000010	Syaa.g_01843	Syan.g_02847
OG0000012	Syaa.g_02304, Syaa.g_01660	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000014	Syaa.g_00222	Syan.g_01987
OG0000015	Syaa.g_02739	Syan.g_01691
OG0000016	Syaa.g_00014	Syan.g_01766
OG0000016	Syaa.g_00981	Syan.g_02598
OG0000017	Syaa.g_01883	Syan.g_01013
OG0000017	Syaa.g_01890	Syan.g_01006
OG0000018	Syaa.g_01801	Syan.g_02816
OG0000019	Syaa.g_00307	Syan.g_02088
OG0000021	Syaa.g_02627	Syan.g_01001
OG0000022	Syaa.g_01571	Syan.g_00089
OG0000023	Syaa.g_01529, Syaa.g_01216	Syan.g_00404
OG0000025	Syaa.g_00839	Syan.g_00374
OG0000026	Syaa.g_00038	Syan.g_01743
OG0000027	Syaa.g_01605, Syaa.g_00854	Syan.g_02678
OG0000028	Syaa.g_00205	Syan.g_01971
OG0000030	Syaa.g_00099	Syan.g_01884
OG0000030	Syaa.g_00098	Syan.g_01883
OG0000031	Syaa.g_00200	Syan.g_01967
OG0000032	Syaa.g_01818	Syan.g_02835
OG0000033	Syaa.g_00485, Syaa.g_02478	Syan.g_03036
OG0000034	Syaa.g_00722, Syaa.g_02444	Syan.g_01227, Syan.g_03003
OG0000035	Syaa.g_01773	Syan.g_01276
OG0000037	Syaa.g_02384	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Syaa.g_02596	Syan.g_01569
OG0000040	Syaa.g_02690	Syan.g_01651
OG0000041	Syaa.g_00660	Syan.g_01465
OG0000042	Syaa.g_00103	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syaa.g_01737, Syaa.g_00851	Syan.g_01065
OG0000044	Syaa.g_00363	Syan.g_00431, Syan.g_00435
OG0000045	Syaa.g_01560	Syan.g_00151
OG0000048	Syaa.g_02719, Syaa.g_00275	Syan.g_02036
OG0000053	Syaa.g_01797	Syan.g_02812
OG0000054	Syaa.g_01691	Syan.g_02503
OG0000054	Syaa.g_01502	Syan.g_00231, Syan.g_00506
OG0000055	Syaa.g_00852, Syaa.g_01564	Syan.g_00312
OG0000057	Syaa.g_01466	Syan.g_00643, Syan.g_02514
OG0000058	Syaa.g_00193	Syan.g_01128, Syan.g_01124
OG0000058	Syaa.g_00455	Syan.g_01964
OG0000060	Syaa.g_02053	Syan.g_02856
OG0000060	Syaa.g_01007	Syan.g_00277
OG0000061	Syaa.g_00770	Syan.g_02696
OG0000062	Syaa.g_00571	Syan.g_01380
OG0000063	Syaa.g_00042	Syan.g_01739
OG0000064	Syaa.g_01284	Syan.g_00785
OG0000064	Syaa.g_02666	Syan.g_02518
OG0000065	Syaa.g_02380	Syan.g_02974
OG0000066	Syaa.g_01968	Syan.g_01156
OG0000067	Syaa.g_01154	Syan.g_00690
OG0000068	Syaa.g_02059	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Syaa.g_01497	Syan.g_00459
OG0000069	Syaa.g_01256	Syan.g_00278
OG0000070	Syaa.g_00718	Syan.g_00289
OG0000071	Syaa.g_00735	Syan.g_01213
OG0000072	Syaa.g_02480	Syan.g_03038
OG0000073	Syaa.g_02030	Syan.g_02741
OG0000075	Syaa.g_00157	Syan.g_00981, Syan.g_01937
OG0000076	Syaa.g_00123	Syan.g_01896
OG0000078	Syaa.g_02103	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syaa.g_00303	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Syaa.g_01905	Syan.g_00952
OG0000084	Syaa.g_01827, Syaa.g_02302	Syan.g_01283
OG0000085	Syaa.g_00564	Syan.g_01387
OG0000086	Syaa.g_00324	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syaa.g_02433	Syan.g_02268
OG0000088	Syaa.g_02474	Syan.g_03031
OG0000089	Syaa.g_02149	Syan.g_02316
OG0000090	Syaa.g_01980	Syan.g_01166
OG0000091	Syaa.g_01625	Syan.g_00235, Syan.g_00808
OG0000093	Syaa.g_01139	Syan.g_00708
OG0000094	Syaa.g_01288	Syan.g_00353
OG0000095	Syaa.g_00879	Syan.g_00290
OG0000099	Syaa.g_00202	Syan.g_01968
OG0000100	Syaa.g_01201	Syan.g_00658
OG0000102	Syaa.g_00118	Syan.g_01891
OG0000104	Syaa.g_02754	Syan.g_01792
OG0000105	Syaa.g_00270	Syan.g_02031
OG0000106	Syaa.g_01439	Syan.g_00076
OG0000107	Syaa.g_02351	Syan.g_02106
OG0000108	Syaa.g_02051	Syan.g_02764
OG0000110	Syaa.g_01918	Syan.g_00882
OG0000111	Syaa.g_00888	Syan.g_00187
OG0000112	Syaa.g_01366	Syan.g_00556, Syan.g_00252
OG0000113	Syaa.g_01196	Syan.g_00664
OG0000114	Syaa.g_01094	Syan.g_00741
OG0000115	Syaa.g_01795	Syan.g_02810
OG0000116	Syaa.g_00757	Syan.g_02710, Syan.g_00460
OG0000117	Syaa.g_01009	Syan.g_02644
OG0000118	Syaa.g_01874	Syan.g_01241, Syan.g_01237
OG0000119	Syaa.g_00785	Syan.g_02672
OG0000120	Syaa.g_00201	Syan.g_01966
OG0000121	Syaa.g_01777	Syan.g_01273
OG0000123	Syaa.g_02242	Syan.g_02190
OG0000124	Syaa.g_00092	Syan.g_01873
OG0000125	Syaa.g_02598	Syan.g_01573
OG0000126	Syaa.g_02752	Syan.g_01705
OG0000127	Syaa.g_00377, Syaa.g_00390	Syan.g_00162
OG0000128	Syaa.g_00012	Syan.g_01768
OG0000129	Syaa.g_02586	Syan.g_01563
OG0000130	Syaa.g_00354	Syan.g_02906, Syan.g_02907
OG0000131	Syaa.g_02448	Syan.g_03008
OG0000132	Syaa.g_02472	Syan.g_03029
OG0000133	Syaa.g_01361	Syan.g_00561
OG0000134	Syaa.g_02146	Syan.g_02319
OG0000135	Syaa.g_02649	Syan.g_01616
OG0000136	Syaa.g_00708	Syan.g_01342
OG0000137	Syaa.g_01842	Syan.g_02846
OG0000138	Syaa.g_02035	Syan.g_02747
OG0000140	Syaa.g_01971	Syan.g_00042
OG0000141	Syaa.g_01689	Syan.g_01032
OG0000142	Syaa.g_01633	Syan.g_00816
OG0000143	Syaa.g_01629	Syan.g_00812
OG0000144	Syaa.g_01446	Syan.g_00782
OG0000145	Syaa.g_02029	Syan.g_02740
OG0000146	Syaa.g_01367	Syan.g_00555, Syan.g_00253
OG0000147	Syaa.g_01368	Syan.g_00254, Syan.g_00554
OG0000148	Syaa.g_01190	Syan.g_00670
OG0000149	Syaa.g_00826	Syan.g_00393
OG0000150	Syaa.g_01688	Syan.g_01031
OG0000151	Syaa.g_01107	Syan.g_00731
OG0000152	Syaa.g_01357	Syan.g_00565
OG0000153	Syaa.g_01324	Syan.g_00601
OG0000154	Syaa.g_01298	Syan.g_00363
OG0000155	Syaa.g_00804	Syan.g_02654
OG0000156	Syaa.g_00751	Syan.g_02717
OG0000157	Syaa.g_00750	Syan.g_02718
OG0000158	Syaa.g_00148	Syan.g_01078, Syan.g_01926
OG0000159	Syaa.g_00456	Syan.g_01126
OG0000160	Syaa.g_01776	Syan.g_01274
OG0000161	Syaa.g_01782	Syan.g_01268
OG0000162	Syaa.g_01788	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syaa.g_00624	Syan.g_02405
OG0000165	Syaa.g_00681	Syan.g_01448
OG0000166	Syaa.g_02289	Syan.g_02239
OG0000167	Syaa.g_00160	Syan.g_01941
OG0000168	Syaa.g_00145	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syaa.g_00134	Syan.g_01912
OG0000170	Syaa.g_00128	Syan.g_01901
OG0000171	Syaa.g_00093	Syan.g_01875
OG0000172	Syaa.g_00079	Syan.g_01810
OG0000173	Syaa.g_00060	Syan.g_01720
OG0000174	Syaa.g_02651	Syan.g_01619
OG0000175	Syaa.g_02726	Syan.g_01678, Syan.g_00258
OG0000176	Syaa.g_00004	Syan.g_01801
OG0000177	Syaa.g_00005	Syan.g_01775
OG0000178	Syaa.g_00006	Syan.g_01774
OG0000179	Syaa.g_00023	Syan.g_01759
OG0000180	Syaa.g_00024	Syan.g_01758
OG0000181	Syaa.g_00025	Syan.g_01757
OG0000182	Syaa.g_00026	Syan.g_01756
OG0000183	Syaa.g_00030	Syan.g_01752
OG0000184	Syaa.g_02578	Syan.g_01549
OG0000185	Syaa.g_02575	Syan.g_01540
OG0000186	Syaa.g_00359	Syan.g_02902
OG0000187	Syaa.g_00358	Syan.g_02904
OG0000188	Syaa.g_00334	Syan.g_02926
OG0000189	Syaa.g_02367	Syan.g_02966
OG0000190	Syaa.g_02369	Syan.g_00971
OG0000191	Syaa.g_02404	Syan.g_02300
OG0000192	Syaa.g_02410	Syan.g_02294
OG0000193	Syaa.g_02449	Syan.g_03009
OG0000194	Syaa.g_02452	Syan.g_03012
OG0000196	Syaa.g_02469	Syan.g_03026
OG0000197	Syaa.g_02470	Syan.g_03027
OG0000198	Syaa.g_02471	Syan.g_03028
OG0000199	Syaa.g_02479	Syan.g_03037
OG0000200	Syaa.g_02496	Syan.g_03055
OG0000201	Syaa.g_02521	Syan.g_03074
OG0000202	Syaa.g_02522	Syan.g_03075
OG0000203	Syaa.g_02523	Syan.g_03076
OG0000204	Syaa.g_02524	Syan.g_03077
OG0000205	Syaa.g_02531	Syan.g_03087
OG0000206	Syaa.g_02538	Syan.g_03095
OG0000207	Syaa.g_02540	Syan.g_03100
OG0000208	Syaa.g_02541	Syan.g_03101
OG0000209	Syaa.g_02556	Syan.g_01521
OG0000210	Syaa.g_02557	Syan.g_01522
OG0000211	Syaa.g_02113	Syan.g_02416
OG0000212	Syaa.g_02102	Syan.g_01508, Syan.g_02438
OG0000213	Syaa.g_00295	Syan.g_02059
OG0000214	Syaa.g_00279	Syan.g_02040
OG0000215	Syaa.g_00248	Syan.g_02010
OG0000216	Syaa.g_00244	Syan.g_02006
OG0000217	Syaa.g_00240	Syan.g_02001
OG0000218	Syaa.g_00238	Syan.g_01999
OG0000219	Syaa.g_00237	Syan.g_01998
OG0000220	Syaa.g_00236	Syan.g_01997
OG0000221	Syaa.g_00229	Syan.g_01994
OG0000222	Syaa.g_00215	Syan.g_01981
OG0000223	Syaa.g_00192	Syan.g_00228
OG0000224	Syaa.g_00183	Syan.g_01959
OG0000225	Syaa.g_02166	Syan.g_02997
OG0000226	Syaa.g_02162	Syan.g_02990
OG0000227	Syaa.g_02160	Syan.g_02988
OG0000228	Syaa.g_02150	Syan.g_02315
OG0000229	Syaa.g_00703	Syan.g_02396
OG0000230	Syaa.g_00705	Syan.g_02398
OG0000232	Syaa.g_01858	Syan.g_02801
OG0000233	Syaa.g_01853	Syan.g_02876
OG0000234	Syaa.g_01841	Syan.g_02844
OG0000235	Syaa.g_02052	Syan.g_02765
OG0000236	Syaa.g_02037	Syan.g_02749
OG0000237	Syaa.g_02020	Syan.g_02731
OG0000238	Syaa.g_02015	Syan.g_02726
OG0000239	Syaa.g_01996	Syan.g_01187
OG0000240	Syaa.g_01995	Syan.g_01186
OG0000241	Syaa.g_01644	Syan.g_00822
OG0000242	Syaa.g_01982	Syan.g_01168
OG0000243	Syaa.g_01960	Syan.g_00840
