Orthogroup	Syaa	Praa
OG0000004	Syaa.g_00892	Praa.g_00695
OG0000004	Syaa.g_01667, Syaa.g_02116	Praa.g_00232
OG0000005	Syaa.g_00534	Praa.g_01648
OG0000005	Syaa.g_00573	Praa.g_01553
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Praa.g_00241, Praa.g_01245
OG0000007	Syaa.g_02032	Praa.g_00497
OG0000007	Syaa.g_00551	Praa.g_01635
OG0000008	Syaa.g_00918	Praa.g_01241
OG0000009	Syaa.g_02378	Praa.g_00105
OG0000010	Syaa.g_01843	Praa.g_01047, Praa.g_00474
OG0000012	Syaa.g_02304, Syaa.g_01660	Praa.g_00623
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Praa.g_00327
OG0000014	Syaa.g_00222	Praa.g_00306
OG0000014	Syaa.g_00481	Praa.g_01409
OG0000015	Syaa.g_01079, Syaa.g_01989	Praa.g_00765
OG0000016	Syaa.g_00014	Praa.g_00013
OG0000017	Syaa.g_01890	Praa.g_00598
OG0000018	Syaa.g_01801	Praa.g_01141, Praa.g_00831
OG0000019	Syaa.g_00307	Praa.g_00249, Praa.g_00782
OG0000022	Syaa.g_01571	Praa.g_00763, Praa.g_01124
OG0000023	Syaa.g_01529, Syaa.g_01216	Praa.g_00359
OG0000024	Syaa.g_00922	Praa.g_00747, Praa.g_00675
OG0000025	Syaa.g_00839	Praa.g_00839, Praa.g_00331
OG0000026	Syaa.g_00038	Praa.g_00031, Praa.g_01054
OG0000027	Syaa.g_01605, Syaa.g_00854	Praa.g_00470, Praa.g_01301
OG0000028	Syaa.g_00205	Praa.g_00320, Praa.g_01248
OG0000029	Syaa.g_01578	Praa.g_00374, Praa.g_00754
OG0000030	Syaa.g_00099, Syaa.g_00098	Praa.g_01842
OG0000033	Syaa.g_00485	Praa.g_01437
OG0000033	Syaa.g_02478	Praa.g_00169
OG0000034	Syaa.g_00722, Syaa.g_02444	Praa.g_01328
OG0000035	Syaa.g_01773	Praa.g_01476
OG0000037	Syaa.g_02384	Praa.g_00109
OG0000038	Syaa.g_02596	Praa.g_01883
OG0000039	Syaa.g_00846	Praa.g_00686
OG0000040	Syaa.g_01606	Praa.g_01618
OG0000041	Syaa.g_00660	Praa.g_01683
OG0000042	Syaa.g_00103	Praa.g_01839
OG0000043	Syaa.g_01437	Praa.g_01259
OG0000045	Syaa.g_01560	Praa.g_00370
OG0000047	Syaa.g_02189	Praa.g_00330
OG0000048	Syaa.g_02719, Syaa.g_00275	Praa.g_00373
OG0000051	Syaa.g_01531	Praa.g_01291
OG0000052	Syaa.g_00174	Praa.g_01447, Praa.g_01407
OG0000053	Syaa.g_01797	Praa.g_01496
OG0000054	Syaa.g_01691	Praa.g_00606
OG0000055	Syaa.g_00852	Praa.g_00783
OG0000057	Syaa.g_00889	Praa.g_00698
OG0000058	Syaa.g_00193	Praa.g_01425
OG0000059	Syaa.g_02315	Praa.g_01723
OG0000061	Syaa.g_00770	Praa.g_01415, Praa.g_01159
OG0000063	Syaa.g_00042	Praa.g_00033
OG0000065	Syaa.g_02380	Praa.g_00107
OG0000066	Syaa.g_01968	Praa.g_00539
OG0000067	Syaa.g_01154	Praa.g_00803
OG0000068	Syaa.g_02059	Praa.g_01366
OG0000069	Syaa.g_01256	Praa.g_01590
OG0000070	Syaa.g_00718	Praa.g_00449
OG0000071	Syaa.g_00735	Praa.g_01318
OG0000072	Syaa.g_02480	Praa.g_00171
OG0000073	Syaa.g_02030	Praa.g_00499
OG0000074	Syaa.g_00372	Praa.g_00682
OG0000075	Syaa.g_00157	Praa.g_01808
OG0000076	Syaa.g_00123	Praa.g_01832
OG0000077	Syaa.g_00341	Praa.g_00078
OG0000078	Syaa.g_02103	Praa.g_00239
OG0000079	Syaa.g_00303	Praa.g_00252
OG0000080	Syaa.g_00487	Praa.g_01392, Praa.g_01390
OG0000081	Syaa.g_02089	Praa.g_00531
OG0000082	Syaa.g_01905	Praa.g_00585
OG0000084	Syaa.g_01770	Praa.g_01472
OG0000085	Syaa.g_00564	Praa.g_01628
OG0000086	Syaa.g_00324	Praa.g_00088
OG0000087	Syaa.g_02433	Praa.g_00139
OG0000088	Syaa.g_02474	Praa.g_00166
OG0000089	Syaa.g_02149	Praa.g_00355
OG0000090	Syaa.g_01980	Praa.g_00533
OG0000091	Syaa.g_01625	Praa.g_00642
OG0000094	Syaa.g_01288	Praa.g_01020
OG0000097	Syaa.g_00979	Praa.g_01200
OG0000099	Syaa.g_00202	Praa.g_01394
OG0000100	Syaa.g_01201	Praa.g_01551
OG0000101	Syaa.g_02249	Praa.g_01775
OG0000102	Syaa.g_00118	Praa.g_01837
OG0000103	Syaa.g_02740	Praa.g_01916
OG0000104	Syaa.g_02754	Praa.g_01924
OG0000105	Syaa.g_00270	Praa.g_00274
OG0000106	Syaa.g_01439	Praa.g_00369
OG0000107	Syaa.g_02351	Praa.g_00383
OG0000108	Syaa.g_02051	Praa.g_00480
OG0000109	Syaa.g_02036	Praa.g_00494
OG0000110	Syaa.g_01918	Praa.g_00575
OG0000111	Syaa.g_00888	Praa.g_00699
OG0000112	Syaa.g_01366	Praa.g_00766
OG0000113	Syaa.g_01196	Praa.g_00826
OG0000114	Syaa.g_01094	Praa.g_00907
OG0000115	Syaa.g_01795	Praa.g_01101
OG0000116	Syaa.g_00757	Praa.g_01150
OG0000117	Syaa.g_01009	Praa.g_01255
OG0000118	Syaa.g_01874	Praa.g_01330
OG0000119	Syaa.g_00785	Praa.g_01362
OG0000120	Syaa.g_00201	Praa.g_01387
OG0000121	Syaa.g_01777	Praa.g_01478
OG0000122	Syaa.g_01598	Praa.g_01516
OG0000123	Syaa.g_02242	Praa.g_01782
OG0000124	Syaa.g_00092	Praa.g_01848
OG0000125	Syaa.g_02598	Praa.g_01885
OG0000126	Syaa.g_02752	Praa.g_01923
OG0000128	Syaa.g_00012	Praa.g_00011
OG0000129	Syaa.g_02586	Praa.g_00044
OG0000130	Syaa.g_00354	Praa.g_00069
OG0000131	Syaa.g_02448	Praa.g_00145
OG0000132	Syaa.g_02472	Praa.g_00164
OG0000133	Syaa.g_01361	Praa.g_00322
OG0000134	Syaa.g_02146	Praa.g_00356
OG0000135	Syaa.g_02649	Praa.g_00381
OG0000136	Syaa.g_00708	Praa.g_00440
OG0000137	Syaa.g_01842	Praa.g_01414, Praa.g_00475
OG0000138	Syaa.g_02035	Praa.g_00495
OG0000139	Syaa.g_01974	Praa.g_00537
OG0000140	Syaa.g_01971	Praa.g_00538
OG0000141	Syaa.g_01689	Praa.g_00607
OG0000142	Syaa.g_01633	Praa.g_00635
OG0000143	Syaa.g_01629	Praa.g_00639
OG0000144	Syaa.g_01446	Praa.g_00652
OG0000145	Syaa.g_02029	Praa.g_00764
OG0000146	Syaa.g_01367	Praa.g_00767
OG0000147	Syaa.g_01368	Praa.g_00768
OG0000148	Syaa.g_01190	Praa.g_00820
OG0000149	Syaa.g_00826	Praa.g_00851
OG0000150	Syaa.g_01688	Praa.g_00859
OG0000151	Syaa.g_01107	Praa.g_00917
OG0000152	Syaa.g_01357	Praa.g_00964
OG0000153	Syaa.g_01324	Praa.g_00983
OG0000154	Syaa.g_01298	Praa.g_01013
OG0000155	Syaa.g_00804	Praa.g_01179
OG0000156	Syaa.g_00751	Praa.g_01307
OG0000157	Syaa.g_00750	Praa.g_01308
OG0000158	Syaa.g_00148	Praa.g_01395
OG0000160	Syaa.g_01776	Praa.g_01477
OG0000161	Syaa.g_01782	Praa.g_01483
OG0000162	Syaa.g_01788	Praa.g_01489
OG0000163	Syaa.g_00624	Praa.g_01523
OG0000164	Syaa.g_00507	Praa.g_01659
OG0000165	Syaa.g_00681	Praa.g_01667
OG0000166	Syaa.g_02289	Praa.g_01739
OG0000167	Syaa.g_00160	Praa.g_01806
OG0000168	Syaa.g_00145	Praa.g_01816
OG0000169	Syaa.g_00134	Praa.g_01826
OG0000170	Syaa.g_00128	Praa.g_01828
OG0000171	Syaa.g_00093	Praa.g_01847
OG0000172	Syaa.g_00079	Praa.g_01856
OG0000173	Syaa.g_00060	Praa.g_01871
OG0000174	Syaa.g_02651	Praa.g_01898
OG0000175	Syaa.g_02726	Praa.g_01908
OG0000176	Syaa.g_00004	Praa.g_00004
OG0000177	Syaa.g_00005	Praa.g_00005
OG0000178	Syaa.g_00006	Praa.g_00006
OG0000179	Syaa.g_00023	Praa.g_00016
OG0000180	Syaa.g_00024	Praa.g_00017
OG0000181	Syaa.g_00025	Praa.g_00018
OG0000182	Syaa.g_00026	Praa.g_00019
OG0000183	Syaa.g_00030	Praa.g_00023
OG0000184	Syaa.g_02578	Praa.g_00046
OG0000185	Syaa.g_02575	Praa.g_00049
OG0000186	Syaa.g_00359	Praa.g_00064
OG0000187	Syaa.g_00358	Praa.g_00065
OG0000188	Syaa.g_00334	Praa.g_00082
OG0000189	Syaa.g_02367	Praa.g_00096
OG0000190	Syaa.g_02369	Praa.g_00097
OG0000191	Syaa.g_02404	Praa.g_00117
OG0000192	Syaa.g_02410	Praa.g_00121
OG0000193	Syaa.g_02449	Praa.g_00146
OG0000194	Syaa.g_02452	Praa.g_00149
OG0000195	Syaa.g_02459	Praa.g_00151
OG0000196	Syaa.g_02469	Praa.g_00161
OG0000197	Syaa.g_02470	Praa.g_00162
OG0000198	Syaa.g_02471	Praa.g_00163
OG0000199	Syaa.g_02479	Praa.g_00170
OG0000200	Syaa.g_02496	Praa.g_00184
OG0000201	Syaa.g_02521	Praa.g_00192
OG0000202	Syaa.g_02522	Praa.g_00193
OG0000203	Syaa.g_02523	Praa.g_00194
OG0000204	Syaa.g_02524	Praa.g_00195
OG0000205	Syaa.g_02531	Praa.g_00202
OG0000206	Syaa.g_02538	Praa.g_00207
OG0000207	Syaa.g_02540	Praa.g_00209
OG0000208	Syaa.g_02541	Praa.g_00210
OG0000209	Syaa.g_02556	Praa.g_00219
OG0000210	Syaa.g_02557	Praa.g_00220
OG0000212	Syaa.g_02102	Praa.g_00240
OG0000213	Syaa.g_00295	Praa.g_00257
OG0000214	Syaa.g_00279	Praa.g_00267
OG0000215	Syaa.g_00248	Praa.g_00292
OG0000216	Syaa.g_00244	Praa.g_00294
OG0000217	Syaa.g_00240	Praa.g_00297
OG0000218	Syaa.g_00238	Praa.g_00299
OG0000219	Syaa.g_00237	Praa.g_00300
OG0000220	Syaa.g_00236	Praa.g_00301
OG0000221	Syaa.g_00229	Praa.g_00302
OG0000222	Syaa.g_00215	Praa.g_00310
OG0000223	Syaa.g_00192	Praa.g_00323
OG0000224	Syaa.g_00183	Praa.g_00325
OG0000225	Syaa.g_02166	Praa.g_00345
OG0000226	Syaa.g_02162	Praa.g_00349
OG0000227	Syaa.g_02160	Praa.g_00351
OG0000228	Syaa.g_02150	Praa.g_00354
OG0000229	Syaa.g_00703	Praa.g_00436
OG0000230	Syaa.g_00705	Praa.g_00437
OG0000231	Syaa.g_00717	Praa.g_00448
OG0000232	Syaa.g_01858	Praa.g_00457
OG0000233	Syaa.g_01853	Praa.g_00463
OG0000234	Syaa.g_01841	Praa.g_00476
