Orthogroup	Syaa	Prbd
OG0000004	Syaa.g_00892	Prbd.g_00549
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbd.g_01007
OG0000005	Syaa.g_00534	Prbd.g_01512
OG0000005	Syaa.g_00573	Prbd.g_01612
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbd.g_00998
OG0000007	Syaa.g_02032	Prbd.g_00745
OG0000007	Syaa.g_00551	Prbd.g_01525
OG0000009	Syaa.g_02378	Prbd.g_01139
OG0000010	Syaa.g_01843	Prbd.g_00348, Prbd.g_00768
OG0000012	Syaa.g_02304, Syaa.g_01660	Prbd.g_00621
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prbd.g_00912
OG0000014	Syaa.g_00222	Prbd.g_00933
OG0000015	Syaa.g_01079, Syaa.g_01989	Prbd.g_00065, Prbd.g_00826
OG0000016	Syaa.g_00014	Prbd.g_01224
OG0000017	Syaa.g_01890	Prbd.g_00646
OG0000018	Syaa.g_01801	Prbd.g_00449, Prbd.g_00129
OG0000019	Syaa.g_00307	Prbd.g_00990, Prbd.g_00082
OG0000022	Syaa.g_01571	Prbd.g_00061, Prbd.g_00423
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbd.g_00879
OG0000024	Syaa.g_00922	Prbd.g_00045, Prbd.g_00569
OG0000025	Syaa.g_00839	Prbd.g_00137, Prbd.g_00908
OG0000026	Syaa.g_00038	Prbd.g_01206, Prbd.g_00355
OG0000027	Syaa.g_01605, Syaa.g_00854	Prbd.g_00772, Prbd.g_01832
OG0000028	Syaa.g_00205	Prbd.g_00919, Prbd.g_01864
OG0000029	Syaa.g_01578	Prbd.g_00863, Prbd.g_00052
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbd.g_01325
OG0000033	Syaa.g_02478	Prbd.g_01071
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbd.g_01791
OG0000035	Syaa.g_01773	Prbd.g_01689
OG0000037	Syaa.g_02384	Prbd.g_01135
OG0000038	Syaa.g_02596	Prbd.g_01283
OG0000039	Syaa.g_00846	Prbd.g_00558
OG0000040	Syaa.g_01606	Prbd.g_01550
OG0000041	Syaa.g_00660	Prbd.g_01478
OG0000042	Syaa.g_00103	Prbd.g_01328
OG0000043	Syaa.g_01437	Prbd.g_01891
OG0000045	Syaa.g_01560	Prbd.g_00867
OG0000047	Syaa.g_02189	Prbd.g_00909
OG0000048	Syaa.g_02719, Syaa.g_00275	Prbd.g_00439, Prbd.g_00864
OG0000050	Syaa.g_01591	Prbd.g_01928
OG0000053	Syaa.g_01797	Prbd.g_01669
OG0000054	Syaa.g_01691	Prbd.g_00638
OG0000055	Syaa.g_00852	Prbd.g_00083
OG0000057	Syaa.g_00889	Prbd.g_00546
OG0000058	Syaa.g_00193	Prbd.g_01733
OG0000059	Syaa.g_02315	Prbd.g_01439
OG0000060	Syaa.g_01007	Prbd.g_00824
OG0000061	Syaa.g_00770	Prbd.g_00468
OG0000063	Syaa.g_00042	Prbd.g_01204
OG0000065	Syaa.g_02380	Prbd.g_01137
OG0000066	Syaa.g_01968	Prbd.g_00703
OG0000067	Syaa.g_01154	Prbd.g_00102
OG0000068	Syaa.g_02059	Prbd.g_01764
OG0000069	Syaa.g_01256	Prbd.g_01575
OG0000070	Syaa.g_00718	Prbd.g_00792
OG0000071	Syaa.g_00735	Prbd.g_01801
OG0000072	Syaa.g_02480	Prbd.g_01069
OG0000073	Syaa.g_02030	Prbd.g_00743
OG0000074	Syaa.g_00372	Prbd.g_00562
OG0000075	Syaa.g_00157	Prbd.g_01359
OG0000076	Syaa.g_00123	Prbd.g_01335
OG0000077	Syaa.g_00341	Prbd.g_01166
OG0000078	Syaa.g_02103	Prbd.g_01000
OG0000079	Syaa.g_00303	Prbd.g_00987
OG0000081	Syaa.g_02089	Prbd.g_00711
OG0000082	Syaa.g_01905	Prbd.g_00658
OG0000084	Syaa.g_01770	Prbd.g_01693
OG0000085	Syaa.g_00564	Prbd.g_01532
OG0000086	Syaa.g_00324	Prbd.g_01156
OG0000087	Syaa.g_02433	Prbd.g_01104, Prbd.g_01103
OG0000088	Syaa.g_02474	Prbd.g_01074
OG0000089	Syaa.g_02149	Prbd.g_00883
OG0000090	Syaa.g_01980	Prbd.g_00709
OG0000091	Syaa.g_01625	Prbd.g_00602
OG0000094	Syaa.g_01288	Prbd.g_00321
OG0000097	Syaa.g_00979	Prbd.g_00509
OG0000099	Syaa.g_00202	Prbd.g_01734
OG0000100	Syaa.g_01201	Prbd.g_01614
OG0000101	Syaa.g_02249	Prbd.g_01391
OG0000102	Syaa.g_00118	Prbd.g_01330
OG0000103	Syaa.g_02740	Prbd.g_01250
OG0000104	Syaa.g_02754	Prbd.g_01241
OG0000105	Syaa.g_00270	Prbd.g_00965
OG0000106	Syaa.g_01439	Prbd.g_00868
OG0000107	Syaa.g_02351	Prbd.g_00852
OG0000108	Syaa.g_02051	Prbd.g_00762
OG0000109	Syaa.g_02036	Prbd.g_00748
OG0000110	Syaa.g_01918	Prbd.g_00668
OG0000111	Syaa.g_00888	Prbd.g_00545
OG0000112	Syaa.g_01366	Prbd.g_00066
OG0000113	Syaa.g_01196	Prbd.g_00124
OG0000114	Syaa.g_01094	Prbd.g_00206
OG0000115	Syaa.g_01795	Prbd.g_00401
OG0000116	Syaa.g_00757	Prbd.g_00458
OG0000117	Syaa.g_01009	Prbd.g_01895
OG0000118	Syaa.g_01874	Prbd.g_01789
OG0000119	Syaa.g_00785	Prbd.g_01768
OG0000120	Syaa.g_00201	Prbd.g_01737
OG0000121	Syaa.g_01777	Prbd.g_01687
OG0000122	Syaa.g_01598	Prbd.g_01649
OG0000123	Syaa.g_02242	Prbd.g_01384
OG0000124	Syaa.g_00092	Prbd.g_01318
OG0000125	Syaa.g_02598	Prbd.g_01281
OG0000126	Syaa.g_02752	Prbd.g_01242
OG0000128	Syaa.g_00012	Prbd.g_01226
OG0000129	Syaa.g_02586	Prbd.g_01194
OG0000130	Syaa.g_00354	Prbd.g_01175
OG0000131	Syaa.g_02448	Prbd.g_01095
OG0000132	Syaa.g_02472	Prbd.g_01076
OG0000133	Syaa.g_01361	Prbd.g_00917
OG0000134	Syaa.g_02146	Prbd.g_00882
OG0000135	Syaa.g_02649	Prbd.g_00855
OG0000136	Syaa.g_00708	Prbd.g_01722, Prbd.g_00801
OG0000137	Syaa.g_01842	Prbd.g_00767
OG0000138	Syaa.g_02035	Prbd.g_00747
OG0000139	Syaa.g_01974	Prbd.g_00705
OG0000140	Syaa.g_01971	Prbd.g_00704
OG0000141	Syaa.g_01689	Prbd.g_00637
OG0000142	Syaa.g_01633	Prbd.g_00609
OG0000143	Syaa.g_01629	Prbd.g_00605
OG0000144	Syaa.g_01446	Prbd.g_00592
OG0000145	Syaa.g_02029	Prbd.g_00062
OG0000146	Syaa.g_01367	Prbd.g_00067
OG0000147	Syaa.g_01368	Prbd.g_00068
OG0000148	Syaa.g_01190	Prbd.g_00118
OG0000149	Syaa.g_00826	Prbd.g_00149
OG0000150	Syaa.g_01688	Prbd.g_00157
OG0000151	Syaa.g_01107	Prbd.g_00216
OG0000152	Syaa.g_01357	Prbd.g_00264
OG0000153	Syaa.g_01324	Prbd.g_00283
OG0000154	Syaa.g_01298	Prbd.g_00314
OG0000155	Syaa.g_00804	Prbd.g_00488
OG0000156	Syaa.g_00751	Prbd.g_01812
OG0000157	Syaa.g_00750	Prbd.g_01811
OG0000158	Syaa.g_00148	Prbd.g_01736
OG0000160	Syaa.g_01776	Prbd.g_01688
OG0000161	Syaa.g_01782	Prbd.g_01682
OG0000162	Syaa.g_01788	Prbd.g_01676
OG0000163	Syaa.g_00624	Prbd.g_01642
OG0000164	Syaa.g_00507	Prbd.g_01501
OG0000165	Syaa.g_00681	Prbd.g_01494
OG0000166	Syaa.g_02289	Prbd.g_01427
OG0000167	Syaa.g_00160	Prbd.g_01361
OG0000168	Syaa.g_00145	Prbd.g_01351
OG0000169	Syaa.g_00134	Prbd.g_01341
OG0000170	Syaa.g_00128	Prbd.g_01339
OG0000171	Syaa.g_00093	Prbd.g_01319
OG0000172	Syaa.g_00079	Prbd.g_01310
OG0000173	Syaa.g_00060	Prbd.g_01295
OG0000174	Syaa.g_02651	Prbd.g_01268
OG0000175	Syaa.g_02726	Prbd.g_01258
OG0000176	Syaa.g_00004	Prbd.g_01233
OG0000177	Syaa.g_00005	Prbd.g_01232
OG0000178	Syaa.g_00006	Prbd.g_01231
OG0000179	Syaa.g_00023	Prbd.g_01221
OG0000180	Syaa.g_00024	Prbd.g_01220
OG0000181	Syaa.g_00025	Prbd.g_01219
OG0000182	Syaa.g_00026	Prbd.g_01218
OG0000183	Syaa.g_00030	Prbd.g_01214
OG0000184	Syaa.g_02578	Prbd.g_01191
OG0000185	Syaa.g_02575	Prbd.g_01188
OG0000186	Syaa.g_00359	Prbd.g_01180
OG0000187	Syaa.g_00358	Prbd.g_01179
OG0000188	Syaa.g_00334	Prbd.g_01162
OG0000189	Syaa.g_02367	Prbd.g_01148
OG0000190	Syaa.g_02369	Prbd.g_01147
OG0000191	Syaa.g_02404	Prbd.g_01126
OG0000192	Syaa.g_02410	Prbd.g_01122
OG0000193	Syaa.g_02449	Prbd.g_01094
OG0000194	Syaa.g_02452	Prbd.g_01091
OG0000195	Syaa.g_02459	Prbd.g_01089
OG0000196	Syaa.g_02469	Prbd.g_01079
OG0000197	Syaa.g_02470	Prbd.g_01078
OG0000198	Syaa.g_02471	Prbd.g_01077
OG0000199	Syaa.g_02479	Prbd.g_01070
OG0000200	Syaa.g_02496	Prbd.g_01056
OG0000201	Syaa.g_02521	Prbd.g_01048
OG0000202	Syaa.g_02522	Prbd.g_01047
OG0000203	Syaa.g_02523	Prbd.g_01046
OG0000204	Syaa.g_02524	Prbd.g_01045
OG0000205	Syaa.g_02531	Prbd.g_01038
OG0000206	Syaa.g_02538	Prbd.g_01033
OG0000207	Syaa.g_02540	Prbd.g_01031
