Orthogroup	Syaa	Prai
OG0000004	Syaa.g_00892	Prai.g_00724
OG0000004	Syaa.g_01667, Syaa.g_02116	Prai.g_00243
OG0000005	Syaa.g_00534	Prai.g_01651
OG0000005	Syaa.g_00573	Prai.g_01538
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prai.g_00252, Prai.g_00254
OG0000007	Syaa.g_02032	Prai.g_00527
OG0000007	Syaa.g_00551	Prai.g_01638
OG0000008	Syaa.g_00918, Syaa.g_00919	Prai.g_00701
OG0000009	Syaa.g_02378	Prai.g_00105
OG0000010	Syaa.g_01843	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syaa.g_02304, Syaa.g_01660	Prai.g_00652
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prai.g_00340
OG0000014	Syaa.g_00222	Prai.g_00319
OG0000015	Syaa.g_01079, Syaa.g_01989	Prai.g_01243
OG0000016	Syaa.g_00014	Prai.g_00013
OG0000016	Syaa.g_01481	Prai.g_01573
OG0000017	Syaa.g_01890	Prai.g_00626
OG0000018	Syaa.g_01801	Prai.g_01153, Prai.g_00820
OG0000019	Syaa.g_00307	Prai.g_00262, Prai.g_00867
OG0000022	Syaa.g_01571	Prai.g_00885, Prai.g_01139
OG0000023	Syaa.g_01529, Syaa.g_01216	Prai.g_00373
OG0000024	Syaa.g_00922	Prai.g_00899, Prai.g_00704
OG0000025	Syaa.g_00839	Prai.g_00812, Prai.g_00344
OG0000026	Syaa.g_00038	Prai.g_00031, Prai.g_01074
OG0000027	Syaa.g_01605, Syaa.g_00854	Prai.g_00904
OG0000028	Syaa.g_00205	Prai.g_00333, Prai.g_01297
OG0000029	Syaa.g_01578	Prai.g_00890
OG0000030	Syaa.g_00099, Syaa.g_00098	Prai.g_01848
OG0000031	Syaa.g_00480	Prai.g_01444
OG0000033	Syaa.g_02478	Prai.g_00180
OG0000034	Syaa.g_00722, Syaa.g_02444	Prai.g_01345
OG0000035	Syaa.g_01773	Prai.g_01463
OG0000037	Syaa.g_02384	Prai.g_00109
OG0000038	Syaa.g_02596	Prai.g_01890
OG0000039	Syaa.g_00846	Prai.g_00715
OG0000041	Syaa.g_00660	Prai.g_01684
OG0000042	Syaa.g_00103	Prai.g_01845
OG0000043	Syaa.g_01437	Prai.g_00910
OG0000045	Syaa.g_01518	Prai.g_01274
OG0000045	Syaa.g_01560	Prai.g_00384
OG0000047	Syaa.g_02189	Prai.g_00424, Prai.g_00343
OG0000048	Syaa.g_02719, Syaa.g_00275	Prai.g_00387
OG0000050	Syaa.g_01591	Prai.g_01233
OG0000051	Syaa.g_01531	Prai.g_00434
OG0000052	Syaa.g_00174	Prai.g_00154
OG0000053	Syaa.g_01797	Prai.g_01483
OG0000054	Syaa.g_01691	Prai.g_00634
OG0000055	Syaa.g_00852	Prai.g_00866
OG0000057	Syaa.g_00889	Prai.g_00727
OG0000058	Syaa.g_00193	Prai.g_01859
OG0000059	Syaa.g_02315	Prai.g_01725, Prai.g_01425
OG0000061	Syaa.g_00770, Syaa.g_00469	Prai.g_01171
OG0000063	Syaa.g_00042	Prai.g_00033, Prai.g_01261
OG0000065	Syaa.g_02380	Prai.g_00107
OG0000066	Syaa.g_01968	Prai.g_00567
OG0000067	Syaa.g_01154	Prai.g_00848
OG0000068	Syaa.g_02059	Prai.g_01370
OG0000069	Syaa.g_01256	Prai.g_01579
OG0000070	Syaa.g_00718	Prai.g_00481
OG0000071	Syaa.g_00735	Prai.g_01335
OG0000072	Syaa.g_02480	Prai.g_00182
OG0000073	Syaa.g_02030	Prai.g_00529
OG0000074	Syaa.g_00372	Prai.g_00711
OG0000075	Syaa.g_00157	Prai.g_01814
OG0000076	Syaa.g_00123	Prai.g_01838
OG0000077	Syaa.g_00341	Prai.g_00078
OG0000078	Syaa.g_02103	Prai.g_00250
OG0000079	Syaa.g_00303	Prai.g_00265
OG0000081	Syaa.g_02089	Prai.g_00559
OG0000082	Syaa.g_01905	Prai.g_00613
OG0000084	Syaa.g_01770	Prai.g_01459
OG0000085	Syaa.g_00564	Prai.g_01631
OG0000086	Syaa.g_00324	Prai.g_00088
OG0000087	Syaa.g_02433	Prai.g_00139
OG0000088	Syaa.g_02474	Prai.g_00177
OG0000089	Syaa.g_02149	Prai.g_00368
OG0000090	Syaa.g_01980	Prai.g_00561
OG0000091	Syaa.g_01625	Prai.g_00671
OG0000094	Syaa.g_01288	Prai.g_00937
OG0000097	Syaa.g_00979	Prai.g_01214
OG0000099	Syaa.g_00202	Prai.g_01393
OG0000100	Syaa.g_01201	Prai.g_01536
OG0000101	Syaa.g_02249	Prai.g_01782
OG0000102	Syaa.g_00118	Prai.g_01843
OG0000103	Syaa.g_02740	Prai.g_01923
OG0000104	Syaa.g_02754	Prai.g_01932
OG0000105	Syaa.g_00270	Prai.g_00286, Prai.g_00287
OG0000106	Syaa.g_01439	Prai.g_00383
OG0000107	Syaa.g_02351	Prai.g_00397
OG0000108	Syaa.g_02051	Prai.g_00510
OG0000109	Syaa.g_02036	Prai.g_00524
OG0000110	Syaa.g_01918	Prai.g_00603
OG0000111	Syaa.g_00888	Prai.g_00728
OG0000112	Syaa.g_01366	Prai.g_00882
OG0000113	Syaa.g_01196	Prai.g_00825
OG0000114	Syaa.g_01094	Prai.g_01046
OG0000115	Syaa.g_01795	Prai.g_01119
OG0000116	Syaa.g_00757	Prai.g_01162
OG0000117	Syaa.g_01009	Prai.g_01273
