Orthogroup	Syaa	Prbm
OG0000004	Syaa.g_00892	Prbm.g_01483
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbm.g_00291
OG0000005	Syaa.g_00573	Prbm.g_01790
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syaa.g_02032	Prbm.g_00522
OG0000007	Syaa.g_00551	Prbm.g_01841
OG0000008	Syaa.g_00918	Prbm.g_01907
OG0000008	Syaa.g_00919	Prbm.g_01908
OG0000010	Syaa.g_01843	Prbm.g_01066, Prbm.g_00499
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prbm.g_00382
OG0000014	Syaa.g_00222	Prbm.g_00362
OG0000014	Syaa.g_00481	Prbm.g_02126
OG0000015	Syaa.g_01079, Syaa.g_01989	Prbm.g_01427, Prbm.g_01149
OG0000016	Syaa.g_00014	Prbm.g_00013
OG0000016	Syaa.g_00981, Syaa.g_01481	Prbm.g_01944
OG0000017	Syaa.g_01890	Prbm.g_00635
OG0000018	Syaa.g_01801	Prbm.g_01571, Prbm.g_00843
OG0000019	Syaa.g_00307	Prbm.g_00792
OG0000022	Syaa.g_01571	Prbm.g_01204, Prbm.g_01324
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syaa.g_00922	Prbm.g_01151, Prbm.g_00709
OG0000025	Syaa.g_00839	Prbm.g_00849
OG0000026	Syaa.g_00038	Prbm.g_00031
OG0000028	Syaa.g_00205	Prbm.g_01656
OG0000029	Syaa.g_01578	Prbm.g_01823
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbm.g_02105
OG0000031	Syaa.g_00480	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syaa.g_01818	Prbm.g_01747
OG0000033	Syaa.g_02478	Prbm.g_00228
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbm.g_01620
OG0000035	Syaa.g_01773	Prbm.g_01710
OG0000037	Syaa.g_02384	Prbm.g_00166
OG0000038	Syaa.g_02596	Prbm.g_02174
OG0000039	Syaa.g_00846	Prbm.g_00723
OG0000040	Syaa.g_01606	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813
OG0000041	Syaa.g_00660	Prbm.g_01886
OG0000042	Syaa.g_00103	Prbm.g_02102
OG0000043	Syaa.g_01437	Prbm.g_01173
OG0000045	Syaa.g_01560	Prbm.g_01088
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prbm.g_00383
OG0000047	Syaa.g_02189	Prbm.g_00428, Prbm.g_00390
OG0000048	Syaa.g_02719, Syaa.g_00275	Prbm.g_00329
OG0000050	Syaa.g_01591	Prbm.g_01485
OG0000053	Syaa.g_01797	Prbm.g_01729
OG0000054	Syaa.g_01691	Prbm.g_00637
OG0000055	Syaa.g_00852	Prbm.g_00778
OG0000055	Syaa.g_01564	Prbm.g_01921
OG0000057	Syaa.g_00889	Prbm.g_00735
OG0000058	Syaa.g_00193	Prbm.g_00881
OG0000059	Syaa.g_02315	Prbm.g_01973
OG0000060	Syaa.g_01007	Prbm.g_01422
OG0000061	Syaa.g_00770	Prbm.g_01549
OG0000063	Syaa.g_00042	Prbm.g_01947
OG0000065	Syaa.g_02380	Prbm.g_00164
OG0000066	Syaa.g_01968	Prbm.g_00572
OG0000067	Syaa.g_01154	Prbm.g_00814
OG0000068	Syaa.g_02059	Prbm.g_01660
OG0000069	Syaa.g_01256	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Syaa.g_00718	Prbm.g_00460
OG0000071	Syaa.g_00735	Prbm.g_00468, Prbm.g_01611
OG0000072	Syaa.g_02480	Prbm.g_00230
OG0000073	Syaa.g_02030	Prbm.g_00533
OG0000074	Syaa.g_00372	Prbm.g_01099, Prbm.g_00912, Prbm.g_00717
OG0000075	Syaa.g_00157	Prbm.g_02069
OG0000076	Syaa.g_00123	Prbm.g_02094
OG0000077	Syaa.g_00341	Prbm.g_00135
OG0000078	Syaa.g_02103	Prbm.g_00300
OG0000079	Syaa.g_00303	Prbm.g_00311
OG0000081	Syaa.g_02089	Prbm.g_00564
OG0000082	Syaa.g_01905	Prbm.g_01900
OG0000084	Syaa.g_01770	Prbm.g_01706
OG0000085	Syaa.g_00564	Prbm.g_01834
OG0000086	Syaa.g_00324	Prbm.g_00145
OG0000087	Syaa.g_02433	Prbm.g_00198
OG0000088	Syaa.g_02474	Prbm.g_00225
OG0000089	Syaa.g_02149	Prbm.g_00423
OG0000090	Syaa.g_01980	Prbm.g_00566
OG0000091	Syaa.g_01625	Prbm.g_00673
OG0000097	Syaa.g_00979	Prbm.g_01502
OG0000099	Syaa.g_00202	Prbm.g_00394
OG0000100	Syaa.g_01201	Prbm.g_01787
OG0000101	Syaa.g_02249	Prbm.g_02033
OG0000102	Syaa.g_00118	Prbm.g_02099
OG0000103	Syaa.g_02740	Prbm.g_02218
OG0000104	Syaa.g_02754	Prbm.g_02229
OG0000105	Syaa.g_00270	Prbm.g_00331
OG0000106	Syaa.g_01439	Prbm.g_01172, Prbm.g_01237
OG0000107	Syaa.g_02351	Prbm.g_01949
OG0000108	Syaa.g_02051	Prbm.g_00506
