Orthogroup	Syaa	Pray
OG0000004	Syaa.g_00892	Pray.g_01068
OG0000004	Syaa.g_01667, Syaa.g_02116	Pray.g_00713
OG0000005	Syaa.g_00534	Pray.g_01546
OG0000005	Syaa.g_00573	Pray.g_01646
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Pray.g_00722
OG0000007	Syaa.g_02032	Pray.g_00988, Pray.g_00987
OG0000007	Syaa.g_00551	Pray.g_01559
OG0000008	Syaa.g_00918	Pray.g_01931
OG0000009	Syaa.g_02378	Pray.g_00184
OG0000010	Syaa.g_01843	Pray.g_00592, Pray.g_00964
OG0000012	Syaa.g_02304, Syaa.g_01660	Pray.g_01140
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Pray.g_00805
OG0000014	Syaa.g_00222	Pray.g_00784
OG0000014	Syaa.g_00481	Pray.g_01792
OG0000015	Syaa.g_01079, Syaa.g_01989	Pray.g_00309
OG0000016	Syaa.g_00014	Pray.g_01475
OG0000017	Syaa.g_01890	Pray.g_01165
OG0000018	Syaa.g_01801	Pray.g_00083, Pray.g_00375
OG0000019	Syaa.g_00307	Pray.g_00730, Pray.g_00328
OG0000022	Syaa.g_01571	Pray.g_00304, Pray.g_00101
OG0000023	Syaa.g_01529, Syaa.g_01216	Pray.g_00838
OG0000024	Syaa.g_00922	Pray.g_00289, Pray.g_01088
OG0000025	Syaa.g_00839	Pray.g_00383, Pray.g_00809
OG0000026	Syaa.g_00038	Pray.g_01493, Pray.g_00599
OG0000027	Syaa.g_01605, Syaa.g_00854	Pray.g_00960, Pray.g_01887
OG0000028	Syaa.g_00205	Pray.g_00798, Pray.g_01935
OG0000029	Syaa.g_01578	Pray.g_00853, Pray.g_00296
OG0000030	Syaa.g_00099, Syaa.g_00098	Pray.g_01374
OG0000031	Syaa.g_00480	Pray.g_01806
OG0000033	Syaa.g_02478	Pray.g_00650
OG0000034	Syaa.g_00722, Syaa.g_02444	Pray.g_01860
OG0000035	Syaa.g_01773	Pray.g_01722
OG0000037	Syaa.g_02384	Pray.g_00180
OG0000038	Syaa.g_02596	Pray.g_01415
OG0000039	Syaa.g_00846	Pray.g_01077
OG0000040	Syaa.g_01606	Pray.g_01585
OG0000042	Syaa.g_00103	Pray.g_01371
OG0000043	Syaa.g_01437	Pray.g_01924
OG0000045	Syaa.g_01560	Pray.g_00849
OG0000047	Syaa.g_02189	Pray.g_00897, Pray.g_00808
OG0000048	Syaa.g_02719, Syaa.g_00275	Pray.g_00852
OG0000050	Syaa.g_01591	Pray.g_00883
OG0000051	Syaa.g_01531	Pray.g_01894
OG0000052	Syaa.g_00174	Pray.g_01793
OG0000053	Syaa.g_01797	Pray.g_01702
OG0000054	Syaa.g_01691	Pray.g_01157
OG0000055	Syaa.g_00852	Pray.g_00329
OG0000057	Syaa.g_00889	Pray.g_01065
OG0000058	Syaa.g_00193	Pray.g_01786
OG0000059	Syaa.g_02315	Pray.g_01258, Pray.g_01761
OG0000061	Syaa.g_00770	Pray.g_00064
OG0000063	Syaa.g_00042	Pray.g_01495
OG0000065	Syaa.g_02380	Pray.g_00182
OG0000066	Syaa.g_01968	Pray.g_01222
OG0000067	Syaa.g_01154	Pray.g_00348
OG0000068	Syaa.g_02059	Pray.g_01829
OG0000069	Syaa.g_01256	Pray.g_01609
OG0000070	Syaa.g_00718	Pray.g_00940
OG0000071	Syaa.g_00735	Pray.g_01870
OG0000072	Syaa.g_02480	Pray.g_00652
OG0000073	Syaa.g_02030	Pray.g_00990
OG0000074	Syaa.g_00372	Pray.g_01081
OG0000075	Syaa.g_00157	Pray.g_01339
OG0000076	Syaa.g_00123	Pray.g_01364
OG0000077	Syaa.g_00341	Pray.g_00211
OG0000078	Syaa.g_02103	Pray.g_00720
OG0000079	Syaa.g_00303	Pray.g_00733
OG0000081	Syaa.g_02089	Pray.g_01022
OG0000082	Syaa.g_01905	Pray.g_01177
OG0000084	Syaa.g_01770	Pray.g_01726
OG0000085	Syaa.g_00564	Pray.g_01566
OG0000086	Syaa.g_00324	Pray.g_00201
OG0000087	Syaa.g_02433	Pray.g_00150
OG0000088	Syaa.g_02474	Pray.g_00647
OG0000089	Syaa.g_02149	Pray.g_00834
OG0000090	Syaa.g_01980	Pray.g_01024, Pray.g_01228
OG0000091	Syaa.g_01625	Pray.g_01121
OG0000094	Syaa.g_01288	Pray.g_00565
OG0000097	Syaa.g_00979	Pray.g_00022
OG0000099	Syaa.g_00202	Pray.g_01788
OG0000100	Syaa.g_01201	Pray.g_01648
OG0000101	Syaa.g_02249	Pray.g_01306
OG0000102	Syaa.g_00118	Pray.g_01369
OG0000103	Syaa.g_02740	Pray.g_01449
OG0000104	Syaa.g_02754	Pray.g_01457
OG0000105	Syaa.g_00270	Pray.g_00753
OG0000106	Syaa.g_01439	Pray.g_00848
OG0000107	Syaa.g_02351	Pray.g_00864
OG0000108	Syaa.g_02051	Pray.g_00970
OG0000109	Syaa.g_02036	Pray.g_00984
OG0000110	Syaa.g_01918	Pray.g_01187
OG0000111	Syaa.g_00888	Pray.g_01064
OG0000112	Syaa.g_01366	Pray.g_00313
OG0000113	Syaa.g_01196	Pray.g_00370
OG0000114	Syaa.g_01094	Pray.g_00452
OG0000115	Syaa.g_01795	Pray.g_00126
OG0000116	Syaa.g_00757	Pray.g_00074
OG0000117	Syaa.g_01009	Pray.g_01927
OG0000118	Syaa.g_01874	Pray.g_01858
OG0000119	Syaa.g_00785	Pray.g_01833
OG0000120	Syaa.g_00201	Pray.g_01808
OG0000121	Syaa.g_01777	Pray.g_01720
OG0000122	Syaa.g_01598	Pray.g_01682
OG0000123	Syaa.g_02242	Pray.g_01313
OG0000124	Syaa.g_00092	Pray.g_01380
OG0000125	Syaa.g_02598	Pray.g_01417
OG0000126	Syaa.g_02752	Pray.g_01456
OG0000128	Syaa.g_00012	Pray.g_01473
OG0000129	Syaa.g_02586	Pray.g_00239
