Orthogroup	Syaa	Prah
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Prah.g_01159
OG0000004	Syaa.g_00892	Prah.g_01022
OG0000004	Syaa.g_01667, Syaa.g_02116	Prah.g_01413
OG0000005	Syaa.g_00573	Prah.g_01652
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prah.g_00475, Prah.g_01767
OG0000007	Syaa.g_02032	Prah.g_01546
OG0000007	Syaa.g_00551	Prah.g_01676
OG0000008	Syaa.g_00918	Prah.g_00970
OG0000008	Syaa.g_00919	Prah.g_00969
OG0000009	Syaa.g_02378	Prah.g_00432, Prah.g_01895
OG0000010	Syaa.g_01843	Prah.g_00311
OG0000012	Syaa.g_01660	Prah.g_00524
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prah.g_01956
OG0000014	Syaa.g_00222	Prah.g_02171
OG0000015	Syaa.g_01079, Syaa.g_01989	Prah.g_01155, Prah.g_00576
OG0000016	Syaa.g_00014	Prah.g_00015
OG0000016	Syaa.g_00981	Prah.g_01270
OG0000017	Syaa.g_01883	Prah.g_01397
OG0000017	Syaa.g_01890	Prah.g_01405
OG0000018	Syaa.g_01801	Prah.g_00378
OG0000021	Syaa.g_02627	Prah.g_01410
OG0000022	Syaa.g_01571	Prah.g_00170, Prah.g_01209
OG0000023	Syaa.g_01529, Syaa.g_01216	Prah.g_00688
OG0000024	Syaa.g_00922	Prah.g_01043
OG0000025	Syaa.g_00839	Prah.g_00604
OG0000026	Syaa.g_00038	Prah.g_00038
OG0000028	Syaa.g_00205	Prah.g_02184
OG0000029	Syaa.g_01578	Prah.g_01972
OG0000030	Syaa.g_00099	Prah.g_00132
OG0000030	Syaa.g_00098	Prah.g_00131
OG0000032	Syaa.g_01818	Prah.g_00358
OG0000033	Syaa.g_02478	Prah.g_02307
OG0000034	Syaa.g_00722, Syaa.g_02444	Prah.g_01376
OG0000035	Syaa.g_01773	Prah.g_00408
OG0000037	Syaa.g_02384	Prah.g_01901
OG0000038	Syaa.g_02596	Prah.g_02494
OG0000041	Syaa.g_00660	Prah.g_01737
OG0000042	Syaa.g_00103	Prah.g_00135, Prah.g_01256
OG0000043	Syaa.g_01437	Prah.g_01190
OG0000044	Syaa.g_00363	Prah.g_00994, Prah.g_00343
OG0000045	Syaa.g_01518, Syaa.g_01560	Prah.g_01837
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Prah.g_01955
OG0000047	Syaa.g_02189	Prah.g_00321, Prah.g_00322, Prah.g_00353
OG0000048	Syaa.g_00275	Prah.g_02122
OG0000050	Syaa.g_01213, Syaa.g_01712	Prah.g_01120
OG0000051	Syaa.g_01531	Prah.g_01166
OG0000052	Syaa.g_00174	Prah.g_02219
OG0000053	Syaa.g_01797	Prah.g_00381
OG0000054	Syaa.g_01691	Prah.g_01394
OG0000055	Syaa.g_00852	Prah.g_00942
OG0000057	Syaa.g_00889	Prah.g_01027
OG0000058	Syaa.g_00455	Prah.g_02195
OG0000060	Syaa.g_02053	Prah.g_01569
OG0000060	Syaa.g_01007	Prah.g_01156
OG0000061	Syaa.g_00770	Prah.g_01322, Prah.g_00104
OG0000063	Syaa.g_00042	Prah.g_00042
OG0000065	Syaa.g_02380	Prah.g_01897
OG0000066	Syaa.g_01968	Prah.g_01485
OG0000067	Syaa.g_01154	Prah.g_00667
OG0000068	Syaa.g_02059	Prah.g_01576
OG0000070	Syaa.g_00718	Prah.g_00252
OG0000071	Syaa.g_00735	Prah.g_01364
OG0000072	Syaa.g_02480	Prah.g_02309
OG0000073	Syaa.g_02030	Prah.g_01544
OG0000075	Syaa.g_00157	Prah.g_02232
OG0000076	Syaa.g_00123	Prah.g_00150
OG0000077	Syaa.g_00341	Prah.g_01850
OG0000078	Syaa.g_02103	Prah.g_01773
OG0000079	Syaa.g_00303	Prah.g_02090
OG0000081	Syaa.g_02089	Prah.g_01035
OG0000082	Syaa.g_01905	Prah.g_01427
