Orthogroup	Syaa	Prab
OG0000004	Syaa.g_00892	Prab.g_00700
OG0000004	Syaa.g_01667, Syaa.g_02116	Prab.g_00223
OG0000005	Syaa.g_00534	Prab.g_01682
OG0000005	Syaa.g_00573	Prab.g_01542
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prab.g_00231
OG0000007	Syaa.g_02032	Prab.g_00501
OG0000007	Syaa.g_00551	Prab.g_01669
OG0000009	Syaa.g_02378	Prab.g_00096
OG0000010	Syaa.g_01843	Prab.g_01104, Prab.g_00478
OG0000012	Syaa.g_02304, Syaa.g_01660	Prab.g_00627
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Prab.g_00315
OG0000014	Syaa.g_00222	Prab.g_00294
OG0000014	Syaa.g_00481	Prab.g_01444, Prab.g_01445
OG0000015	Syaa.g_01079, Syaa.g_01989	Prab.g_00789
OG0000016	Syaa.g_00014	Prab.g_00013
OG0000016	Syaa.g_01481	Prab.g_01579
OG0000017	Syaa.g_01890	Prab.g_00602
OG0000018	Syaa.g_01801	Prab.g_01201, Prab.g_00867
OG0000019	Syaa.g_00307	Prab.g_00239, Prab.g_00820
OG0000022	Syaa.g_01571	Prab.g_00782, Prab.g_01182
OG0000023	Syaa.g_01529, Syaa.g_01216	Prab.g_00348
OG0000024	Syaa.g_00922	Prab.g_00763, Prab.g_00680
OG0000025	Syaa.g_00839	Prab.g_00874, Prab.g_00319
OG0000026	Syaa.g_00038	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syaa.g_01605, Syaa.g_00854	Prab.g_00914, Prab.g_01616
OG0000028	Syaa.g_00205	Prab.g_00308
OG0000029	Syaa.g_01578	Prab.g_00773
OG0000030	Syaa.g_00099, Syaa.g_00098	Prab.g_01867
OG0000031	Syaa.g_00480	Prab.g_01446
OG0000033	Syaa.g_00485	Prab.g_01400
OG0000033	Syaa.g_02478	Prab.g_00160
OG0000034	Syaa.g_00722, Syaa.g_02444	Prab.g_01336
OG0000035	Syaa.g_01773	Prab.g_01466
OG0000037	Syaa.g_02384	Prab.g_00100
OG0000038	Syaa.g_02596	Prab.g_01908
OG0000039	Syaa.g_00846	Prab.g_00691
OG0000040	Syaa.g_01606	Prab.g_01623
OG0000041	Syaa.g_00660	Prab.g_01715
OG0000042	Syaa.g_00103	Prab.g_01864
OG0000045	Syaa.g_01560	Prab.g_00360
OG0000047	Syaa.g_02189	Prab.g_00318
OG0000048	Syaa.g_02719, Syaa.g_00275	Prab.g_00411, Prab.g_00363
OG0000050	Syaa.g_01591	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000051	Syaa.g_01531	Prab.g_01304
OG0000052	Syaa.g_00174	Prab.g_01423
OG0000053	Syaa.g_01797	Prab.g_01486
OG0000054	Syaa.g_01691	Prab.g_00610
OG0000055	Syaa.g_00852	Prab.g_00821
OG0000057	Syaa.g_00889	Prab.g_00703
OG0000058	Syaa.g_00193	Prab.g_01393
OG0000059	Syaa.g_02315	Prab.g_01754
OG0000060	Syaa.g_01007	Prab.g_00784
OG0000061	Syaa.g_00770, Syaa.g_00469	Prab.g_01219
OG0000063	Syaa.g_00042	Prab.g_00033
OG0000065	Syaa.g_02380	Prab.g_00098
OG0000066	Syaa.g_01968	Prab.g_00543
OG0000067	Syaa.g_01154	Prab.g_00840
OG0000068	Syaa.g_02059	Prab.g_01360
OG0000069	Syaa.g_01256	Prab.g_01585
OG0000070	Syaa.g_00718	Prab.g_00456
OG0000071	Syaa.g_00735	Prab.g_01637, Prab.g_01326
OG0000072	Syaa.g_02480	Prab.g_00162
OG0000073	Syaa.g_02030	Prab.g_00503
OG0000074	Syaa.g_00372	Prab.g_00687
OG0000075	Syaa.g_00157	Prab.g_01834
OG0000076	Syaa.g_00123	Prab.g_01857
OG0000077	Syaa.g_00341	Prab.g_00070
OG0000078	Syaa.g_02103	Prab.g_00229
OG0000079	Syaa.g_00303	Prab.g_00242
OG0000080	Syaa.g_00487	Prab.g_01404, Prab.g_01406
OG0000081	Syaa.g_02089	Prab.g_00535
OG0000082	Syaa.g_01905	Prab.g_00589
OG0000084	Syaa.g_01770	Prab.g_01462
OG0000085	Syaa.g_00564	Prab.g_01662
