Orthogroup	Prac	Prbc
OG0000000	Prac.g_00210	Prbc.g_01920
OG0000000	Prac.g_00693	Prbc.g_01759, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478
OG0000001	Prac.g_00293	Prbc.g_00608, Prbc.g_00808, Prbc.g_00618, Prbc.g_02167, Prbc.g_00106, Prbc.g_00525
OG0000002	Prac.g_00202	Prbc.g_00588
OG0000002	Prac.g_00924, Prac.g_00925	Prbc.g_01530, Prbc.g_00925
OG0000003	Prac.g_00157	Prbc.g_00609, Prbc.g_00812
OG0000004	Prac.g_01536, Prac.g_01529	Prbc.g_02193, Prbc.g_01233, Prbc.g_01294
OG0000005	Prac.g_00277	Prbc.g_02164, Prbc.g_00104, Prbc.g_00806, Prbc.g_02165
OG0000006	Prac.g_00874	Prbc.g_01556
OG0000006	Prac.g_00625	Prbc.g_00832
OG0000007	Prac.g_00904	Prbc.g_00893
OG0000009	Prac.g_01496	Prbc.g_01836
OG0000010	Prac.g_01958, Prac.g_01035, Prac.g_00139	Prbc.g_01323
OG0000011	Prac.g_01127	Prbc.g_01273
OG0000011	Prac.g_01601	Prbc.g_01227
OG0000012	Prac.g_00773	Prbc.g_01674, Prbc.g_01681
OG0000013	Prac.g_00898	Prbc.g_00599
OG0000014	Prac.g_01074	Prbc.g_00072
OG0000015	Prac.g_01151	Prbc.g_00037, Prbc.g_00013, Prbc.g_00125
OG0000016	Prac.g_00213	Prbc.g_00650
OG0000017	Prac.g_00391, Prac.g_01901	Prbc.g_00728
OG0000018	Prac.g_01689	Prbc.g_02202
OG0000019	Prac.g_01169	Prbc.g_02189
OG0000020	Prac.g_01159	Prbc.g_01165
OG0000021	Prac.g_01494	Prbc.g_00059, Prbc.g_02139, Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064
OG0000022	Prac.g_00159	Prbc.g_02163, Prbc.g_00103
OG0000023	Prac.g_00301	Prbc.g_01344
OG0000024	Prac.g_01625	Prbc.g_01198, Prbc.g_00680
OG0000025	Prac.g_01220	Prbc.g_00513, Prbc.g_01383
OG0000026	Prac.g_01914, Prac.g_01913, Prac.g_00908	Prbc.g_00932
OG0000027	Prac.g_00325	Prbc.g_02171, Prbc.g_02158, Prbc.g_00045
OG0000028	Prac.g_00411	Prbc.g_00709
OG0000029	Prac.g_00300, Prac.g_00890	Prbc.g_02181, Prbc.g_00752
OG0000032	Prac.g_00249	Prbc.g_01228
OG0000033	Prac.g_01934	Prbc.g_01083, Prbc.g_00929
OG0000035	Prac.g_01399	Prbc.g_01380
OG0000036	Prac.g_00788	Prbc.g_00891
OG0000037	Prac.g_00748	Prbc.g_02155
OG0000038	Prac.g_01510	Prbc.g_00166
OG0000039	Prac.g_01764	Prbc.g_00405
OG0000040	Prac.g_01174	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000041	Prac.g_01119	Prbc.g_01315
OG0000042	Prac.g_01560	Prbc.g_01787
OG0000043	Prac.g_01491	Prbc.g_01999
OG0000044	Prac.g_00985	Prbc.g_01446
OG0000045	Prac.g_00434	Prbc.g_01928
OG0000046	Prac.g_00632	Prbc.g_00826
OG0000047	Prac.g_00041, Prac.g_01904	Prbc.g_00211
OG0000048	Prac.g_00048	Prbc.g_00203
OG0000050	Prac.g_01916	Prbc.g_01101
OG0000051	Prac.g_01773, Prac.g_01590	Prbc.g_00414
OG0000052	Prac.g_01163	Prbc.g_00134, Prbc.g_00641
OG0000053	Prac.g_00833	Prbc.g_01618
OG0000054	Prac.g_01515	Prbc.g_01116
OG0000055	Prac.g_01453	Prbc.g_01882, Prbc.g_00153
OG0000056	Prac.g_01029	Prbc.g_01117
OG0000057	Prac.g_01693	Prbc.g_00333
OG0000058	Prac.g_01069	Prbc.g_01534
OG0000059	Prac.g_00673	Prbc.g_00055, Prbc.g_01780
OG0000060	Prac.g_01531, Prac.g_01956, Prac.g_01597, Prac.g_00636	Prbc.g_00148
OG0000061	Prac.g_01020	Prbc.g_00645
OG0000062	Prac.g_01018	Prbc.g_00896
OG0000063	Prac.g_01955	Prbc.g_00102
OG0000065	Prac.g_00175	Prbc.g_00566
OG0000066	Prac.g_00248	Prbc.g_01753
OG0000067	Prac.g_00142	Prbc.g_00136, Prbc.g_00616, Prbc.g_00066
OG0000068	Prac.g_00548	Prbc.g_00284
OG0000069	Prac.g_00242	Prbc.g_00746
OG0000071	Prac.g_01936	Prbc.g_01081
OG0000072	Prac.g_01609	Prbc.g_01214
OG0000073	Prac.g_00702	Prbc.g_01748
OG0000074	Prac.g_00680	Prbc.g_01773
OG0000075	Prac.g_01468	Prbc.g_01865
OG0000076	Prac.g_01256	Prbc.g_02113
OG0000077	Prac.g_00276	Prbc.g_00105, Prbc.g_00807, Prbc.g_02166
OG0000078	Prac.g_00256	Prbc.g_01229
OG0000079	Prac.g_00333	Prbc.g_00790
OG0000080	Prac.g_00886	Prbc.g_00144
OG0000081	Prac.g_00015	Prbc.g_00238
OG0000082	Prac.g_00101	Prbc.g_01009
OG0000083	Prac.g_01944	Prbc.g_01073
OG0000084	Prac.g_01941	Prbc.g_01076
OG0000085	Prac.g_01924	Prbc.g_01093
OG0000086	Prac.g_01893	Prbc.g_00132
OG0000087	Prac.g_01882	Prbc.g_01127
OG0000088	Prac.g_01818	Prbc.g_00458
OG0000089	Prac.g_01810	Prbc.g_00449
OG0000090	Prac.g_01792	Prbc.g_00432
OG0000091	Prac.g_01761	Prbc.g_00402
OG0000092	Prac.g_01760	Prbc.g_00401
OG0000093	Prac.g_01746	Prbc.g_00388
OG0000094	Prac.g_01728	Prbc.g_00369
OG0000095	Prac.g_01723	Prbc.g_00365
OG0000096	Prac.g_01679	Prbc.g_01147
OG0000097	Prac.g_01657	Prbc.g_01167
OG0000098	Prac.g_01647	Prbc.g_01177
OG0000099	Prac.g_01637	Prbc.g_01186
OG0000100	Prac.g_01634	Prbc.g_01189
OG0000101	Prac.g_01177	Prbc.g_01270
OG0000102	Prac.g_01150	Prbc.g_02183
OG0000103	Prac.g_01068	Prbc.g_01535
OG0000104	Prac.g_01064	Prbc.g_01540
OG0000105	Prac.g_00872	Prbc.g_01579
OG0000106	Prac.g_00840	Prbc.g_01611
OG0000107	Prac.g_00839	Prbc.g_01612
OG0000108	Prac.g_00829	Prbc.g_01622
OG0000109	Prac.g_00820	Prbc.g_01632
OG0000110	Prac.g_00804	Prbc.g_01648
OG0000111	Prac.g_00720	Prbc.g_01728
OG0000112	Prac.g_00719	Prbc.g_01729
OG0000113	Prac.g_01538	Prbc.g_01811
OG0000114	Prac.g_01477	Prbc.g_01856
OG0000115	Prac.g_01327	Prbc.g_02036
OG0000116	Prac.g_01323	Prbc.g_02040
OG0000117	Prac.g_01259	Prbc.g_02110
OG0000118	Prac.g_01207	Prbc.g_00173
OG0000119	Prac.g_01959	Prbc.g_00899
OG0000120	Prac.g_00979	Prbc.g_01439
OG0000121	Prac.g_00960	Prbc.g_01417
OG0000122	Prac.g_00941	Prbc.g_01397
OG0000123	Prac.g_00928	Prbc.g_01387
OG0000124	Prac.g_00448	Prbc.g_02103
OG0000125	Prac.g_00187	Prbc.g_00577
OG0000126	Prac.g_00217	Prbc.g_00657
OG0000127	Prac.g_00424	Prbc.g_00695
OG0000128	Prac.g_00410	Prbc.g_00710
OG0000129	Prac.g_00374	Prbc.g_00744
OG0000130	Prac.g_00627	Prbc.g_00830
OG0000131	Prac.g_00589	Prbc.g_00867
OG0000132	Prac.g_00586	Prbc.g_00869
OG0000133	Prac.g_00507	Prbc.g_00326, Prbc.g_01572
OG0000134	Prac.g_00543	Prbc.g_00290
OG0000135	Prac.g_00545	Prbc.g_01560, Prbc.g_00288
OG0000136	Prac.g_00026	Prbc.g_00226
OG0000137	Prac.g_00057	Prbc.g_00190
OG0000138	Prac.g_00092	Prbc.g_00997
OG0000139	Prac.g_00118	Prbc.g_01047
OG0000140	Prac.g_01946	Prbc.g_01071
OG0000141	Prac.g_01945	Prbc.g_01072
OG0000142	Prac.g_01943	Prbc.g_01074
OG0000143	Prac.g_01942	Prbc.g_01075
OG0000144	Prac.g_01940	Prbc.g_01077
OG0000145	Prac.g_01939	Prbc.g_01078
OG0000146	Prac.g_01938	Prbc.g_01079
OG0000147	Prac.g_01937	Prbc.g_01080
OG0000148	Prac.g_01935	Prbc.g_01082
OG0000149	Prac.g_01933	Prbc.g_01084
OG0000150	Prac.g_01932	Prbc.g_01085
OG0000151	Prac.g_01931	Prbc.g_01086
OG0000152	Prac.g_01930	Prbc.g_01087
OG0000153	Prac.g_01929	Prbc.g_01088
OG0000154	Prac.g_01928	Prbc.g_01089
OG0000155	Prac.g_01927	Prbc.g_01090
OG0000156	Prac.g_01926	Prbc.g_01091
OG0000157	Prac.g_01925	Prbc.g_01092
OG0000158	Prac.g_01923	Prbc.g_01094
OG0000159	Prac.g_01922	Prbc.g_01095
OG0000160	Prac.g_01921	Prbc.g_01096
OG0000161	Prac.g_01920	Prbc.g_01097
OG0000162	Prac.g_01919	Prbc.g_01098
OG0000163	Prac.g_01918	Prbc.g_01099
OG0000164	Prac.g_01915	Prbc.g_01102
OG0000165	Prac.g_01911	Prbc.g_01104
OG0000166	Prac.g_01910	Prbc.g_01105
OG0000167	Prac.g_01909	Prbc.g_01106
OG0000168	Prac.g_01892	Prbc.g_01118
OG0000169	Prac.g_01890	Prbc.g_01120
OG0000170	Prac.g_01889	Prbc.g_01121
OG0000171	Prac.g_01888	Prbc.g_01122
OG0000172	Prac.g_01886	Prbc.g_01123
OG0000173	Prac.g_01885	Prbc.g_01124
OG0000174	Prac.g_01884	Prbc.g_01125
OG0000175	Prac.g_01883	Prbc.g_01126
OG0000176	Prac.g_01881	Prbc.g_01128
OG0000177	Prac.g_01880	Prbc.g_01129
OG0000178	Prac.g_01879	Prbc.g_01130
OG0000179	Prac.g_01867	Prbc.g_00509
OG0000180	Prac.g_01866	Prbc.g_00508
OG0000181	Prac.g_01865	Prbc.g_00507
OG0000182	Prac.g_01862	Prbc.g_00504
OG0000183	Prac.g_01861	Prbc.g_00503
OG0000184	Prac.g_01858	Prbc.g_00500
OG0000185	Prac.g_01854	Prbc.g_00496
OG0000186	Prac.g_01853	Prbc.g_00495
OG0000187	Prac.g_01852	Prbc.g_00494
OG0000188	Prac.g_01851	Prbc.g_00493
OG0000189	Prac.g_01850	Prbc.g_00492
OG0000190	Prac.g_01849	Prbc.g_00491
OG0000191	Prac.g_01848	Prbc.g_00490
OG0000192	Prac.g_01847	Prbc.g_00489
OG0000193	Prac.g_01846	Prbc.g_00488
OG0000194	Prac.g_01845	Prbc.g_00487
OG0000195	Prac.g_01843	Prbc.g_00485
OG0000196	Prac.g_01842	Prbc.g_00484
OG0000197	Prac.g_01841	Prbc.g_00483
OG0000198	Prac.g_01840	Prbc.g_00482
OG0000199	Prac.g_01837	Prbc.g_00479
OG0000200	Prac.g_01836	Prbc.g_00478
OG0000201	Prac.g_01835	Prbc.g_00477
OG0000202	Prac.g_01834	Prbc.g_00476
OG0000203	Prac.g_01833	Prbc.g_00475
OG0000204	Prac.g_01832	Prbc.g_00474
OG0000205	Prac.g_01831	Prbc.g_00472
OG0000206	Prac.g_01830	Prbc.g_00471
OG0000207	Prac.g_01829	Prbc.g_00470
OG0000208	Prac.g_01828	Prbc.g_00469
OG0000209	Prac.g_01827	Prbc.g_00468
OG0000210	Prac.g_01825	Prbc.g_00467
OG0000211	Prac.g_01824	Prbc.g_00466
OG0000212	Prac.g_01823	Prbc.g_00465
OG0000213	Prac.g_01822	Prbc.g_00464
OG0000214	Prac.g_01820	Prbc.g_00460
OG0000215	Prac.g_01819	Prbc.g_00459
OG0000216	Prac.g_01817	Prbc.g_00457
OG0000217	Prac.g_01816	Prbc.g_00455
OG0000218	Prac.g_01815	Prbc.g_00454
OG0000219	Prac.g_01814	Prbc.g_00453
OG0000220	Prac.g_01811	Prbc.g_00451
OG0000221	Prac.g_01809	Prbc.g_00448
OG0000222	Prac.g_01808	Prbc.g_00447
OG0000223	Prac.g_01807	Prbc.g_00446
OG0000224	Prac.g_01804	Prbc.g_00443
OG0000225	Prac.g_01802	Prbc.g_00441
OG0000226	Prac.g_01801	Prbc.g_00439
OG0000227	Prac.g_01800	Prbc.g_00438
OG0000228	Prac.g_01799	Prbc.g_00437
OG0000229	Prac.g_01798	Prbc.g_00436
OG0000230	Prac.g_01797	Prbc.g_00435
OG0000231	Prac.g_01795	Prbc.g_02145
OG0000232	Prac.g_01794	Prbc.g_00434
OG0000233	Prac.g_01791	Prbc.g_00431
OG0000234	Prac.g_01789	Prbc.g_00428
OG0000235	Prac.g_01785	Prbc.g_00426
OG0000236	Prac.g_01784	Prbc.g_00425
OG0000237	Prac.g_01783	Prbc.g_00424
OG0000238	Prac.g_01782	Prbc.g_00423
OG0000239	Prac.g_01781	Prbc.g_00422
OG0000240	Prac.g_01779	Prbc.g_00420
OG0000241	Prac.g_01778	Prbc.g_00419
OG0000242	Prac.g_01777	Prbc.g_00418
OG0000243	Prac.g_01776	Prbc.g_00417
OG0000244	Prac.g_01775	Prbc.g_00416
OG0000245	Prac.g_01774	Prbc.g_00415
OG0000246	Prac.g_01772	Prbc.g_00413
OG0000247	Prac.g_01771	Prbc.g_00412
OG0000248	Prac.g_01770	Prbc.g_00411
OG0000249	Prac.g_01769	Prbc.g_00410
OG0000250	Prac.g_01768	Prbc.g_00409
OG0000251	Prac.g_01767	Prbc.g_00408
OG0000252	Prac.g_01766	Prbc.g_00407
OG0000253	Prac.g_01765	Prbc.g_00406
OG0000254	Prac.g_01763	Prbc.g_00404
OG0000255	Prac.g_01762	Prbc.g_00403
OG0000256	Prac.g_01759	Prbc.g_00400
OG0000257	Prac.g_01757	Prbc.g_00399
OG0000258	Prac.g_01756	Prbc.g_00398
OG0000259	Prac.g_01755	Prbc.g_00397
OG0000260	Prac.g_01754	Prbc.g_00396
OG0000261	Prac.g_01753	Prbc.g_00395
OG0000262	Prac.g_01752	Prbc.g_00394
OG0000263	Prac.g_01751	Prbc.g_00393
OG0000264	Prac.g_01749	Prbc.g_00391
OG0000265	Prac.g_01748	Prbc.g_00390
OG0000266	Prac.g_01747	Prbc.g_00389
OG0000267	Prac.g_01745	Prbc.g_00387
OG0000268	Prac.g_01744	Prbc.g_00385
OG0000269	Prac.g_01743	Prbc.g_00384
OG0000270	Prac.g_01742	Prbc.g_00383
OG0000271	Prac.g_01741	Prbc.g_00382
OG0000272	Prac.g_01740	Prbc.g_00381
OG0000273	Prac.g_01739	Prbc.g_00380
OG0000274	Prac.g_01738	Prbc.g_00379
OG0000275	Prac.g_01737	Prbc.g_00378
OG0000276	Prac.g_01736	Prbc.g_00377
OG0000277	Prac.g_01735	Prbc.g_00376
OG0000278	Prac.g_01734	Prbc.g_00375
OG0000279	Prac.g_01733	Prbc.g_00374
OG0000280	Prac.g_01732	Prbc.g_00373
OG0000281	Prac.g_01730	Prbc.g_00371
OG0000282	Prac.g_01729	Prbc.g_00370
OG0000283	Prac.g_01726	Prbc.g_00368
OG0000284	Prac.g_01725	Prbc.g_00367
OG0000285	Prac.g_01724	Prbc.g_00366
OG0000286	Prac.g_01722	Prbc.g_00364
OG0000287	Prac.g_01721	Prbc.g_00363
OG0000288	Prac.g_01720	Prbc.g_00362
OG0000289	Prac.g_01719	Prbc.g_00361
OG0000290	Prac.g_01718	Prbc.g_00360
OG0000291	Prac.g_01717	Prbc.g_00358
OG0000292	Prac.g_01716	Prbc.g_00357
OG0000293	Prac.g_01715	Prbc.g_00356
OG0000294	Prac.g_01714	Prbc.g_00355
OG0000295	Prac.g_01713	Prbc.g_00354
OG0000296	Prac.g_01712	Prbc.g_00353
OG0000297	Prac.g_01711	Prbc.g_00352
OG0000298	Prac.g_01710	Prbc.g_00351
OG0000299	Prac.g_01709	Prbc.g_00350
OG0000300	Prac.g_01708	Prbc.g_00349
OG0000301	Prac.g_01707	Prbc.g_00348
OG0000302	Prac.g_01706	Prbc.g_00347
OG0000303	Prac.g_01705	Prbc.g_00346
OG0000304	Prac.g_01704	Prbc.g_00345
OG0000305	Prac.g_01703	Prbc.g_00344
OG0000306	Prac.g_01702	Prbc.g_00343
OG0000307	Prac.g_01701	Prbc.g_00342
OG0000308	Prac.g_01700	Prbc.g_00341
OG0000309	Prac.g_01699	Prbc.g_00340
OG0000310	Prac.g_01698	Prbc.g_00339
OG0000311	Prac.g_01697	Prbc.g_00337
OG0000312	Prac.g_01695	Prbc.g_00335
OG0000313	Prac.g_01694	Prbc.g_00334
OG0000314	Prac.g_01691	Prbc.g_00330
OG0000315	Prac.g_01690	Prbc.g_00329
OG0000316	Prac.g_01688	Prbc.g_01140
OG0000317	Prac.g_01686	Prbc.g_01142
OG0000318	Prac.g_01685	Prbc.g_01143
OG0000319	Prac.g_01684	Prbc.g_01144
OG0000320	Prac.g_01683	Prbc.g_01145
OG0000321	Prac.g_01680	Prbc.g_01146
OG0000322	Prac.g_01678	Prbc.g_01149
OG0000323	Prac.g_01677	Prbc.g_01150
OG0000324	Prac.g_01674	Prbc.g_01153
OG0000325	Prac.g_01672	Prbc.g_01154
OG0000326	Prac.g_01671	Prbc.g_01155
OG0000327	Prac.g_01669	Prbc.g_01156
OG0000328	Prac.g_01668	Prbc.g_01157
OG0000329	Prac.g_01667	Prbc.g_01158
OG0000330	Prac.g_01666	Prbc.g_01159
OG0000331	Prac.g_01665	Prbc.g_01160
OG0000332	Prac.g_01664	Prbc.g_01161
OG0000333	Prac.g_01663	Prbc.g_01162
OG0000334	Prac.g_01662	Prbc.g_01163
OG0000335	Prac.g_01661	Prbc.g_01164
OG0000336	Prac.g_01660	Prbc.g_01166
OG0000337	Prac.g_01656	Prbc.g_01168
OG0000338	Prac.g_01655	Prbc.g_01169
OG0000339	Prac.g_01654	Prbc.g_01170
OG0000340	Prac.g_01653	Prbc.g_01171
OG0000341	Prac.g_01649	Prbc.g_01175
OG0000342	Prac.g_01648	Prbc.g_01176
OG0000343	Prac.g_01646	Prbc.g_01178
OG0000344	Prac.g_01645	Prbc.g_01179
OG0000345	Prac.g_01644	Prbc.g_01180
OG0000346	Prac.g_01643	Prbc.g_01181
OG0000347	Prac.g_01642	Prbc.g_01182
OG0000348	Prac.g_01641	Prbc.g_01183
OG0000349	Prac.g_01640	Prbc.g_01184
OG0000350	Prac.g_01639	Prbc.g_01185
OG0000351	Prac.g_01636	Prbc.g_01187
OG0000352	Prac.g_01633	Prbc.g_01190
OG0000353	Prac.g_01632	Prbc.g_01191
OG0000354	Prac.g_01631	Prbc.g_01192
OG0000355	Prac.g_01630	Prbc.g_01193
OG0000356	Prac.g_01629	Prbc.g_01194
OG0000357	Prac.g_01628	Prbc.g_01195
OG0000358	Prac.g_01627	Prbc.g_01196
OG0000359	Prac.g_01626	Prbc.g_01197
OG0000360	Prac.g_01623	Prbc.g_01200
OG0000361	Prac.g_01622	Prbc.g_01201
OG0000362	Prac.g_01621	Prbc.g_01202
OG0000363	Prac.g_01620	Prbc.g_01203
OG0000364	Prac.g_01619	Prbc.g_01204
OG0000365	Prac.g_01618	Prbc.g_01205
OG0000366	Prac.g_01617	Prbc.g_01206
OG0000367	Prac.g_01616	Prbc.g_01207
OG0000368	Prac.g_01615	Prbc.g_01208
OG0000369	Prac.g_01614	Prbc.g_01209
OG0000370	Prac.g_01613	Prbc.g_01210
OG0000371	Prac.g_01612	Prbc.g_01211
OG0000372	Prac.g_01610	Prbc.g_01213
OG0000373	Prac.g_01608	Prbc.g_01215
OG0000374	Prac.g_01607	Prbc.g_01216
OG0000375	Prac.g_01606	Prbc.g_01217
OG0000376	Prac.g_01604	Prbc.g_01219
OG0000377	Prac.g_01603	Prbc.g_01225
OG0000378	Prac.g_01602	Prbc.g_01813
OG0000379	Prac.g_01200	Prbc.g_01246
OG0000380	Prac.g_01199	Prbc.g_01248
OG0000381	Prac.g_01198	Prbc.g_01249
OG0000382	Prac.g_01196	Prbc.g_01250
OG0000383	Prac.g_01193	Prbc.g_01253
OG0000384	Prac.g_01192	Prbc.g_01254
OG0000385	Prac.g_01189	Prbc.g_01256
OG0000386	Prac.g_01188	Prbc.g_01257
OG0000387	Prac.g_01187	Prbc.g_01258
OG0000388	Prac.g_01186	Prbc.g_01259
OG0000389	Prac.g_01185	Prbc.g_01260
