Orthogroup	Prac	Prba
OG0000000	Prac.g_00210	Prba.g_00203
OG0000000	Prac.g_00693	Prba.g_01639
OG0000001	Prac.g_00926	Prba.g_00003
OG0000001	Prac.g_00926	Prba.g_00270
OG0000002	Prac.g_00202	Prba.g_00211
OG0000002	Prac.g_00924	Prba.g_01081
OG0000003	Prac.g_00157	Prba.g_01172
OG0000004	Prac.g_01536	Prba.g_01570
OG0000004	Prac.g_01529	Prba.g_01563
OG0000005	Prac.g_00277	Prba.g_00243
OG0000005	Prac.g_00292	Prba.g_00269
OG0000006	Prac.g_00874	Prba.g_00964
OG0000006	Prac.g_00625	Prba.g_00226
OG0000007	Prac.g_00904	Prba.g_01131
OG0000007	Prac.g_00699	Prba.g_01645
OG0000008	Prac.g_01149	Prba.g_00878
OG0000008	Prac.g_00893	Prba.g_01104
OG0000008	Prac.g_01954	Prba.g_00901
OG0000008	Prac.g_00880	Prba.g_01115
OG0000009	Prac.g_01496	Prba.g_01519
OG0000009	Prac.g_01681	Prba.g_00468
OG0000010	Prac.g_01035	Prba.g_00734
OG0000010	Prac.g_00139	Prba.g_01157
OG0000011	Prac.g_01127	Prba.g_00913
OG0000011	Prac.g_01601	Prba.g_00546
OG0000012	Prac.g_00773	Prba.g_01719
OG0000013	Prac.g_00898	Prba.g_01538
OG0000014	Prac.g_01074	Prba.g_00991, Prba.g_01175
OG0000015	Prac.g_01151	Prba.g_00876
OG0000016	Prac.g_00213	Prba.g_00200
OG0000017	Prac.g_00391	Prba.g_00693
OG0000018	Prac.g_01689	Prba.g_00460
OG0000019	Prac.g_01169	Prba.g_00858, Prba.g_00245
OG0000020	Prac.g_01159	Prba.g_00868
OG0000021	Prac.g_01494	Prba.g_01517
OG0000022	Prac.g_00159	Prba.g_01174
OG0000023	Prac.g_00301	Prba.g_00276, Prba.g_01142
OG0000024	Prac.g_01625	Prba.g_00522
OG0000025	Prac.g_01220	Prba.g_01229, Prba.g_00899
OG0000026	Prac.g_01914, Prac.g_01913	Prba.g_01826
OG0000027	Prac.g_01533	Prba.g_01567
OG0000027	Prac.g_00325	Prba.g_00301
OG0000028	Prac.g_00411	Prba.g_00713
OG0000029	Prac.g_00300	Prba.g_00275
OG0000030	Prac.g_01905	Prba.g_01832
OG0000032	Prac.g_00249	Prba.g_00173
OG0000033	Prac.g_01934	Prba.g_01806
OG0000035	Prac.g_01399	Prba.g_01409
OG0000035	Prac.g_01217	Prba.g_01226
OG0000036	Prac.g_00788	Prba.g_01731
OG0000037	Prac.g_00748	Prba.g_01694
OG0000038	Prac.g_01510	Prba.g_01543
OG0000039	Prac.g_01764	Prba.g_00622
OG0000040	Prac.g_01174	Prba.g_00854
OG0000041	Prac.g_01119	Prba.g_01041
OG0000042	Prac.g_01560	Prba.g_01594
OG0000043	Prac.g_01491	Prba.g_01514
OG0000044	Prac.g_00985	Prba.g_00064
OG0000045	Prac.g_00258, Prac.g_00434	Prba.g_00153
OG0000046	Prac.g_00632	Prba.g_00233
OG0000047	Prac.g_00041	Prba.g_00768
OG0000048	Prac.g_00048	Prba.g_00775
OG0000050	Prac.g_01916	Prba.g_01824
OG0000051	Prac.g_01773	Prba.g_01945
OG0000052	Prac.g_01163	Prba.g_00864
OG0000053	Prac.g_00833	Prba.g_00922
OG0000054	Prac.g_01515	Prba.g_01548
OG0000055	Prac.g_01453	Prba.g_01477
OG0000056	Prac.g_01029	Prba.g_00727
OG0000057	Prac.g_01693	Prba.g_00456
OG0000058	Prac.g_01069	Prba.g_00986
OG0000059	Prac.g_00673	Prba.g_01619
OG0000060	Prac.g_01531	Prba.g_01565
OG0000061	Prac.g_01020	Prba.g_00099
