Orthogroup	Prac	Praf
OG0000000	Prac.g_00210	Praf.g_01631
OG0000000	Prac.g_00693	Praf.g_00948
OG0000001	Prac.g_00293	Praf.g_00815, Praf.g_01039, Praf.g_01042, Praf.g_00813
OG0000002	Prac.g_00202	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293
OG0000003	Prac.g_00157	Praf.g_00814
OG0000004	Prac.g_01536, Prac.g_01529	Praf.g_01014, Praf.g_02005
OG0000006	Prac.g_00874	Praf.g_00614
OG0000006	Prac.g_00625	Praf.g_00480
OG0000007	Prac.g_00904	Praf.g_01223
OG0000007	Prac.g_00699	Praf.g_01224
OG0000009	Prac.g_01496, Prac.g_01681	Praf.g_02214
OG0000011	Prac.g_01127	Praf.g_01898
OG0000011	Prac.g_01601	Praf.g_01864
OG0000012	Prac.g_00773	Praf.g_00760, Praf.g_00752
OG0000013	Prac.g_00898	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prac.g_00213	Praf.g_01108, Praf.g_01143
OG0000017	Prac.g_01901	Praf.g_01828
OG0000018	Prac.g_01689	Praf.g_00396, Praf.g_01719
OG0000019	Prac.g_01169	Praf.g_00746
OG0000020	Prac.g_01159	Praf.g_02267
OG0000024	Prac.g_01625	Praf.g_02319, Praf.g_00112
OG0000025	Prac.g_01220	Praf.g_01105
OG0000026	Prac.g_01914, Prac.g_01913, Prac.g_00908	Praf.g_00041
OG0000028	Prac.g_00411	Praf.g_01794
OG0000030	Prac.g_01905	Praf.g_01757
OG0000032	Prac.g_00249	Praf.g_02400, Praf.g_00113, Praf.g_00101
OG0000033	Prac.g_01934	Praf.g_00014, Praf.g_00906
OG0000036	Prac.g_00788	Praf.g_00731
OG0000037	Prac.g_00748	Praf.g_01668
OG0000038	Prac.g_01510	Praf.g_00965, Praf.g_00201
OG0000039	Prac.g_01764	Praf.g_01239, Praf.g_02454
OG0000042	Prac.g_01560	Praf.g_01238, Praf.g_01302
OG0000043	Prac.g_01491	Praf.g_00943, Praf.g_00941
OG0000044	Prac.g_00985	Praf.g_00854
OG0000045	Prac.g_00258, Prac.g_00434	Praf.g_02345
OG0000046	Prac.g_00632	Praf.g_00491
OG0000047	Prac.g_00041, Prac.g_01904	Praf.g_00178
OG0000048	Prac.g_00048	Praf.g_00920, Praf.g_00164
OG0000050	Prac.g_01916	Praf.g_00037
OG0000051	Prac.g_01773, Prac.g_01590	Praf.g_02445
OG0000052	Prac.g_01163	Praf.g_00496
OG0000053	Prac.g_00833	Praf.g_00672
OG0000054	Prac.g_01515	Praf.g_00348
OG0000055	Prac.g_01453	Praf.g_01556
OG0000056	Prac.g_01029	Praf.g_02587
OG0000057	Prac.g_01693	Praf.g_00386
OG0000058	Prac.g_01069	Praf.g_01907
OG0000059	Prac.g_00673	Praf.g_01125
OG0000062	Prac.g_01018	Praf.g_01034, Praf.g_02690
OG0000063	Prac.g_01955	Praf.g_00919
OG0000065	Prac.g_00175	Praf.g_00796
OG0000066	Prac.g_00248	Praf.g_02343
OG0000068	Prac.g_00548	Praf.g_02119
OG0000069	Prac.g_00242	Praf.g_02346, Praf.g_01851
OG0000071	Prac.g_01936	Praf.g_00012
OG0000072	Prac.g_01609	Praf.g_02336
OG0000073	Prac.g_00702	Praf.g_01012, Praf.g_01748
OG0000074	Prac.g_00680	Praf.g_01218, Praf.g_01219
OG0000075	Prac.g_01468	Praf.g_01537
OG0000076	Prac.g_01256	Praf.g_01274
OG0000078	Prac.g_00256	Praf.g_02342
OG0000079	Prac.g_00333	Praf.g_00501
OG0000080	Prac.g_00886	Praf.g_00549
OG0000081	Prac.g_00015	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000082	Prac.g_00101	Praf.g_02699
OG0000083	Prac.g_01944	Praf.g_00003
OG0000084	Prac.g_01941	Praf.g_00006
OG0000085	Prac.g_01924	Praf.g_00028
OG0000087	Prac.g_01882	Praf.g_00333, Praf.g_02602
OG0000088	Prac.g_01818	Praf.g_00224
OG0000089	Prac.g_01810	Praf.g_00212
OG0000090	Prac.g_01792	Praf.g_02420
OG0000091	Prac.g_01761	Praf.g_02457
OG0000092	Prac.g_01760	Praf.g_02468
OG0000093	Prac.g_01746	Praf.g_02711, Praf.g_02492
OG0000094	Prac.g_01728	Praf.g_02708, Praf.g_02521
OG0000095	Prac.g_01723	Praf.g_02532
OG0000096	Prac.g_01679	Praf.g_02217
OG0000097	Prac.g_01657	Praf.g_02271
OG0000098	Prac.g_01647	Praf.g_02284
OG0000099	Prac.g_01637	Praf.g_02296
OG0000100	Prac.g_01634	Praf.g_02300
OG0000101	Prac.g_01177	Praf.g_02012
OG0000102	Prac.g_01150	Praf.g_02715, Praf.g_02705
OG0000103	Prac.g_01068	Praf.g_01905
OG0000104	Prac.g_01064	Praf.g_00595
OG0000105	Prac.g_00872	Praf.g_00143, Praf.g_00616
OG0000106	Prac.g_00840	Praf.g_00658
OG0000107	Prac.g_00839	Praf.g_00660
OG0000108	Prac.g_00829	Praf.g_00681
OG0000109	Prac.g_00820	Praf.g_00692
OG0000110	Prac.g_00804	Praf.g_00711
OG0000111	Prac.g_00720	Praf.g_01036, Praf.g_01720
OG0000112	Prac.g_00719	Praf.g_01035, Praf.g_01721
OG0000113	Prac.g_01538	Praf.g_00144, Praf.g_01435
