Orthogroup	Prac	Prbi
OG0000000	Prac.g_00210	Prbi.g_01432
OG0000000	Prac.g_00693	Prbi.g_00681
OG0000001	Prac.g_00926	Prbi.g_01268
OG0000001	Prac.g_00926	Prbi.g_01708
OG0000001	Prac.g_00293	Prbi.g_01370
OG0000002	Prac.g_00202	Prbi.g_01424
OG0000002	Prac.g_00924	Prbi.g_01270
OG0000003	Prac.g_00157	Prbi.g_01371
OG0000004	Prac.g_01536	Prbi.g_00775
OG0000004	Prac.g_01529	Prbi.g_00782
OG0000005	Prac.g_00292	Prbi.g_01709
OG0000006	Prac.g_00874	Prbi.g_00500
OG0000006	Prac.g_00625	Prbi.g_01787
OG0000007	Prac.g_00904	Prbi.g_01764, Prbi.g_01536
OG0000007	Prac.g_00699	Prbi.g_00675
OG0000008	Prac.g_01149	Prbi.g_00408
OG0000008	Prac.g_01954	Prbi.g_01331
OG0000009	Prac.g_01496	Prbi.g_00827
OG0000009	Prac.g_01681	Prbi.g_00273
OG0000010	Prac.g_01035	Prbi.g_01156
OG0000010	Prac.g_00139	Prbi.g_01352
OG0000011	Prac.g_01601	Prbi.g_00354
OG0000012	Prac.g_00773	Prbi.g_00600
OG0000013	Prac.g_00898	Prbi.g_01304, Prbi.g_00810
OG0000014	Prac.g_01074	Prbi.g_00472, Prbi.g_01374
OG0000015	Prac.g_01151	Prbi.g_00406
OG0000016	Prac.g_00213	Prbi.g_01435
OG0000017	Prac.g_00391	Prbi.g_01611
OG0000018	Prac.g_01689	Prbi.g_00265
OG0000019	Prac.g_01169	Prbi.g_00389, Prbi.g_01742
OG0000020	Prac.g_01159	Prbi.g_00398
OG0000021	Prac.g_01494	Prbi.g_00829
OG0000022	Prac.g_00159	Prbi.g_01373
OG0000023	Prac.g_00301	Prbi.g_01701, Prbi.g_01338
OG0000024	Prac.g_01625	Prbi.g_00330
OG0000025	Prac.g_01220	Prbi.g_01122
OG0000026	Prac.g_01913	Prbi.g_00033
OG0000027	Prac.g_01533	Prbi.g_00778
OG0000027	Prac.g_00325	Prbi.g_01677
OG0000028	Prac.g_00411	Prbi.g_01589, Prbi.g_01591
OG0000029	Prac.g_00300	Prbi.g_01702
OG0000030	Prac.g_01905	Prbi.g_00047, Prbi.g_01743
OG0000032	Prac.g_00249	Prbi.g_01467
OG0000033	Prac.g_01934	Prbi.g_00013
OG0000035	Prac.g_01399	Prbi.g_00936
OG0000036	Prac.g_00788	Prbi.g_00587
OG0000037	Prac.g_00748	Prbi.g_00625
OG0000038	Prac.g_01510	Prbi.g_00805
OG0000039	Prac.g_01764	Prbi.g_00190
OG0000040	Prac.g_01174	Prbi.g_00384
OG0000042	Prac.g_01560	Prbi.g_00745
OG0000043	Prac.g_01491	Prbi.g_00832
OG0000044	Prac.g_00985	Prbi.g_01207
OG0000045	Prac.g_00258	Prbi.g_01461
OG0000046	Prac.g_00632	Prbi.g_01780
OG0000047	Prac.g_00041	Prbi.g_01994
OG0000048	Prac.g_00048	Prbi.g_02001
OG0000050	Prac.g_01916	Prbi.g_00031
OG0000051	Prac.g_01773	Prbi.g_00181
OG0000052	Prac.g_01163	Prbi.g_00394
OG0000053	Prac.g_00833	Prbi.g_00542
OG0000054	Prac.g_01515	Prbi.g_00799
OG0000055	Prac.g_01453	Prbi.g_00869
OG0000056	Prac.g_01029	Prbi.g_01163
OG0000057	Prac.g_01693	Prbi.g_00261, Prbi.g_01748
OG0000058	Prac.g_01069	Prbi.g_00478
OG0000059	Prac.g_00673	Prbi.g_00702
OG0000060	Prac.g_01531	Prbi.g_00780
OG0000061	Prac.g_01020	Prbi.g_01172, Prbi.g_01029
OG0000062	Prac.g_01018	Prbi.g_01174
OG0000063	Prac.g_01955	Prbi.g_01330
OG0000064	Prac.g_00133	Prbi.g_01341, Prbi.g_01740, Prbi.g_01749
OG0000065	Prac.g_00175	Prbi.g_01391
OG0000066	Prac.g_00248	Prbi.g_01460
OG0000068	Prac.g_00548	Prbi.g_01938
OG0000069	Prac.g_00242	Prbi.g_01497
OG0000071	Prac.g_01936	Prbi.g_00011
OG0000072	Prac.g_01609	Prbi.g_00346
OG0000073	Prac.g_00702	Prbi.g_00672
OG0000074	Prac.g_00680	Prbi.g_00694
OG0000075	Prac.g_01468	Prbi.g_00854
OG0000076	Prac.g_01256	Prbi.g_01086
OG0000078	Prac.g_00256	Prbi.g_01462
OG0000079	Prac.g_00333	Prbi.g_01482, Prbi.g_01668
OG0000080	Prac.g_00886	Prbi.g_01725
OG0000081	Prac.g_00015	Prbi.g_01968
OG0000082	Prac.g_00101	Prbi.g_02069
OG0000083	Prac.g_01944	Prbi.g_00003
OG0000084	Prac.g_01941	Prbi.g_00006
OG0000085	Prac.g_01924	Prbi.g_00023
OG0000086	Prac.g_01893	Prbi.g_00048
OG0000087	Prac.g_01882	Prbi.g_00060
OG0000088	Prac.g_01818	Prbi.g_00120
OG0000089	Prac.g_01810	Prbi.g_00129
OG0000090	Prac.g_01792	Prbi.g_00147
OG0000091	Prac.g_01761	Prbi.g_00193
OG0000092	Prac.g_01760	Prbi.g_00194
OG0000093	Prac.g_01746	Prbi.g_00208
OG0000094	Prac.g_01728	Prbi.g_00226
OG0000095	Prac.g_01723	Prbi.g_00231
OG0000096	Prac.g_01679	Prbi.g_00275
OG0000097	Prac.g_01657	Prbi.g_00298
OG0000098	Prac.g_01647	Prbi.g_00308
OG0000099	Prac.g_01637	Prbi.g_00318
OG0000100	Prac.g_01634	Prbi.g_00321
OG0000101	Prac.g_01177	Prbi.g_00381
OG0000102	Prac.g_01150	Prbi.g_00407
OG0000103	Prac.g_01068	Prbi.g_00479
OG0000104	Prac.g_01064	Prbi.g_00483
OG0000105	Prac.g_00872	Prbi.g_00502
OG0000106	Prac.g_00840	Prbi.g_00535
OG0000107	Prac.g_00839	Prbi.g_00536
OG0000108	Prac.g_00829	Prbi.g_00546
OG0000109	Prac.g_00820	Prbi.g_00555
OG0000110	Prac.g_00804	Prbi.g_00571
OG0000111	Prac.g_00720	Prbi.g_00654
OG0000112	Prac.g_00719	Prbi.g_00655
OG0000113	Prac.g_01538	Prbi.g_00767
OG0000114	Prac.g_01477	Prbi.g_00845
OG0000115	Prac.g_01327	Prbi.g_01009
OG0000116	Prac.g_01323	Prbi.g_01013
OG0000117	Prac.g_01259	Prbi.g_01083
OG0000118	Prac.g_01207	Prbi.g_01136
OG0000119	Prac.g_01959	Prbi.g_01177
OG0000120	Prac.g_00979	Prbi.g_01213
OG0000121	Prac.g_00960	Prbi.g_01232
OG0000122	Prac.g_00941	Prbi.g_01251
OG0000123	Prac.g_00928	Prbi.g_01264
OG0000124	Prac.g_00448	Prbi.g_01277
OG0000125	Prac.g_00187	Prbi.g_01403
OG0000126	Prac.g_00217	Prbi.g_01439
OG0000127	Prac.g_00424	Prbi.g_01576
OG0000128	Prac.g_00410	Prbi.g_01592
OG0000129	Prac.g_00374	Prbi.g_01627
OG0000130	Prac.g_00627	Prbi.g_01785
