Orthogroup	Prar	Pran
OG0000000	Prar.g_00971	Pran.g_00582
OG0000000	Prar.g_00729	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prar.g_01204	Pran.g_00001
OG0000000	Prar.g_01204	Pran.g_00602
OG0000000	Prar.g_00727	Pran.g_00894
OG0000002	Prar.g_01508	Pran.g_01500
OG0000004	Prar.g_01525	Pran.g_01483
OG0000004	Prar.g_00095	Pran.g_00200
OG0000005	Prar.g_01130	Pran.g_00983
OG0000005	Prar.g_00771	Pran.g_00657
OG0000006	Prar.g_00086	Pran.g_01951
OG0000007	Prar.g_01328	Pran.g_01681
OG0000007	Prar.g_01143	Pran.g_00970
OG0000008	Prar.g_01502	Pran.g_01506
OG0000009	Prar.g_00737	Pran.g_00615
OG0000009	Prar.g_00223	Pran.g_00328
OG0000010	Prar.g_01567, Prar.g_01912	Pran.g_00175
OG0000010	Prar.g_00524	Pran.g_01704
OG0000011	Prar.g_00988	Pran.g_01384
OG0000012	Prar.g_01453	Pran.g_01555
OG0000013	Prar.g_00260	Pran.g_01867
OG0000014	Prar.g_00281	Pran.g_01888
OG0000015	Prar.g_01179	Pran.g_01394
OG0000017	Prar.g_01428	Pran.g_01580
OG0000018	Prar.g_01282	Pran.g_00078
OG0000018	Prar.g_01711	Pran.g_01316
OG0000019	Prar.g_00078	Pran.g_01943
OG0000019	Prar.g_01663	Pran.g_01363
OG0000020	Prar.g_01315	Pran.g_00117
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Pran.g_01804
OG0000021	Prar.g_00425	Pran.g_01829
OG0000022	Prar.g_01649	Pran.g_01401
OG0000022	Prar.g_01300	Pran.g_00097
OG0000023	Prar.g_00420	Pran.g_01834
OG0000024	Prar.g_01634	Pran.g_01420
OG0000024	Prar.g_01505	Pran.g_01503
OG0000025	Prar.g_01718	Pran.g_01309
OG0000025	Prar.g_00256	Pran.g_01863
OG0000026	Prar.g_00007	Pran.g_00393
OG0000026	Prar.g_01919	Pran.g_00168
OG0000027	Prar.g_00520	Pran.g_00583
OG0000028	Prar.g_00267	Pran.g_01874
OG0000030	Prar.g_00662	Pran.g_01170
OG0000031	Prar.g_00879	Pran.g_00753
OG0000033	Prar.g_00158	Pran.g_00263
OG0000034	Prar.g_00945	Pran.g_00866
OG0000035	Prar.g_00339	Pran.g_00733
OG0000037	Prar.g_00219	Pran.g_00324
OG0000038	Prar.g_00702	Pran.g_01210
OG0000039	Prar.g_01516	Pran.g_01492
OG0000040	Prar.g_00715	Pran.g_00923
OG0000040	Prar.g_01283	Pran.g_00079
OG0000041	Prar.g_00602	Pran.g_01016
OG0000042	Prar.g_00660	Pran.g_01167
OG0000043	Prar.g_01755	Pran.g_00179
OG0000044	Prar.g_01172	Pran.g_00949
OG0000045	Prar.g_00432	Pran.g_01823
