Orthogroup	Prar	Syak
OG0000001	Prar.g_00926, Prar.g_01202, Prar.g_01203	Syak.g_00342
OG0000004	Prar.g_01525	Syak.g_01219, Syak.g_00720
OG0000004	Prar.g_00095	Syak.g_00003, Syak.g_02297
OG0000005	Prar.g_01130	Syak.g_02401
OG0000005	Prar.g_00771	Syak.g_00885, Syak.g_02436
OG0000006	Prar.g_00086	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prar.g_01328	Syak.g_02595
OG0000007	Prar.g_01143	Syak.g_02416
OG0000008	Prar.g_01185	Syak.g_00267
OG0000009	Prar.g_00223	Syak.g_02194
OG0000010	Prar.g_01567, Prar.g_01912, Prar.g_00524	Syak.g_01119
OG0000012	Prar.g_01453	Syak.g_00010
OG0000013	Prar.g_00260	Syak.g_01275, Syak.g_01270
OG0000014	Prar.g_00281	Syak.g_01505
OG0000015	Prar.g_01179	Syak.g_00358
OG0000016	Prar.g_00025	Syak.g_01780
OG0000017	Prar.g_01428	Syak.g_02730
OG0000018	Prar.g_01282, Prar.g_01711	Syak.g_01072
OG0000019	Prar.g_00078, Prar.g_01663	Syak.g_01413
OG0000021	Prar.g_00425	Syak.g_00566
OG0000022	Prar.g_01649, Prar.g_01300	Syak.g_00088
OG0000023	Prar.g_00420	Syak.g_00316, Syak.g_00223
OG0000025	Prar.g_01718, Prar.g_00256	Syak.g_00610
OG0000026	Prar.g_00007, Prar.g_01919	Syak.g_01757
OG0000027	Prar.g_00520	Syak.g_00127
OG0000028	Prar.g_00267, Prar.g_00985	Syak.g_01522
OG0000029	Prar.g_00436	Syak.g_00169, Syak.g_00178
OG0000030	Prar.g_00662	Syak.g_01684, Syak.g_01685
OG0000031	Prar.g_00879	Syak.g_01630
OG0000032	Prar.g_00886	Syak.g_01707
OG0000033	Prar.g_00158	Syak.g_02101
OG0000034	Prar.g_00945	Syak.g_00950, Syak.g_02133
OG0000035	Prar.g_00339	Syak.g_01041
OG0000037	Prar.g_00219	Syak.g_02188
OG0000038	Prar.g_00702	Syak.g_01938, Syak.g_01936
OG0000039	Prar.g_01516	Syak.g_00772, Syak.g_01918
OG0000041	Prar.g_00602	Syak.g_02354
OG0000042	Prar.g_00660	Syak.g_00843, Syak.g_01681
OG0000043	Prar.g_01755	Syak.g_00335
OG0000044	Prar.g_01172	Syak.g_00153
OG0000045	Prar.g_01583	Syak.g_00317
OG0000045	Prar.g_00432	Syak.g_00228
OG0000047	Prar.g_00468, Prar.g_00257	Syak.g_01147
OG0000048	Prar.g_00435	Syak.g_01446
OG0000053	Prar.g_00589, Prar.g_00827	Syak.g_01068
OG0000054	Prar.g_01436	Syak.g_02744
OG0000055	Prar.g_01664	Syak.g_00766
OG0000057	Prar.g_01528	Syak.g_00724
OG0000058	Prar.g_00870, Prar.g_00362	Syak.g_01530
OG0000059	Prar.g_01090	Syak.g_01355
OG0000061	Prar.g_01263	Syak.g_00898
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syak.g_01752
OG0000065	Prar.g_00221	Syak.g_02192, Syak.g_00282
OG0000066	Prar.g_01369	Syak.g_02653
OG0000067	Prar.g_01684	Syak.g_00434
OG0000068	Prar.g_00911	Syak.g_02565
OG0000070	Prar.g_00498	Syak.g_01174
OG0000071	Prar.g_00955	Syak.g_00936
OG0000072	Prar.g_00156	Syak.g_02099
OG0000073	Prar.g_01330	Syak.g_02597
OG0000075	Prar.g_00629	Syak.g_01564
OG0000076	Prar.g_00592, Prar.g_00653	Syak.g_01650
OG0000077	Prar.g_00250	Syak.g_02243
OG0000078	Prar.g_00088	Syak.g_02310
OG0000081	Prar.g_01361	Syak.g_00115
OG0000082	Prar.g_01414	Syak.g_02711
OG0000084	Prar.g_00343	Syak.g_01036
OG0000085	Prar.g_01150	Syak.g_02427
OG0000086	Prar.g_00240	Syak.g_02219
OG0000087	Prar.g_00189	Syak.g_02141
OG0000088	Prar.g_00161	Syak.g_02106
OG0000089	Prar.g_00416	Syak.g_01215
OG0000090	Prar.g_01363	Syak.g_02640
OG0000091	Prar.g_01472	Syak.g_00043
OG0000092	Prar.g_01781, Prar.g_00615	Syak.g_01126
OG0000094	Prar.g_01885	Syak.g_00656
OG0000097	Prar.g_01222	Syak.g_00816
