Orthogroup	Prar	Prac
OG0000000	Prar.g_00971	Prac.g_00159
OG0000000	Prar.g_00713	Prac.g_00277
OG0000000	Prar.g_00729	Prac.g_00292
OG0000000	Prar.g_00730	Prac.g_00293
OG0000000	Prar.g_01204	Prac.g_00926
OG0000000	Prar.g_00973	Prac.g_00157
OG0000000	Prar.g_00727	Prac.g_00290
OG0000001	Prar.g_00926	Prac.g_00202
OG0000001	Prar.g_01202	Prac.g_00924
OG0000001	Prar.g_01203	Prac.g_00925
OG0000002	Prar.g_00918	Prac.g_00210
OG0000002	Prar.g_01508	Prac.g_00693
OG0000004	Prar.g_01525	Prac.g_00676
OG0000004	Prar.g_00095	Prac.g_01698
OG0000005	Prar.g_01130	Prac.g_00612
OG0000005	Prar.g_00771	Prac.g_00335
OG0000006	Prar.g_00086	Prac.g_01689
OG0000007	Prar.g_01328	Prac.g_00874
OG0000007	Prar.g_01143	Prac.g_00625
OG0000008	Prar.g_01185	Prac.g_00904
OG0000008	Prar.g_01502	Prac.g_00699
OG0000009	Prar.g_00737	Prac.g_00301
OG0000009	Prar.g_00223	Prac.g_01826
OG0000010	Prar.g_01567	Prac.g_01592
OG0000010	Prar.g_01912	Prac.g_01248
OG0000010	Prar.g_00524	Prac.g_01070
OG0000011	Prar.g_00978	Prac.g_00152
OG0000011	Prar.g_00988	Prac.g_00142
OG0000012	Prar.g_01453	Prac.g_00748
OG0000013	Prar.g_00260	Prac.g_01604
OG0000014	Prar.g_00281	Prac.g_01625
OG0000015	Prar.g_01179	Prac.g_00898
OG0000016	Prar.g_00025	Prac.g_01934
OG0000017	Prar.g_01428	Prac.g_00773
OG0000018	Prar.g_01282	Prac.g_01004
OG0000018	Prar.g_01711	Prac.g_01448
OG0000019	Prar.g_00078	Prac.g_01681
OG0000019	Prar.g_01663	Prac.g_01496
OG0000020	Prar.g_01315	Prac.g_01037
OG0000020	Prar.g_01187	Prac.g_00906
OG0000020	Prar.g_01007	Prac.g_00875
OG0000020	Prar.g_01155	Prac.g_00875
OG0000020	Prar.g_01561	Prac.g_01598
OG0000021	Prar.g_00425	Prac.g_01169
OG0000022	Prar.g_01649	Prac.g_01510
OG0000022	Prar.g_01300	Prac.g_01022
OG0000023	Prar.g_00420	Prac.g_01174
OG0000024	Prar.g_01634	Prac.g_01525
OG0000024	Prar.g_01505	Prac.g_00696
OG0000025	Prar.g_01718	Prac.g_01441
OG0000025	Prar.g_00256	Prac.g_01600
OG0000026	Prar.g_00007	Prac.g_01916
OG0000026	Prar.g_01919	Prac.g_01241
OG0000027	Prar.g_00520	Prac.g_01074
OG0000028	Prar.g_00267	Prac.g_01611
OG0000028	Prar.g_00985	Prac.g_00145
OG0000029	Prar.g_00436	Prac.g_01158
OG0000030	Prar.g_00662	Prac.g_00050
OG0000031	Prar.g_00879	Prac.g_00249
OG0000032	Prar.g_00886	Prac.g_00242
OG0000033	Prar.g_00158	Prac.g_01761
OG0000034	Prar.g_00945	Prac.g_00185
OG0000035	Prar.g_00339	Prac.g_00411
OG0000037	Prar.g_00219	Prac.g_01822
OG0000038	Prar.g_00702	Prac.g_00090
OG0000039	Prar.g_01516	Prac.g_00685
OG0000040	Prar.g_00715	Prac.g_00279
OG0000040	Prar.g_01283	Prac.g_01005
OG0000041	Prar.g_00602	Prac.g_00579
OG0000042	Prar.g_00660	Prac.g_00048
OG0000043	Prar.g_01755	Prac.g_01405
OG0000044	Prar.g_01172	Prac.g_00892
OG0000045	Prar.g_01583	Prac.g_01576
OG0000045	Prar.g_00432	Prac.g_01162
OG0000047	Prar.g_00468	Prac.g_01127
OG0000047	Prar.g_00257	Prac.g_01601
OG0000048	Prar.g_00435	Prac.g_01159
OG0000049	Prar.g_00445	Prac.g_01149
OG0000049	Prar.g_01173	Prac.g_00893
OG0000049	Prar.g_01002	Prac.g_01954
OG0000049	Prar.g_01160	Prac.g_00880
OG0000050	Prar.g_01940	Prac.g_01220
OG0000053	Prar.g_00589	Prac.g_01901
OG0000053	Prar.g_00827	Prac.g_00391
OG0000054	Prar.g_01436	Prac.g_00765
OG0000055	Prar.g_01664	Prac.g_01495
OG0000057	Prar.g_01528	Prac.g_00673
OG0000058	Prar.g_00870	Prac.g_00258
OG0000058	Prar.g_00362	Prac.g_00434
OG0000059	Prar.g_01090	Prac.g_00500
OG0000061	Prar.g_01263	Prac.g_00985
OG0000062	Prar.g_00769	Prac.g_00333
OG0000063	Prar.g_00004	Prac.g_01913
OG0000063	Prar.g_00005	Prac.g_01914
OG0000063	Prar.g_01189	Prac.g_00908
OG0000065	Prar.g_00221	Prac.g_01824
OG0000066	Prar.g_01369	Prac.g_00833
OG0000067	Prar.g_01684	Prac.g_01475
OG0000068	Prar.g_00911	Prac.g_00217
OG0000069	Prar.g_01170	Prac.g_00890
OG0000069	Prar.g_00736	Prac.g_00300
OG0000070	Prar.g_00498	Prac.g_01097
OG0000071	Prar.g_00955	Prac.g_00175
OG0000072	Prar.g_00156	Prac.g_01759
OG0000073	Prar.g_01330	Prac.g_00872
OG0000074	Prar.g_01512	Prac.g_00689
OG0000075	Prar.g_00629	Prac.g_00017
OG0000076	Prar.g_00592	Prac.g_01904
OG0000076	Prar.g_00653	Prac.g_00041
OG0000077	Prar.g_00250	Prac.g_01853
OG0000078	Prar.g_00088	Prac.g_01691
OG0000081	Prar.g_01361	Prac.g_00841
OG0000082	Prar.g_01414	Prac.g_00788
OG0000083	Prar.g_01630	Prac.g_01529
OG0000083	Prar.g_01623	Prac.g_01536
OG0000084	Prar.g_00343	Prac.g_00415
OG0000085	Prar.g_01150	Prac.g_00632
OG0000086	Prar.g_00240	Prac.g_01843
OG0000087	Prar.g_00189	Prac.g_01792
OG0000088	Prar.g_00161	Prac.g_01764
OG0000089	Prar.g_00416	Prac.g_01178
OG0000090	Prar.g_01363	Prac.g_00839
OG0000091	Prar.g_01472	Prac.g_00729
OG0000092	Prar.g_01781	Prac.g_01379
OG0000092	Prar.g_00615	Prac.g_00003
OG0000093	Prar.g_01801	Prac.g_01359
OG0000094	Prar.g_01885	Prac.g_01275
OG0000095	Prar.g_01904	Prac.g_01256
OG0000096	Prar.g_01006	Prac.g_01958
OG0000096	Prar.g_01313	Prac.g_01035
OG0000096	Prar.g_00991	Prac.g_00139
OG0000097	Prar.g_01222	Prac.g_00944
OG0000098	Prar.g_00929	Prac.g_00199
OG0000099	Prar.g_00872	Prac.g_00256
OG0000100	Prar.g_00773	Prac.g_00337
OG0000101	Prar.g_01027	Prac.g_00548
OG0000102	Prar.g_00658	Prac.g_00046
OG0000103	Prar.g_00050	Prac.g_00123
OG0000104	Prar.g_00042	Prac.g_00131
OG0000105	Prar.g_00313	Prac.g_01657
OG0000106	Prar.g_00431	Prac.g_01163
OG0000107	Prar.g_00446	Prac.g_01148
OG0000108	Prar.g_00530	Prac.g_01064
OG0000109	Prar.g_00544	Prac.g_01050
OG0000110	Prar.g_01404	Prac.g_00798
OG0000111	Prar.g_01529	Prac.g_00672
OG0000112	Prar.g_01652	Prac.g_01507
OG0000113	Prar.g_01706	Prac.g_01453
OG0000114	Prar.g_01776	Prac.g_01384
OG0000115	Prar.g_01318	Prac.g_01040
OG0000116	Prar.g_01273	Prac.g_00995
OG0000117	Prar.g_01003	Prac.g_01955
OG0000118	Prar.g_00943	Prac.g_00187
OG0000119	Prar.g_00915	Prac.g_00213
OG0000120	Prar.g_00880	Prac.g_00248
OG0000121	Prar.g_00337	Prac.g_00409
OG0000122	Prar.g_00807	Prac.g_00371
OG0000123	Prar.g_01021	Prac.g_00554
