Orthogroup	Prar	Prbd
OG0000000	Prar.g_00971	Prbd.g_01833
OG0000000	Prar.g_00713	Prbd.g_01914
OG0000000	Prar.g_00729	Prbd.g_01568
OG0000000	Prar.g_01204	Prbd.g_00528
OG0000000	Prar.g_00727	Prbd.g_01835
OG0000001	Prar.g_00926	Prbd.g_01779
OG0000001	Prar.g_01202	Prbd.g_01930
OG0000002	Prar.g_00918	Prbd.g_01771
OG0000002	Prar.g_01508	Prbd.g_00566
OG0000004	Prar.g_01525	Prbd.g_00549
OG0000004	Prar.g_00095	Prbd.g_01007
OG0000005	Prar.g_01130	Prbd.g_01512
OG0000005	Prar.g_00771	Prbd.g_01612
OG0000006	Prar.g_00086	Prbd.g_00998
OG0000007	Prar.g_01328	Prbd.g_00745
OG0000007	Prar.g_01143	Prbd.g_01525
OG0000008	Prar.g_01502	Prbd.g_00572
OG0000009	Prar.g_00737	Prbd.g_01576
OG0000009	Prar.g_00223	Prbd.g_01139
OG0000010	Prar.g_01912	Prbd.g_00348
OG0000010	Prar.g_00524	Prbd.g_00768
OG0000011	Prar.g_00978	Prbd.g_01859
OG0000011	Prar.g_00988	Prbd.g_00534, Prbd.g_01867
OG0000012	Prar.g_01453	Prbd.g_00621
OG0000013	Prar.g_00260	Prbd.g_00912
OG0000014	Prar.g_00281	Prbd.g_00933
OG0000015	Prar.g_01179	Prbd.g_00826
OG0000016	Prar.g_00025	Prbd.g_01224
OG0000017	Prar.g_01428	Prbd.g_00646
OG0000018	Prar.g_01282	Prbd.g_00449
OG0000018	Prar.g_01711	Prbd.g_00129
OG0000019	Prar.g_00078	Prbd.g_00990
OG0000019	Prar.g_01663	Prbd.g_00082
OG0000020	Prar.g_01315	Prbd.g_00406
OG0000021	Prar.g_00425	Prbd.g_00874
OG0000022	Prar.g_01649	Prbd.g_00061
OG0000022	Prar.g_01300	Prbd.g_00423
OG0000023	Prar.g_00420	Prbd.g_00879
OG0000024	Prar.g_01634	Prbd.g_00045
OG0000024	Prar.g_01505	Prbd.g_00569
OG0000025	Prar.g_01718	Prbd.g_00137
OG0000025	Prar.g_00256	Prbd.g_00908
OG0000026	Prar.g_00007	Prbd.g_01206
OG0000026	Prar.g_01919	Prbd.g_00355
OG0000027	Prar.g_00520	Prbd.g_00772
OG0000028	Prar.g_00267	Prbd.g_00919
OG0000028	Prar.g_00985	Prbd.g_01864
OG0000029	Prar.g_00436	Prbd.g_00863
OG0000030	Prar.g_00662	Prbd.g_01325
OG0000032	Prar.g_00886	Prbd.g_01730
OG0000033	Prar.g_00158	Prbd.g_01071
OG0000034	Prar.g_00945	Prbd.g_01791
OG0000035	Prar.g_00339	Prbd.g_01689
OG0000037	Prar.g_00219	Prbd.g_01135
OG0000038	Prar.g_00702	Prbd.g_01283
OG0000039	Prar.g_01516	Prbd.g_00558
OG0000040	Prar.g_00715	Prbd.g_01550
OG0000040	Prar.g_01283	Prbd.g_00448
OG0000041	Prar.g_00602	Prbd.g_01478
OG0000042	Prar.g_00660	Prbd.g_01328
OG0000043	Prar.g_01755	Prbd.g_00174
OG0000045	Prar.g_00432	Prbd.g_00867
OG0000047	Prar.g_00257	Prbd.g_00909
OG0000048	Prar.g_00435	Prbd.g_00864
OG0000049	Prar.g_00445	Prbd.g_00854
OG0000049	Prar.g_01002	Prbd.g_01894
OG0000050	Prar.g_01940	Prbd.g_00375
OG0000053	Prar.g_00827	Prbd.g_01669
OG0000054	Prar.g_01436	Prbd.g_00638
OG0000055	Prar.g_01664	Prbd.g_00083
OG0000057	Prar.g_01528	Prbd.g_00546
OG0000058	Prar.g_00870	Prbd.g_01733
OG0000059	Prar.g_01090	Prbd.g_01439
OG0000061	Prar.g_01263	Prbd.g_00468
OG0000062	Prar.g_00769	Prbd.g_01610
OG0000063	Prar.g_00004	Prbd.g_01204
OG0000065	Prar.g_00221	Prbd.g_01137
OG0000066	Prar.g_01369	Prbd.g_00703
OG0000068	Prar.g_00911	Prbd.g_01764
OG0000069	Prar.g_01170, Prar.g_00736	Prbd.g_01575
OG0000070	Prar.g_00498	Prbd.g_00792
OG0000071	Prar.g_00955	Prbd.g_01801
OG0000072	Prar.g_00156	Prbd.g_01069
OG0000073	Prar.g_01330	Prbd.g_00743
OG0000074	Prar.g_01512	Prbd.g_00562
OG0000075	Prar.g_00629	Prbd.g_01359
OG0000076	Prar.g_00653	Prbd.g_01335
OG0000077	Prar.g_00250	Prbd.g_01166
OG0000078	Prar.g_00088	Prbd.g_01000
OG0000081	Prar.g_01361	Prbd.g_00711
OG0000082	Prar.g_01414	Prbd.g_00658
OG0000083	Prar.g_01630	Prbd.g_00038
OG0000083	Prar.g_01623	Prbd.g_00031
OG0000084	Prar.g_00343	Prbd.g_01693
OG0000085	Prar.g_01150	Prbd.g_01532
OG0000086	Prar.g_00240	Prbd.g_01156
OG0000087	Prar.g_00189	Prbd.g_01104, Prbd.g_01103
OG0000088	Prar.g_00161	Prbd.g_01074
OG0000089	Prar.g_00416	Prbd.g_00883
OG0000090	Prar.g_01363	Prbd.g_00709
OG0000091	Prar.g_01472	Prbd.g_00602
OG0000092	Prar.g_01781	Prbd.g_00211
OG0000092	Prar.g_00615	Prbd.g_01193
OG0000093	Prar.g_01801	Prbd.g_00232
OG0000094	Prar.g_01885	Prbd.g_00321
OG0000095	Prar.g_01904	Prbd.g_00340
OG0000096	Prar.g_01006	Prbd.g_01840
OG0000096	Prar.g_01313	Prbd.g_00409
OG0000096	Prar.g_00991	Prbd.g_01870
OG0000097	Prar.g_01222	Prbd.g_00509
OG0000098	Prar.g_00929	Prbd.g_01782
OG0000099	Prar.g_00872	Prbd.g_01734
OG0000100	Prar.g_00773	Prbd.g_01614
OG0000101	Prar.g_01027	Prbd.g_01391
OG0000102	Prar.g_00658	Prbd.g_01330
OG0000103	Prar.g_00050	Prbd.g_01250
