Orthogroup	Prar	Prag
OG0000000	Prar.g_00971	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prar.g_00729	Prag.g_00721, Prag.g_01648, Prag.g_01608
OG0000000	Prar.g_01204	Prag.g_01213
OG0000000	Prar.g_01204	Prag.g_01607
OG0000000	Prar.g_01204	Prag.g_01650
OG0000000	Prar.g_00727	Prag.g_01333
OG0000001	Prar.g_00926	Prag.g_01374
OG0000001	Prar.g_01203	Prag.g_01651
OG0000002	Prar.g_00918	Prag.g_01382
OG0000002	Prar.g_01508	Prag.g_00656
OG0000004	Prar.g_01525	Prag.g_00673
OG0000004	Prar.g_00095	Prag.g_00225
OG0000005	Prar.g_01130	Prag.g_01682
OG0000005	Prar.g_00771	Prag.g_01566
OG0000006	Prar.g_00086	Prag.g_00234, Prag.g_01231
OG0000007	Prar.g_01328	Prag.g_00476
OG0000007	Prar.g_01143	Prag.g_01669
OG0000008	Prar.g_01185	Prag.g_01655
OG0000008	Prar.g_01502	Prag.g_00650
OG0000009	Prar.g_00737	Prag.g_01600
OG0000009	Prar.g_00223	Prag.g_00098
OG0000010	Prar.g_01912	Prag.g_01043
OG0000010	Prar.g_00524	Prag.g_00453
OG0000011	Prar.g_00978	Prag.g_01326
OG0000012	Prar.g_01453	Prag.g_00601
OG0000013	Prar.g_00260	Prag.g_00318
OG0000014	Prar.g_00281	Prag.g_00297
OG0000015	Prar.g_01179	Prag.g_00765
OG0000016	Prar.g_00025	Prag.g_00013
OG0000017	Prar.g_01428	Prag.g_00576
OG0000018	Prar.g_01282	Prag.g_01134
OG0000018	Prar.g_01711	Prag.g_00833
OG0000019	Prar.g_00078	Prag.g_00242
OG0000019	Prar.g_01663	Prag.g_00786
OG0000020	Prar.g_01315	Prag.g_01100
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prag.g_01637
OG0000021	Prar.g_00425	Prag.g_00359
OG0000022	Prar.g_01649	Prag.g_00757
OG0000022	Prar.g_01300	Prag.g_01116
OG0000023	Prar.g_00420	Prag.g_00354
OG0000024	Prar.g_01634	Prag.g_00740
OG0000024	Prar.g_01505	Prag.g_00653
OG0000025	Prar.g_01718	Prag.g_00839
OG0000025	Prar.g_00256	Prag.g_00322
OG0000026	Prar.g_00007	Prag.g_00031
OG0000026	Prar.g_01919	Prag.g_01050
OG0000027	Prar.g_00520	Prag.g_00449
OG0000028	Prar.g_00267	Prag.g_00311
OG0000028	Prar.g_00985	Prag.g_01270
OG0000030	Prar.g_00662	Prag.g_01871
OG0000031	Prar.g_00879	Prag.g_01446
OG0000032	Prar.g_00886	Prag.g_01416
OG0000033	Prar.g_00158	Prag.g_00162
OG0000034	Prar.g_00945	Prag.g_01365
OG0000035	Prar.g_00339	Prag.g_01490, Prag.g_01488
OG0000037	Prar.g_00219	Prag.g_00102
OG0000038	Prar.g_00702	Prag.g_01911
OG0000039	Prar.g_01516	Prag.g_00664
OG0000040	Prar.g_00715	Prag.g_01630
OG0000040	Prar.g_01283	Prag.g_01133
OG0000041	Prar.g_00602	Prag.g_01716
OG0000042	Prar.g_00660	Prag.g_01868
OG0000043	Prar.g_01755	Prag.g_00876
OG0000045	Prar.g_00432	Prag.g_00365
OG0000047	Prar.g_00257	Prag.g_00321
OG0000048	Prar.g_00435	Prag.g_00368
OG0000049	Prar.g_00445	Prag.g_00376
OG0000049	Prar.g_01173	Prag.g_01264
OG0000049	Prar.g_01002	Prag.g_01300
OG0000050	Prar.g_01940	Prag.g_01071
OG0000053	Prar.g_00827	Prag.g_01510
OG0000054	Prar.g_01436	Prag.g_00584
OG0000055	Prar.g_01664	Prag.g_00787
OG0000057	Prar.g_01528	Prag.g_00676
OG0000058	Prar.g_00870	Prag.g_01428
OG0000059	Prar.g_01090	Prag.g_01755
OG0000061	Prar.g_01263	Prag.g_01153
OG0000062	Prar.g_00769	Prag.g_01568
OG0000063	Prar.g_00004, Prar.g_00005	Prag.g_00033
OG0000065	Prar.g_00221	Prag.g_00100
OG0000066	Prar.g_01369	Prag.g_00518
OG0000067	Prar.g_01684	Prag.g_00806
OG0000068	Prar.g_00911	Prag.g_01389
OG0000069	Prar.g_00736	Prag.g_01601
OG0000070	Prar.g_00498	Prag.g_00429
OG0000071	Prar.g_00955	Prag.g_01355
OG0000072	Prar.g_00156	Prag.g_00164
OG0000073	Prar.g_01330	Prag.g_00478
OG0000074	Prar.g_01512	Prag.g_00660
OG0000075	Prar.g_00629	Prag.g_01836
OG0000076	Prar.g_00653	Prag.g_01861
OG0000077	Prar.g_00250	Prag.g_00072
OG0000078	Prar.g_00088	Prag.g_00232
OG0000081	Prar.g_01361	Prag.g_00510
OG0000082	Prar.g_01414	Prag.g_00563
OG0000083	Prar.g_01630	Prag.g_00734
