Orthogroup	Prar	Syat
OG0000001	Prar.g_00926, Prar.g_01202, Prar.g_01203	Syat.g_02910, Syat.g_02911
OG0000005	Prar.g_01130	Syat.g_03065
OG0000005	Prar.g_00771	Syat.g_03105
OG0000006	Prar.g_00086	Syat.g_01439, Syat.g_01865
OG0000007	Prar.g_01328	Syat.g_03191
OG0000007	Prar.g_01143	Syat.g_03124
OG0000008	Prar.g_01185	Syat.g_02626
OG0000009	Prar.g_00223	Syat.g_01567
OG0000010	Prar.g_01567, Prar.g_01912, Prar.g_00524	Syat.g_01372
OG0000013	Prar.g_00260	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prar.g_00281	Syat.g_02104
OG0000016	Prar.g_00025	Syat.g_02329
OG0000017	Prar.g_01428	Syat.g_00015
OG0000018	Prar.g_01282, Prar.g_01711	Syat.g_01334
OG0000019	Prar.g_00078, Prar.g_01663	Syat.g_01876
OG0000021	Prar.g_00425	Syat.g_00964
OG0000022	Prar.g_01649, Prar.g_01300	Syat.g_00210
OG0000024	Prar.g_01634, Prar.g_01505	Syat.g_03394
OG0000025	Prar.g_01718, Prar.g_00256	Syat.g_00719
OG0000026	Prar.g_00007, Prar.g_01919	Syat.g_02306
OG0000027	Prar.g_00520	Syat.g_00850
OG0000028	Prar.g_00267, Prar.g_00985	Syat.g_02126
OG0000030	Prar.g_00662	Syat.g_00307, Syat.g_00308
OG0000031	Prar.g_00879	Syat.g_03199, Syat.g_02243
OG0000032	Prar.g_00886	Syat.g_02237
OG0000033	Prar.g_00158	Syat.g_02858
OG0000034	Prar.g_00945	Syat.g_01165, Syat.g_02902
OG0000035	Prar.g_00339	Syat.g_01227, Syat.g_01226
OG0000037	Prar.g_00219	Syat.g_00849, Syat.g_00187
OG0000038	Prar.g_00702	Syat.g_02688, Syat.g_02686
OG0000039	Prar.g_01516	Syat.g_01278
OG0000042	Prar.g_00660	Syat.g_00223, Syat.g_02222
OG0000044	Prar.g_01172	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prar.g_01583, Prar.g_00432	Syat.g_00935
OG0000048	Prar.g_00435	Syat.g_02046
OG0000053	Prar.g_00589, Prar.g_00827	Syat.g_01330
OG0000057	Prar.g_01528	Syat.g_00817
OG0000058	Prar.g_00362	Syat.g_01189
OG0000061	Prar.g_01263	Syat.g_03260
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syat.g_02303
OG0000065	Prar.g_00221	Syat.g_01571
OG0000066	Prar.g_01369	Syat.g_03283
OG0000067	Prar.g_01684	Syat.g_00479
OG0000068	Prar.g_00911	Syat.g_00085, Syat.g_01295
OG0000070	Prar.g_00498	Syat.g_01032, Syat.g_01040
OG0000072	Prar.g_00156	Syat.g_02856, Syat.g_01597
OG0000073	Prar.g_01330	Syat.g_03201
OG0000075	Prar.g_00629	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prar.g_00592, Prar.g_00653	Syat.g_02206
OG0000078	Prar.g_00088	Syat.g_00184
OG0000081	Prar.g_01361	Syat.g_00980
OG0000082	Prar.g_01414	Syat.g_00035
OG0000085	Prar.g_01150	Syat.g_03113
OG0000086	Prar.g_00240	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prar.g_00189	Syat.g_02912
OG0000088	Prar.g_00161	Syat.g_02862
OG0000089	Prar.g_00416	Syat.g_02953
OG0000090	Prar.g_01363	Syat.g_03270
OG0000091	Prar.g_01472	Syat.g_00939, Syat.g_00862
OG0000092	Prar.g_01781, Prar.g_00615	Syat.g_00825
OG0000094	Prar.g_01885	Syat.g_00698, Syat.g_01034
OG0000097	Prar.g_01222	Syat.g_00907, Syat.g_00535
OG0000098	Prar.g_00929	Syat.g_03281
OG0000099	Prar.g_00872	Syat.g_02130
OG0000100	Prar.g_00773	Syat.g_00517
OG0000101	Prar.g_01027	Syat.g_01661
OG0000102	Prar.g_00658	Syat.g_00974
OG0000103	Prar.g_00050	Syat.g_02399
OG0000104	Prar.g_00042	Syat.g_02385
OG0000105	Prar.g_00313	Syat.g_02052
OG0000106	Prar.g_00431	Syat.g_00957
OG0000107	Prar.g_00446	Syat.g_01862
OG0000108	Prar.g_00530	Syat.g_03170
OG0000109	Prar.g_00544	Syat.g_03187
OG0000110	Prar.g_01404	Syat.g_00049
OG0000111	Prar.g_01529	Syat.g_00816
OG0000112	Prar.g_01652	Syat.g_00593
OG0000113	Prar.g_01706	Syat.g_00509
OG0000114	Prar.g_01776	Syat.g_00426
OG0000115	Prar.g_01318	Syat.g_01328
OG0000116	Prar.g_01273	Syat.g_02641
OG0000117	Prar.g_01003	Syat.g_00224
OG0000118	Prar.g_00943	Syat.g_01168
OG0000119	Prar.g_00915	Syat.g_00309
OG0000120	Prar.g_00880	Syat.g_02132
OG0000121	Prar.g_00337	Syat.g_01223
OG0000123	Prar.g_01021	Syat.g_01653
OG0000124	Prar.g_00668	Syat.g_02231
OG0000125	Prar.g_00704	Syat.g_02684
OG0000126	Prar.g_00043	Syat.g_00976
OG0000128	Prar.g_00027	Syat.g_02331
OG0000129	Prar.g_00576	Syat.g_02693, Syat.g_02694
OG0000130	Prar.g_00549	Syat.g_01469
OG0000131	Prar.g_00182	Syat.g_02898
OG0000132	Prar.g_00163	Syat.g_02864
OG0000133	Prar.g_00265	Syat.g_00588
OG0000134	Prar.g_00417	Syat.g_02956
OG0000135	Prar.g_00444	Syat.g_02501
OG0000136	Prar.g_00489	Syat.g_01292
OG0000137	Prar.g_00525	Syat.g_01371
OG0000138	Prar.g_00545	Syat.g_03188
OG0000140	Prar.g_01368	Syat.g_03280
OG0000141	Prar.g_01437	Syat.g_03398
OG0000142	Prar.g_01465	Syat.g_00117
OG0000143	Prar.g_01469	Syat.g_00130
OG0000144	Prar.g_01482	Syat.g_00369
OG0000145	Prar.g_01651	Syat.g_03202
OG0000146	Prar.g_01653	Syat.g_00594
OG0000147	Prar.g_01654	Syat.g_00595
OG0000148	Prar.g_01700	Syat.g_00503
OG0000149	Prar.g_01730	Syat.g_00747
OG0000150	Prar.g_01738	Syat.g_03399
OG0000151	Prar.g_01786	Syat.g_00801, Syat.g_00440
OG0000152	Prar.g_01833	Syat.g_00578
OG0000153	Prar.g_01852	Syat.g_00542
OG0000154	Prar.g_01878	Syat.g_00708
OG0000155	Prar.g_01243	Syat.g_00287
OG0000156	Prar.g_00966	Syat.g_03228
OG0000157	Prar.g_00965	Syat.g_02012, Syat.g_03227
OG0000158	Prar.g_00375	Syat.g_02163
OG0000159	Prar.g_00380, Prar.g_00871	Syat.g_01187
OG0000160	Prar.g_00338	Syat.g_01224
OG0000161	Prar.g_00840	Syat.g_01180
OG0000162	Prar.g_00834	Syat.g_01281
OG0000163	Prar.g_00800	Syat.g_02979
OG0000164	Prar.g_01964	Syat.g_03040
OG0000165	Prar.g_01971	Syat.g_03033
OG0000166	Prar.g_01063	Syat.g_01822
OG0000167	Prar.g_00627	Syat.g_02148
OG0000168	Prar.g_00637	Syat.g_02164
OG0000169	Prar.g_00647	Syat.g_02192
OG0000170	Prar.g_00649	Syat.g_02201
OG0000171	Prar.g_00667	Syat.g_02230
OG0000172	Prar.g_00675	Syat.g_02260
OG0000173	Prar.g_00690	Syat.g_02284
OG0000174	Prar.g_00068	Syat.g_02504
OG0000175	Prar.g_00058	Syat.g_02416
OG0000176	Prar.g_00034	Syat.g_02372
OG0000177	Prar.g_00033	Syat.g_02338
OG0000178	Prar.g_00032	Syat.g_02337
OG0000179	Prar.g_00022	Syat.g_02322
OG0000180	Prar.g_00021	Syat.g_02321
OG0000181	Prar.g_00020	Syat.g_02320
OG0000182	Prar.g_00019	Syat.g_02319
OG0000183	Prar.g_00015	Syat.g_02315
OG0000184	Prar.g_00573	Syat.g_02704
OG0000185	Prar.g_00570	Syat.g_02719
OG0000186	Prar.g_00554	Syat.g_01463
OG0000187	Prar.g_00553	Syat.g_01467
OG0000188	Prar.g_00246	Syat.g_01489
OG0000189	Prar.g_00232	Syat.g_01557
OG0000190	Prar.g_00231	Syat.g_00330
OG0000191	Prar.g_00211	Syat.g_03344, Syat.g_02939
OG0000192	Prar.g_00207	Syat.g_02933
OG0000193	Prar.g_00181	Syat.g_02897
OG0000194	Prar.g_00178	Syat.g_02894
OG0000195	Prar.g_00176	Syat.g_02892
OG0000196	Prar.g_00166	Syat.g_02867
OG0000197	Prar.g_00165	Syat.g_02866
OG0000198	Prar.g_00164	Syat.g_02865
OG0000199	Prar.g_00157	Syat.g_02857
OG0000200	Prar.g_00143	Syat.g_02840
