Orthogroup	Prar	Prba
OG0000000	Prar.g_00971	Prba.g_01174
OG0000000	Prar.g_00713	Prba.g_00243
OG0000000	Prar.g_00729	Prba.g_00269
OG0000000	Prar.g_01204	Prba.g_00003
OG0000000	Prar.g_01204	Prba.g_00270
OG0000000	Prar.g_00727	Prba.g_01172
OG0000001	Prar.g_00926	Prba.g_00211
OG0000001	Prar.g_01202	Prba.g_01081
OG0000002	Prar.g_00918	Prba.g_00203
OG0000002	Prar.g_01508	Prba.g_01639
OG0000004	Prar.g_01525	Prba.g_01622
OG0000004	Prar.g_00095	Prba.g_00451
OG0000005	Prar.g_01130	Prba.g_00607
OG0000005	Prar.g_00771	Prba.g_00312
OG0000006	Prar.g_00086	Prba.g_00460
OG0000007	Prar.g_01328	Prba.g_00964
OG0000007	Prar.g_01143	Prba.g_00226
OG0000008	Prar.g_01185	Prba.g_01131
OG0000008	Prar.g_01502	Prba.g_01645
OG0000009	Prar.g_00737	Prba.g_00276
OG0000009	Prar.g_00223	Prba.g_01893
OG0000010	Prar.g_01912	Prba.g_01256
OG0000010	Prar.g_00524	Prba.g_00987
OG0000011	Prar.g_00978	Prba.g_01165
OG0000011	Prar.g_00988	Prba.g_01132
OG0000012	Prar.g_01453	Prba.g_01694
OG0000013	Prar.g_00260	Prba.g_00543
OG0000014	Prar.g_00281	Prba.g_00522
OG0000015	Prar.g_01179	Prba.g_01538
OG0000016	Prar.g_00025	Prba.g_01806
OG0000017	Prar.g_01428	Prba.g_01719
OG0000018	Prar.g_01282	Prba.g_00083
OG0000018	Prar.g_01711	Prba.g_01472
OG0000019	Prar.g_00078	Prba.g_00468
OG0000019	Prar.g_01663	Prba.g_01519
OG0000020	Prar.g_01315	Prba.g_00737
OG0000021	Prar.g_00425	Prba.g_00858
OG0000022	Prar.g_01649	Prba.g_01543
OG0000022	Prar.g_01300	Prba.g_00101
OG0000023	Prar.g_00420	Prba.g_00854
OG0000024	Prar.g_01634	Prba.g_01558
OG0000024	Prar.g_01505	Prba.g_01642
OG0000025	Prar.g_01718	Prba.g_01464
OG0000025	Prar.g_00256	Prba.g_00547
OG0000026	Prar.g_00007	Prba.g_01824
OG0000026	Prar.g_01919	Prba.g_01249
OG0000027	Prar.g_00520	Prba.g_00991
OG0000028	Prar.g_00267	Prba.g_00536
OG0000028	Prar.g_00985	Prba.g_01126
OG0000029	Prar.g_00436	Prba.g_00869
OG0000030	Prar.g_00662	Prba.g_00778
OG0000031	Prar.g_00879	Prba.g_00173
OG0000033	Prar.g_00158	Prba.g_00625
OG0000034	Prar.g_00945	Prba.g_01202
OG0000035	Prar.g_00339	Prba.g_00713
OG0000037	Prar.g_00219	Prba.g_01897
OG0000038	Prar.g_00702	Prba.g_00819
OG0000039	Prar.g_01516	Prba.g_01631
OG0000040	Prar.g_00715	Prba.g_00251
OG0000040	Prar.g_01283	Prba.g_00084
OG0000042	Prar.g_00660	Prba.g_00775
OG0000043	Prar.g_01755	Prba.g_01427
OG0000044	Prar.g_01172	Prba.g_00002
OG0000045	Prar.g_00432	Prba.g_00865
OG0000047	Prar.g_00468	Prba.g_00913
OG0000047	Prar.g_00257	Prba.g_00546
OG0000048	Prar.g_00435	Prba.g_00868
OG0000049	Prar.g_00445	Prba.g_00878
OG0000049	Prar.g_01173	Prba.g_01104
OG0000049	Prar.g_01002	Prba.g_00901
OG0000049	Prar.g_01160	Prba.g_01115
OG0000050	Prar.g_01940	Prba.g_01229
OG0000053	Prar.g_00827	Prba.g_00693
OG0000054	Prar.g_01436	Prba.g_01711
OG0000055	Prar.g_01664	Prba.g_01518
OG0000056	Prar.g_00932	Prba.g_01120
OG0000057	Prar.g_01528	Prba.g_01619
OG0000058	Prar.g_00870, Prar.g_00362	Prba.g_00153
OG0000059	Prar.g_01090	Prba.g_00381
OG0000061	Prar.g_01263	Prba.g_00064
OG0000062	Prar.g_00769	Prba.g_00310
OG0000063	Prar.g_00004, Prar.g_00005	Prba.g_01826
OG0000065	Prar.g_00221	Prba.g_01895
OG0000066	Prar.g_01369	Prba.g_00922
OG0000068	Prar.g_00911	Prba.g_00196
OG0000069	Prar.g_00736	Prba.g_00275
OG0000070	Prar.g_00498	Prba.g_01011
OG0000071	Prar.g_00955	Prba.g_01192
OG0000072	Prar.g_00156	Prba.g_00627
OG0000073	Prar.g_01330	Prba.g_00962
OG0000074	Prar.g_01512	Prba.g_01635
OG0000075	Prar.g_00629	Prba.g_01071
OG0000076	Prar.g_00653	Prba.g_00768
OG0000077	Prar.g_00250	Prba.g_01866
OG0000078	Prar.g_00088	Prba.g_00458
OG0000081	Prar.g_01361	Prba.g_00930
OG0000082	Prar.g_01414	Prba.g_01731
OG0000083	Prar.g_01630	Prba.g_01563
OG0000083	Prar.g_01623	Prba.g_01570
OG0000084	Prar.g_00343	Prba.g_00717
OG0000085	Prar.g_01150	Prba.g_00233
OG0000086	Prar.g_00240	Prba.g_01876
OG0000087	Prar.g_00189	Prba.g_01927
OG0000088	Prar.g_00161	Prba.g_00622
OG0000089	Prar.g_00416	Prba.g_00850
OG0000090	Prar.g_01363	Prba.g_00928
OG0000091	Prar.g_01472	Prba.g_01675
OG0000092	Prar.g_01781	Prba.g_01390
OG0000092	Prar.g_00615	Prba.g_01057
OG0000093	Prar.g_01801	Prba.g_01369
OG0000094	Prar.g_01885	Prba.g_01283
OG0000095	Prar.g_01904	Prba.g_01264
OG0000096	Prar.g_01313	Prba.g_00734
OG0000096	Prar.g_00991	Prba.g_01157
OG0000097	Prar.g_01222	Prba.g_00022
OG0000098	Prar.g_00929	Prba.g_00214
