Orthogroup	Prar	Prbn
OG0000000	Prar.g_00713, Prar.g_00729	Prbn.g_01662
OG0000002	Prar.g_00918	Prbn.g_01483, Prbn.g_01478
OG0000002	Prar.g_01508	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prar.g_01525	Prbn.g_01565
OG0000004	Prar.g_00095	Prbn.g_00318
OG0000005	Prar.g_00771	Prbn.g_00899
OG0000006	Prar.g_00086	Prbn.g_00308
OG0000007	Prar.g_01328	Prbn.g_00617
OG0000007	Prar.g_01143	Prbn.g_01745
OG0000008	Prar.g_01185	Prbn.g_01645
OG0000010	Prar.g_00524	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Prar.g_01453	Prbn.g_00867, Prbn.g_00492
OG0000013	Prar.g_00260	Prbn.g_00092
OG0000014	Prar.g_00281	Prbn.g_00074
OG0000015	Prar.g_01179	Prbn.g_01684, Prbn.g_01730
OG0000017	Prar.g_01428	Prbn.g_00517
OG0000018	Prar.g_01282	Prbn.g_01167
OG0000018	Prar.g_01711	Prbn.g_01518
OG0000019	Prar.g_00078	Prbn.g_00015
OG0000019	Prar.g_01663	Prbn.g_01165
OG0000020	Prar.g_01315	Prbn.g_00875
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prbn.g_00133
OG0000021	Prar.g_00425	Prbn.g_00874
OG0000022	Prar.g_01649	Prbn.g_00891
OG0000023	Prar.g_00420	Prbn.g_01030
OG0000024	Prar.g_01634	Prbn.g_01353
OG0000024	Prar.g_01505	Prbn.g_01589
OG0000025	Prar.g_01718, Prar.g_00256	Prbn.g_01510
OG0000026	Prar.g_00007, Prar.g_01919	Prbn.g_00750
OG0000027	Prar.g_00520	Prbn.g_00139
OG0000028	Prar.g_00985	Prbn.g_01644
OG0000029	Prar.g_00436	Prbn.g_01836
OG0000030	Prar.g_00662	Prbn.g_00985
OG0000031	Prar.g_00879	Prbn.g_00171
