Orthogroup	Prar	Prbf
OG0000000	Prar.g_00713, Prar.g_00729	Prbf.g_00776
OG0000002	Prar.g_00918	Prbf.g_01182, Prbf.g_01177
OG0000002	Prar.g_01508	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prar.g_01525	Prbf.g_01264
OG0000004	Prar.g_00095	Prbf.g_01570
OG0000005	Prar.g_00771	Prbf.g_00240
OG0000006	Prar.g_00086	Prbf.g_01580
OG0000007	Prar.g_01328	Prbf.g_01780
OG0000007	Prar.g_01143	Prbf.g_00693
OG0000008	Prar.g_01185	Prbf.g_00793
OG0000010	Prar.g_00524	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Prar.g_01453	Prbf.g_00272, Prbf.g_01905
OG0000013	Prar.g_00260	Prbf.g_01665
OG0000014	Prar.g_00281	Prbf.g_01647
OG0000015	Prar.g_01179	Prbf.g_00754, Prbf.g_00708
OG0000017	Prar.g_01428	Prbf.g_01880
OG0000018	Prar.g_01282	Prbf.g_00896
OG0000018	Prar.g_01711	Prbf.g_01217
OG0000019	Prar.g_00078	Prbf.g_01588
OG0000019	Prar.g_01663	Prbf.g_00894
OG0000020	Prar.g_01315	Prbf.g_00264
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prbf.g_00811
OG0000021	Prar.g_00425	Prbf.g_00265
OG0000022	Prar.g_01649	Prbf.g_00248
OG0000023	Prar.g_00420	Prbf.g_00287
OG0000024	Prar.g_01634	Prbf.g_01052
OG0000024	Prar.g_01505	Prbf.g_01288
OG0000025	Prar.g_01718, Prar.g_00256	Prbf.g_01209
OG0000026	Prar.g_00007, Prar.g_01919	Prbf.g_01354
OG0000027	Prar.g_00520	Prbf.g_00817
OG0000028	Prar.g_00985	Prbf.g_00794
OG0000029	Prar.g_00436	Prbf.g_00603
OG0000030	Prar.g_00662	Prbf.g_00484
OG0000031	Prar.g_00879	Prbf.g_00116
OG0000033	Prar.g_00158	Prbf.g_01503
OG0000034	Prar.g_00945	Prbf.g_00015
OG0000037	Prar.g_00219	Prbf.g_01437
OG0000038	Prar.g_00702	Prbf.g_00445
OG0000039	Prar.g_01516	Prbf.g_01276
OG0000041	Prar.g_00602	Prbf.g_00646
OG0000042	Prar.g_00660	Prbf.g_00487
OG0000043	Prar.g_01755	Prbf.g_00897
OG0000045	Prar.g_00432	Prbf.g_00874
OG0000047	Prar.g_00468	Prbf.g_01707
OG0000048	Prar.g_00435	Prbf.g_01611
OG0000053	Prar.g_00589, Prar.g_00827	Prbf.g_00748, Prbf.g_00178
OG0000054	Prar.g_01436	Prbf.g_01889
OG0000055	Prar.g_01664	Prbf.g_00869
OG0000057	Prar.g_01528	Prbf.g_01261
OG0000058	Prar.g_00870, Prar.g_00362	Prbf.g_00117
OG0000059	Prar.g_01090	Prbf.g_00606
OG0000061	Prar.g_01263	Prbf.g_00918
OG0000062	Prar.g_00769	Prbf.g_00242
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Prbf.g_00808
OG0000065	Prar.g_00221	Prbf.g_01435
OG0000066	Prar.g_01369	Prbf.g_01820, Prbf.g_00781
OG0000067	Prar.g_01684	Prbf.g_01245
OG0000068	Prar.g_00911	Prbf.g_00095
OG0000069	Prar.g_01170, Prar.g_00736	Prbf.g_01738
OG0000070	Prar.g_00498	Prbf.g_01734
OG0000071	Prar.g_00955	Prbf.g_00026
OG0000072	Prar.g_00156	Prbf.g_01505
OG0000073	Prar.g_01330	Prbf.g_01783
OG0000074	Prar.g_01512	Prbf.g_01281
OG0000075	Prar.g_00629	Prbf.g_00522
OG0000076	Prar.g_00592, Prar.g_00653	Prbf.g_00496
OG0000077	Prar.g_00250	Prbf.g_01405
OG0000078	Prar.g_00088	Prbf.g_01578
OG0000081	Prar.g_01361	Prbf.g_01812
OG0000082	Prar.g_01414	Prbf.g_01867, Prbf.g_00704
OG0000084	Prar.g_00343	Prbf.g_00154
OG0000085	Prar.g_01150	Prbf.g_00701, Prbf.g_00822
OG0000086	Prar.g_00240	Prbf.g_01414
OG0000087	Prar.g_00189	Prbf.g_01469
OG0000088	Prar.g_00161	Prbf.g_01500
OG0000089	Prar.g_00416	Prbf.g_01701
OG0000090	Prar.g_01363	Prbf.g_01814
OG0000091	Prar.g_01472	Prbf.g_00990
OG0000092	Prar.g_01781	Prbf.g_01315
OG0000093	Prar.g_01801	Prbf.g_01019
OG0000094	Prar.g_01885	Prbf.g_01068
