Orthogroup	Prar	Syaj
OG0000001	Prar.g_00926, Prar.g_01202, Prar.g_01203	Syaj.g_02674
OG0000002	Prar.g_00918, Prar.g_01508	Syaj.g_02667
OG0000004	Prar.g_01525	Syaj.g_00441
OG0000004	Prar.g_00095	Syaj.g_01314, Syaj.g_02853
OG0000005	Prar.g_01130	Syaj.g_01736
OG0000005	Prar.g_00771	Syaj.g_01698
OG0000006	Prar.g_00086	Syaj.g_02635
OG0000007	Prar.g_01328	Syaj.g_00091
OG0000007	Prar.g_01143	Syaj.g_01721
OG0000008	Prar.g_01185	Syaj.g_00496
OG0000009	Prar.g_00737	Syaj.g_01069
OG0000009	Prar.g_00223	Syaj.g_01885
OG0000010	Prar.g_01567, Prar.g_01912, Prar.g_00524	Syaj.g_01445
OG0000011	Prar.g_00978	Syaj.g_01133
OG0000012	Prar.g_01453	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000013	Prar.g_00260	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prar.g_00281	Syaj.g_02522
OG0000015	Prar.g_01179	Syaj.g_00725, Syaj.g_02659
OG0000016	Prar.g_00025	Syaj.g_02276
OG0000017	Prar.g_01428	Syaj.g_00248
OG0000018	Prar.g_01282, Prar.g_01711	Syaj.g_01413
OG0000019	Prar.g_00078, Prar.g_01663	Syaj.g_02613
OG0000021	Prar.g_00425	Syaj.g_00982
OG0000022	Prar.g_01649, Prar.g_01300	Syaj.g_01220
OG0000023	Prar.g_00420	Syaj.g_00829, Syaj.g_01791
OG0000024	Prar.g_01634, Prar.g_01505	Syaj.g_00500
OG0000025	Prar.g_01718, Prar.g_00256	Syaj.g_00383
OG0000026	Prar.g_00007, Prar.g_01919	Syaj.g_02298
OG0000027	Prar.g_00520	Syaj.g_00396
OG0000028	Prar.g_00267, Prar.g_00985	Syaj.g_02506
OG0000029	Prar.g_00436	Syaj.g_01229
OG0000030	Prar.g_00662	Syaj.g_02396, Syaj.g_02395
OG0000033	Prar.g_00158	Syaj.g_01990
OG0000034	Prar.g_00945	Syaj.g_01959
OG0000035	Prar.g_00339	Syaj.g_01378
OG0000037	Prar.g_00219	Syaj.g_01891, Syaj.g_02902
OG0000038	Prar.g_00702	Syaj.g_02115
OG0000039	Prar.g_01516	Syaj.g_00392, Syaj.g_00275
OG0000041	Prar.g_00602	Syaj.g_01602
OG0000042	Prar.g_00660	Syaj.g_02399
OG0000043	Prar.g_01755	Syaj.g_01247
OG0000044	Prar.g_01172	Syaj.g_01344
OG0000045	Prar.g_01583	Syaj.g_00132
OG0000047	Prar.g_00468, Prar.g_00257	Syaj.g_02799
OG0000048	Prar.g_00435	Syaj.g_02578
OG0000053	Prar.g_00589, Prar.g_00827	Syaj.g_01409
OG0000054	Prar.g_01436	Syaj.g_01341
OG0000055	Prar.g_01664	Syaj.g_00394
OG0000056	Prar.g_00932	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794
OG0000057	Prar.g_01528	Syaj.g_00438
OG0000058	Prar.g_00870, Prar.g_00362	Syaj.g_02495
OG0000059	Prar.g_01090	Syaj.g_02686
OG0000061	Prar.g_01263	Syaj.g_00302
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syaj.g_02302
OG0000065	Prar.g_00221	Syaj.g_00007, Syaj.g_01887
OG0000066	Prar.g_01369	Syaj.g_00157
OG0000067	Prar.g_01684	Syaj.g_01023
OG0000068	Prar.g_00911	Syaj.g_00059
OG0000070	Prar.g_00498	Syaj.g_01529
OG0000071	Prar.g_00955	Syaj.g_01511
OG0000072	Prar.g_00156	Syaj.g_01992
OG0000073	Prar.g_01330	Syaj.g_00093
OG0000075	Prar.g_00629	Syaj.g_02457
OG0000076	Prar.g_00592, Prar.g_00653	Syaj.g_02417
OG0000077	Prar.g_00250	Syaj.g_01831
OG0000078	Prar.g_00088	Syaj.g_02880
OG0000081	Prar.g_01361	Syaj.g_02888
OG0000082	Prar.g_01414	Syaj.g_00229
OG0000084	Prar.g_00343	Syaj.g_01375
OG0000085	Prar.g_01150	Syaj.g_01707
OG0000086	Prar.g_00240	Syaj.g_01848
OG0000087	Prar.g_00189	Syaj.g_01945
OG0000088	Prar.g_00161	Syaj.g_01986
OG0000089	Prar.g_00416	Syaj.g_02829, Syaj.g_01915
OG0000090	Prar.g_01363	Syaj.g_00144
OG0000091	Prar.g_01472	Syaj.g_01275
OG0000092	Prar.g_01781, Prar.g_00615	Syaj.g_00339
OG0000094	Prar.g_01885	Syaj.g_00804
OG0000097	Prar.g_01222	Syaj.g_00589
OG0000098	Prar.g_00929	Syaj.g_02671
OG0000099	Prar.g_00872	Syaj.g_02503
OG0000100	Prar.g_00773	Syaj.g_00987
OG0000101	Prar.g_01027	Syaj.g_02738
OG0000102	Prar.g_00658	Syaj.g_02411
OG0000103	Prar.g_00050	Syaj.g_02243
OG0000104	Prar.g_00042	Syaj.g_02258
OG0000105	Prar.g_00313	Syaj.g_02573
OG0000106	Prar.g_00431	Syaj.g_01130
OG0000107	Prar.g_00446	Syaj.g_02637
OG0000108	Prar.g_00530	Syaj.g_00072
OG0000109	Prar.g_00544	Syaj.g_00087
OG0000110	Prar.g_01404	Syaj.g_00215
OG0000111	Prar.g_01529	Syaj.g_00437
OG0000112	Prar.g_01652	Syaj.g_00907
OG0000113	Prar.g_01706	Syaj.g_00992
OG0000114	Prar.g_01776	Syaj.g_00741
OG0000115	Prar.g_01318	Syaj.g_01402
OG0000116	Prar.g_01273	Syaj.g_00289
OG0000117	Prar.g_01003	Syaj.g_00637
OG0000118	Prar.g_00943	Syaj.g_00267
OG0000119	Prar.g_00915	Syaj.g_00317
OG0000120	Prar.g_00880	Syaj.g_02502
OG0000121	Prar.g_00337	Syaj.g_01383
OG0000122	Prar.g_00807	Syaj.g_01250
OG0000123	Prar.g_01021	Syaj.g_02745
OG0000124	Prar.g_00668	Syaj.g_02388
OG0000125	Prar.g_00704	Syaj.g_02117
OG0000126	Prar.g_00043	Syaj.g_02256
OG0000128	Prar.g_00027	Syaj.g_02274
OG0000129	Prar.g_00576	Syaj.g_02106
OG0000130	Prar.g_00549	Syaj.g_01818
OG0000131	Prar.g_00182	Syaj.g_01964
OG0000132	Prar.g_00163	Syaj.g_01984
OG0000133	Prar.g_00265	Syaj.g_00902
OG0000134	Prar.g_00417	Syaj.g_02832
OG0000135	Prar.g_00444	Syaj.g_02167
OG0000136	Prar.g_00489	Syaj.g_01550
OG0000137	Prar.g_00525	Syaj.g_01444
OG0000138	Prar.g_00545	Syaj.g_00088
OG0000139	Prar.g_01367	Syaj.g_00150
OG0000140	Prar.g_01368	Syaj.g_00153
OG0000141	Prar.g_01437	Syaj.g_01340
OG0000142	Prar.g_01465	Syaj.g_01283
OG0000143	Prar.g_01469	Syaj.g_01279
OG0000144	Prar.g_01482	Syaj.g_01151
OG0000145	Prar.g_01651	Syaj.g_00094
OG0000146	Prar.g_01653	Syaj.g_00908
OG0000147	Prar.g_01654	Syaj.g_00909
OG0000148	Prar.g_01700	Syaj.g_01003
OG0000149	Prar.g_01730	Syaj.g_00369
OG0000150	Prar.g_01738	Syaj.g_01339, Syaj.g_00154
OG0000151	Prar.g_01786	Syaj.g_01074
OG0000152	Prar.g_01833	Syaj.g_00898
OG0000153	Prar.g_01852	Syaj.g_00842
OG0000154	Prar.g_01878	Syaj.g_00814
OG0000155	Prar.g_01243	Syaj.g_00338
OG0000156	Prar.g_00966	Syaj.g_00282
OG0000157	Prar.g_00965	Syaj.g_00281
OG0000158	Prar.g_00375	Syaj.g_02445
OG0000160	Prar.g_00338	Syaj.g_01382
OG0000161	Prar.g_00840	Syaj.g_01389
OG0000162	Prar.g_00834	Syaj.g_01395
OG0000163	Prar.g_00800	Syaj.g_01639
OG0000164	Prar.g_01964	Syaj.g_01758
OG0000165	Prar.g_01971	Syaj.g_01582
