Orthogroup	Prar	Prad
OG0000000	Prar.g_00971	Prad.g_00352
OG0000000	Prar.g_00713	Prad.g_01982
OG0000000	Prar.g_00729	Prad.g_00392
OG0000000	Prar.g_01204	Prad.g_00393
OG0000000	Prar.g_01204	Prad.g_01435
OG0000000	Prar.g_00727	Prad.g_00350
OG0000001	Prar.g_00926	Prad.g_00609
OG0000001	Prar.g_01202	Prad.g_01434, Prad.g_01994
OG0000002	Prar.g_00918	Prad.g_00601
OG0000002	Prar.g_01508	Prad.g_01252
OG0000004	Prar.g_01525	Prad.g_01269
OG0000004	Prar.g_00095	Prad.g_01759
OG0000005	Prar.g_01130	Prad.g_00928
OG0000005	Prar.g_00771	Prad.g_00438
OG0000006	Prar.g_00086	Prad.g_01750
OG0000007	Prar.g_01328	Prad.g_00132
OG0000007	Prar.g_01143	Prad.g_00941
OG0000008	Prar.g_01502	Prad.g_01246
OG0000009	Prar.g_00737	Prad.g_00401
OG0000009	Prar.g_00223	Prad.g_01888
OG0000010	Prar.g_01567	Prad.g_01304
OG0000010	Prar.g_01912	Prad.g_01011
OG0000010	Prar.g_00524	Prad.g_00033
OG0000011	Prar.g_00978	Prad.g_00339
OG0000011	Prar.g_00988	Prad.g_01212
OG0000012	Prar.g_01453	Prad.g_01412
OG0000013	Prar.g_00260	Prad.g_01664
OG0000014	Prar.g_00281	Prad.g_01685
OG0000015	Prar.g_01179	Prad.g_01108
OG0000016	Prar.g_00025	Prad.g_01973
OG0000017	Prar.g_01428	Prad.g_01387
OG0000018	Prar.g_01282	Prad.g_01515
OG0000018	Prar.g_01711	Prad.g_01173
OG0000019	Prar.g_00078	Prad.g_01742
OG0000019	Prar.g_01663	Prad.g_01125
OG0000020	Prar.g_01315	Prad.g_00647
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prad.g_01299
OG0000021	Prar.g_00425	Prad.g_00745
OG0000022	Prar.g_01649	Prad.g_01105
OG0000022	Prar.g_01300	Prad.g_01993
OG0000023	Prar.g_00420	Prad.g_00751
OG0000024	Prar.g_01634	Prad.g_01088
OG0000024	Prar.g_01505	Prad.g_01249
OG0000025	Prar.g_01718	Prad.g_01181
OG0000025	Prar.g_00256	Prad.g_01660
OG0000026	Prar.g_00007	Prad.g_01955
OG0000026	Prar.g_01919	Prad.g_01004
OG0000028	Prar.g_00267	Prad.g_01671
OG0000028	Prar.g_00985	Prad.g_01204
OG0000029	Prar.g_00436	Prad.g_00734
OG0000032	Prar.g_00886	Prad.g_00561
OG0000033	Prar.g_00158	Prad.g_01822
OG0000034	Prar.g_00945	Prad.g_00618
OG0000035	Prar.g_00339	Prad.g_00515
OG0000037	Prar.g_00219	Prad.g_01884
OG0000038	Prar.g_00702	Prad.g_01582
OG0000039	Prar.g_01516	Prad.g_01260
OG0000040	Prar.g_00715	Prad.g_00369
OG0000040	Prar.g_01283	Prad.g_01516
OG0000041	Prar.g_00602	Prad.g_00894
OG0000042	Prar.g_00660	Prad.g_01624
OG0000043	Prar.g_01755	Prad.g_00276
OG0000045	Prar.g_00432	Prad.g_00738
OG0000047	Prar.g_00468	Prad.g_00683
OG0000047	Prar.g_00257	Prad.g_01661
OG0000048	Prar.g_00435	Prad.g_00735
