Orthogroup	Prar	Syas
OG0000004	Prar.g_01525	Syas.g_00176
OG0000004	Prar.g_00095	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prar.g_01130	Syas.g_02665
OG0000005	Prar.g_00771	Syas.g_02704
OG0000006	Prar.g_00086	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prar.g_01328	Syas.g_01232
OG0000007	Prar.g_01143	Syas.g_02681
OG0000008	Prar.g_01185	Syas.g_00886
OG0000009	Prar.g_00223	Syas.g_01450
OG0000010	Prar.g_01567, Prar.g_01912, Prar.g_00524	Syas.g_01334
OG0000013	Prar.g_00260	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prar.g_00281	Syas.g_01816
OG0000016	Prar.g_00025	Syas.g_02048
OG0000017	Prar.g_01428	Syas.g_00849
OG0000018	Prar.g_01282, Prar.g_01711	Syas.g_01290
OG0000019	Prar.g_00078, Prar.g_01663	Syas.g_01696
OG0000022	Prar.g_01649, Prar.g_01300	Syas.g_02758
OG0000025	Prar.g_01718, Prar.g_00256	Syas.g_00231
OG0000026	Prar.g_00007, Prar.g_01919	Syas.g_02070
OG0000027	Prar.g_00520	Syas.g_01480
OG0000028	Prar.g_00267, Prar.g_00985	Syas.g_01793
OG0000030	Prar.g_00662	Syas.g_01644, Syas.g_01645
OG0000033	Prar.g_00158	Syas.g_02328
OG0000034	Prar.g_00945	Syas.g_02371, Syas.g_02838
OG0000035	Prar.g_00339	Syas.g_02814, Syas.g_02818
OG0000037	Prar.g_00219	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prar.g_00702	Syas.g_01885, Syas.g_01887
OG0000039	Prar.g_01516	Syas.g_02795
OG0000040	Prar.g_00715	Syas.g_02028
OG0000042	Prar.g_00660	Syas.g_01121, Syas.g_02147
OG0000044	Prar.g_01172	Syas.g_00894, Syas.g_02453
OG0000048	Prar.g_00435	Syas.g_01734
