Orthogroup	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
OG0006547	Praa.g_00059																																																											
OG0006548	Praa.g_00709																																																											
OG0006549	Praa.g_01334																																																											
OG0006550	Praa.g_01335																																																											
OG0006551	Praa.g_01338																																																											
OG0006552	Praa.g_01344																																																											
OG0006553	Praa.g_01345																																																											
OG0006554	Praa.g_01346																																																											
OG0006555	Praa.g_01401																																																											
OG0006556	Praa.g_01402																																																											
OG0006557	Praa.g_01406																																																											
OG0006558	Praa.g_01418																																																											
OG0006559	Praa.g_01419																																																											
OG0006560	Praa.g_01431																																																											
OG0006561	Praa.g_01433																																																											
OG0006562	Praa.g_01445																																																											
OG0006563	Praa.g_01540																																																											
OG0006564	Praa.g_01664																																																											
OG0006565		Prab.g_00349																																																										
OG0006566		Prab.g_00628																																																										
OG0006567			Prac.g_00662																																																									
OG0006568			Prac.g_00774																																																									
OG0006569			Prac.g_01877																																																									
OG0006570			Prac.g_01968																																																									
OG0006571				Prad.g_00071																																																								
OG0006572				Prad.g_00083																																																								
OG0006573				Prad.g_00086																																																								
OG0006574				Prad.g_00311																																																								
OG0006575				Prad.g_00314																																																								
OG0006576				Prad.g_00355																																																								
OG0006577				Prad.g_00495																																																								
OG0006578				Prad.g_00539																																																								
OG0006579				Prad.g_00549																																																								
OG0006580				Prad.g_00550																																																								
OG0006581				Prad.g_00552																																																								
OG0006582				Prad.g_00554																																																								
OG0006583				Prad.g_00556																																																								
OG0006584				Prad.g_00557																																																								
OG0006585				Prad.g_00559																																																								
OG0006586				Prad.g_00568																																																								
OG0006587				Prad.g_00632																																																								
OG0006588				Prad.g_00954																																																								
OG0006589				Prad.g_01028																																																								
OG0006590				Prad.g_01208																																																								
OG0006591				Prad.g_01296																																																								
OG0006592				Prad.g_01321																																																								
OG0006593				Prad.g_01328																																																								
OG0006594				Prad.g_01984																																																								
OG0006595				Prad.g_01986																																																								
OG0006596					Prae.g_00057																																																							
OG0006597					Prae.g_00144																																																							
OG0006598					Prae.g_00507																																																							
OG0006599					Prae.g_00682																																																							
OG0006600					Prae.g_00702																																																							
OG0006601					Prae.g_00704																																																							
OG0006602					Prae.g_00705																																																							
OG0006603					Prae.g_00706																																																							
OG0006604					Prae.g_01226																																																							
OG0006605					Prae.g_01395																																																							
OG0006606					Prae.g_01397																																																							
OG0006607					Prae.g_01408																																																							
OG0006608					Prae.g_01411																																																							
OG0006609					Prae.g_01413																																																							
OG0006610					Prae.g_01414																																																							
OG0006611					Prae.g_01415																																																							
OG0006612					Prae.g_01428																																																							
OG0006613					Prae.g_01430																																																							
OG0006614					Prae.g_01431																																																							
OG0006615					Prae.g_01432																																																							
OG0006616					Prae.g_01607																																																							
OG0006617					Prae.g_01610																																																							
