Orthogroup	Pram	Prax
OG0000000	Pram.g_01511	Prax.g_01608, Prax.g_00496
OG0000000	Pram.g_01556, Pram.g_01512	Prax.g_00259, Prax.g_01609
OG0000001	Pram.g_00873, Pram.g_00879	Prax.g_01870
OG0000001	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prax.g_00964
OG0000002	Pram.g_00719	Prax.g_00522
OG0000002	Pram.g_01953, Pram.g_01954	Prax.g_01878
OG0000004	Pram.g_01513, Pram.g_01176	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000005	Pram.g_01207	Prax.g_00437
OG0000006	Pram.g_01505, Pram.g_00621	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141
OG0000008	Pram.g_00433	Prax.g_00704
OG0000008	Pram.g_01632	Prax.g_01559
OG0000010	Pram.g_01164	Prax.g_00393
OG0000010	Pram.g_00237	Prax.g_00926
OG0000011	Pram.g_01723	Prax.g_00798
OG0000011	Pram.g_01529	Prax.g_00425
OG0000013	Pram.g_00390, Pram.g_01284	Prax.g_01617
OG0000016	Pram.g_01545, Pram.g_00696	Prax.g_00523
OG0000018	Pram.g_00535, Pram.g_00542	Prax.g_00057
OG0000019	Pram.g_00662, Pram.g_00618, Pram.g_01597	Prax.g_00793
OG0000020	Pram.g_01283	Prax.g_01867
OG0000022	Pram.g_00229	Prax.g_01972
OG0000023	Pram.g_00794	Prax.g_01587, Prax.g_00808
OG0000024	Pram.g_00629, Pram.g_01186	Prax.g_01931
OG0000025	Pram.g_01004, Pram.g_00765	Prax.g_00432
OG0000026	Pram.g_01561	Prax.g_01917
OG0000029	Pram.g_01189, Pram.g_01617	Prax.g_00392
OG0000030	Pram.g_01544, Pram.g_00644	Prax.g_00391
OG0000031	Pram.g_01841	Prax.g_01401
OG0000034	Pram.g_01381	Prax.g_01733
OG0000034	Pram.g_01378	Prax.g_01728
OG0000035	Pram.g_00391	Prax.g_01616
OG0000036	Pram.g_01275	Prax.g_00138
OG0000038	Pram.g_01413	Prax.g_01831
OG0000041	Pram.g_00561	Prax.g_00082
OG0000045	Pram.g_01559	Prax.g_00045
OG0000046	Pram.g_01287	Prax.g_00415
OG0000047	Pram.g_01140	Prax.g_00200
OG0000049	Pram.g_01447	Prax.g_01823
OG0000050	Pram.g_00151	Prax.g_01052
OG0000051	Pram.g_00689	Prax.g_00813
OG0000053	Pram.g_00801	Prax.g_00485
OG0000054	Pram.g_01265	Prax.g_01566
OG0000055	Pram.g_01833	Prax.g_01394
OG0000056	Pram.g_00018	Prax.g_00282, Prax.g_00458
OG0000057	Pram.g_00142	Prax.g_01061
OG0000058	Pram.g_00677	Prax.g_00803
OG0000059	Pram.g_01558	Prax.g_00662
OG0000060	Pram.g_01017	Prax.g_00452
OG0000061	Pram.g_01517	Prax.g_00457
OG0000062	Pram.g_00832	Prax.g_00351
OG0000065	Pram.g_00224	Prax.g_00981, Prax.g_01581
OG0000066	Pram.g_00411	Prax.g_00727
OG0000067	Pram.g_00792	Prax.g_00944
OG0000068	Pram.g_00631	Prax.g_00439
OG0000070	Pram.g_00888	Prax.g_01204
OG0000071	Pram.g_01112	Prax.g_01959
OG0000072	Pram.g_01230	Prax.g_01899
OG0000074	Pram.g_01446	Prax.g_01832
OG0000075	Pram.g_01770	Prax.g_01338
OG0000077	Pram.g_01949	Prax.g_01974
OG0000078	Pram.g_00310	Prax.g_01783, Prax.g_00853, Prax.g_00852
OG0000079	Pram.g_01589	Prax.g_00792
OG0000080	Pram.g_01039	Prax.g_00973
OG0000081	Pram.g_00782	Prax.g_00951
OG0000082	Pram.g_00816	Prax.g_00366
OG0000083	Pram.g_01161	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Pram.g_00943	Prax.g_01129
OG0000085	Pram.g_01185	Prax.g_01254, Prax.g_01759
OG0000086	Pram.g_01546	Prax.g_00161
OG0000090	Pram.g_01445	Prax.g_01825
OG0000091	Pram.g_01370	Prax.g_01720
OG0000092	Pram.g_01554	Prax.g_01600
OG0000093	Pram.g_01719	Prax.g_01286
OG0000094	Pram.g_01766	Prax.g_01335
OG0000095	Pram.g_01805	Prax.g_01368
OG0000096	Pram.g_01878	Prax.g_01439
OG0000098	Pram.g_01941	Prax.g_01493
OG0000099	Pram.g_00010	Prax.g_00290
OG0000101	Pram.g_00036	Prax.g_00624
OG0000102	Pram.g_00099	Prax.g_01106
OG0000103	Pram.g_00108	Prax.g_01097
OG0000104	Pram.g_00125	Prax.g_01079
OG0000105	Pram.g_00155	Prax.g_01048
OG0000106	Pram.g_00168	Prax.g_01034
OG0000107	Pram.g_00177	Prax.g_01026
OG0000108	Pram.g_00187	Prax.g_01016
OG0000109	Pram.g_00227	Prax.g_00979
OG0000110	Pram.g_00239	Prax.g_00488, Prax.g_00924
OG0000111	Pram.g_00262	Prax.g_00901
OG0000113	Pram.g_00286	Prax.g_00878
OG0000114	Pram.g_00313	Prax.g_00848
OG0000115	Pram.g_00410	Prax.g_00728
OG0000116	Pram.g_00412	Prax.g_00726
OG0000117	Pram.g_00416	Prax.g_00722
OG0000118	Pram.g_00437	Prax.g_00702
OG0000119	Pram.g_00470	Prax.g_00669
OG0000120	Pram.g_00471	Prax.g_00668
OG0000121	Pram.g_00480	Prax.g_00004
OG0000122	Pram.g_00489	Prax.g_00013
OG0000123	Pram.g_00522	Prax.g_00044
OG0000124	Pram.g_01059	Prax.g_00110
OG0000125	Pram.g_01058	Prax.g_00111
OG0000126	Pram.g_01057	Prax.g_00112
OG0000127	Pram.g_00777	Prax.g_00956
OG0000128	Pram.g_00803	Prax.g_00483
OG0000129	Pram.g_01006	Prax.g_00463
OG0000130	Pram.g_00905	Prax.g_00388
OG0000131	Pram.g_00807	Prax.g_00375
OG0000132	Pram.g_00843	Prax.g_00339
OG0000133	Pram.g_00751	Prax.g_00578
OG0000134	Pram.g_01038	Prax.g_00588
OG0000135	Pram.g_00947	Prax.g_01133
OG0000136	Pram.g_00891	Prax.g_01201
OG0000137	Pram.g_01549	Prax.g_00164
OG0000139	Pram.g_01133	Prax.g_00206
OG0000140	Pram.g_00571	Prax.g_00257
OG0000141	Pram.g_01254	Prax.g_01789
OG0000142	Pram.g_01242	Prax.g_01887
OG0000143	Pram.g_01468	Prax.g_01863
OG0000144	Pram.g_01393	Prax.g_01746
OG0000145	Pram.g_01377	Prax.g_01727
OG0000146	Pram.g_01341	Prax.g_01691
OG0000147	Pram.g_01294	Prax.g_01651
OG0000148	Pram.g_01293	Prax.g_01650
OG0000149	Pram.g_01629	Prax.g_01561
OG0000150	Pram.g_01669	Prax.g_01523
OG0000151	Pram.g_01672	Prax.g_01520
OG0000152	Pram.g_01691	Prax.g_01257
OG0000153	Pram.g_01728	Prax.g_01297
OG0000154	Pram.g_01764	Prax.g_01333
OG0000155	Pram.g_01783	Prax.g_01351
OG0000156	Pram.g_01817	Prax.g_01379
OG0000157	Pram.g_01851	Prax.g_01411
OG0000158	Pram.g_01917	Prax.g_01473
OG0000160	Pram.g_01939	Prax.g_01491
OG0000161	Pram.g_01940	Prax.g_01492
OG0000162	Pram.g_01942	Prax.g_01494
OG0000163	Pram.g_01943	Prax.g_01495
OG0000164	Pram.g_01944	Prax.g_01496
OG0000165	Pram.g_01945	Prax.g_01497
OG0000166	Pram.g_01946	Prax.g_01498
OG0000167	Pram.g_01947	Prax.g_01499
OG0000168	Pram.g_01948	Prax.g_01975
OG0000169	Pram.g_01950	Prax.g_01973
OG0000170	Pram.g_00001	Prax.g_00299
OG0000171	Pram.g_00002	Prax.g_00298
OG0000172	Pram.g_00003	Prax.g_00297
OG0000173	Pram.g_00004	Prax.g_00296
OG0000174	Pram.g_00005	Prax.g_00295
OG0000175	Pram.g_00006	Prax.g_00294
OG0000176	Pram.g_00007	Prax.g_00293
OG0000177	Pram.g_00008	Prax.g_00292
OG0000178	Pram.g_00009	Prax.g_00291
OG0000179	Pram.g_00011	Prax.g_00289
OG0000180	Pram.g_00012	Prax.g_00288
OG0000181	Pram.g_00013	Prax.g_00287
OG0000182	Pram.g_00014	Prax.g_00286
OG0000183	Pram.g_00015	Prax.g_00285
OG0000184	Pram.g_00016	Prax.g_00284
OG0000185	Pram.g_00019	Prax.g_00281
OG0000186	Pram.g_00021	Prax.g_00278
OG0000187	Pram.g_00022	Prax.g_00277
OG0000188	Pram.g_00023	Prax.g_00276
OG0000189	Pram.g_00024	Prax.g_00273
OG0000190	Pram.g_00026	Prax.g_00271
OG0000191	Pram.g_00028	Prax.g_00270
OG0000192	Pram.g_00029	Prax.g_00269
OG0000193	Pram.g_00030	Prax.g_00261
OG0000194	Pram.g_00033	Prax.g_00621
OG0000195	Pram.g_00034	Prax.g_00622
OG0000196	Pram.g_00035	Prax.g_00623
OG0000197	Pram.g_00037	Prax.g_00625
OG0000198	Pram.g_00038	Prax.g_00626
OG0000199	Pram.g_00039	Prax.g_00627
OG0000200	Pram.g_00048	Prax.g_00635
OG0000201	Pram.g_00049	Prax.g_00636
OG0000202	Pram.g_00050	Prax.g_00637
OG0000203	Pram.g_00054	Prax.g_00640
OG0000204	Pram.g_00055	Prax.g_00641
OG0000205	Pram.g_00058	Prax.g_00644
OG0000206	Pram.g_00060	Prax.g_00646
OG0000207	Pram.g_00062	Prax.g_00648
OG0000208	Pram.g_00063	Prax.g_00649
OG0000209	Pram.g_01536	Prax.g_00650
OG0000210	Pram.g_00064	Prax.g_00651
OG0000211	Pram.g_00065	Prax.g_00652
OG0000212	Pram.g_00066	Prax.g_00653
OG0000213	Pram.g_00067	Prax.g_00654
OG0000214	Pram.g_00068	Prax.g_00655
OG0000215	Pram.g_00069	Prax.g_00656
OG0000216	Pram.g_00070	Prax.g_00657
OG0000217	Pram.g_00072	Prax.g_00659
OG0000218	Pram.g_00073	Prax.g_00660
OG0000219	Pram.g_00074	Prax.g_01128
OG0000220	Pram.g_00075	Prax.g_01127
OG0000221	Pram.g_00078	Prax.g_01124
OG0000222	Pram.g_00079	Prax.g_01123
OG0000223	Pram.g_00080	Prax.g_01122
OG0000224	Pram.g_00081	Prax.g_01121
OG0000225	Pram.g_00082	Prax.g_01120
OG0000226	Pram.g_00083	Prax.g_01119
OG0000227	Pram.g_00085	Prax.g_01118
OG0000228	Pram.g_00086	Prax.g_01117
OG0000229	Pram.g_00087	Prax.g_01116
OG0000230	Pram.g_00088	Prax.g_01115
OG0000231	Pram.g_00089	Prax.g_01114
OG0000232	Pram.g_00090	Prax.g_01113
OG0000233	Pram.g_00091	Prax.g_01112
OG0000234	Pram.g_00092	Prax.g_01111
OG0000235	Pram.g_00093	Prax.g_01110
OG0000236	Pram.g_00096	Prax.g_01109
OG0000237	Pram.g_00097	Prax.g_01108
OG0000238	Pram.g_00098	Prax.g_01107
OG0000239	Pram.g_00100	Prax.g_01105
OG0000240	Pram.g_00101	Prax.g_01103
OG0000241	Pram.g_00102	Prax.g_01102
OG0000242	Pram.g_00103	Prax.g_01101
OG0000243	Pram.g_00106	Prax.g_01098
OG0000244	Pram.g_00109	Prax.g_01096
OG0000245	Pram.g_00110	Prax.g_01095
OG0000246	Pram.g_00111	Prax.g_01094
OG0000247	Pram.g_00113	Prax.g_01091
OG0000248	Pram.g_00115	Prax.g_01089
OG0000249	Pram.g_00117	Prax.g_01088
OG0000250	Pram.g_00118	Prax.g_01087
OG0000251	Pram.g_00119	Prax.g_01086
OG0000252	Pram.g_00120	Prax.g_01085
OG0000253	Pram.g_00121	Prax.g_01084
OG0000254	Pram.g_01001	Prax.g_01082
OG0000255	Pram.g_00123	Prax.g_01081
OG0000256	Pram.g_00126	Prax.g_01078
OG0000257	Pram.g_00128	Prax.g_01076
OG0000258	Pram.g_00130	Prax.g_01073
OG0000259	Pram.g_00131	Prax.g_01072
OG0000260	Pram.g_00132	Prax.g_01071
OG0000261	Pram.g_00133	Prax.g_01070
OG0000262	Pram.g_00134	Prax.g_01069
OG0000263	Pram.g_00136	Prax.g_01067
OG0000264	Pram.g_00137	Prax.g_01066
OG0000265	Pram.g_00138	Prax.g_01065
OG0000266	Pram.g_00139	Prax.g_01064
OG0000267	Pram.g_00140	Prax.g_01063
OG0000268	Pram.g_00141	Prax.g_01062
OG0000269	Pram.g_00143	Prax.g_01060
OG0000270	Pram.g_00144	Prax.g_01059
OG0000271	Pram.g_00145	Prax.g_01058
OG0000272	Pram.g_00146	Prax.g_01057
OG0000273	Pram.g_00147	Prax.g_01056
OG0000274	Pram.g_00148	Prax.g_01055
OG0000275	Pram.g_00149	Prax.g_01054
OG0000276	Pram.g_00150	Prax.g_01053
OG0000277	Pram.g_00152	Prax.g_01051
OG0000278	Pram.g_00153	Prax.g_01050
OG0000279	Pram.g_00154	Prax.g_01049
OG0000280	Pram.g_00156	Prax.g_01047
OG0000281	Pram.g_00157	Prax.g_01045
OG0000282	Pram.g_00158	Prax.g_01044
OG0000283	Pram.g_00159	Prax.g_01043
OG0000284	Pram.g_00160	Prax.g_01042
OG0000285	Pram.g_00161	Prax.g_01041
OG0000286	Pram.g_00162	Prax.g_01040
OG0000287	Pram.g_00163	Prax.g_01039
OG0000288	Pram.g_00165	Prax.g_01037
OG0000289	Pram.g_00166	Prax.g_01036
OG0000290	Pram.g_00167	Prax.g_01035
OG0000291	Pram.g_00169	Prax.g_01033
OG0000292	Pram.g_00171	Prax.g_01032
OG0000293	Pram.g_00172	Prax.g_01031
OG0000294	Pram.g_00173	Prax.g_01030
OG0000295	Pram.g_00174	Prax.g_01029
OG0000296	Pram.g_00175	Prax.g_01028
OG0000297	Pram.g_00176	Prax.g_01027
OG0000298	Pram.g_00178	Prax.g_01025
OG0000299	Pram.g_00179	Prax.g_01024
OG0000300	Pram.g_00180	Prax.g_01023
OG0000301	Pram.g_00181	Prax.g_01022
OG0000302	Pram.g_00182	Prax.g_01021
OG0000303	Pram.g_00183	Prax.g_01020
OG0000304	Pram.g_00185	Prax.g_01018
OG0000305	Pram.g_00186	Prax.g_01017
OG0000306	Pram.g_00189	Prax.g_01014
OG0000307	Pram.g_00190	Prax.g_01013
OG0000308	Pram.g_00191	Prax.g_01012
OG0000309	Pram.g_00192	Prax.g_01011
OG0000310	Pram.g_00193	Prax.g_01010
OG0000311	Pram.g_00194	Prax.g_01009
OG0000312	Pram.g_00195	Prax.g_01008
OG0000313	Pram.g_00196	Prax.g_01007
OG0000314	Pram.g_00197	Prax.g_01006
OG0000315	Pram.g_00198	Prax.g_01005
OG0000316	Pram.g_00199	Prax.g_01004
OG0000317	Pram.g_00200	Prax.g_01003
OG0000318	Pram.g_00201	Prax.g_01002
OG0000319	Pram.g_00202	Prax.g_01001
OG0000320	Pram.g_00203	Prax.g_01000
OG0000321	Pram.g_00204	Prax.g_00999
OG0000322	Pram.g_00205	Prax.g_00998
OG0000323	Pram.g_00206	Prax.g_00997
OG0000324	Pram.g_00207	Prax.g_00996
OG0000325	Pram.g_00208	Prax.g_00995
OG0000326	Pram.g_00209	Prax.g_00994
OG0000327	Pram.g_00210	Prax.g_00993
OG0000328	Pram.g_00212	Prax.g_00992
OG0000329	Pram.g_00213	Prax.g_00991
OG0000330	Pram.g_00214	Prax.g_00990
OG0000331	Pram.g_00216	Prax.g_00989
OG0000332	Pram.g_00217	Prax.g_00988
OG0000333	Pram.g_00218	Prax.g_00987
OG0000334	Pram.g_00219	Prax.g_00986
OG0000335	Pram.g_00220	Prax.g_00985
OG0000336	Pram.g_00222	Prax.g_00983
OG0000337	Pram.g_00223	Prax.g_00982
OG0000338	Pram.g_00228	Prax.g_00978
OG0000339	Pram.g_00230	Prax.g_00933
OG0000340	Pram.g_00232	Prax.g_00931
OG0000341	Pram.g_00233	Prax.g_00930
OG0000342	Pram.g_00234	Prax.g_00929
OG0000343	Pram.g_00235	Prax.g_00928
OG0000344	Pram.g_00238	Prax.g_00925
OG0000345	Pram.g_00242	Prax.g_00922
OG0000346	Pram.g_00243	Prax.g_00921
OG0000347	Pram.g_00246	Prax.g_00918
OG0000348	Pram.g_00247	Prax.g_00916
OG0000349	Pram.g_00248	Prax.g_00915
OG0000350	Pram.g_00250	Prax.g_00913
OG0000351	Pram.g_00251	Prax.g_00912
OG0000352	Pram.g_00252	Prax.g_00911
OG0000353	Pram.g_00253	Prax.g_00910
OG0000354	Pram.g_00254	Prax.g_00909
OG0000355	Pram.g_00255	Prax.g_00908
OG0000356	Pram.g_00256	Prax.g_00907
OG0000357	Pram.g_00257	Prax.g_00906
OG0000358	Pram.g_00258	Prax.g_00905
OG0000359	Pram.g_00260	Prax.g_00904
OG0000360	Pram.g_00263	Prax.g_00900
OG0000361	Pram.g_00264	Prax.g_00899
OG0000362	Pram.g_00265	Prax.g_00898
OG0000363	Pram.g_00266	Prax.g_00897
OG0000364	Pram.g_00270	Prax.g_00893
OG0000365	Pram.g_00271	Prax.g_00892
OG0000366	Pram.g_00274	Prax.g_00890
OG0000367	Pram.g_00275	Prax.g_00889
OG0000368	Pram.g_00276	Prax.g_00888
OG0000369	Pram.g_00277	Prax.g_00887
OG0000370	Pram.g_00278	Prax.g_00886
OG0000371	Pram.g_00280	Prax.g_00885
OG0000372	Pram.g_00281	Prax.g_00884
OG0000373	Pram.g_00282	Prax.g_00883
OG0000374	Pram.g_00283	Prax.g_00881
OG0000375	Pram.g_00284	Prax.g_00880
OG0000376	Pram.g_00287	Prax.g_00877
OG0000377	Pram.g_00288	Prax.g_00876
OG0000378	Pram.g_00289	Prax.g_00875
OG0000379	Pram.g_00290	Prax.g_00874
OG0000380	Pram.g_00291	Prax.g_00873
OG0000381	Pram.g_00292	Prax.g_00872
OG0000382	Pram.g_00293	Prax.g_00871
OG0000383	Pram.g_00294	Prax.g_00870
OG0000384	Pram.g_00296	Prax.g_00867
OG0000385	Pram.g_00297	Prax.g_00866
OG0000386	Pram.g_00298	Prax.g_00865
OG0000387	Pram.g_00299	Prax.g_00864
OG0000388	Pram.g_00300	Prax.g_00863
OG0000389	Pram.g_00301	Prax.g_00862
OG0000390	Pram.g_00302	Prax.g_00861
OG0000391	Pram.g_00303	Prax.g_00860
OG0000392	Pram.g_00304	Prax.g_00859
OG0000393	Pram.g_00305	Prax.g_00858
OG0000394	Pram.g_00306	Prax.g_00857
OG0000395	Pram.g_00307	Prax.g_00856
OG0000396	Pram.g_00309	Prax.g_00854
OG0000397	Pram.g_00311	Prax.g_00850
OG0000398	Pram.g_00312	Prax.g_00849
OG0000399	Pram.g_00315	Prax.g_00846
OG0000400	Pram.g_00321	Prax.g_00845
OG0000401	Pram.g_00322	Prax.g_00844
OG0000402	Pram.g_00328	Prax.g_00839
OG0000403	Pram.g_00330	Prax.g_00838
OG0000404	Pram.g_00331	Prax.g_00837
OG0000405	Pram.g_00332	Prax.g_00835
OG0000406	Pram.g_00336	Prax.g_00832
OG0000407	Pram.g_00337	Prax.g_00831
OG0000408	Pram.g_00340	Prax.g_00828
