Orthogroup	Pram	Prat
OG0000000	Pram.g_01511	Prat.g_01549
OG0000000	Pram.g_01556	Prat.g_01189
OG0000000	Pram.g_01512	Prat.g_01547
OG0000001	Pram.g_00873	Prat.g_00977
OG0000001	Pram.g_00768	Prat.g_00751
OG0000001	Pram.g_01278	Prat.g_01462
OG0000001	Pram.g_01170	Prat.g_01184
OG0000001	Pram.g_01471	Prat.g_01487
OG0000001	Pram.g_01168	Prat.g_01182
OG0000001	Pram.g_01174	Prat.g_01187
OG0000002	Pram.g_00719	Prat.g_00851
OG0000002	Pram.g_01953, Pram.g_01954	Prat.g_01286, Prat.g_01285
OG0000004	Pram.g_01513, Pram.g_01176	Prat.g_01190
OG0000005	Pram.g_01207	Prat.g_00824
OG0000006	Pram.g_01505, Pram.g_00621	Prat.g_00634
OG0000008	Pram.g_00433	Prat.g_00458
OG0000008	Pram.g_01632	Prat.g_01592
OG0000009	Pram.g_00602	Prat.g_01280
OG0000009	Pram.g_01611	Prat.g_01570
OG0000010	Pram.g_01164	Prat.g_01180
OG0000010	Pram.g_00237	Prat.g_00255
OG0000012	Pram.g_00259	Prat.g_00278
OG0000013	Pram.g_00390	Prat.g_01451
OG0000014	Pram.g_00295	Prat.g_00314
OG0000015	Pram.g_00359	Prat.g_00374
OG0000016	Pram.g_01545, Pram.g_00696	Prat.g_00701
OG0000018	Pram.g_00535	Prat.g_00560
OG0000018	Pram.g_00542	Prat.g_00567
OG0000019	Pram.g_00662	Prat.g_01580, Prat.g_00639
OG0000019	Pram.g_00618	Prat.g_00615
OG0000020	Pram.g_01283	Prat.g_01452
OG0000022	Pram.g_00229	Prat.g_00248
OG0000023	Pram.g_00794	Prat.g_00461
OG0000024	Pram.g_00629	Prat.g_01489
OG0000025	Pram.g_01004, Pram.g_00765	Prat.g_00622
OG0000026	Pram.g_01561	Prat.g_01191
OG0000027	Pram.g_01262	Prat.g_00377
OG0000028	Pram.g_01263	Prat.g_00376
OG0000029	Pram.g_01189, Pram.g_01617	Prat.g_00852
OG0000031	Pram.g_01841	Prat.g_01796
OG0000032	Pram.g_01258	Prat.g_01516
OG0000034	Pram.g_01381	Prat.g_01352
OG0000034	Pram.g_01378	Prat.g_01353
OG0000035	Pram.g_00391	Prat.g_01400
OG0000036	Pram.g_01595	Prat.g_00617
OG0000036	Pram.g_01275	Prat.g_01470
OG0000038	Pram.g_01413	Prat.g_01266
OG0000039	Pram.g_01193	Prat.g_01219
OG0000041	Pram.g_00561	Prat.g_00586
OG0000042	Pram.g_01605	Prat.g_01572
OG0000042	Pram.g_01886	Prat.g_01841
OG0000043	Pram.g_00681	Prat.g_00657
OG0000045	Pram.g_01559	Prat.g_01507
OG0000046	Pram.g_01287	Prat.g_01448
OG0000047	Pram.g_01140	Prat.g_01156
OG0000048	Pram.g_00040	Prat.g_00058
OG0000049	Pram.g_01447	Prat.g_01311
OG0000050	Pram.g_00151	Prat.g_00166
OG0000051	Pram.g_00689	Prat.g_00834
OG0000052	Pram.g_01587	Prat.g_00613
OG0000053	Pram.g_00801	Prat.g_00788
OG0000054	Pram.g_01265	Prat.g_01584
OG0000055	Pram.g_01833	Prat.g_01788
OG0000056	Pram.g_00018	Prat.g_00033
OG0000057	Pram.g_00142	Prat.g_00157
OG0000058	Pram.g_00677	Prat.g_00637
OG0000059	Pram.g_01558	Prat.g_01499
OG0000060	Pram.g_01017	Prat.g_00804
OG0000061	Pram.g_01517	Prat.g_01503
OG0000062	Pram.g_00832	Prat.g_01014
OG0000063	Pram.g_01191	Prat.g_01463, Prat.g_00666
OG0000065	Pram.g_00224	Prat.g_00242
OG0000066	Pram.g_00411	Prat.g_00434
OG0000067	Pram.g_00792	Prat.g_00775
OG0000070	Pram.g_00888	Prat.g_00965
OG0000071	Pram.g_01112	Prat.g_01129
OG0000072	Pram.g_01230	Prat.g_01249
