Orthogroup	Prar	Praw
OG0000000	Prar.g_00729	Praw.g_00455
OG0000000	Prar.g_00730	Praw.g_00294, Praw.g_00454
OG0000001	Prar.g_00918	Praw.g_01009
OG0000001	Prar.g_01508	Praw.g_01844
OG0000002	Prar.g_01203	Praw.g_00497
OG0000002	Prar.g_01202	Praw.g_01951
OG0000002	Prar.g_00926	Praw.g_01000
OG0000003	Prar.g_00593	Praw.g_01390
OG0000004	Prar.g_00973	Praw.g_00959
OG0000004	Prar.g_00727	Praw.g_00457
OG0000005	Prar.g_01623	Praw.g_01775
OG0000005	Prar.g_01630	Praw.g_01769
OG0000006	Prar.g_00991	Praw.g_00945
OG0000006	Prar.g_01006	Praw.g_00482
OG0000006	Prar.g_01643	Praw.g_01754
OG0000006	Prar.g_01313	Praw.g_00184
OG0000007	Prar.g_01002	Praw.g_00928
OG0000007	Prar.g_00445	Praw.g_00750
OG0000007	Prar.g_01173	Praw.g_00328
OG0000008	Prar.g_01328	Praw.g_00651
OG0000008	Prar.g_01143	Praw.g_00515
OG0000010	Prar.g_01663	Praw.g_01717
OG0000010	Prar.g_00078	Praw.g_00884
OG0000012	Prar.g_00435	Praw.g_00758
OG0000013	Prar.g_00737	Praw.g_00447
OG0000013	Prar.g_00223	Praw.g_01330
OG0000014	Prar.g_00281	Praw.g_00828
OG0000015	Prar.g_00257	Praw.g_00804
OG0000016	Prar.g_01179	Praw.g_01738
OG0000017	Prar.g_00520	Praw.g_00677
OG0000018	Prar.g_01428	Praw.g_01944
OG0000019	Prar.g_00443	Praw.g_00752
OG0000020	Prar.g_00915	Praw.g_01012
OG0000021	Prar.g_00827	Praw.g_00357
OG0000022	Prar.g_00086	Praw.g_01950
OG0000023	Prar.g_00425	Praw.g_00767
OG0000024	Prar.g_00979	Praw.g_00951
OG0000025	Prar.g_01634	Praw.g_01763
OG0000026	Prar.g_00971	Praw.g_00961, Praw.g_01782
OG0000027	Prar.g_01502	Praw.g_01850
OG0000028	Prar.g_00996	Praw.g_00939
OG0000029	Prar.g_01664	Praw.g_01716
OG0000030	Prar.g_01665	Praw.g_01715
OG0000031	Prar.g_00660	Praw.g_00032
OG0000032	Prar.g_00004, Prar.g_00005	Praw.g_01395
OG0000033	Prar.g_01626	Praw.g_01773
OG0000034	Prar.g_00339	Praw.g_01083, Praw.g_01081
OG0000035	Prar.g_00736	Praw.g_00448
OG0000036	Prar.g_01315	Praw.g_00181
OG0000039	Prar.g_00025	Praw.g_01415
OG0000040	Prar.g_00978	Praw.g_00952
OG0000041	Prar.g_01453	Praw.g_00159
OG0000042	Prar.g_00704	Praw.g_01180
OG0000043	Prar.g_01943	Praw.g_01428
OG0000043	Prar.g_01761	Praw.g_00323
OG0000045	Prar.g_01414	Praw.g_01932
OG0000046	Prar.g_01649	Praw.g_01746
OG0000047	Prar.g_01263	Praw.g_00234
OG0000049	Prar.g_00870, Prar.g_00362	Praw.g_01055
OG0000050	Prar.g_00161	Praw.g_01269
OG0000051	Prar.g_00420	Praw.g_00772
OG0000052	Prar.g_00476	Praw.g_00730
OG0000053	Prar.g_01599	Praw.g_01809
OG0000054	Prar.g_01150	Praw.g_00508
OG0000055	Prar.g_00653	Praw.g_00039
OG0000056	Prar.g_00007	Praw.g_01397
OG0000057	Prar.g_00170, Prar.g_01569	Praw.g_01278
OG0000058	Prar.g_00431	Praw.g_00762
OG0000059	Prar.g_01369	Praw.g_00609
OG0000060	Prar.g_01612	Praw.g_01796
OG0000061	Prar.g_01644	Praw.g_01752
OG0000062	Prar.g_01706	Praw.g_01675
OG0000063	Prar.g_01307	Praw.g_00189
OG0000065	Prar.g_00090	Praw.g_01198
OG0000066	Prar.g_00525	Praw.g_00672
OG0000067	Prar.g_01528	Praw.g_01824
OG0000068	Prar.g_01628	Praw.g_01771
OG0000069	Prar.g_01298	Praw.g_00199
OG0000070	Prar.g_01904	Praw.g_01467
OG0000071	Prar.g_01003	Praw.g_00926
OG0000072	Prar.g_00955	Praw.g_00981
OG0000073	Prar.g_00934	Praw.g_00474
OG0000074	Prar.g_00880	Praw.g_01050
OG0000075	Prar.g_01027	Praw.g_00096
OG0000076	Prar.g_00886	Praw.g_01043
OG0000077	Prar.g_00027	Praw.g_01125
OG0000078	Prar.g_00265	Praw.g_00812
OG0000079	Prar.g_00444	Praw.g_00751
OG0000080	Prar.g_01499	Praw.g_01853
OG0000081	Prar.g_01521	Praw.g_01831
OG0000082	Prar.g_01691	Praw.g_01690
OG0000083	Prar.g_01755	Praw.g_01627
OG0000084	Prar.g_01833	Praw.g_01539
OG0000085	Prar.g_01953	Praw.g_01418
OG0000086	Prar.g_01296	Praw.g_00201
OG0000088	Prar.g_00998	Praw.g_00934
OG0000089	Prar.g_00997	Praw.g_00935
OG0000090	Prar.g_00872	Praw.g_01051
OG0000091	Prar.g_00839	Praw.g_00345
OG0000092	Prar.g_01166	Praw.g_00464
