Orthogroup	Prar	Pral
OG0000000	Prar.g_00713, Prar.g_00729	Pral.g_00037
OG0000000	Prar.g_01204, Prar.g_00730	Pral.g_01333, Pral.g_00038
OG0000001	Prar.g_00918	Pral.g_01549, Pral.g_01554
OG0000001	Prar.g_01508	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Prar.g_01203, Prar.g_01202	Pral.g_01296, Pral.g_01671
OG0000002	Prar.g_00926	Pral.g_01236
OG0000003	Prar.g_00593	Pral.g_01006
OG0000004	Prar.g_00973, Prar.g_00727	Pral.g_00040, Pral.g_01332
OG0000005	Prar.g_01630	Pral.g_01898
OG0000006	Prar.g_00991, Prar.g_01006, Prar.g_01643, Prar.g_01313	Pral.g_00444
OG0000008	Prar.g_01328	Pral.g_00593
OG0000008	Prar.g_01143	Pral.g_00107
OG0000009	Prar.g_00931	Pral.g_01041
OG0000010	Prar.g_01663	Pral.g_01344
OG0000010	Prar.g_00078	Pral.g_00790
OG0000013	Prar.g_00737, Prar.g_00223	Pral.g_01065, Pral.g_01163
OG0000014	Prar.g_00281	Pral.g_00732, Pral.g_01261
OG0000015	Prar.g_00468	Pral.g_00672
OG0000016	Prar.g_01179	Pral.g_01813
OG0000017	Prar.g_00520	Pral.g_00039, Pral.g_01036
OG0000018	Prar.g_01428	Pral.g_00491, Pral.g_00484
OG0000019	Prar.g_00443	Pral.g_00062, Pral.g_01887
OG0000020	Prar.g_00915	Pral.g_01861, Pral.g_01063
OG0000021	Prar.g_00589	Pral.g_00066, Pral.g_01139
OG0000022	Prar.g_00086	Pral.g_00797
OG0000023	Prar.g_00425	Pral.g_01738
OG0000024	Prar.g_00979	Pral.g_00046
OG0000025	Prar.g_01634	Pral.g_01895
OG0000026	Prar.g_00971	Pral.g_01331
OG0000028	Prar.g_01185	Pral.g_00020
OG0000029	Prar.g_01664	Pral.g_01670, Pral.g_00082
OG0000030	Prar.g_01665	Pral.g_00090
OG0000031	Prar.g_00660	Pral.g_00313
OG0000032	Prar.g_01189	Pral.g_00435
OG0000034	Prar.g_00339	Pral.g_01165, Pral.g_01161
OG0000035	Prar.g_00736, Prar.g_01170	Pral.g_01164, Pral.g_01114
OG0000036	Prar.g_01187	Pral.g_01883
OG0000036	Prar.g_01315	Pral.g_01038
OG0000041	Prar.g_01453	Pral.g_00015
OG0000043	Prar.g_01943, Prar.g_01761	Pral.g_01853
OG0000045	Prar.g_01414	Pral.g_00057
OG0000046	Prar.g_01649	Pral.g_00044
OG0000047	Prar.g_01263	Pral.g_01367
OG0000049	Prar.g_00870, Prar.g_00362	Pral.g_01202
