Orthogroup	Prar	Praa
OG0000000	Prar.g_00713	Praa.g_01235
OG0000000	Prar.g_00729	Praa.g_01598
OG0000000	Prar.g_01204, Prar.g_00730	Praa.g_01597
OG0000001	Prar.g_00918	Praa.g_01359
OG0000001	Prar.g_01508	Praa.g_00678
OG0000002	Prar.g_00926	Praa.g_01351
OG0000003	Prar.g_00593	Praa.g_00038, Praa.g_01221
OG0000004	Prar.g_00973	Praa.g_01298
OG0000004	Prar.g_00727	Praa.g_01599
OG0000005	Prar.g_01623	Praa.g_00735
OG0000005	Prar.g_01630	Praa.g_00742
OG0000006	Prar.g_00991	Praa.g_01280
OG0000006	Prar.g_01643	Praa.g_00755
OG0000006	Prar.g_01313	Praa.g_01110
OG0000007	Prar.g_01002	Praa.g_01256
OG0000007	Prar.g_00445	Praa.g_00382
OG0000008	Prar.g_01328	Praa.g_00497
OG0000008	Prar.g_01143	Praa.g_01635
OG0000009	Prar.g_01009	Praa.g_00056
OG0000010	Prar.g_01663	Praa.g_00782
OG0000010	Prar.g_00078	Praa.g_00249
OG0000011	Prar.g_00436	Praa.g_00374
OG0000012	Prar.g_00435	Praa.g_00373
OG0000013	Prar.g_00737	Praa.g_01589
OG0000013	Prar.g_00223	Praa.g_00105
OG0000014	Prar.g_00281	Praa.g_01409, Praa.g_00306
OG0000015	Prar.g_00257	Praa.g_00330
OG0000017	Prar.g_00520	Praa.g_00470
OG0000018	Prar.g_01428	Praa.g_00598
OG0000019	Prar.g_00443	Praa.g_00380
OG0000020	Prar.g_00915	Praa.g_01362
OG0000021	Prar.g_00827	Praa.g_01496
OG0000022	Prar.g_00086	Praa.g_00241, Praa.g_01245
OG0000023	Prar.g_00425	Praa.g_00364
OG0000024	Prar.g_00979	Praa.g_01287
OG0000025	Prar.g_01634	Praa.g_00747
OG0000026	Prar.g_00971	Praa.g_01300
OG0000027	Prar.g_01502	Praa.g_00672
OG0000028	Prar.g_01185	Praa.g_01241
OG0000028	Prar.g_00996	Praa.g_01273
OG0000029	Prar.g_01664	Praa.g_00783
OG0000030	Prar.g_01665	Praa.g_00784
OG0000031	Prar.g_00660	Praa.g_01839
OG0000032	Prar.g_00004, Prar.g_00005	Praa.g_00033
OG0000033	Prar.g_00761	Praa.g_01564
OG0000033	Prar.g_01626	Praa.g_00738
OG0000034	Prar.g_00339	Praa.g_01476
OG0000035	Prar.g_00736	Praa.g_01590
OG0000036	Prar.g_01315	Praa.g_01107
OG0000039	Prar.g_00025	Praa.g_00013
OG0000040	Prar.g_00978	Praa.g_01288, Praa.g_00396
OG0000041	Prar.g_01453	Praa.g_00623
OG0000042	Prar.g_00704	Praa.g_01885
OG0000045	Prar.g_01414	Praa.g_00585
OG0000046	Prar.g_01649	Praa.g_00763
OG0000047	Prar.g_01263	Praa.g_01159
OG0000049	Prar.g_00870, Prar.g_00362	Praa.g_01425
OG0000050	Prar.g_00161	Praa.g_00166
OG0000051	Prar.g_00420	Praa.g_00359
OG0000052	Prar.g_00476	Praa.g_00399
OG0000053	Prar.g_01599	Praa.g_00711
OG0000054	Prar.g_01150	Praa.g_01628
OG0000055	Prar.g_00653	Praa.g_01832
OG0000056	Prar.g_00007	Praa.g_00031
OG0000057	Prar.g_00170, Prar.g_01569	Praa.g_00157
OG0000058	Prar.g_00431	Praa.g_00369
OG0000059	Prar.g_01369	Praa.g_00539
OG0000060	Prar.g_01612	Praa.g_00724
OG0000061	Prar.g_01644	Praa.g_00757
OG0000062	Prar.g_01706	Praa.g_00826
OG0000063	Prar.g_01307	Praa.g_01117
OG0000065	Prar.g_00090	Praa.g_00237
OG0000066	Prar.g_00525	Praa.g_00475
OG0000067	Prar.g_01528	Praa.g_00698
OG0000068	Prar.g_01628	Praa.g_00740
OG0000069	Prar.g_01298	Praa.g_01125
OG0000070	Prar.g_01904	Praa.g_01039
OG0000071	Prar.g_01003	Praa.g_01255
OG0000072	Prar.g_00955	Praa.g_01318
OG0000073	Prar.g_00934	Praa.g_01342
OG0000074	Prar.g_00880	Praa.g_01387
OG0000075	Prar.g_01027	Praa.g_01775
OG0000077	Prar.g_00027	Praa.g_00011
OG0000078	Prar.g_00265	Praa.g_00322
OG0000079	Prar.g_00444	Praa.g_00381
OG0000080	Prar.g_01499	Praa.g_00669
OG0000081	Prar.g_01521	Praa.g_00691
OG0000082	Prar.g_01691	Praa.g_00810, Praa.g_00811
OG0000083	Prar.g_01755	Praa.g_00876
OG0000084	Prar.g_01833	Praa.g_00964
